time,x,y,z
2670,0.005669739,0.0095458925,0.051148415
2734,-0.0077160355,-0.0028609335,0.054380417
2799,-0.008573182,0.002808988,0.020888329
2866,-0.0056341663,9.41664E-4,0.01362133
2931,-0.0089208335,-0.010940492,0.01209259
2997,-0.006062927,0.017196,0.012834549
3064,-0.0052124867,-8.6802244E-4,0.006529808
3129,-0.0025331727,-0.0032292008,0.020091057
3197,-0.0064249346,0.011395991,0.028596878
3262,-0.011767022,-0.0047184825,0.015211105
3328,-0.005305105,0.004218638,0.010564804
3395,-0.008760413,0.0030395985,0.020960808
3461,-0.0035592113,-0.0032447278,0.01826477
3527,-0.004974789,0.00239259,0.0218544
3593,-0.007323783,0.002898991,0.014494896
3660,-0.010333004,-0.0014441907,0.0130672455
3725,-0.009280001,0.0042529404,0.009384155
3791,-0.008987584,-0.0027251542,0.012133598
3856,-0.0066748536,-5.6687E-4,0.0097332
3922,-0.010969534,0.005572051,0.013523102
3988,-0.0010023376,-0.004635632,0.008700371
4054,-0.012867309,0.009515613,0.018073082
4121,0.024197789,-0.0026493669,0.21539688
4184,-0.009017257,0.0012173355,0.047756195
4250,-0.0090023335,-0.0064476132,0.011117935
4319,-0.0073276768,-0.0038077235,0.01632309
4385,-0.012558199,-0.0056063533,0.0098285675
4450,-0.007998927,-0.0065498054,0.0039873123
4517,-0.01467759,8.672178E-4,0.018161774
4582,-0.002775413,2.5355816E-4,0.01567936
4648,-0.0063801645,-0.0072078705,0.016285896
4714,-0.007715291,2.1633506E-4,0.010850906
4780,-0.009154394,-0.005036056,0.014434814
4846,-0.010030737,-2.6392937E-4,0.016066551
4913,-0.011450242,0.0020825267,0.01881504
4977,-0.010244519,8.701682E-4,0.0134887695
5043,-0.009787608,-0.0024656951,0.012367249
5109,-0.007106806,8.2588196E-4,0.013471603
5176,-0.0075341715,-0.00314793,0.015001297
5242,-0.00833989,0.0022203624,0.014725685
5308,-0.011843188,0.0023129284,0.02029419
5375,-0.0049599186,-0.0020587146,0.010333061
5441,-0.016212834,-0.004304737,0.015274048
5508,-0.0120333955,-0.015867352,0.054358482
5572,-0.018162468,-0.014478207,0.08877754
5639,-0.00449923,-0.02630046,0.013735771
5704,-0.020226335,-0.018845707,0.004415512
5770,-0.004216187,-0.013371676,0.010169029
5836,-0.020682016,-0.010841668,0.014528275
5904,-0.006772962,-0.0146301985,0.009328842
5967,-0.016705168,-0.0068814456,0.007522583
6035,-0.010914952,-0.007956892,6.046295E-4
6101,-0.010798759,-0.0124228895,0.007528305
6166,-0.015025176,0.0015788972,0.013634682
6232,-9.4590615E-4,-0.00621593,0.015888214
6299,-0.014118028,0.0132935345,0.020301819
6365,-0.013937192,-0.011784166,-0.11805153
6498,-0.025441319,-0.010043204,0.01673603
6579,-0.0017942348,-0.0070172846,0.0117406845
6646,-0.018321667,0.0028855503,0.017240524
6711,-0.0069174524,-0.011946082,0.015265465
6776,-0.010305002,7.51853E-4,0.01684761
6843,-0.013672916,0.0018559694,0.011958122
6908,-0.0057786563,-0.004491806,0.017449379
6975,-0.017599039,-0.004042536,0.016221046
7041,-0.013327675,-0.0039097965,0.015321732
7107,-0.0053961994,0.002483964,0.013851166
7173,-0.015159314,0.0016413033,0.014788628
7239,-0.01295052,-0.006271571,0.012963295
7304,-0.015554355,4.7266483E-4,0.0127773285
7370,-0.008914328,-0.0037223399,0.0145692825
7435,-0.007475227,-2.207756E-4,0.013577461
7501,-0.015253229,-0.0036941469,0.0150260925
7567,-0.003951011,-0.0035717487,0.015202522
7634,-0.016915645,-0.003296584,0.014823914
7701,-0.008754524,8.90702E-4,0.016672134
7765,-0.012376187,0.0022237897,0.018546104
7832,-0.013688069,-0.0020788312,0.020654678
7897,-0.010202248,-0.0015100539,0.015750885
7963,-0.013979775,4.326403E-4,0.0153951645
8029,-0.012335437,-0.0017639697,0.017120361
8096,-0.0153111,-9.316504E-4,0.016377449
8162,-0.010472172,-9.941757E-4,0.015620232
8226,-0.0149983885,-0.0033923984,0.0140247345
8292,-0.010380909,-0.0028519332,0.018076897
8360,-0.008166197,-0.0037596822,0.020364761
8427,-0.013033757,-0.0040972233,0.01280117
8493,-0.014815329,1.0931492E-4,0.018574715
8557,-0.009662534,-0.0055274963,0.014521599
8623,-0.018786706,-8.9016557E-4,0.01911354
8689,-0.0045352224,-0.008274794,0.015358925
8756,-0.020007275,-0.0025075376,0.017627716
8820,-0.0035643736,-0.005669564,0.013522148
8886,-0.014035324,-0.0022769272,0.014332771
8952,-0.014043,-0.0022883713,0.016999245
9019,-0.0063899737,0.0015534163,0.01887703
9085,-0.020859532,9.101629E-5,0.01810646
