time,x,y,z
329,0.0016035213,0.0,9.92656E-4
331,9.92656E-4,0.0,9.92656E-4
333,0.0016035213,6.1086525E-4,9.92656E-4
390,9.92656E-4,-6.1086525E-4,0.0016035213
446,0.0016035213,-6.1086525E-4,9.92656E-4
512,0.0016035213,0.0,0.0016035213
579,9.92656E-4,-6.1086525E-4,9.92656E-4
646,0.0022143866,-0.0012217305,9.92656E-4
712,0.0016035213,-6.1086525E-4,0.0016035213
778,9.92656E-4,0.0,0.0016035213
846,0.0016035213,-6.1086525E-4,9.92656E-4
913,9.92656E-4,-6.1086525E-4,9.92656E-4
980,0.0016035213,0.0,9.92656E-4
1055,0.0022143866,0.0,9.92656E-4
1116,0.0016035213,-6.1086525E-4,0.0016035213
1183,9.92656E-4,-6.1086525E-4,9.92656E-4
1250,9.92656E-4,0.0,9.92656E-4
1315,0.0016035213,0.0,3.8179077E-4
1383,0.0022143866,-0.0012217305,0.0016035213
1449,0.0016035213,-6.1086525E-4,0.0016035213
1519,0.0022143866,-6.1086525E-4,9.92656E-4
1582,0.0016035213,-0.0012217305,0.0016035213
1648,9.92656E-4,-6.1086525E-4,9.92656E-4
1716,0.0016035213,6.1086525E-4,9.92656E-4
1785,0.0016035213,-6.1086525E-4,0.0016035213
1848,0.0016035213,0.0,0.0022143866
1916,0.0016035213,-6.1086525E-4,0.0016035213
1981,9.92656E-4,-6.1086525E-4,9.92656E-4
2048,3.8179077E-4,0.0,0.0016035213
2116,0.0022143866,-0.0012217305,0.0016035213
2181,9.92656E-4,0.0,9.92656E-4
2248,9.92656E-4,-6.1086525E-4,0.0016035213
2315,0.0016035213,0.0,9.92656E-4
2381,9.92656E-4,-6.1086525E-4,0.0022143866
2449,0.0012217305,-2.2907447E-4,-8.399397E-4
2515,0.0012217305,3.8179077E-4,-0.001450805
2582,0.002443461,-2.2907447E-4,-8.399397E-4
2648,0.0012217305,3.8179077E-4,-8.399397E-4
2716,0.0012217305,-2.2907447E-4,-2.2907447E-4
2781,0.002443461,9.92656E-4,-8.399397E-4
2848,0.002443461,-2.2907447E-4,-2.2907447E-4
2915,0.0018325958,3.8179077E-4,-2.2907447E-4
2982,0.0018325958,-2.2907447E-4,-2.2907447E-4
3048,0.0018325958,-2.2907447E-4,-2.2907447E-4
3115,0.0018325958,-2.2907447E-4,-2.2907447E-4
3181,0.0018325958,-2.2907447E-4,-8.399397E-4
3248,0.0018325958,-2.2907447E-4,-2.2907447E-4
3315,0.0018325958,-2.2907447E-4,-2.2907447E-4
3383,0.0018325958,-2.2907447E-4,-2.2907447E-4
3448,0.0018325958,-2.2907447E-4,-8.399397E-4
3515,0.0012217305,-2.2907447E-4,-0.001450805
3582,0.0012217305,3.8179077E-4,-2.2907447E-4
3648,0.0012217305,3.8179077E-4,-8.399397E-4
3715,0.0018325958,3.8179077E-4,-2.2907447E-4
3784,0.0018325958,3.8179077E-4,-8.399397E-4
3848,0.0018325958,3.8179077E-4,-8.399397E-4
3915,0.0018325958,-8.399397E-4,-8.399397E-4
3981,0.002443461,-8.399397E-4,-2.2907447E-4
4048,0.0012217305,-8.399397E-4,-8.399397E-4
4115,0.0018325958,-8.399397E-4,-0.001450805
4182,0.0018325958,-2.2907447E-4,-2.2907447E-4
4248,0.0018325958,3.8179077E-4,-8.399397E-4
4315,0.0018325958,-8.399397E-4,3.8179077E-4
4382,0.0018325958,-2.2907447E-4,-8.399397E-4
4449,0.002443461,-2.2907447E-4,-8.399397E-4
4515,0.0018325958,-2.2907447E-4,-2.2907447E-4
4582,0.0018325958,3.8179077E-4,-8.399397E-4
4648,0.002443461,-2.2907447E-4,-2.2907447E-4
4715,0.0012217305,-2.2907447E-4,-8.399397E-4
4782,0.0010690142,3.8179077E-4,-8.399397E-4
4849,0.0022907446,-2.2907447E-4,-2.2907447E-4
4915,0.0010690142,-2.2907447E-4,-8.399397E-4
4981,0.0016798794,-2.2907447E-4,-2.2907447E-4
5048,0.0016798794,-2.2907447E-4,-2.2907447E-4
5115,0.0022907446,-8.399397E-4,-2.2907447E-4
5182,0.0010690142,-2.2907447E-4,-2.2907447E-4
5248,0.0016798794,-2.2907447E-4,-8.399397E-4
5314,0.0010690142,3.8179077E-4,-8.399397E-4
5380,0.0022907446,3.8179077E-4,-8.399397E-4
5447,0.0016798794,-8.399397E-4,-2.2907447E-4
5514,0.0022907446,-2.2907447E-4,-2.2907447E-4
5580,0.0016798794,-2.2907447E-4,-8.399397E-4
5648,0.0010690142,3.8179077E-4,-8.399397E-4
5714,0.0010690142,-2.2907447E-4,-2.2907447E-4
5780,0.0010690142,9.92656E-4,-2.2907447E-4
5847,0.0016798794,-2.2907447E-4,-8.399397E-4
5915,0.005955936,0.029092457,0.0016035213
5980,-7.6358154E-4,0.011377365,-8.399397E-4
6047,0.0047342055,0.008933905,-0.0020616702
6114,0.0071776668,-0.0051159966,3.8179077E-4
6180,0.0010690142,0.0077121737,9.92656E-4
6247,-0.0032070426,0.014431692,3.8179077E-4
6314,0.0010690142,-0.006337727,-0.001450805
6380,0.0053450707,-0.0020616702,-8.399397E-4
6447,-0.0025961774,0.01198823,-2.2907447E-4
6514,0.005955936,-0.01366811,3.8179077E-4
6580,4.5814895E-4,0.010155635,-0.0020616702
6647,-1.5271631E-4,0.0046578473,3.8179077E-4
6714,0.0041233404,-0.010613783,-2.2907447E-4
6781,0.0022907446,0.0052687125,-0.0020616702
6846,-7.6358154E-4,0.005879578,3.8179077E-4
6914,0.0041233404,-0.006337727,-0.001450805
6980,-0.0025961774,0.015653422,3.8179077E-4
7047,0.0035124752,-0.010002919,-2.2907447E-4
7114,0.0016798794,0.004046982,-8.399397E-4
7180,-7.6358154E-4,0.0064904434,-8.399397E-4
7247,0.0010690142,-0.0020616702,-8.399397E-4
7315,0.0016798794,9.92656E-4,-2.2907447E-4
7380,0.0035124752,-0.006337727,3.8179077E-4
7447,0.0041233404,-0.003894266,-8.399397E-4
7513,-0.0013744468,0.008323039,-8.399397E-4
7580,0.0035124752,-0.0075594573,-2.2907447E-4
7647,0.0010690142,0.0022143866,-8.399397E-4
7714,0.0010690142,0.0052687125,-2.2907447E-4
7780,0.00290161,0.008323039,-8.399397E-4
7847,-0.0050396384,0.037033707,-0.001450805
7914,0.010231993,-0.022831088,3.8179077E-4
7981,0.0041233404,3.8179077E-4,3.8179077E-4
8047,-0.001985312,0.021762075,9.92656E-4
8114,0.009010263,-0.019165898,-0.0032834008
8180,0.0016798794,0.0052687125,-2.2907447E-4
8247,-7.6358154E-4,0.011377365,-2.2907447E-4
8313,0.0010690142,-8.399397E-4,9.92656E-4
8381,0.0010690142,0.0016035213,-0.0020616702
8447,0.00290161,-0.0020616702,-2.2907447E-4
8513,0.0022907446,-2.2907447E-4,-8.399397E-4
8580,0.0010690142,0.0028252518,-8.399397E-4
8647,0.00290161,3.8179077E-4,-2.2907447E-4
8714,4.5814895E-4,3.8179077E-4,-8.399397E-4
8780,0.0022907446,-0.001450805,-2.2907447E-4
8847,4.5814895E-4,0.0064904434,-8.399397E-4
8913,0.0035124752,-0.003894266,-8.399397E-4
8980,0.0016798794,3.8179077E-4,-2.2907447E-4
9046,0.0016798794,-2.2907447E-4,-8.399397E-4
9113,0.0022907446,-8.399397E-4,-8.399397E-4
9180,0.0022907446,0.0028252518,-8.399397E-4
9246,0.0035124752,-0.0075594573,-8.399397E-4
9313,-0.0013744468,0.018096883,3.8179077E-4
9380,-0.0025961774,0.0028252518,9.92656E-4
9447,0.0096211275,-0.027107146,-2.2907447E-4
9514,-0.0056505036,0.019318614,-8.399397E-4
9580,-0.0013744468,0.008933905,-8.399397E-4
9647,0.0047342055,-0.016722437,-0.001450805
9716,-0.0013744468,0.010155635,3.8179077E-4
9780,0.0022907446,0.0022143866,-0.001450805
9847,0.005955936,-0.020998493,-0.001450805
9914,0.0010690142,0.005879578,-2.2907447E-4
9980,4.5814895E-4,0.009544769,-2.2907447E-4
10047,0.0047342055,-0.011835515,9.92656E-4
10114,0.0047342055,-0.014278975,-0.001450805
10180,-7.6358154E-4,0.01198823,-0.0020616702
10247,0.00290161,0.01198823,-8.399397E-4
10314,0.0053450707,-0.010002919,-8.399397E-4
10380,-1.5271631E-4,0.0064904434,9.92656E-4
10447,0.0010690142,0.003436117,3.8179077E-4
10514,0.0010690142,0.0016035213,-8.399397E-4
10580,4.5814895E-4,-8.399397E-4,-8.399397E-4
10647,0.0016798794,-0.001450805,-8.399397E-4
10713,0.0010690142,0.0022143866,-8.399397E-4
10780,0.0016798794,3.8179077E-4,-0.001450805
10847,0.0010690142,0.004046982,-2.2907447E-4
10913,0.0016798794,0.0022143866,-8.399397E-4
10980,0.0041233404,-0.0075594573,-8.399397E-4
11046,0.0016798794,0.0046578473,-2.2907447E-4
11113,0.0016798794,-2.2907447E-4,-8.399397E-4
11179,0.0022907446,-0.0045051314,-2.2907447E-4
11248,0.0016798794,0.0016035213,-8.399397E-4
11317,0.00290161,0.0016035213,-8.399397E-4
11382,0.00290161,-0.003894266,-0.001450805
11450,0.00290161,-0.0020616702,-0.001450805
11516,0.0010690142,0.0016035213,-2.2907447E-4
11583,0.0016798794,9.92656E-4,-2.2907447E-4
11649,0.0016798794,-2.2907447E-4,3.8179077E-4
11717,0.00290161,-0.0045051314,3.8179077E-4
11783,0.0022907446,-0.005726862,-0.001450805
11849,0.0010690142,0.0052687125,9.92656E-4
11916,0.0035124752,-0.008781188,-8.399397E-4
11983,0.0010690142,-0.006948592,-2.2907447E-4
12050,0.0010690142,-0.0045051314,-0.001450805
12116,0.00290161,0.0077121737,9.92656E-4
12183,0.0047342055,-0.009392053,-0.001450805
12246,0.00290161,-0.0045051314,-2.2907447E-4
12317,4.5814895E-4,0.0046578473,-2.2907447E-4
12384,0.0022907446,3.8179077E-4,-2.2907447E-4
12450,0.0022907446,0.0028252518,-2.2907447E-4
12516,0.0016798794,0.004046982,-2.2907447E-4
12580,0.0022907446,0.005879578,-8.399397E-4
12650,0.0022907446,-0.003894266,-2.2907447E-4
12715,0.00290161,9.92656E-4,-8.399397E-4
12781,0.0016798794,-0.001450805,-0.0020616702
12850,-0.001985312,0.0052687125,-2.2907447E-4
12917,0.007788532,-0.016722437,-0.001450805
12983,-0.004428773,0.027259862,3.8179077E-4
13049,0.0010690142,0.008323039,-2.2907447E-4
13114,0.0047342055,-0.010613783,-0.001450805
13180,-1.5271631E-4,0.0077121737,3.8179077E-4
13246,4.5814895E-4,0.004046982,-2.2907447E-4
13312,0.0035124752,-0.0051159966,-2.2907447E-4
13381,0.00290161,-0.0032834008,-2.2907447E-4
13447,4.5814895E-4,0.005879578,-2.2907447E-4
13515,0.0022907446,0.005879578,-2.2907447E-4
13582,0.0016798794,-8.399397E-4,-8.399397E-4
13650,-1.5271631E-4,0.0077121737,-2.2907447E-4
13715,0.00290161,0.0077121737,-8.399397E-4
13782,0.0022907446,-0.001450805,-8.399397E-4
13850,4.5814895E-4,0.0028252518,-8.399397E-4
13913,0.0016798794,0.0022143866,-8.399397E-4
13982,0.00290161,-8.399397E-4,-2.2907447E-4
14050,0.0035124752,-8.399397E-4,-2.2907447E-4
14116,0.0022907446,0.0022143866,-2.2907447E-4
14183,4.5814895E-4,0.004046982,-8.399397E-4
14246,0.0016798794,3.8179077E-4,3.8179077E-4
14312,0.0022907446,-0.001450805,-8.399397E-4
14380,0.0010690142,9.92656E-4,-8.399397E-4
14446,0.0016798794,3.8179077E-4,-8.399397E-4
14513,0.0022907446,-2.2907447E-4,-2.2907447E-4
14579,0.0016798794,0.0016035213,-0.001450805
14646,0.0016798794,9.92656E-4,-8.399397E-4
14712,0.0022907446,9.92656E-4,-8.399397E-4
14779,0.0016798794,0.0016035213,-2.2907447E-4
14846,0.00290161,-0.0032834008,-8.399397E-4
14913,0.0010690142,3.8179077E-4,-8.399397E-4
