time,x,y,z
44,-4.5814895E-4,1.5271631E-4,-0.0
92,4.5814895E-4,6.1086525E-4,-1.5271631E-4
159,-1.5271631E-4,-1.5271631E-4,-0.0
225,-1.5271631E-4,1.5271631E-4,-0.0
291,-3.0543262E-4,-4.5814895E-4,-0.0
357,-4.5814895E-4,3.0543262E-4,-0.0
423,-1.5271631E-4,-3.0543262E-4,-0.0
490,-4.5814895E-4,3.0543262E-4,-0.0
557,4.5814895E-4,-4.5814895E-4,-0.0
621,1.5271631E-4,3.0543262E-4,-0.0
688,-1.5271631E-4,3.0543262E-4,-0.0
756,-4.5814895E-4,3.0543262E-4,-0.0
821,0.0,3.0543262E-4,-0.0
887,-3.0543262E-4,3.0543262E-4,-0.0
952,-4.5814895E-4,3.0543262E-4,-0.0
1019,-4.5814895E-4,3.0543262E-4,-0.0
1087,-4.5814895E-4,0.0,-0.0
1151,-4.5814895E-4,1.5271631E-4,-0.0
1216,4.5814895E-4,3.0543262E-4,-0.0
1284,1.5271631E-4,3.0543262E-4,-0.0
1348,-1.5271631E-4,-1.5271631E-4,-0.0
1415,0.0,3.0543262E-4,-0.0
1482,1.5271631E-4,3.0543262E-4,3.0543262E-4
1547,-3.0543262E-4,-1.5271631E-4,0.0
1613,-4.5814895E-4,-3.0543262E-4,-0.0
1678,1.5271631E-4,3.0543262E-4,-0.0
1745,1.5271631E-4,3.0543262E-4,-0.0
1812,1.5271631E-4,3.0543262E-4,-0.0
1876,3.0543262E-4,-1.5271631E-4,-0.0
1943,0.0,1.5271631E-4,0.0
2009,-3.0543262E-4,1.5271631E-4,0.0
2075,-0.0,-1.5271631E-4,-1.5271631E-4
2141,0.0,1.5271631E-4,-0.0
2206,9.162979E-4,1.5271631E-4,1.5271631E-4
2272,3.0543262E-4,-0.0,0.0
2338,3.0543262E-4,-1.5271631E-4,0.0
2403,7.6358154E-4,-9.162979E-4,0.0
2471,6.1086525E-4,-6.1086525E-4,0.0
2538,1.5271631E-4,-3.0543262E-4,0.0
2601,-7.6358154E-4,0.0,1.5271631E-4
2669,-3.0543262E-4,-0.0,0.0
2733,3.0543262E-4,1.5271631E-4,0.0
2800,-1.5271631E-4,1.5271631E-4,0.0
2867,3.0543262E-4,1.5271631E-4,0.0
2931,4.5814895E-4,1.5271631E-4,0.0
2997,-1.5271631E-4,-1.5271631E-4,0.0
3066,-7.6358154E-4,1.5271631E-4,0.0
3130,-0.0035124752,0.0021380284,0.0
3196,-0.004276057,0.0025961774,-4.5814895E-4
3263,-0.0012217305,7.6358154E-4,-3.0543262E-4
3328,-0.0,-0.0,-0.0
3394,-4.5814895E-4,-3.0543262E-4,0.0
3460,-3.0543262E-4,0.0,0.0
3527,-0.0,1.5271631E-4,0.0
3594,-3.0543262E-4,-6.1086525E-4,0.0
3658,-0.0,-0.0,1.5271631E-4
3723,0.0,-0.0,0.0
3788,0.0,1.5271631E-4,0.0
3856,0.0,-1.5271631E-4,0.0
3921,0.0,1.5271631E-4,0.0
3987,-3.0543262E-4,-1.5271631E-4,0.0
4054,-3.0543262E-4,-1.5271631E-4,0.0
4118,-0.0,1.5271631E-4,0.0
4186,-4.5814895E-4,-4.5814895E-4,0.0
4251,-0.0,-1.5271631E-4,0.0
4316,-3.0543262E-4,-4.5814895E-4,-3.0543262E-4
4384,3.0543262E-4,1.5271631E-4,-0.0
4451,0.0,-1.5271631E-4,0.0
4515,0.0,-3.0543262E-4,0.0
4581,-4.5814895E-4,0.0,0.0
4647,-4.5814895E-4,-4.5814895E-4,0.0
4712,3.0543262E-4,1.5271631E-4,0.0
4779,4.5814895E-4,1.5271631E-4,0.0
4845,-1.5271631E-4,-0.0,1.5271631E-4
4911,-1.5271631E-4,-4.5814895E-4,0.0
4978,-1.5271631E-4,1.5271631E-4,0.0
5042,-0.0,-0.0,0.0
5107,-1.5271631E-4,1.5271631E-4,0.0
5175,-3.0543262E-4,3.0543262E-4,0.0
5240,3.0543262E-4,1.5271631E-4,0.0
5308,-1.5271631E-4,0.0,1.5271631E-4
5373,-1.5271631E-4,3.0543262E-4,0.0
5441,1.5271631E-4,3.0543262E-4,0.0
5504,-1.5271631E-4,1.5271631E-4,0.0
5570,-3.0543262E-4,3.0543262E-4,1.5271631E-4
5636,-3.0543262E-4,3.0543262E-4,0.0
5702,-1.5271631E-4,3.0543262E-4,0.0
5769,-3.0543262E-4,3.0543262E-4,0.0
5834,-3.0543262E-4,-3.0543262E-4,0.0
5900,-3.0543262E-4,3.0543262E-4,0.0
5968,-3.0543262E-4,3.0543262E-4,-0.0
6032,1.5271631E-4,3.0543262E-4,-0.0
6097,-3.0543262E-4,-0.0,3.0543262E-4
6166,3.0543262E-4,-3.0543262E-4,0.0
6228,3.0543262E-4,-3.0543262E-4,0.0
6296,-1.5271631E-4,3.0543262E-4,0.0
6364,4.5814895E-4,-3.0543262E-4,0.0
6428,-3.0543262E-4,3.0543262E-4,0.0
6494,-3.0543262E-4,3.0543262E-4,0.0
6562,-3.0543262E-4,1.5271631E-4,-0.0
6627,-3.0543262E-4,3.0543262E-4,-0.0
6694,3.0543262E-4,-0.0,-0.0
6758,-1.5271631E-4,-1.5271631E-4,-0.0
6824,-1.5271631E-4,-4.5814895E-4,-0.0
6890,-1.5271631E-4,-4.5814895E-4,-0.0
6956,-1.5271631E-4,1.5271631E-4,-0.0
7023,3.0543262E-4,-4.5814895E-4,-0.0
7088,-1.5271631E-4,-0.0,-0.0
7154,-3.0543262E-4,1.5271631E-4,-0.0
7219,3.0543262E-4,0.0,-0.0
7286,-4.5814895E-4,1.5271631E-4,-0.0
7352,-4.5814895E-4,-3.0543262E-4,-0.0
7418,-4.5814895E-4,0.0,-0.0
7484,0.0,1.5271631E-4,-0.0
7550,-1.5271631E-4,1.5271631E-4,-0.0
7615,1.5271631E-4,1.5271631E-4,-0.0
7681,-3.0543262E-4,1.5271631E-4,-0.0
7747,3.0543262E-4,-0.0,-0.0
7815,1.5271631E-4,1.5271631E-4,-0.0
7880,-3.0543262E-4,1.5271631E-4,-0.0
7945,0.0,1.5271631E-4,-0.0
8011,-4.5814895E-4,1.5271631E-4,-0.0
8078,-1.5271631E-4,1.5271631E-4,-0.0
8142,6.1086525E-4,1.5271631E-4,-0.0
8210,-3.0543262E-4,0.0,-0.0
8278,1.5271631E-4,1.5271631E-4,-0.0
8339,-1.5271631E-4,-1.5271631E-4,-0.0
