"t","x","y","z"
3.126121000E-2,-9.816226959E-1,2.341529369E0,9.757569313E0
5.291396000E-2,-9.050082564E-1,2.296039343E0,9.902418137E0
6.886633500E-2,-8.307880163E-1,2.178723574E0,1.000177765E1
8.180052200E-2,-8.535329103E-1,2.098517895E0,1.008198357E1
9.321561600E-2,-9.528923035E-1,2.085349798E0,1.019451046E1
1.038536630E-1,-1.071405292E0,2.104503393E0,1.025436592E1
1.141881860E-1,-1.097741485E0,2.054224968E0,1.015740108E1
1.244114480E-1,-1.110909581E0,1.971625090E0,1.005564690E1
1.344465790E-1,-9.217676520E-1,1.930923700E0,9.968258858E0
1.445196440E-1,-7.015010715E-1,2.001552582E0,9.603142738E0
1.545501770E-1,-8.200140595E-1,2.044648170E0,9.380482674E0
1.646199430E-1,-1.078587890E0,2.061407566E0,9.382876396E0
1.746263260E-1,-1.306037068E0,2.021903276E0,9.379284859E0
1.845620180E-1,-1.321599364E0,1.981201887E0,9.227252960E0
1.946028640E-1,-1.222239971E0,1.977610588E0,9.125499725E0
2.045472870E-1,-1.162384868E0,2.043451071E0,9.193734169E0
2.147114980E-1,-1.136048675E0,2.094926596E0,9.258378029E0
2.247951040E-1,-1.289277673E0,2.249352455E0,9.309853554E0
2.348104070E-1,-1.297657371E0,2.303221941E0,9.415198326E0
2.447180580E-1,-1.261744261E0,2.199074268E0,9.245209694E0
2.547123840E-1,-9.947907925E-1,2.014720678E0,9.038111687E0
2.646180470E-1,-5.865794420E-1,1.816002011E0,9.113529205E0
2.746608780E-1,-4.608838260E-1,1.614889026E0,9.416395187E0
2.846477940E-1,-5.075707436E-1,1.478419542E0,9.782708168E0
2.945892520E-1,-4.944026470E-1,1.407790542E0,1.010592556E1
3.045559810E-1,-6.248866320E-1,1.513135433E0,1.023880386E1
3.145283450E-1,-8.762778044E-1,1.698686123E0,1.019091988E1
3.245235270E-1,-9.552865028E-1,1.875856996E0,9.955090523E0
3.345841180E-1,-8.487445116E-1,1.975216389E0,9.777919769E0
3.445439140E-1,-6.859387755E-1,1.966836691E0,9.759963036E0
3.545773120E-1,-6.296750307E-1,1.914164305E0,9.832986832E0
3.645590110E-1,-7.302315235E-1,1.883039594E0,9.909601212E0
3.745748600E-1,-9.145850539E-1,1.942894697E0,9.925163269E0
3.845767850E-1,-9.540894032E-1,2.008735180E0,9.812635422E0
3.946982470E-1,-8.236053586E-1,2.015917778E0,9.691728592E0
4.046244780E-1,-7.134721279E-1,2.021903276E0,9.561244011E0
4.145990940E-1,-6.943184733E-1,2.021903276E0,9.542090416E0
4.246089020E-1,-7.314286232E-1,2.017114878E0,9.640253067E0
4.347253060E-1,-7.613561153E-1,2.008735180E0,9.712079048E0
4.446090080E-1,-7.721300721E-1,2.012326479E0,9.692925453E0
4.545593590E-1,-7.673416734E-1,1.987187386E0,9.685743332E0
4.645795340E-1,-7.290344238E-1,1.959654093E0,9.674968719E0
4.746046220E-1,-7.529764175E-1,1.950077295E0,9.624691010E0
4.845481660E-1,-7.074866295E-1,1.975216389E0,9.502586365E0
4.945169380E-1,-6.200982332E-1,2.007538080E0,9.528923035E0
5.045283240E-1,-6.859387755E-1,1.980004787E0,9.761159897E0
5.145990170E-1,-7.948749661E-1,2.053027868E0,1.000536919E1
5.247393630E-1,-9.074024558E-1,2.135627985E0,9.917980194E0
5.346975360E-1,-6.811503768E-1,2.118868589E0,9.659406662E0
5.446456230E-1,-5.494692922E-1,2.309207439E0,9.530119896E0
5.546901660E-1,-6.967126727E-1,2.255337954E0,9.472659111E0
5.646109380E-1,-7.793126702E-1,2.093729496E0,9.625887871E0
5.745643240E-1,-6.727706790E-1,1.960851192E0,9.724050522E0
5.845300170E-1,-4.309563041E-1,1.793257117E0,9.676166534E0
5.945198630E-1,-2.873041928E-1,1.528697729E0,9.685743332E0
6.045387860E-1,-1.532289088E-1,1.291671872E0,9.708487511E0
6.145362480E-1,-1.400607973E-1,1.164779186E0,9.889249802E0
6.246104790E-1,-9.576806799E-3,1.221042871E0,1.021725559E1
6.345710940E-1,6.224924326E-2,1.057040095E0,1.035013390E1
6.445409020E-1,-2.298433632E-1,7.661445141E-1,1.025556278E1
6.545348060E-1,-6.727706790E-1,6.033388376E-1,1.004966164E1
6.645222580E-1,-1.218648672E0,7.410054207E-1,9.946710587E0
6.745194840E-1,-1.942894697E0,1.098938584E0,9.904812813E0
6.845095970E-1,-2.410961151E0,1.098938584E0,9.549273491E0
6.945801530E-1,-3.289633036E0,1.435323954E0,9.616311073E0
7.045379310E-1,-3.640383720E0,1.990778685E0,9.762357712E0
7.145303200E-1,-3.630806923E0,2.308010340E0,9.915586472E0
7.245245150E-1,-3.215412855E0,2.304419041E0,9.988609314E0
7.346631120E-1,-2.664746523E0,2.025494576E0,9.861717224E0
