t,x,y,z
8.001622954,-9.751583099,-0.05506663769,1.307234168
8.011301954,-9.744400978,-0.04908113554,1.292868972
8.021266954,-9.733627319,-0.0359130241,1.29885447
8.031689954,-9.747992516,-0.01197100803,1.320402265
8.041349954,-9.743204117,0.01556231081,1.333570361
8.051417954,-9.740809441,0.02633621916,1.322796464
8.061334954,-9.713275909,0.01795651205,1.307234168
8.071263954,-9.719262123,-0.05147533491,1.291671872
8.081404954,-9.733627319,-0.09097966552,1.290474772
8.091611954,-9.740809441,-0.1161187813,1.283292055
8.101277954,-9.751583099,-0.1328781992,1.303642869
8.111286954,-9.752780914,-0.1352723986,1.288080573
8.121540954,-9.740809441,-0.1292868853,1.290474772
8.131360954,-9.740809441,-0.1149216816,1.280897856
8.141307954,-9.713275909,-0.09576806426,1.276109457
8.151278954,-9.703699112,-0.07781155407,1.255758762
8.161360954,-9.690531731,-0.07302315533,1.252167463
8.171851954,-9.691728592,-0.06464344263,1.233013868
8.181477954,-9.684545517,-0.07302315533,1.221042871
8.191309954,-9.682151794,-0.07422025502,1.233013868
8.201351954,-9.680954933,-0.08499415964,1.207874775
8.211299954,-9.692925453,-0.0921767652,1.18991828
8.221284954,-9.736021042,-0.1017535701,1.176750183
8.231319954,-9.755174637,-0.07781155407,1.158793569
8.241341954,-9.740809441,-0.0191536136,1.15280807
8.251473954,-9.743204117,0.02394201607,1.132457376
8.261341954,-9.786299706,0.03711012751,1.072602391
8.271303954,-9.842563629,0.05985504389,1.001973391
8.281435954,-9.859322548,0.07062894851,0.9983820915
8.291477954,-9.85573101,0.0718260482,1.012747288
8.301369954,-9.853337288,0.07900865376,1.029506683
8.311304954,-9.841365814,0.09935937077,1.051054597
8.321304954,-9.84376049,0.117315881,1.103726983
8.331354954,-9.803058624,0.1580173075,1.169567585
8.341320954,-9.709685326,0.2130839527,1.268926859
8.351337954,-9.617507935,0.282515794,1.341950059
8.361282954,-9.491812706,0.3351882398,1.407790542
8.371272954,-9.427168846,0.3280056417,1.465251446
8.381414954,-9.402029991,0.2908954918,1.484405041
8.391412954,-9.391256332,0.2573766708,1.466448545
8.401329954,-9.373299599,0.2669534981,1.425747156
8.411338954,-9.3685112,0.312443316,1.361103654
8.421479954,-9.386467934,0.3842693865,1.258152962
8.431349954,-9.481039047,0.4189853072,1.101332784
8.441306954,-9.702502251,0.3890577853,0.8834604025
8.451366954,-10.01614285,0.2873041928,0.717063427
8.461378954,-10.30943298,0.1352723986,0.7050924301
8.471315954,-10.51892471,-0.04189852998,0.7194576263
8.481287954,-10.59434223,-0.1532289088,0.7266402245
8.491561954,-10.4638586,-0.1616086215,0.9145850539
8.501467954,-10.1143055,-0.004788403399,1.15520227
