"t","x","y","z"
8.318071000E-2,-1.991420686E-1,-4.734205548E-3,1.015563458E-1
9.322571000E-2,-1.484402567E-1,2.397646010E-2,6.979135424E-2
1.030887100E-1,-9.040805697E-2,3.130684420E-2,3.619376570E-2
1.132257100E-1,-3.481931984E-2,3.802636266E-2,2.275473066E-2
1.231057100E-1,1.466076635E-2,4.291328415E-2,2.336559631E-2
1.330897100E-1,5.070181563E-2,3.252857551E-2,2.580905706E-2
1.432617100E-1,7.024950534E-2,3.252857551E-2,2.580905706E-2
1.530767100E-1,7.513642311E-2,5.513058975E-2,3.817907767E-3
1.631617100E-1,5.864306539E-2,3.802636266E-2,-2.733621933E-2
1.730607100E-1,3.787364438E-2,-1.679879380E-3,-3.772092983E-2
1.831257100E-1,1.832595654E-2,-3.833179548E-2,-2.122756653E-2
1.930567100E-1,-4.276056774E-3,-6.826419383E-2,6.872233935E-3
2.031107100E-1,-3.359758854E-2,-9.819658846E-2,3.069597855E-2
2.130727100E-1,-6.352998316E-2,-1.183551401E-1,4.780020565E-2
2.235127100E-1,-8.674286306E-2,-1.336267740E-1,6.001751125E-2
2.335027100E-1,-1.026253626E-1,-1.458440721E-1,8.017606288E-2
2.431007100E-1,-1.197295859E-1,-1.379028261E-1,1.229366288E-1
2.534547100E-1,-1.337794960E-1,-1.055269688E-1,1.595885456E-1
2.632677100E-1,-1.637118906E-1,-1.079704314E-1,1.889100820E-1
2.732437100E-1,-1.991420686E-1,-1.159116775E-1,2.011273801E-1
2.832817100E-1,-2.229658216E-1,-1.061378345E-1,1.779145002E-1
2.930807100E-1,-2.180788964E-1,-1.207986027E-1,1.272126883E-1
3.033087100E-1,-1.832595766E-1,-1.586722434E-1,6.429356337E-2
3.131757100E-1,-1.288925707E-1,-1.769981980E-1,8.704829961E-3
3.230877100E-1,-6.475171447E-2,-1.733330190E-1,-1.572977938E-2
3.332357100E-1,-1.343903504E-2,-1.507309973E-1,1.374446787E-3
3.430617100E-1,5.497787148E-3,-1.214094684E-1,3.436116874E-2
