t,x,y,z
0.075642988,-0.1110247597,-0.09980010986,-0.2868776023
0.085637988,0.07223481685,-0.1272890419,-0.2874884605
0.097046988,0.09178250283,-0.1144608781,-0.2697733641
0.105429988,0.1088867337,-0.07964155823,-0.2642755806
0.115532988,0.1241583601,-0.04726569727,-0.2783254683
0.125464988,0.1504255682,-0.05398521572,-0.2624429762
0.135572988,0.1687515229,-0.04787656292,-0.2911536396
0.145532988,0.1760819107,-0.03199406713,-0.3265838325
0.155523988,0.1791362315,-0.05093089119,-0.3290272951
0.165512988,0.1766927689,-0.09308059514,-0.3369685411
0.175567988,0.1583668143,-0.1248455867,-0.3540727794
0.185530988,0.1320996135,-0.1480584592,-0.3583488166
0.195720988,0.1046106741,-0.1706604809,-0.3485749662
0.205625988,0.07834346592,-0.1773799956,-0.3430771828
0.215438988,0.06123924255,-0.1731039435,-0.3375793993
0.225508988,0.05146539584,-0.1639409661,-0.3259729743
0.235620988,0.05207626149,-0.1590540409,-0.3070361316
0.245780988,0.06368270516,-0.1511127949,-0.2856558561
0.255679988,0.06918048859,-0.1291216463,-0.2832123935
0.265712988,0.0728456825,-0.1144608781,-0.2862667143
0.275518988,0.07956519723,-0.1126282811,-0.2893210649
0.285624988,0.08200865984,-0.1114065498,-0.292986244
0.295718988,0.07101308554,-0.09735664725,-0.2917645276
0.305526988,0.04963280261,-0.08330674469,-0.2813797891
0.315479988,0.02458732575,-0.07047858089,-0.2661081851
0.325543988,0.002596177394,-0.06436992437,-0.2526691258
0.335491988,-0.01756237634,-0.06864598393,-0.2386192381
0.345606988,-0.03283400834,-0.07964155823,-0.2233476043
0.355479988,-0.04260785133,-0.07536549866,-0.2135737687
0.365565988,-0.04444044828,-0.06009386852,-0.2062433809
0.375495988,-0.04260785133,-0.05398521572,-0.1995238662
0.385900988,-0.03222314268,-0.06436992437,-0.1921934783
0.395447988,-0.02367102914,-0.08208502084,-0.1879174262
0.405709988,-0.02794708498,-0.1016327068,-0.183030501
0.415697988,-0.04321871698,-0.1217912585,-0.1787544489
0.425664988,-0.06276640296,-0.1456149966,-0.1775327176
0.435730988,-0.08109235764,-0.1779908538,-0.175089255
0.445564988,-0.09025534242,-0.2219731659,-0.1763109863
0.455569988,-0.08597928286,-0.2800053656,-0.1873065531
0.465654988,-0.08231408894,-0.3398701549,-0.2092977017
0.475610988,-0.1012509167,-0.3771329224,-0.230067119
0.485622988,-0.1293507218,-0.4235586822,-0.2679407597
0.495466988,-0.1488984078,-0.4968625307,-0.2990948856
0.505469988,-0.1696678251,-0.568333745,-0.3107013404
0.515747988,-0.2057088763,-0.6220899224,-0.3107013404
0.525497988,-0.2472477108,-0.6935611367,-0.30092749
0.535532988,-0.2814561725,-0.7809148431,-0.2746602893
0.545541988,-0.3040581644,-0.8584947586,-0.2349540442
0.555435988,-0.315053761,-0.8896488547,-0.1958586723
0.565639988,-0.315053761,-0.9269116521,-0.1622610837
0.575460988,-0.307112515,-0.9788352251,-0.1335504204
0.585658988,-0.306501627,-1.001437187,-0.1115592644
0.595468988,-0.3089450896,-1.011211038,-0.09934195876
0.605458988,-0.2979495227,-1.010600209,-0.1005636901
0.615493988,-0.2576324046,-0.9934959412,-0.114002727
0.625663988,-0.1861611903,-0.9531788826,-0.1274417639
0.635423988,-0.09392052889,-0.8902597427,-0.1390482038
0.645509988,0.005650503561,-0.7961865067,-0.1451568604
0.655779988,0.1101084575,-0.671570003,-0.1329395473
0.665708988,0.2102903575,-0.5426774025,-0.09689849615
0.675706988,0.322689563,-0.43088907,-0.08040513843
0.685900988,0.4332561791,-0.3777438104,-0.07612907887
0.695550988,0.5212207437,-0.3453679383,-0.08407033235
0.705899988,0.5902485251,-0.3294854462,-0.1127809957
0.715653988,0.653778553,-0.3270419836,-0.1659262776
0.725592988,0.6953173876,-0.3337614834,-0.2386192381
0.735771988,0.660498023,-0.3875176311,-0.3693444133
0.745566988,0.6049093008,-0.4333325326,-0.4023311138
0.755651988,0.5462662578,-0.5005277395,-0.3998876512
0.765529988,0.4900666475,-0.5243514776,-0.3675118089
0.775667988,0.4424191415,-0.4748713672,-0.3247512281
0.785740988,0.4063780904,-0.3789655268,-0.2819906771
0.795484988,0.3788891733,-0.281227082,-0.2404518276
0.805432988,0.3495676219,-0.2201405615,-0.1995238662
0.815541988,0.3251330256,-0.2225840241,-0.1970804036
0.825413988,0.3135266006,-0.3136029541,-0.234343186
0.835485988,0.2994766831,-0.5072472095,-0.2795472145
0.845539988,0.2842050493,-0.7076110244,-0.2880993187
0.855598988,0.2658790946,-0.851775229,-0.2740494311
0.865454988,0.2078468949,-0.902477026,-0.2697733641
0.875480988,0.1363756657,-0.8059603572,-0.2783254683
0.885481988,0.0960585624,-0.5616142154,-0.2893210649
0.895427988,0.0972802937,-0.2561815977,-0.292986244
0.905506988,0.1027780771,0.008933904581,-0.2691625059
0.915614988,0.06856962293,0.1689805984,-0.2013564557
0.925576988,-0.01145372353,0.2007455975,-0.1030071527
0.935441988,-0.1159116775,0.1152244583,0.01183551457
0.945524988,-0.2215913683,-0.01244637929,0.1248455867
0.955466988,-0.306501627,-0.08086328954,0.218307972
0.965846988,-0.357814312,-0.07108944654,0.2964987159
0.975956988,-0.3706424832,-0.02038762718,0.3380375504
0.985592988,-0.357814312,0.04130976275,0.3447570801
0.995565988,-0.3364340365,0.1860848218,0.3349832296
1.005722988,-0.3284927905,0.3290272951,0.3191007376
1.015494988,-0.3388774991,0.3681226671,0.3056617081
1.025473988,-0.3608686328,0.3882812262,0.2922226489
1.035623988,-0.3798054755,0.4102723598,0.2830596864
1.045638988,-0.4085161388,0.4554764032,0.2928335369
1.055663988,-0.4219551682,0.4750240743,0.3252093792
1.065484988,-0.4292855561,0.458530724,0.3643047512
1.075460988,-0.4366159439,0.4163810313,0.4058435857
1.085404988,-0.4598288238,0.2813797891,0.4589888752
1.095503988,-0.5215262175,0.1011745557,0.5310709476
1.105532988,-0.6180428863,-0.07719809562,0.6318637133
1.115540988,-0.7243334651,-0.1963168234,0.7515933514
1.125487988,-0.8251262307,-0.3032182455,0.8884271383
1.135593988,-0.8904888034,-0.4278347492,1.039921761
1.145467988,-0.9246972799,-0.5420665741,1.198746681
1.155447988,-0.9613491893,-0.6263659596,1.360015154
1.165559988,-1.004720569,-0.6770677567,1.521283507
1.175460988,-1.030987859,-0.6935611367,1.678886771
1.185401988,-1.008996725,-0.6508005857,1.807168484
1.195460988,-0.9564622641,-0.6074291468,1.909182906
1.205387988,-0.8935431242,-0.5964335799,1.986762881
1.215622988,-0.8403978348,-0.5646685362,2.057623148
1.225566988,-0.795193851,-0.4760931134,2.137035608
1.235496988,-0.7328855991,-0.4180608988,2.190791845
1.245731988,-0.6565274,-0.4498258829,2.174298525
1.255422988,-0.5496259928,-0.5976552963,2.119931459
1.265475988,-0.4390594065,-0.7039458156,2.042962551
1.275390988,-0.3773620129,-0.7784714103,1.938504457
1.285401988,-0.3743076921,-0.9067531228,1.835268259
1.295533988,-0.4152356386,-1.058858514,1.761353612
1.305571988,-0.4787656367,-1.155986071,1.725923419
1.315471988,-0.562454164,-1.171257734,1.71553874
1.325541988,-0.6430884004,-1.180420756,1.70576489
1.335651988,-0.6986771226,-1.205466151,1.663615108
1.345468988,-0.7212791443,-1.273883104,1.57015276
1.355430988,-0.7365507483,-1.35146296,1.457753539
1.365568988,-0.7573201656,-1.371621609,1.370399833
1.375611988,-0.7542658448,-1.394223571,1.329471827
1.385406988,-0.7163922191,-1.421101689,1.330693603
1.395435988,-0.5765040517,-1.389336586,1.327028394
1.405505988,-0.4024074674,-1.389336586,1.323974013
1.415645988,-0.25579983,-1.331915259,1.276937485
1.425567988,-0.1171334088,-1.191416264,1.178588152
1.435419988,0.02641992271,-1.064967155,1.054582477
1.445484988,0.1302670091,-0.9641744494,0.8957574964
1.455594988,0.1785253733,-0.859105587,0.7124979496
1.465667988,0.2151772827,-0.7625889182,0.576274991
1.475608988,0.2750420868,-0.7338782549,0.5103015304
1.485834988,0.3257438838,-0.7454846501,0.3349832296
1.495419988,0.3257438838,-0.7748062015,0.1236238554
1.505757988,0.04169155285,-0.6538549066,-0.07796167582
1.515567988,0.05146539584,-0.5396230817,-0.1414916664
1.525700988,0.06795875728,-0.4327216744,-0.09934195876
1.535686988,0.165086329,-0.3472005427,-0.005268712528
1.545526988,0.2695443034,-0.4693735838,0.1535562575
1.555549988,0.4137084782,-0.9324094653,0.4950299263
1.565591988,0.6586654782,-1.118723392,0.6825655699
1.575409988,0.7814493775,-0.9989937544,0.6825655699
1.585664988,0.7667886019,-0.5151884556,0.5402339697
