time,x,y,z
486,-0.007560768,-0.0068543795,0.018982887
549,0.00767372,-0.0016703531,7.238388E-4
616,0.006686914,-0.007290866,0.010674477
683,0.012188032,-0.0016257837,0.06313038
749,0.0022239648,-0.017022211,-0.0030183792
815,-0.002382209,0.0034049302,0.08624077
881,0.010757201,-0.004937295,-0.003862381
946,-0.004429538,7.103421E-4,0.036623
1013,0.0062692054,-0.004626693,0.00467968
1080,0.0044124397,-0.0055317525,0.021457672
1145,-0.006777464,-0.0105618425,0.0113248825
1212,0.0070655597,-0.009726962,0.01824665
1278,-0.004954204,-0.006122092,0.02702713
1344,0.010608969,-0.008494839,0.010759354
1411,-0.004553697,-0.0072273184,0.017328262
1478,0.006882624,-0.012264423,0.015371323
1541,-0.002183457,-0.0047664978,0.017424583
1606,-0.0015475089,-0.0054421946,-0.0021781921
1673,0.0018056985,-0.0061571654,0.019015312
1740,-0.003325373,-0.008240817,0.010586739
1806,0.0021398133,-0.008432059,0.022079468
1871,-0.0018666573,6.770119E-4,0.01517868
1937,0.004025626,-0.0063675325,0.014087677
2004,-0.0037714625,-0.004298495,0.007537842
2074,-3.7620869E-4,-0.005139813,0.018145561
2137,0.0021663634,-0.0047931094,0.010170937
2201,-0.001147748,-0.0035824515,0.017930984
2267,0.0049321773,-0.006710861,0.011130333
2333,-0.006161049,-0.003674183,0.006969452
2401,0.0028575007,-0.0010362994,0.020097733
2469,5.265027E-4,-0.0056441315,0.035614967
2533,-0.0071360683,-0.0018565524,-0.0017156601
2598,1.8151104E-4,-0.0014229268,0.014326096
2664,-8.3230436E-4,-3.2930076E-4,0.009221077
2729,-0.0033315886,-1.9975007E-4,0.010556221
2796,-0.0018394291,9.458028E-4,0.028525352
2861,0.00158678,-0.0016120374,0.02240467
2929,-0.0034582615,0.0023278221,0.0056533813
2994,5.251821E-4,0.0025918111,0.009313583
3108,-0.0055347537,-0.005717285,0.01558876
3191,-0.001621318,-3.7634373E-4,0.010998726
3256,-0.005000679,0.0022725165,0.016180038
3323,2.1630246E-4,0.003049586,0.018011093
3388,-8.1584416E-4,0.0015174989,0.013964653
3455,4.2522978E-4,0.001178991,0.016471863
3521,-0.0012786957,0.0028836168,0.01484108
3586,-0.002256142,0.0038220063,0.014638901
3652,-0.0031409534,0.0050925855,0.014707565
3719,-0.0021455334,0.006130904,0.017770767
3785,1.8497929E-4,0.0034669042,0.014679909
3851,-0.0034759566,0.0050153956,0.020159721
3918,-0.0029278016,0.0015856307,0.019195557
3983,-0.0034492156,0.0069541447,0.018882751
4047,-0.004737936,0.0031507965,0.01860714
4115,0.0028089313,0.004596118,0.016685486
4181,-0.003934698,0.006113002,0.020090103
4247,5.7558063E-4,0.0041075237,0.017429352
4314,-0.0037464797,0.0057271477,0.016612053
4380,0.0010688836,0.0045064334,0.012914658
4446,-0.0018822281,0.008645982,0.01779747
4512,-0.0034524603,0.010859244,0.01617527
4574,-4.903786E-5,0.008407015,0.018490791
4643,-0.002751967,0.014607387,0.0156059265
4709,9.287866E-4,0.010901606,0.019093513
4774,-0.006259532,0.009553349,0.018548012
4841,4.171664E-4,0.010734772,0.015101433
4907,-0.013831568,0.011802722,0.015222549
4974,0.017742474,0.006247148,0.018931389
5040,-0.021056715,0.022147067,0.021502495
5105,0.01406287,0.007451104,0.01717186
5171,-0.012865706,0.014313674,0.019223213
5238,0.0012239041,0.019709276,0.023425102
5302,0.006945206,0.009320851,0.017385483
5369,-0.010947129,0.015043218,0.02141571
5435,0.0145536,0.012531089,0.019870758
5498,-0.015802246,0.018894006,0.021129608
5567,0.013389798,0.017868778,0.023638725
5633,-0.00825496,0.020726308,0.01930523
5698,0.0010691164,0.016385537,0.020277977
5765,0.001500952,0.01786941,0.024776459
5831,-0.009799806,0.018720929,0.023405075
5895,0.014875345,0.01567769,0.023244858
5962,-0.01246822,0.025162648,0.02377224
6028,0.011488445,0.017661732,0.022414207
6093,-0.0059842668,0.025015503,0.022511482
6161,6.7808665E-5,0.020358762,0.021596909
6226,0.00580497,0.01866109,0.022535324
6291,-0.0119851455,0.024476437,0.022940636
6357,0.010057889,0.017174922,0.019061089
6424,-0.014348317,0.019794103,0.024065971
6490,0.009812921,0.015611884,0.021749496
