time,x,y,z
117,5.007833E-4,-2.0861626E-5,0.023522377
218,0.002799265,-0.009075403,-0.04237461
233,0.00439699,-4.0739775E-5,0.0066509247
294,-0.016164646,-0.01280123,0.0197649
352,0.010921441,6.530881E-4,0.034078598
412,-0.002924472,-0.0051579177,0.042408943
471,0.005013041,-0.006060809,0.0423584
531,-0.0075261667,-0.005760908,0.03272915
592,-0.004612699,0.00170362,0.041057587
652,-0.002663672,-5.288422E-4,0.057769775
712,-0.00203228,0.0093379915,0.039762497
771,-0.003438875,5.1677227E-5,0.039714813
831,0.002224341,0.009686589,0.028899193
891,-0.008995153,0.00614208,0.05399704
967,-0.0023768097,3.259778E-4,0.04676819
1013,0.0067512617,0.013781428,0.047916412
1073,-0.011274368,0.018621057,0.045484543
1134,0.00857798,0.017296076,0.045448303
1194,-0.025185056,0.012329966,0.062174797
1254,0.0093738735,0.017233253,0.03826332
1314,-0.017691486,0.0032226741,0.0035772324
1375,-0.00445731,0.0153692365,0.046704292
1434,0.0018544942,0.013415813,0.0527153
1493,0.0028586313,0.015890926,0.035987854
1553,-0.004347399,0.011306673,0.039608955
1613,-9.3236566E-4,0.0043776333,0.055199623
1673,-0.004815556,0.008466482,0.056415558
1738,-0.0070537403,0.018322676,0.055247307
1795,-0.0022002384,0.004340142,0.05407524
1853,0.0022892803,-0.002473414,0.05409813
1916,-0.0062653944,0.002813071,0.03975296
1974,-0.003089264,0.009170711,0.045762062
2034,-0.006146729,0.006908983,0.06973171
2093,-0.008599073,0.007520944,0.04939747
2159,0.005827144,-0.0015583634,0.051815033
2214,-0.009552427,-0.0047757924,0.065011024
2277,9.2121214E-4,-0.0017704368,0.050661087
2334,0.0020019263,-0.0011849403,0.044692993
2397,-0.0038331524,0.009020656,0.055487633
2454,-0.001279138,0.0037869513,0.043531418
2513,-4.696101E-5,-0.0016893148,0.04115963
2573,-0.0073176622,-0.0021375716,0.05194664
2634,-0.008358896,8.826554E-4,0.043585777
2697,-0.0072462037,-0.006866485,0.06515217
2754,-0.005050361,-0.0064726174,0.049612045
2818,0.0020474046,-0.0059654415,0.04364872
2875,-0.015315734,-0.0039776266,0.04366684
2934,0.0014744401,-0.008137137,0.04847336
2994,0.0024719909,-0.008982956,0.04011917
3056,0.0036799312,-0.0074213147,0.04972267
3114,0.0024757236,-0.009392917,0.053339005
3174,-0.0020420179,-0.0039759576,0.048571587
3238,0.006367184,-0.0021476746,0.048589706
3294,-0.004370667,-0.0098980665,0.04980564
3359,-6.2475353E-4,-7.703006E-4,0.049821854
3414,-0.0045088157,-0.010691434,0.045042038
3475,-0.013770841,-0.011883587,0.0402565
3534,0.0017784983,-0.005344242,0.042672157
3594,-0.010056645,-0.01265496,0.054647446
3653,-0.005017467,-0.017659545,0.05346012
3714,-3.0647218E-4,-0.013049334,0.04149437
3773,-0.011003241,-0.015343636,0.052265167
3833,0.005630769,-0.021307617,0.05226326
3894,8.2027167E-4,-0.010665715,0.03670597
3954,-0.00747896,-0.014236659,0.045084953
4016,7.882789E-4,-0.01656425,0.052264214
4077,8.8483095E-4,-0.011753857,0.046278954
4134,-0.0076277778,-0.017710268,0.040290833
4193,0.0028929263,-0.010817021,0.047481537
4254,0.0015370026,-0.013326466,0.05706024
4314,-0.002059117,-0.014657557,0.060656548
4376,-0.0010912493,-0.009860039,0.054668427
4433,0.0012800395,-0.004252255,0.05109024
4496,-0.0034811571,-0.011972994,0.031954765
4557,-0.0025311634,-0.02156946,0.035544395
4613,-0.00937707,-0.01435855,0.05110836
4675,-0.009133443,-0.015769124,0.05231476
4736,-0.0088912025,-0.025139809,0.04752159
4793,5.6670606E-4,-0.0116532445,0.053495407
4854,-0.017100394,-0.016413629,0.049904823
4914,-0.0097546205,-0.01731497,0.04630661
4975,-0.007263072,-0.01700589,0.05228138
5033,0.0011188164,-0.013461113,0.039114952
5096,-0.0057552904,-0.021706134,0.034324646
5153,-6.194413E-5,-0.0031175613,0.048706055
5214,-0.008383974,-0.012830704,0.0415287
5274,-0.0038224906,-0.01077646,0.057100296
5337,-0.0074210092,-0.020482242,0.058300972
5396,-1.206249E-4,-0.010963619,0.059500694
5456,-0.009664923,-0.00561741,0.03797531
5516,-9.808689E-5,-0.01908353,0.029604912
5573,-0.00594382,-0.008719444,0.039196968
5633,-0.0012297779,-0.01137352,0.038007736
5693,-0.0082015395,-0.025428414,0.055955887
5755,-0.008218452,-0.013598204,0.057157516
5813,-0.0042951554,-0.021866947,0.045184135
5874,-0.006521672,-0.008866817,0.04758644
5933,-0.008825697,-0.017464489,0.05357933
5993,-0.006142989,-0.011571735,0.045205116
6053,0.00594078,-0.022540003,0.045211792
6113,-0.017406233,-0.021306396,0.044018745
6174,0.006660141,-0.010748953,0.055998802
6234,-0.0041467845,-0.02362287,0.05000305
6293,0.003118746,-0.02431491,0.052381516
6353,-0.0075434,-0.014837772,0.05358219
6413,-0.010929853,-0.022742271,0.045188904
6473,-0.0012369454,-0.0074604154,0.04280567
6533,-0.003541112,-0.010099143,0.049996376
6593,2.2311509E-4,-0.02554825,0.03083992
6653,-0.0032199845,0.0011567175,0.047628403
6713,0.0053325742,-0.013899535,0.04166794
6773,-0.0040647537,-0.015099198,0.039274216
6833,-0.0025601313,-0.010938555,0.057255745
6897,9.334907E-4,-0.020758212,0.058459282
6956,-0.009847902,-0.021762192,0.048876762
7013,-0.0035834312,-0.014630675,0.041697502
7075,-1.4896691E-4,-0.01716119,0.047686577
7138,-0.0037496462,-0.011262476,0.04290104
7193,-0.0072476044,-0.023189515,0.058462143
7257,0.003323488,-0.011630744,0.039320946
7313,0.008004464,-0.01998505,0.041713715
7376,-0.005349107,-0.016259313,0.042904854
7435,0.0075224712,-0.005951911,0.051297188
7496,-0.0019346252,-0.019207984,0.038132668
7556,0.008432053,-0.02844736,0.044103622
7617,-1.3402104E-4,-0.018770456,0.05128193
7674,0.0033081323,-0.0035651922,0.044109344
7733,-0.011940412,-0.021523625,0.033338547
7793,-0.0033808872,-0.021483958,0.050097466
7853,0.0013928339,-0.014258653,0.064460754
7913,0.0037995875,-0.021368831,0.046503067
7975,-0.0031614378,-0.015253991,0.051288605
8033,-0.0027201995,-2.4136901E-4,0.02018547
8095,-0.011809014,-0.01621595,0.06329918
8155,0.007955253,-0.027468503,0.041773796
8213,0.00420475,-0.015368074,0.011890411
8274,0.005352348,-0.004236281,0.08973026
8335,-0.0097955465,-0.02671349,0.041841507
8393,0.008138172,-0.012388438,0.04423523
8454,-0.007542886,-0.0055237412,0.051428795
8515,-0.009650759,-0.022230178,0.041851997
8573,-0.0034327134,-0.018517226,0.04783535
8633,0.0073589534,-0.015077174,0.038264275
8695,9.0025365E-5,-0.025579035,0.040647507
8755,0.0010774657,-0.015087724,0.045443535
8815,0.00834199,-0.0055110455,0.059809685
8876,-0.010758787,-0.01964739,0.052620888
8933,0.0072214603,-0.01013267,0.056214333
8993,0.005944729,-0.020607322,0.051415443
9055,-0.01312422,-0.0143533945,0.046619415
9117,-0.006835915,-0.023958296,0.04542446
9175,-0.0019762814,-0.017920315,0.044225693
9237,0.0028772429,-0.022324353,0.04541111
9295,-0.007879093,-0.024197876,0.029831886
9353,0.001658,-0.022608966,0.046577454
9413,-0.011555202,-0.022172093,0.04776001
9473,0.0014805123,-0.013513505,0.045354843
9536,1.019761E-4,-0.015731841,0.05372715
9593,0.006019421,-0.01793623,0.05731201
9653,0.0043729693,-0.016845405,0.038157463
9714,-0.0076117367,-0.0154188275,0.050120354
9775,-0.0041459203,-0.012751281,0.039336205
9833,-0.0064624622,-0.019536793,0.040520668
9893,0.006337069,-0.017466575,0.05728817
9952,2.3245066E-4,-0.011506289,0.047711372
10012,-0.0034211725,-0.0071790814,0.06328869
10072,-2.2687018E-5,-0.00983277,0.051324844
10132,-0.003626816,-0.020547003,0.038154602
10192,0.0022721812,-0.0064795017,0.034571648
10253,-3.2947958E-4,-0.0229944,0.052518845
10312,-0.00527294,-0.0055036545,0.046546936
10374,-0.0053548887,-0.022130698,0.060907364
10433,0.013675861,-0.022601157,0.05848694
10493,-0.014500342,-0.009320825,0.04532051
10555,-0.006837003,-0.01792562,0.04772663
10612,0.0051683336,-0.02263257,0.045329094
10677,-0.0018269271,-0.018827498,0.06447792
10734,-0.0048825145,-0.013795227,0.038059235
10792,-0.008786947,-0.0059498847,0.05360794
10853,0.005839996,-0.017036945,0.04883194
10915,2.3088604E-4,-0.019294113,0.050026894
10973,2.1383166E-5,-0.015066862,0.059620857
11034,9.960532E-4,-0.010792196,0.024920464
11093,0.0127174035,-0.006470561,0.04887581
11156,0.0032282993,-0.024785995,0.054873466
11216,-0.0088613555,-0.01776585,0.044103622
11272,-4.0774047E-4,-0.012083203,0.036932945
11336,0.0042771474,-0.006741315,0.038149834
11392,-0.0074783266,-0.00967896,0.046549797
11456,9.633973E-4,-0.012416095,0.056138992
11515,-0.0047574565,-0.030159026,0.051345825
11572,0.0010853112,-0.009840578,0.047754288
11635,-0.0071839243,-0.022726744,0.060913086
11695,0.0024735332,-0.01547426,0.0429554
11755,-0.0044476166,-0.013970435,0.04294777
11815,0.0062988624,-0.025494516,0.04412937
11873,-0.002131559,-0.0053416193,0.04652977
11934,0.0013999268,-0.017548203,0.0465374
11992,0.0047671795,-0.005754918,0.040555
12053,1.2250245E-4,-0.019179702,0.05612755
12112,0.017613165,-0.011164129,0.044164658
12172,-0.006413944,-0.010299623,0.056145668
12235,0.005519934,-0.018941104,0.035803795
12293,0.0032412857,-0.008510292,0.028634071
12354,-0.0042232424,-0.004517108,0.046614647
12415,0.0052397996,-0.020444363,0.04901886
12475,-0.009950802,-0.028636813,0.05141163
12536,0.007971272,-0.019047111,0.06577587
12595,-0.0026225671,-0.015880406,0.10649204
12656,-0.015373953,-0.009244442,0.05264473
12716,0.010840483,-0.023723722,0.043071747
12774,-0.012588665,-0.021287054,0.05025673
12835,0.004364334,-0.016521543,0.041880608
12895,-0.0025798976,-0.024420947,0.053836823
12955,0.02316413,-0.023973078,-0.0012512207
13014,-0.023502447,-0.021339327,0.08373642
13075,0.031005386,-0.017204523,0.03582859
13135,-0.03468559,-0.030601203,0.058543205
13192,0.024992697,-0.009914339,0.060923576
13254,-0.016832508,-0.027298093,0.06330013
13316,0.00944303,-0.02294439,0.029754639
13372,8.769855E-4,-0.001755476,0.06926918
13434,0.0018520653,-0.024671942,0.03934574
13493,0.09522202,-0.016211689,-1.0583868
13554,0.015512034,-0.03560385,0.042895317
13614,0.0101557,-0.004513055,0.11231041
13673,0.014223248,-0.02406764,-0.0086689
13736,0.022642836,-0.020852149,0.043966293
13795,0.0020837486,-0.013418406,0.06909466
13852,4.4647604E-4,-0.013393581,0.021205902
13914,0.0055094287,-0.0137141645,0.09903145
13973,0.019864395,-0.004668951,0.06552982
14035,4.824698E-4,-0.015084237,0.0535841
14096,0.0095752925,-0.021983653,0.060803413
14152,0.00196141,-8.201301E-4,0.022555351
14212,0.0019645616,-0.01115787,0.04173374
14273,0.0054641888,-0.022102773,0.05131626
14335,0.0053856447,-0.006594479,0.04413414
14394,7.9444796E-4,1.5753508E-4,0.039361954
14452,0.0044777617,-0.0018280149,0.036994934
14515,0.014106818,-0.011708856,0.04299164
14575,0.0044489726,-0.012918562,0.053764343
14635,4.8277527E-4,-0.013870627,0.045372963
14695,0.0022492558,0.0015383661,0.29671288
14755,7.9805404E-4,-0.022245795,0.022619247
14816,0.010395519,-0.007017076,0.0872345
14872,-0.0025642961,0.0029823482,0.0573349
14935,0.005585678,-0.014833331,0.035779953
14994,0.008781187,-0.00893721,0.054932594
15054,0.014460564,-0.005788505,-0.06476593
15115,0.0015809983,-0.01670289,0.054951668
15174,0.0012077242,-0.013237774,0.044178963
15235,-0.009472258,-0.027451575,0.06332779
15295,0.0036087781,-0.022230238,0.04415989
15355,0.0035991445,-0.01960966,0.04415226
15412,0.010512382,-0.0063830316,0.04893589
15473,-0.004062161,-0.029945672,0.034555435
15535,0.0030147284,-0.016575545,0.04771614
15594,-0.006521389,-0.016678095,0.06088829
15655,0.006477006,-0.030190796,0.06325245
15712,0.0038862526,-0.017816186,0.053660393
15775,-5.4307282E-5,-0.01766488,0.0572443
15834,-0.0024678856,-0.02131024,0.010559082
15893,0.00436604,-0.015502036,0.041686058
15954,7.919222E-4,-0.018099904,0.060847282
16016,-0.0029379278,-0.019316405,0.06204319
