t,p
0.25029886,989.0
0.43109386,989.0
0.61186786,989.125
0.79300086,989.125
0.97381386,989.125
1.15518986,989.125
1.33658086,989.125
1.51760486,989.0
1.69846286,989.0
1.87909386,989.125
2.06021186,989.0
2.24164286,989.25
2.42271986,989.125
2.60386286,989.0
2.78579186,989.0
2.96740886,989.25
3.14876386,989.375
3.32922486,989.25
3.50961986,989.125
3.69062386,989.0
3.87187686,989.125
4.05325486,989.125
4.23426086,989.125
4.41466086,989.0
4.59839786,989.125
4.77911286,989.25
4.95958286,989.125
5.14008886,989.125
5.32052686,989.125
5.50100686,989.125
5.68246686,989.125
5.86312886,989.125
6.04350186,989.125
6.22400786,989.125
6.40462286,989.125
6.58549786,989.125
6.76604786,989.125
6.94685086,989.125
7.12758486,989.125
7.30857986,989.125
7.48925086,989.125
7.67024886,989.0
7.85100686,989.125
8.03166686,989.125
8.21233586,989.125
8.39299686,989.125
8.57369486,989.125
8.75449286,989.125
8.93631486,989.125
9.11693086,989.125
9.29760686,989.125
9.47863086,989.125
9.65919386,989.125
9.83985386,989.125
10.02069586,989.125
10.20138886,989.125
10.38231086,989.125
10.56327486,989.125
10.74419386,989.125
10.92501886,989.125
11.10600686,989.0
11.28651586,989.125
11.46726086,989.125
11.64853986,989.125
11.82911386,989.125
12.00974986,989.125
12.19127286,989.125
12.37210986,989.125
12.55262586,989.125
12.73326586,989.125
12.91437386,989.125
13.09588286,989.125
13.27646586,989.125
13.45736986,989.125
13.63859286,989.125
13.81900286,989.125
14.00003286,989.125
14.18072286,989.125
14.36109186,989.125
14.54152886,989.125
14.72214486,989.125
14.90276686,989.0
15.08342986,989.125
15.26392386,989.125
15.44460286,989.125
15.62529686,989.125
15.80585686,989.125
15.98647086,989.125
16.16728386,989.0
16.34862886,989.125
16.52924086,989.125
16.70971786,989.125
16.89044286,989.125
17.07092386,989.125
17.25173786,989.125
17.43235286,989.125
17.61305486,989.125
17.79373086,989.125
17.97438986,989.125
18.15579986,989.125
18.33692386,989.125
18.51738486,989.125
18.69841386,989.125
18.87900586,989.125
19.05998986,989.125
19.24069986,989.125
19.42300486,989.125
19.60348286,989.125
19.78414686,989.125
19.96524686,989.125
20.14566086,989.125
20.32686186,989.125
20.50735186,989.125
20.68854686,989.25
20.86898586,989.125
21.04971886,989.125
21.23109886,989.25
21.41194686,989.25
21.59287786,989.25
21.77362086,989.125
21.95427986,989.25
22.13499486,989.25
22.31577186,989.25
22.49667886,989.25
22.67716186,989.25
22.85792686,989.25
23.03863386,989.25
23.21924486,989.25
23.40079986,989.25
23.58152686,989.25
23.76202086,989.25
23.94277286,989.25
24.12389586,989.25
24.30464686,989.25
24.49032386,989.25
24.67100786,989.25
24.85184686,989.25
25.03259286,989.25
25.21322286,989.25
25.39398486,989.25
25.57450286,989.25
25.75527786,989.25
25.93589886,989.25
26.11657086,989.25
26.29795186,989.25
26.47839286,989.25
26.65904386,989.25
26.83951786,989.25
27.02000986,989.25
27.20069786,989.375
27.38154486,989.25
27.56237286,989.25
27.74324386,989.25
27.92405786,989.375
28.10466686,989.375
28.28612086,989.375
28.46655386,989.375
28.64752486,989.375
28.82873586,989.375
29.00937186,989.375
29.19028286,989.375
29.37161486,989.375
29.55216286,989.375
29.73298286,989.375
29.91486386,989.375
30.09584886,989.375
30.27629886,989.375
