t,p
20.13108535,990.375
20.31148735,990.375
20.49215335,990.375
20.67267435,990.375
20.85307035,990.375
21.03347535,990.375
21.21439535,990.375
21.39478535,990.375
21.57521435,990.375
21.75561735,990.375
21.93602535,990.375
22.11649335,990.375
22.29688335,990.375
22.47736035,990.375
22.65771435,990.375
22.83811635,990.375
23.01849635,990.375
23.19899835,990.375
23.38073435,990.375
23.56123635,990.375
23.74164035,990.375
23.92214835,990.375
24.10274435,990.375
24.28327335,990.375
24.46370735,990.375
24.64410435,990.375
24.82454435,990.375
25.00549935,990.375
25.18592535,990.375
25.36634835,990.375
25.54675435,990.375
25.72730435,990.375
25.90814935,990.375
26.08854735,990.375
26.26893735,990.375
26.44940635,990.375
26.62983335,990.375
26.81102935,990.375
26.99139635,990.25
27.17182135,990.375
27.35224135,990.25
27.53262935,990.25
27.71378535,990.25
27.89422635,990.375
28.07457835,990.25
28.25512035,990.25
28.43548635,990.25
28.61592735,990.25
28.79635335,990.25
28.97677135,990.25
29.15795235,990.25
29.33860135,990.25
29.51897635,990.25
29.69935835,990.25
29.87980535,990.25
30.06029135,990.25
30.24105235,990.25
30.42143935,990.25
30.60190635,990.25
30.78239835,990.25
30.96284235,990.125
31.14320835,990.125
31.32373035,990.125
31.50410135,990.25
31.68456035,990.25
31.86496435,990.125
32.04546335,990.125
32.22600835,990.125
32.40650535,990.25
32.58696335,990.125
32.76758235,990.125
32.94825635,990.125
33.12871535,990.125
33.30911535,990.125
33.48955535,990.125
33.67011235,990.125
33.85097535,990.125
34.03133035,990.125
34.21179335,990.125
34.39215735,990.125
34.57259735,990.125
34.75302635,990.125
34.93345435,990.125
35.11404535,990.125
35.29443535,990.125
35.47479235,990.125
35.65535935,990.125
35.83624935,990.125
36.01662435,990.125
36.19702035,990.125
36.37807035,990.125
36.55864435,990.125
36.73901235,990.125
36.91940435,990.125
37.09978935,990.125
37.28018035,990.125
37.46094535,990.125
37.64148035,990.125
37.82189235,990.0
38.00231535,990.125
38.18273635,990.125
38.36342435,990.125
38.54389635,990.125
38.72434535,990.125
38.90478735,990.125
39.08537135,990.0
39.26577035,990.0
39.44624735,990.0
39.62662335,990.0
39.80757435,990.0
39.98820735,990.0
40.16866435,990.0
40.34908335,990.0
40.52949135,990.0
40.70995735,990.0
40.89094835,990.0
41.07149735,990.0
41.25194935,990.0
41.43239535,990.0
41.61280935,990.0
41.79319335,990.0
41.97365335,990.0
42.15408235,990.0
42.33450335,990.0
42.51512835,989.875
42.69560935,990.0
42.87598535,989.875
43.05644935,990.0
43.23683135,990.0
43.41804635,989.875
43.59893035,989.875
43.77931335,990.0
43.95985735,989.875
44.14031535,989.875
44.32111535,989.875
44.50150135,989.875
44.68190435,989.875
44.86231935,989.875
45.04271635,989.875
45.22349835,989.875
45.40388335,989.875
45.58427435,989.875
45.76465435,989.875
45.94504335,989.875
46.12554835,989.875
46.30591735,989.875
46.48674535,989.875
46.66732335,989.875
46.84819035,989.875
47.02859035,990.0
47.20896035,989.875
47.38934835,990.0
47.56972535,989.875
47.75021735,989.875
47.93225635,989.875
48.11281735,989.875
48.29318735,989.875
48.47368435,989.875
48.65412935,989.875
48.83456635,989.875
49.01500135,989.875
49.19538835,989.875
49.37590035,989.875
49.55648635,989.875
49.73702135,989.875
49.91809835,989.875
50.09848135,989.875
50.27896635,989.875
50.45936935,990.0
50.63976435,989.875
50.82015235,989.875
51.00081735,989.875
51.18138135,989.875
51.36172435,989.875
51.54215935,989.875
51.72262435,989.875
51.90305235,989.875
52.08386035,989.875
52.26428135,989.875
52.44489735,990.0
52.62525935,989.875
52.80582835,989.875
52.98622135,989.875
53.16683335,989.875
53.34732135,989.875
53.52769035,989.875
53.70855235,989.875
53.88900935,989.875
54.06947435,989.875
54.24994135,989.875
54.43041535,989.875
54.61101835,989.875
54.79144635,989.875
54.97183135,989.875
55.15223335,989.875
55.33264735,989.875
55.51304835,989.875
55.69347835,990.0
55.87389535,989.875
56.05459135,989.875
56.23498235,989.875
56.41542735,989.875
56.59584835,989.875
56.77637535,989.875
56.95675935,989.875
57.13720935,989.875
57.31786835,989.875
57.49844235,989.875
57.67886435,989.875
57.85930235,989.875
58.03975535,989.875
58.22015435,989.875
58.40086535,989.875
58.58125335,989.875
58.76190435,989.875
58.94231835,989.875
59.12271735,989.875
59.30327735,989.875
59.48365735,989.875
59.66405435,989.875
59.84456535,989.875
60.02532035,989.875
60.20579735,989.875
60.38659835,989.875
60.56713135,989.875
60.74825035,989.875
60.92871135,989.875
61.10907135,989.875
61.28952435,989.875
61.46992035,989.875
61.65040035,989.875
61.83134935,989.875
62.01182135,989.875
62.19222435,989.875
62.37273935,989.875
62.55317135,989.875
62.73374435,989.875
62.91425135,989.875
63.09467535,989.875
63.27520835,989.875
63.45561735,989.875
63.63598735,989.875
63.81637935,989.875
63.99698235,989.875
64.17777335,989.875
64.35880435,989.875
64.53919335,989.875
64.71958435,989.875
64.90007535,989.875
65.08113035,989.875
65.26157635,989.875
65.44216935,989.875
65.62265735,989.875
65.80307535,989.875
65.98343235,989.875
66.16386135,989.75
66.34421535,989.875
66.52459435,989.875
66.70511035,989.875
66.88570535,989.875
67.06609735,989.875
67.24654635,989.875
67.42718835,989.875
67.60800735,989.875
67.78842035,989.875
67.96883035,989.875
68.14920035,989.875
68.32964535,989.875
68.51000935,989.875
68.69088435,989.875
68.87161735,989.875
69.05206235,989.875
69.23242835,989.875
69.41285335,989.875
69.59345235,990.0
69.77397335,989.875
69.95447535,990.0
70.13489935,989.875
70.31548735,989.875
70.49594435,989.875
70.67628635,989.875
70.85688935,989.875
71.03790835,989.875
71.21834235,990.0
71.39895835,990.0
71.58135335,990.0
71.76363635,990.0
71.94407035,990.0
72.12452735,990.0
72.30491135,990.0
72.48543035,990.0
72.66581435,990.0
72.84625735,990.0
73.02668835,990.0
73.20705835,989.875
73.38799235,990.0
73.56856435,990.0
73.74894335,990.0
73.92943635,990.0
74.11005435,990.125
74.29096635,990.0
74.47162935,990.0
74.65207735,990.0
74.83248935,990.0
75.01295035,990.125
75.19355535,990.0
75.37469335,990.0
75.55542435,990.125
75.73600035,990.0
75.91694635,990.0
76.09816135,990.125
76.27857335,990.125
76.45897935,990.0
76.63948835,990.125
76.81990635,990.125
77.00097035,990.125
77.18140635,990.125
77.36180235,990.125
77.54216235,990.125
77.72260435,990.125
77.90296935,990.125
78.08337735,990.125
78.26382735,990.125
78.44435135,990.125
78.62474735,990.125
78.80515335,990.125
78.98568835,990.125
79.16605435,990.125
79.34647935,990.125
79.52691335,990.125
79.70794535,990.125
79.88874335,990.125
80.06914535,990.125
80.24961535,990.125
80.43004035,990.125
80.61120635,990.125
80.79156735,990.125
80.97205035,990.125
81.15254235,990.125
81.33422235,990.125
81.51475135,990.25
81.69510935,990.125
81.87555435,990.125
82.05607035,990.125
82.23652335,990.25
82.41695335,990.25
82.59786435,990.125
82.77856735,990.25
82.95896035,990.25
83.13933835,990.125
83.31978435,990.125
83.50018435,990.25
83.68107535,990.25
83.86166335,990.25
84.04205435,990.25
84.22246435,990.25
84.40287135,990.25
84.58328835,990.125
84.76366735,990.25
84.94406035,990.25
85.12448435,990.25
85.30492035,990.375
85.48536735,990.25
85.66611335,990.25
85.84678135,990.25
86.02719235,990.25
86.20832735,990.25
86.38873535,990.25
86.56914735,990.25
86.74953635,990.375
86.92991635,990.25
87.11077035,990.375
87.29151035,990.375
87.47191735,990.375
87.65237235,990.25
87.83272435,990.375
88.01313035,990.375
88.19356035,990.375
88.37401935,990.375
88.55460635,990.375
88.73513035,990.25
88.91551335,990.375
89.09589535,990.375
89.27863435,990.375
89.45911835,990.375
89.63951735,990.375
89.81994335,990.375
