t,p
20.13108535,990.375
20.31148735,990.375
20.49215335,990.375
20.67267435,990.375
20.85307035,990.375
21.03347535,990.375
21.21439535,990.375
21.39478535,990.375
21.57521435,990.375
21.75561735,990.375
21.93602535,990.375
22.11649335,990.375
22.29688335,990.375
22.47736035,990.375
22.65771435,990.375
22.83811635,990.375
23.01849635,990.375
23.19899835,990.375
23.38073435,990.375
23.56123635,990.375
23.74164035,990.375
23.92214835,990.375
24.10274435,990.375
24.28327335,990.375
24.46370735,990.375
24.64410435,990.375
24.82454435,990.375
25.00549935,990.375
25.18592535,990.375
25.36634835,990.375
25.54675435,990.375
25.72730435,990.375
25.90814935,990.375
26.08854735,990.375
26.26893735,990.375
26.44940635,990.375
26.62983335,990.375
26.81102935,990.375
26.99139635,990.25
27.17182135,990.375
27.35224135,990.25
27.53262935,990.25
27.71378535,990.25
27.89422635,990.375
28.07457835,990.25
28.25512035,990.25
28.43548635,990.25
28.61592735,990.25
28.79635335,990.25
28.97677135,990.25
29.15795235,990.25
29.33860135,990.25
29.51897635,990.25
29.69935835,990.25
29.87980535,990.25
30.06029135,990.25
30.24105235,990.25
30.42143935,990.25
30.60190635,990.25
30.78239835,990.25
30.96284235,990.125
31.14320835,990.125
31.32373035,990.125
31.50410135,990.25
31.68456035,990.25
31.86496435,990.125
32.04546335,990.125
32.22600835,990.125
32.40650535,990.25
32.58696335,990.125
32.76758235,990.125
32.94825635,990.125
33.12871535,990.125
33.30911535,990.125
33.48955535,990.125
33.67011235,990.125
33.85097535,990.125
34.03133035,990.125
34.21179335,990.125
34.39215735,990.125
34.57259735,990.125
34.75302635,990.125
34.93345435,990.125
35.11404535,990.125
35.29443535,990.125
35.47479235,990.125
35.65535935,990.125
35.83624935,990.125
36.01662435,990.125
36.19702035,990.125
36.37807035,990.125
36.55864435,990.125
36.73901235,990.125
36.91940435,990.125
37.09978935,990.125
37.28018035,990.125
37.46094535,990.125
37.64148035,990.125
37.82189235,990.0
38.00231535,990.125
38.18273635,990.125
38.36342435,990.125
38.54389635,990.125
38.72434535,990.125
38.90478735,990.125
39.08537135,990.0
39.26577035,990.0
39.44624735,990.0
39.62662335,990.0
39.80757435,990.0
39.98820735,990.0
40.16866435,990.0
40.34908335,990.0
40.52949135,990.0
40.70995735,990.0
40.89094835,990.0
41.07149735,990.0
41.25194935,990.0
41.43239535,990.0
41.61280935,990.0
41.79319335,990.0
41.97365335,990.0
42.15408235,990.0
42.33450335,990.0
42.51512835,989.875
42.69560935,990.0
42.87598535,989.875
43.05644935,990.0
43.23683135,990.0
43.41804635,989.875
43.59893035,989.875
43.77931335,990.0
43.95985735,989.875
44.14031535,989.875
44.32111535,989.875
44.50150135,989.875
44.68190435,989.875
44.86231935,989.875
45.04271635,989.875
45.22349835,989.875
45.40388335,989.875
45.58427435,989.875
45.76465435,989.875
45.94504335,989.875
46.12554835,989.875
46.30591735,989.875
46.48674535,989.875
46.66732335,989.875
46.84819035,989.875
47.02859035,990.0
47.20896035,989.875
47.38934835,990.0
47.56972535,989.875
47.75021735,989.875
47.93225635,989.875
48.11281735,989.875
48.29318735,989.875
48.47368435,989.875
48.65412935,989.875
48.83456635,989.875
49.01500135,989.875
49.19538835,989.875
49.37590035,989.875
49.55648635,989.875
49.73702135,989.875
49.91809835,989.875
