t,p
0.259119292,990.75
0.439498292,990.75
0.619859292,990.75
0.800647292,990.75
0.981453292,990.75
1.162616292,990.75
1.342991292,990.75
1.524224292,990.625
1.704629292,990.625
1.884999292,990.625
2.065393292,990.75
2.245853292,990.75
2.426198292,990.75
2.606756292,990.75
2.787149292,990.75
2.967713292,990.625
3.148117292,990.625
3.328536292,990.625
3.509361292,990.5
3.689832292,990.5
3.870170292,990.625
4.051001292,990.75
4.231445292,990.875
4.412164292,990.625
4.593077292,991.375
4.773503292,991.125
4.953921292,990.75
5.134413292,990.75
5.314872292,990.75
5.495259292,990.75
5.675810292,990.75
5.856249292,990.75
6.036860292,990.75
6.217293292,990.75
6.397821292,990.75
6.579584292,990.75
6.759967292,990.75
6.940373292,990.75
7.120790292,990.75
7.301208292,990.75
7.481607292,990.75
7.662697292,990.75
7.843084292,990.75
8.023829292,990.75
8.204193292,990.75
8.384641292,990.75
8.565079292,990.75
8.745501292,990.75
8.925975292,990.75
9.106509292,990.75
9.287042292,990.75
9.467613292,990.75
9.648054292,990.75
9.828444292,990.75
10.00950429,990.75
10.19237829,990.75
10.37290229,990.75
10.55326429,990.75
10.73364829,990.75
10.91408029,990.75
11.09448329,990.75
11.27513829,990.75
11.45632329,990.75
11.63675429,990.75
11.81716929,990.75
11.99760629,990.75
12.17810729,990.75
12.35939329,990.75
12.53996829,990.75
12.72035029,990.75
12.90079729,990.75
13.08119129,990.75
13.26160129,990.75
13.44218329,990.75
13.62297829,990.75
13.80333529,990.75
13.98383529,990.75
14.16423729,990.75
14.34469629,990.75
14.52505229,990.75
14.70543829,990.75
14.88686429,990.75
15.06731029,990.75
15.24767529,990.75
15.42804429,990.75
15.60843229,990.75
15.78953829,990.75
15.96993829,990.75
16.15032629,990.75
16.33071329,990.75
16.51120429,990.75
16.69157029,990.75
16.87261429,990.75
17.05331729,990.75
17.23381929,990.75
17.41418829,990.75
17.59465429,990.75
17.77511529,990.75
17.95567629,990.75
18.13642529,990.75
18.31686029,990.75
18.49724429,990.75
18.67771229,990.75
18.85815229,990.75
19.03879629,990.75
19.21931029,990.75
19.39967029,990.75
19.58032129,990.75
19.76076429,990.75
19.94313629,990.75
20.12356729,990.75
20.30401429,990.75
20.48445329,990.75
20.66490129,990.75
20.84539429,990.75
21.02585129,990.75
21.20622529,990.75
21.38663329,990.75
21.56708229,990.75
21.74781129,990.75
21.92821829,990.75
22.10859429,990.75
22.28939529,990.75
22.46985029,990.75
22.65036329,990.75
22.83161329,990.75
23.01263529,990.75
23.19301329,990.75
23.37406029,990.625
23.55444929,990.75
23.73485929,990.75
23.91527129,990.75
24.09567629,990.625
24.27614229,990.75
24.45655329,990.75
24.63690929,990.75
24.81740529,990.75
24.99780229,990.625
25.17822729,990.75
25.35862429,990.75
25.53950529,990.75
25.72014129,990.75
25.90056629,990.75
26.08095429,990.75
26.27102429,990.75
26.45140429,990.75
26.63210729,990.75
26.81278629,990.75
26.99319529,990.75
27.17366829,990.75
27.35553729,990.75
27.53632929,990.75
27.71678329,990.75
27.89738229,990.625
28.07796029,990.75
28.25851929,990.75
28.43956729,990.75
28.61992429,990.625
28.80029429,990.75
28.98066329,990.625
29.16109229,990.75
29.34152429,990.75
29.52296529,990.75
29.70335229,990.75
29.88406929,990.75
30.06452529,990.75
30.24499029,990.75
30.42537629,990.75
30.60580129,990.75
30.78623429,990.75
30.96663329,990.75
31.14703829,990.75
31.32742629,990.75
31.50786229,990.75
31.68829229,990.75
31.86939129,990.75
32.04981829,990.75
32.23707529,990.75
32.41866129,990.75
32.59942429,990.75
32.77981329,990.75
32.96023729,990.75
33.14080829,990.625
33.32124229,990.75
33.50168129,990.75
33.68252229,990.75
33.86305529,990.75
34.04391029,990.625
34.22449929,990.625
34.40490329,990.75
34.58534329,990.75
34.76591729,990.75
34.94628429,990.75
35.12673529,990.75
35.30722529,990.75
35.48767729,990.625
35.66824629,990.75
35.84865729,990.75
36.02945529,990.75
36.21018229,990.75
36.39054829,990.75
36.57098629,990.75
36.75140129,990.75
