t,x,y,z
0.0,-1.30124867,4.648342609,9.533711433
0.00628811,-1.250970364,4.631583214,8.84896946
0.022534485,-1.343147159,4.588487625,8.528146744
0.035138672,-1.476025343,4.517858505,8.659827232
0.046754766,-1.544260144,4.515464306,8.70771122
0.057448313,-1.477222443,4.49271965,8.43357563
0.067649586,-1.515529633,4.526238441,8.228871346
0.078116223,-1.577778935,4.510675907,8.214506149
0.088210541,-1.544260144,4.458003521,8.210914612
0.0979492,-1.552639842,4.41610527,8.204929352
0.10788203,-1.52510643,4.368220806,8.421604156
0.117897945,-1.443703651,4.365826607,8.482656479
0.127926402,-1.419761658,4.325125217,8.443152428
0.137877631,-1.453280449,4.265270233,8.480262756
0.147830745,-1.444900751,4.241328239,8.547300339
0.157840302,-1.321599364,4.189853191,8.491036415
0.167877081,-1.182735682,4.090493679,8.476671219
0.17783547,-1.067813993,4.072536945,8.452729225
0.187970165,-1.165976286,4.08570528,8.429984093
0.197845012,-1.212663174,4.109647274,8.601169586
0.207766936,-1.170764685,4.118026733,8.65743351
0.217734898,-1.133654475,4.073734283,8.801085472
0.227766379,-1.108515382,3.944447279,8.835801125
0.237745119,-1.090558887,3.8654387,8.767566681
0.247772489,-1.067813993,3.894169092,8.815450668
0.257745674,-1.040280581,3.956418276,8.881291389
0.267773767,-1.058237195,3.963600874,8.875306129
0.277752813,-1.085770488,3.998316765,8.815450668
0.287801336,-1.148019671,4.043806553,8.760383606
0.297762598,-1.22822547,4.095282078,8.738836288
0.307754729,-1.182735682,4.09408474,8.881291389
0.317739294,-0.9732429981,4.04979229,8.904036522
0.327772077,-0.8391677141,3.944447279,8.874108315
0.337748468,-0.7613561153,3.875015497,8.763975143
0.347771164,-0.6931213737,3.90135169,8.919598579
0.357748512,-0.7242460251,3.896563292,9.06803894
0.367779186,-0.8906430602,3.914519787,9.148244858
0.377805023,-1.017535686,3.855861902,9.153033257
0.388006441,-1.052251697,3.409343243,9.13866806
0.39798565,-0.9684545994,3.463212729,9.148244858
0.407895255,-0.9959878922,3.408146143,8.866926193
0.417860057,-1.082179189,3.367444754,8.627506256
0.428047958,-1.219845772,3.440467834,8.531737328
0.437889409,-1.356315255,3.162740469,8.531737328
0.447853634,-1.26413846,3.171120167,8.038532257
0.457862247,-1.735796213,3.439270735,8.798690796
0.467837053,-1.587355733,3.555389643,8.35696125
0.477802956,-1.498770237,3.786429882,8.51617527
0.487817408,-0.7110779285,3.999513865,9.096769333
0.497845134,-0.4704606235,4.08809948,9.8940382
0.507848497,-0.8295909166,4.16471386,10.52730465
0.517847178,-1.043871999,4.187458992,10.24838066
0.527849019,-1.025915384,4.179079056,10.60631371
0.537807439,-1.110909581,3.436876535,10.44111347
0.547825649,-1.098938584,2.691082716,9.282320023
0.557855754,-0.1209071875,3.101688385,8.883685112
0.567852307,0.104147777,2.276885748,9.270348549
0.577909583,0.4333505034,1.786074519,10.99776554
0.587875221,-0.2573766708,-0.5315127969,10.37287903
0.59789354,-0.05267243832,-1.563413739,9.625887871
0.6078627,1.021126986,-1.22702837,10.00297451
0.61781178,1.570596337,-0.4716577232,10.25316906
0.62783482,1.37666595,-0.1101332754,10.11550236
0.63781384,0.6739677787,-0.08020575345,9.868899345
0.64786785,0.2226607651,0.1580173075,8.437167168
0.657944355,-0.3052607179,-0.2944868207,8.877699852
0.667838607,-0.7793126702,-1.113303781,9.015366554
0.677847233,-0.7038952708,-1.770512104,7.609970093
0.687878046,-0.5099649429,-2.124854088,7.028179169
0.697860453,-0.09576806426,-1.78368032,4.581305027
0.707978656,-0.831985116,1.039083481,6.50983429
0.717873258,-0.2861070931,2.214636564,7.973888874
0.727888559,1.661576033,1.352723956,9.692925453
0.737832209,0.9911994934,-0.2166752517,9.8054533
0.747783034,1.140837073,-1.267729759,9.236829758
0.757770447,2.643198729,-1.923741102,7.819462776
0.767804153,3.254917145,0.4884171486,15.42584133
0.777782006,3.748122692,-0.08738835901,15.88433075
0.787847933,2.832340717,-2.178723574,10.29386997
0.797888896,1.620874524,-2.772485495,6.76960516
0.807811878,1.771709204,-2.632424831,4.94043541
0.817755369,2.064998865,-2.468421936,3.924096584
0.827774114,2.106897593,-2.603694439,3.578134537
0.837795987,1.936909199,-3.166331768,4.735731125
0.847852423,1.304839969,-4.12640667,7.455543995
0.857824641,0.5973533392,-5.057751179,9.125499725
0.86781575,1.290474772,-5.550956726,9.167398453
0.877873305,1.715445518,-6.054935932,9.872490883
0.888030082,1.370680451,-6.43321991,10.39921474
0.897916971,1.015141487,-6.284779549,9.454702377
0.907904415,0.8858546019,-5.328295708,8.432378769
0.917877637,0.9792284966,-4.317942619,8.092401505
0.927902248,1.261744261,-4.430470467,8.883685112
0.937906054,1.687912226,-5.61919117,9.272743225
0.947847457,2.323572636,-6.416460514,8.875306129
0.957886158,2.464830637,-6.499060631,7.716512203
0.967851009,2.45285964,-6.932411194,7.188590527
0.978261434,2.473210335,-7.296329498,6.341042995
0.988188147,2.244564056,-7.942764282,6.997054577
0.998225503,2.088941097,-8.076839447,7.855375767
1.008302181,2.086546898,-7.496245384,8.049305916
1.01831652,2.348711967,-7.161057472,7.645883083
1.02840319,2.782062292,-7.052121162,6.854599476
1.038179525,2.979583979,-6.867767811,6.349422932
1.048156192,3.257311344,-7.188590527,6.256049156
1.058042026,3.106476784,-7.422025204,6.806715488
1.068058443,3.090914488,-7.773972988,6.542156219
1.078076651,3.026270866,-8.154650688,5.942408562
1.088058255,1.268926859,-8.412027359,8.170213699
1.098066057,2.328361034,-7.959523678,10.90439129
1.107994958,2.039859772,-7.013813972,11.75792408
1.118151909,1.947683096,-7.351396084,12.19726086
1.128122884,2.499546528,-7.764396191,10.78946972
1.138121872,3.117250681,-8.178592682,8.821435928
1.148253366,3.489548922,-8.255207062,7.833827972
1.158209113,3.41772294,-8.276755333,7.10599041
1.168156986,3.444059134,-7.909245491,6.309918404
1.178120923,3.669114113,-7.623138428,6.045359135
1.188302391,3.837905407,-7.194576263,6.309918404
1.198239625,3.752911091,-6.992266178,5.930437565
1.208136742,3.295618534,-6.91445446,4.999093056
1.218024301,3.554192305,-7.346607685,3.965995073
