t,x,y,z
0.07535586,0.2256383449,0.08093964309,0.218002528
0.08645886,0.2073123902,0.05955936015,0.2552653253
0.09496186,0.1718822122,0.0552833043,0.2974150181
0.10488386,0.1242347211,0.0491746515,0.332845211
0.11491286,0.07170030475,0.0125227375,0.3621667325
0.12491186,0.03260493279,-0.03145955876,0.3725514412
0.13493386,-0.007101308554,-0.07422012836,0.3646101952
0.14505486,-0.04925100878,-0.1359175146,0.3560580909
0.15500786,-0.09445504099,-0.1890627891,0.3621667325
0.16525086,-0.1378264725,-0.2220495194,0.3713297248
0.17505086,-0.1805870384,-0.2403754741,0.3646101952
0.18500086,-0.2215150148,-0.2391537428,0.3377321362
0.19500186,-0.2685516477,-0.2189951837,0.2955824137
0.20500886,-0.304592669,-0.2116648108,0.2711478174
0.21489386,-0.3155882657,-0.1945605874,0.2705369592
0.22505986,-0.313144803,-0.1640173197,0.2858085632
0.23503886,-0.2990948856,-0.1346957833,0.3102431893
0.24529186,-0.2777146101,-0.1255328059,0.3291800022
0.25503686,-0.2624429762,-0.1182024255,0.3407864571
0.26512786,-0.2502256632,-0.09376781434,0.3487277031
0.27508086,-0.241673559,-0.06505715102,0.3621667325
0.28523586,-0.2410627007,-0.05772676691,0.3823252916
0.29525286,-0.258166939,-0.06383541971,0.4055381715
0.30499586,-0.3003166318,-0.05711590126,0.4446335435
0.31493386,-0.3540727794,-0.02535090782,0.5044983625
0.32500186,-0.395611614,-0.0003054326226,0.5625305176
0.33507486,-0.4273765981,0.004581489135,0.5845217109
0.34501786,-0.4634176493,0.01191187184,0.5716935396
0.35504986,-0.501291275,0.02779436857,0.5393176675
0.36499686,-0.5159520507,0.04734205827,0.4953353703
0.37509286,-0.5067890882,0.0723875314,0.4544073939
0.38501686,-0.485408783,0.09621127695,0.4348596931
0.39503886,-0.4603633285,0.1389718503,0.4250858426
0.40511186,-0.3943898678,0.1548543423,0.4104250968
0.41503786,-0.3143665195,0.1676825136,0.3884339333
0.42544986,-0.2819906771,0.2086104751,0.3804926872
0.43503586,-0.2935971022,0.2648100853,0.4006512463
0.44521586,-0.3003166318,0.2648100853,0.4770093858
0.45491286,-0.3192534447,0.2067778856,0.6364452243
0.46516386,-0.4377613068,0.1511891484,0.8111526966
0.47503686,-0.6161339283,0.1035416573,0.9528734088
0.48507186,-0.7908414006,0.06383541971,1.07138133
0.49505786,-0.9850965738,-0.1994474977,1.159956694
0.50511786,-1.141478062,-0.5824599862,1.21065855
0.51573286,-1.215392709,-0.8860600591,1.216156363
0.52549086,-1.160414934,-1.004567862,1.188056588
0.53508186,-1.03274405,-1.030224204,1.153237224
0.54517286,-0.8904124498,-1.137125611,1.112309217
0.55509686,-0.6863834858,-1.136514783,1.001131773
0.56502586,-0.5868124366,-1.065043569,1.009073019
0.57507286,-0.8336020112,-0.971581161,1.219821572
0.58539886,-1.27770102,-0.9343183637,1.447063446
0.59535786,-1.606346488,-0.7699956298,1.582675457
0.60520386,-1.553201199,-0.4499022663,1.450117707
0.61499986,-1.371163368,-0.2764165103,1.39941597
0.62526886,-1.323515892,-0.157297805,1.443398237
0.63509586,-1.360778689,0.1218676195,1.375592232
0.64509286,-1.427973866,0.5048801303,1.205160737
0.65524786,-1.500666857,0.7761042714,1.017014265
0.66530786,-1.672320008,0.3442225754,0.812374413
0.67501186,-1.707139254,0.102319926,0.8355873227
0.68491686,-1.721189141,-0.01007927675,0.9027824998
0.69510086,-1.849470854,-0.09621127695,0.9626472592
0.70495686,-2.079766989,-0.1145372316,1.002353549
0.71508286,-2.477440357,-0.1322523206,1.097648501
0.72502086,-2.603278637,-0.6685920358,1.3432163
0.73510586,-2.488435984,-1.270294309,1.501430392
0.74573186,-2.192777157,-1.578170419,1.494099975
0.75505986,-1.970422149,-1.326493859,1.529530168
0.76544886,-1.957594037,-0.8512406945,1.579621196
0.77509186,-2.052889109,0.1371392459,1.466000199
0.78501286,-1.445688963,1.326493859,1.268079877
0.79508986,-0.8134434223,2.211026669,1.120861411
0.80528486,-0.6937138438,2.39917326,1.122694016
0.81496186,-0.9295078516,2.288606644,1.182558775
0.82488586,-1.273424983,2.002721786,1.151404619
0.83493286,-1.682093859,1.699121714,1.007240415
0.84562686,-2.119473219,1.37902832,0.8453611135
0.85496886,-2.401082277,0.8964447379,0.7091382146
0.86516086,-2.379091024,0.1988366395,0.6181192994
0.87523786,-2.234316111,-0.6924157739,0.5900194645
0.88505586,-2.140853643,-1.600161552,0.5087743998
0.89501386,-1.969200492,-2.484083414,0.3988186419
0.90504886,-1.74806726,-3.182913303,0.3420081735
0.91504186,-1.679650307,-3.575088739,0.3511711657
0.92510586,-1.788384318,-3.611129999,0.4177554548
0.93523386,-1.966146111,-3.327077627,0.5044983625
0.94519286,-2.100536585,-2.754086018,0.5704717636
0.95497886,-2.199496746,-2.029599667,0.6095671654
0.96505186,-2.303343773,-1.352150202,0.5857434273
0.97500686,-2.462168694,-0.8805622458,0.529543817
0.98499886,-2.620993614,-0.6869179606,0.4519639313
0.99582586,-2.817081451,-0.6905831695,0.363999337
1.00574586,-2.920928478,-0.7718282342,0.2906954885
1.01542586,-2.89405036,-0.9019425511,0.2393828183
1.02511086,-2.844570398,-1.07787168,0.1752419621
1.03528986,-2.852511644,-1.284955025,0.09155342728
1.04536786,-2.925204515,-1.465160251,0.01214094646
1.05529786,-3.013169289,-1.54457283,-0.06543894112
1.06580486,-3.05959487,-1.514029503,-0.1717294902
1.07507086,-3.029662609,-1.397354245,-0.2645809948
1.08553486,-3.027219057,-1.337489486,-0.3244458139
1.09508186,-3.033327818,-1.414458513,-0.2957351506
1.10531186,-2.7413342,-1.419345379,-0.159512192
1.11598686,-2.216600895,-1.251357436,-0.1027017161
1.12530586,-1.671709061,-1.196379542,-0.02267837152
1.13581686,-1.101161003,-1.326493859,0.0353538245
1.14622786,-0.6326273084,-1.565342188,0.03168863431
1.15577386,-0.3186425865,-1.707673788,-0.02634356357
1.16625986,-0.06818783283,-1.655139327,-0.05688682571
1.17540986,0.1309542358,-1.510975242,-0.01656972058
1.18623086,0.2030363381,-1.338100314,0.03718642145
1.19538286,0.2121993154,-1.137125611,0.05184718594
1.20519086,0.2647337317,-0.9605855942,0.01947133057
1.21518386,0.3734677434,-0.8793405294,-0.03795000166
1.22519986,0.4559345543,-0.9049968719,-0.11797335
1.23517786,0.4455498457,-1.003957033,-0.1772272736
1.24534086,0.375911206,-1.113301873,-0.2554180324
1.25504786,0.2622902691,-1.165225506,-0.3549890518
1.26589186,0.06253732741,-1.15728426,-0.4166864455
