t,p
0.064786296,989.2151489
0.089838664,989.163269
0.114911582,989.25177
0.139995973,989.3707886
0.165058597,989.3585815
0.190144331,989.2639771
0.215203821,989.2243042
0.240279098,989.2700195
0.265345017,989.3128052
0.290437139,989.3311157
0.315511847,989.3494263
0.340582486,989.3768921
0.365654996,989.4104614
0.390720426,989.4104614
0.415794117,989.3738403
0.440878549,989.3311157
0.465949636,989.3311157
0.491023326,989.3311157
0.516088065,989.3219604
0.541169608,989.3128052
0.566238091,989.3005981
0.591321384,989.2639771
0.616395237,989.2243042
0.641456761,989.1785278
0.666523005,989.1541138
0.69161053,989.1754761
0.716671607,989.1968384
0.741745989,989.1968384
0.766827451,989.2486572
0.791900653,989.3555298
0.816968729,989.453186
0.842040994,989.5325317
0.867113302,989.6149292
0.892197449,989.6332397
0.917259706,989.5355835
0.942343813,989.4043579
0.967399843,989.3250122
0.992503034,989.3372192
1.017552717,989.4196777
1.042620589,989.4684448
1.067700993,989.3677979
1.092773585,989.1999512
1.11785285,989.0961914
1.142928779,989.0290527
1.168003811,988.9832764
1.193073515,989.0564575
1.218140287,989.1999512
1.2432141,989.2335205
1.268296579,989.1328125
1.293358714,989.0870361
1.318430247,989.1083984
1.343504264,989.1083984
1.368585197,989.1358643
1.393646925,989.1999512
1.418728956,989.2091064
1.443797723,989.1694336
1.468878371,989.1694336
1.493940954,989.1968994
1.519007401,989.1663818
1.544082231,989.0931396
1.569164385,989.0961914
1.594242674,989.1419678
1.619321083,989.1694336
1.644373941,989.1724854
1.669447021,989.1724854
1.694531576,989.1541748
1.719603964,989.1480713
1.744676352,989.2091064
1.769742881,989.2792969
1.794832238,989.3220215
1.81988546,989.3616943
1.844968429,989.3708496
1.870039189,989.2915039
1.895113409,989.21521
1.920174118,989.2304688
1.945246589,989.2823486
1.970318366,989.3128662
1.995393847,989.315918
2.020473926,989.315918
2.045548756,989.3342285
2.070624277,989.3739014
2.095692312,989.3677979
2.120763316,989.2731323
2.145841198,989.1877441
2.170919242,989.2091064
2.195992323,989.2762451
2.221062554,989.2884521
2.246130385,989.2487793
2.271199559,989.2213135
2.296267878,989.239624
2.321353572,989.2762451
2.346427263,989.3006592
2.37149843,989.3189697
2.396571877,989.315918
2.421648863,989.2884521
2.446706155,989.2487793
2.47179014,989.2335205
2.49686497,989.25177
2.521937968,989.2457275
2.547018739,989.2091064
2.572079368,989.1877441
2.597148664,989.2030029
2.622213768,989.2365723
2.647302554,989.2731323
2.672378402,989.3342285
2.69744375,989.4257812
2.722518296,989.5234375
2.747592759,989.5722656
2.77267414,989.5753174
2.797754015,989.5722656
2.822829171,989.5753174
2.847892566,989.541748
2.872963327,989.4470825
2.898037261,989.3922119
2.923110382,989.4318848
2.948192414,989.44104
2.973265861,989.3708496
2.998337719,989.3006592
3.023409661,989.2731323
3.048487175,989.25177
3.073551996,989.2182617
3.098626703,989.1999512
3.123698929,989.1938477
3.148782914,989.2304688
3.173836219,989.2915039
3.198907996,989.3220215
3.223988401,989.3189697
3.249062498,989.328125
3.274136433,989.315918
3.299211547,989.2823486
3.324285279,989.2579346
3.349356934,989.2579346
3.374434084,989.2487793
3.399507651,989.2426758
3.424579796,989.25177
3.449653201,989.2426758
3.47472616,989.2243652
3.499791467,989.2213135
3.524873663,989.227417
3.549951788,989.2304688
3.575032925,989.227417
3.600106574,989.2304688
3.625180062,989.2548828
3.650263273,989.2762451
3.675315886,989.3067627
3.700381235,989.3311768
3.725469534,989.3494873
3.75052593,989.340332
3.775604097,989.2823486
3.800677502,989.2762451
3.825742038,989.4135742
3.850822482,989.5783691
3.87590663,989.5539551
3.900978367,989.3800049
3.926052913,989.2548828
3.951125911,989.2457275
3.976209001,989.2640381
4.001259172,989.3037109
4.026332619,989.3494873
4.05141404,989.328125
4.076485493,989.2670898
4.10156667,989.2701416
4.126621481,989.3189697
4.151694886,989.3006592
4.17676878,989.2457275
4.201849469,989.2579346
4.226911604,989.3220215
4.251992333,989.3372803
4.27706224,989.3067627
4.302124862,989.3037109
4.327193263,989.315918
4.352281235,989.3037109
4.377352158,989.3037109
4.402408841,989.3739014
4.427491971,989.3952637
4.452559395,989.2823486
4.477628365,989.1816406
4.502707305,989.2335205
4.527782053,989.3189697
4.552845571,989.3006592
4.577917634,989.2426758
4.602989575,989.2487793
4.62806237,989.2944946
