t,p
20.02293714,989.3372803
20.0480055,989.3433838
20.07307773,989.3311768
20.09815386,989.3098145
20.12321758,989.2854004
20.14829506,989.315918
20.17337685,989.3372803
20.19845168,989.3067627
20.22351666,989.2670898
20.24858868,989.2792969
20.27366253,989.2976074
20.29874509,989.2915039
20.32381386,989.2884521
20.34890025,989.2976074
20.37397609,989.2731323
20.39904047,989.2335205
20.42412327,989.2487793
20.44918638,989.2944946
20.47427029,989.3189697
20.49934483,989.3098145
20.52441938,989.3037109
20.54950116,989.3067627
20.57456375,989.2915039
20.59962897,989.2823486
20.62470169,989.2944946
20.64978522,989.3128662
20.67485904,989.3006592
20.69992552,989.2792969
20.7249984,989.2731323
20.75007238,989.2762451
20.77514749,989.2823486
20.80022899,989.2854004
20.82530289,989.2792969
20.85036889,989.2640381
20.87544815,989.2884521
20.90051708,989.3189697
20.92560143,989.3220215
20.95067915,989.2792969
20.97575333,989.2609863
21.0008267,989.2731323
21.02589184,989.3067627
21.05096651,989.340332
21.07603601,989.3494873
21.101118,989.3342285
21.12619124,989.3372803
21.15125313,989.3739014
21.17632088,989.3708496
21.20141134,989.3342285
21.22646916,989.3067627
21.25154191,989.3250732
21.27662411,989.3220215
21.30169702,989.2854004
21.32676062,989.2670898
21.35183102,989.2823486
21.3769052,989.3067627
21.40198255,989.3128662
21.42705046,989.3128662
21.45212745,989.2944946
21.47718832,989.2823486
21.50226767,989.2944946
21.52733106,989.3067627
21.55240203,989.3067627
21.57747433,989.2823486
21.60254713,989.2854004
21.62762936,989.3128662
21.65269557,989.3494873
21.67777113,989.3433838
21.70283164,989.3098145
21.72791395,989.2854004
21.75298488,989.2944946
21.7780571,989.3250732
21.80311745,989.328125
21.82818642,989.3037109
21.85326218,989.2762451
21.87833331,989.2823486
21.90342218,989.3037109
21.92848651,989.3037109
21.95354396,989.2762451
21.97861367,989.2854004
22.003692,989.315918
22.02876467,989.3128662
22.05384345,989.2915039
22.07890464,989.2884521
22.10397662,989.2976074
22.12905198,989.2976074
22.15412213,989.2823486
22.17919607,989.2792969
22.20428168,989.2884521
22.22935435,989.315918
22.25442727,989.3250732
22.27949071,989.3006592
22.30456546,989.2944946
22.3296378,989.3128662
22.35472069,989.3250732
22.37979426,989.3311768
22.4048684,989.3342285
22.4299313,989.3250732
22.45500577,989.3250732
22.48006811,989.3250732
22.50514916,989.3037109
22.53021748,989.2976074
22.55529463,989.3006592
22.58036466,989.315918
22.60544014,989.3189697
22.63051179,989.315918
22.65558488,989.315918
22.68065678,989.315918
22.70573006,989.3250732
22.73081486,989.3372803
22.75587829,989.3372803
22.78095052,989.3250732
22.8060225,989.3220215
22.83109704,989.3433838
22.85616716,989.3616943
22.88124019,989.3372803
22.90631173,989.3342285
22.93138404,989.3952637
22.95645585,989.4257812
22.98153654,989.3800049
23.00660824,989.3098145
23.03167001,989.315918
23.05673613,989.3677979
23.0818261,989.3830566
23.10688909,989.3555908
23.13196058,989.3311768
23.15704387,989.3372803
23.18211642,989.3586426
23.20717795,989.3647461
23.23225221,989.3525391
23.25732606,989.3555908
23.28240268,989.3800049
23.30748007,989.3677979
23.3325547,989.3128662
23.35760788,989.3128662
23.38269146,989.3647461
23.40776202,989.3647461
23.43283937,989.3342285
23.45791827,989.3586426
23.48299208,989.3708496
23.50806414,989.3586426
23.53314593,989.3464355
23.55822178,989.3677979
23.58326996,989.3861084
23.60835419,989.3983154
23.63342682,989.3739014
23.65850026,989.315918
23.68356753,989.2884521
23.70863621,989.3037109
23.73370738,989.2884521
23.75879185,989.2182617
23.78387628,989.1663818
23.80893968,989.1663818
23.83400279,989.1633301
23.85907209,989.1450195
23.88414545,989.1297607
23.90921882,989.1450195
23.93429458,989.1907959
23.9593756,989.2304688
23.98443464,989.2335205
24.00951089,989.2030029
24.03458483,989.1846924
24.05965937,989.2030029
24.08473262,989.1999512
24.10981514,989.1694336
24.13488683,989.1755371
24.15994795,989.1907959
24.1850133,989.1938477
24.21009301,989.1907959
24.23517651,989.2121582
24.26024865,989.2457275
24.28532129,989.239624
24.31039127,989.2091064
24.33545801,989.1877441
24.3605308,989.1938477
24.38561076,989.1999512
24.41068758,989.2121582
24.43574927,989.2457275
24.46082251,989.2731323
24.48589107,989.2548828
24.51097091,989.227417
24.53604407,989.2365723
24.56112826,989.3037109
24.58620174,989.3616943
24.61125521,989.3769531
24.63635804,989.3891602
24.6614111,989.4257812
24.68648702,989.4807129
24.71157378,989.5447998
24.73663966,989.6027832
24.76171233,989.6363525
