t,x,y,z
0.077404352,-0.5209153295,-0.3471241891,0.054137934
0.087350352,-0.6210972667,-0.2561052442,0.0834594667
0.097719352,-0.6461427212,-0.2090686262,0.09628763795
0.107415352,-0.598495245,-0.204792574,0.09934195876
0.117375352,-0.5074763298,-0.2145664245,0.1011745557
0.127281352,-0.4042400718,-0.2335032374,0.1011745557
0.137348352,-0.3077233732,-0.2750420868,0.09445504099
0.147343352,-0.220369637,-0.3263547719,0.07918340713
0.157680352,-0.1470658034,-0.3568980098,0.03520110995
0.167547352,-0.03344487399,-0.3410155177,0.01015563495
0.177429352,-0.001069014193,-0.3165809214,-0.01061378326
0.187501352,0.008093964309,-0.302531004,-0.02649627998
0.197605352,-0.00167987938,-0.2890919745,-0.03810271993
0.207849352,-0.02611448988,-0.2744311988,-0.04665483162
0.217486352,-0.05726861581,-0.2579378486,-0.05398521572
0.227328352,-0.08231408894,-0.2469422817,-0.06070473418
0.237854352,-0.1030835137,-0.2683225572,-0.05826127157
0.247365352,-0.1250746548,-0.3477350473,-0.04543310404
0.257322352,-0.1531744599,-0.464410305,-0.02649627998
0.268206352,-0.1879937798,-0.601244092,-0.005115996581
0.277353352,-0.228310883,-0.7582364678,0.0156534221
0.287330352,-0.2747366428,-0.8895725012,0.03031418845
0.297423352,-0.3162754774,-0.9427177906,0.0358119756
0.307482352,-0.3370448947,-0.9219483733,0.03642284125
0.317708352,-0.3278819323,-0.8565858006,0.03031418845
0.327345352,-0.2912299931,-0.7490735054,0.008323038928
0.337491352,-0.2368630022,-0.6244570017,-0.02588541433
0.347292352,-0.1715004146,-0.5120577812,-0.06314819306
0.357425352,-0.0963639915,-0.4308127165,-0.09796751291
0.367414352,-0.02000583708,-0.3733913898,-0.1248455867
0.377400352,0.04657847434,-0.311083138,-0.1425606757
0.387575352,0.09850201756,-0.2426662147,-0.1529453844
0.397435352,0.1339322031,-0.1907426715,-0.1590540409
0.407311352,0.1516472995,-0.1876883507,-0.1663844138
0.417399352,0.1547016203,-0.2341141105,-0.1737148017
0.427293352,0.1528690308,-0.2689334154,-0.2274709493
0.437355352,0.1217148975,-0.05574145541,-0.2280818075
0.447412352,0.05635231733,0.1666134894,-0.143782407
0.457328352,-0.01328631863,0.2234239578,-0.1004109755
0.467370352,-0.1171334088,0.1959350258,-0.08269587904
0.477342352,-0.2234239578,0.1727221459,-0.07841982692
0.487459352,-0.2961169183,0.1776090711,-0.07292203605
0.497416352,-0.3236058652,0.1873829067,-0.05887213722
0.507333352,-0.3046690524,0.1776090711,-0.03199406713
0.517435352,-0.2619084716,0.1788308024,-0.01183551457
0.527264352,-0.2191479057,0.1348485053,-0.01122464892
0.537319352,-0.1207986027,-0.0001527163113,0.03214678168
0.547564352,0.01847867295,-0.2011273801,0.0370337069
0.557396352,0.07406741381,-0.35017851,0.02909245715
0.567354352,0.1058324054,-0.4271475375,-0.01855503209
0.577340352,0.248164013,-0.4790710807,-0.07964155823
0.587408352,0.4179845452,-0.5401576161,-0.02466368489
0.598208352,0.4833471179,-0.558483541,0.01992947794
0.607328352,0.3996585906,-0.5358815193,-0.01550070569
0.617373352,0.2475531399,-0.4595233798,-0.09185886383
0.627266352,0.1058324054,-0.4387539625,-0.1285107732
0.637332352,-0.0004581489484,-0.4418082833,-0.09430231899
0.647884352,-0.07376197726,-0.41309762,-0.02527454868
0.657434352,-0.14156802,-0.3984368443,0.03520110995
0.667434352,-0.2350303978,-0.4332561791,0.07551821321
0.677429352,-0.3193297982,-0.4857905805,0.09689849615
0.687364352,-0.3529273868,-0.5535966158,0.1170570552
0.697385352,-0.3382666409,-0.6287330389,0.1390482038
0.707284352,-0.307112515,-0.652556777,0.1408807933
0.717351352,-0.2661845386,-0.5792529583,0.151265502
0.727275352,-0.2148718536,-0.4650211632,0.1408807933
0.737395352,-0.1525636017,-0.409432441,0.1243874356
0.747335352,-0.04199698567,-0.3434589803,0.1366047412
0.757357352,0.07651086897,-0.3434589803,0.114002727
0.767357352,0.1094975919,-0.3086396754,0.0834594667
0.777541352,0.09178250283,-0.3434589803,0.0187077485
0.787340352,0.09850201756,-0.4033237696,-0.06986771524
0.797372352,0.1473712474,-0.4332561791,-0.1547779888
0.807333352,0.2157881409,-0.5371032953,-0.1694387496
0.817378352,0.243887946,-0.7130324841,-0.1492801905
0.827411352,0.2530509233,-0.7673994899,-0.1578323096
0.837378352,0.2347249687,-0.7228062749,-0.198760286
0.847329352,0.1901318133,-0.6586654782,-0.2610685229
0.857621352,0.1333213449,-0.5829181671,-0.2873357534
0.867383352,0.06001751125,-0.5199990273,-0.2629011273
0.877444352,-0.01939497143,-0.456469059,-0.2140319049
0.887463352,-0.07376197726,-0.4002694488,-0.1462258697
0.897369352,-0.0963639915,-0.3452915847,-0.05826127157
0.907631352,-0.1104138941,-0.2750420868,0.03886630014
0.917830352,-0.2148718536,-0.2359467,0.2264019251
0.927585352,-0.2148718536,-0.2988658249,0.2264019251
0.937360352,-0.4182899892,-0.6556110978,0.3974441886
0.947294352,-0.4940372705,-0.8590292335,0.4609741867
0.957404352,-0.5508477092,-1.038623691,0.501902163
0.967501352,-0.6107125282,-1.206000686,0.5220606923
0.977361352,-0.692568481,-1.441794753,0.5483279228
0.987353352,-0.7854200006,-1.785711884,0.5935319662
0.997466352,-0.8660541773,-2.127796412,0.6570619345
1.007365352,-0.932638526,-2.385581493,0.7150941491
1.017415352,-1.001055479,-2.580447435,0.7682393789
1.027314352,-1.082911372,-2.725222588,0.84398669
1.037335352,-1.171486855,-2.824793577,0.9594402313
1.047330352,-1.267392635,-2.800969839,1.097495794
1.057379352,-1.348026872,-2.537075996,1.18179512
1.068074352,-1.33519876,-1.996460319,1.189125538
1.077325352,-1.181260705,-1.362993121,1.20500803
1.087294352,-0.9491318464,-0.8089383245,1.246546865
1.097454352,-0.6809620261,-0.5377141237,1.251433849
1.107434352,-0.4231768847,-0.5254968405,1.154306293
1.117524352,-0.1837177277,-0.6146831512,0.9771553278
1.127261352,-0.02916881628,-0.5676465034,0.7877870798
1.137345352,0.01664607786,-0.3654501438,0.631405592
1.147460352,0.037415497,-0.2383901626,0.5440518856
1.157579352,0.08994990587,-0.2512183189,0.5037347674
1.167367352,0.1113301888,-0.1589776874,0.4518111944
1.177449352,0.06979135424,0.06704246253,0.4133267105
1.187488352,-0.01634064503,0.3883575797,0.4017202556
1.197387352,-0.08170322329,0.708450973,0.3962224722
1.207372352,-0.09269879758,0.8959866166,0.38705948
1.217349352,-0.06582073122,0.8923214078,0.3302490115
1.227384352,0.004428773187,0.6834055185,0.1915826052
1.237389352,0.1149953827,0.3584251702,-0.01183551457
1.247368352,0.2096794993,0.08720101416,-0.2036471963
1.257439352,0.248164013,-0.06429356337,-0.3337614834
1.267352352,0.2530509233,-0.1999056488,-0.3979023397
1.277379352,0.2811507285,-0.4228714705,-0.4278347492
1.287303352,0.3520110846,-0.7686212063,-0.4143957198
1.297423352,0.4198171496,-1.18462038,-0.3252093792
1.307782352,0.4570799172,-1.615891337,-0.1779908538
1.317250352,0.4650211632,-2.060601234,-0.03321579844
1.327514352,0.4619668424,-2.458274364,0.0975093618
1.337350352,0.4509712756,-2.703231335,0.2184606791
1.347332352,0.4271475375,-2.726444244,0.2990948856
1.357346352,0.4137084782,-2.517528296,0.356516242
1.367317352,0.3813326359,-2.180941582,0.3003166318
1.377344352,0.3092505336,-1.796707392,0.1879174262
1.387315352,0.2200642079,-1.299463034,0.0712421611
1.397730352,0.1418734491,-0.6812674403,-0.06681338698
1.407494352,0.1363756657,-0.06490442902,-0.1639409661
1.417316352,0.2499966025,0.5477933884,-0.1755474061
1.427288352,0.4711298347,1.178206325,-0.147447601
1.437419352,0.70448035,1.79884541,-0.1205695271
1.447356352,0.8688030839,2.254550934,-0.1059087589
1.457259352,0.9408851862,2.442697287,-0.09857837856
1.467320352,0.9915869832,2.266768217,-0.06192646548
1.477483352,1.074664712,1.84527123,0.0370337069
1.487378352,1.13819468,1.515403986,0.1726457924
1.497360352,1.164461851,1.228908181,0.296651423
