t,x,y,z
80.00074169,-8.782855988,-0.2099701911,1.10608232
80.00279988,-8.701499939,-0.1944168359,1.082154036
80.00485222,-8.639883995,-0.1651047617,1.095912814
80.00691254,-8.572885513,-0.1351944804,1.128814101
80.00897676,-8.50110054,-0.09631111473,1.146760225
80.01105151,-8.429315567,-0.09032905847,1.203589797
80.01311312,-8.366504669,-0.08494520187,1.261017561
80.01517239,-8.332406998,-0.1130608693,1.32801652
80.01722037,-8.288737297,-0.1220339537,1.394417405
80.01928378,-8.240283012,-0.1262213886,1.44646132
80.02135839,-8.206783295,-0.1256231815,1.489532113
80.02342161,-8.182256699,-0.1304088384,1.561316729
80.02548199,-8.163114548,-0.1298106313,1.565504193
80.0275354,-8.134400368,-0.1058823988,1.589432478
80.02960425,-8.134400368,-0.07238288224,1.59840548
80.03166564,-8.110472679,-0.06699903309,1.612762451
80.03372632,-8.111070633,-0.0143569354,1.62652123
80.0357787,-8.106285095,-0.009571290575,1.616949916
80.03784912,-8.097311974,0.004785645287,1.583450437
80.03989992,-8.107481003,0.0382851623,1.578066587
80.04196668,-8.122436523,0.05204389244,1.526022673
80.04403538,-8.160721779,0.06161518395,1.526022673
80.04609985,-8.184649467,0.06580262631,1.492523074
80.04816501,-8.246863365,0.04127619043,1.469193101
80.05023493,-8.285148621,0.02632104978,1.473978758
80.05228279,-8.328219414,0.01136590727,1.455434322
80.05434499,-8.394619942,-0.03230310604,1.432104349
80.05640218,-8.461619377,-0.06699903309,1.432702541
80.05846735,-8.527421951,-0.1250249892,1.448255897
80.06052892,-8.603992462,-0.1543370634,1.415354609
80.06259079,-8.685347557,-0.1986042857,1.392024517
80.06465267,-8.75713253,-0.204586342,1.364507079
80.06671499,-8.84387207,-0.2147558331,1.317248821
80.06877597,-8.920442581,-0.2159522474,1.25503552
80.07084071,-8.983852386,-0.2075773627,1.174277663
80.07290786,-9.061020851,-0.1938186288,1.074377418
80.0749608,-9.114261627,-0.185443759,0.9936196208
80.0770222,-9.166903496,-0.2147558331,0.9224331379
80.07908183,-9.239286423,-0.2536391914,0.8273184299
80.08114132,-9.296115875,-0.3074777126,0.7902296782
80.08318956,-9.352945328,-0.394217521,0.7244270444
80.08526946,-9.419944763,-0.4522434771,0.6628118753
80.08733176,-9.486943245,-0.5060819983,0.5730810165
80.08939695,-9.572486877,-0.5736792088,0.5216353536
80.091454,-9.629914284,-0.6083751321,0.4408775866
80.09351608,-9.692726135,-0.6376872063,0.3463610709
80.09557958,-9.750752449,-0.6382854581,0.2703889608
80.09763912,-9.79860878,-0.6777670383,0.1944168359
80.09970068,-9.856036186,-0.7070791125,0.1232303679
80.10176145,-9.875777245,-0.7070791125,0.0568295382
80.10382025,-9.914660454,-0.7076773047,-0.03409772366
80.10587794,-9.929615974,-0.7130611539,-0.09571290761
80.10794755,-9.953543663,-0.7226324677,-0.1722832322
80.11000958,-9.992427826,-0.72323066,-0.2243271172
80.11207274,-10.0019989,-0.7375875711,-0.3050848842
80.11413243,-10.02173901,-0.7525427341,-0.3672982752
80.11619412,-10.01755238,-0.7429714203,-0.4151547253
80.11825601,-10.01755238,-0.733400166,-0.4773681164
80.12031853,-10.01276588,-0.7573283911,-0.5198407173
80.12237914,-9.994221687,-0.7668996453,-0.5533402562
80.12444077,-9.965508461,-0.7806583643,-0.6011967063
80.1264996,-9.95055294,-0.799800992,-0.6107679605
80.12855379,-9.903294563,-0.813559711,-0.6538388133
80.13062609,-9.878767967,-0.8279166222,-0.6771687865
80.13268852,-9.864411354,-0.8416753411,-0.7010970116
80.13475203,-9.817152977,-0.836291492,-0.7537391186
80.13680966,-9.783653259,-0.836291492,-0.7495517135
80.13886231,-9.745368004,-0.8452646136,-0.7495517135
80.14093422,-9.701699257,-0.8542376757,-0.7256234884
80.14299499,-9.663414001,-0.8679963946,-0.7016952634
80.14505798,-9.619745255,-0.8721838593,-0.6640082598
80.14711483,-9.595816612,-0.8769695163,-0.6496513486
80.14916382,-9.547362328,-0.8907282352,-0.6257231236
80.15124339,-9.522835732,-0.9236295223,-0.6113662124
80.1533052,-9.498908043,-0.9140582681,-0.6017948985
80.15537013,-9.479764938,-0.9230313301,-0.5970092416
80.15742756,-9.450452805,-0.9511470199,-0.5730810165
80.15948576,-9.412167549,-0.9559326172,-0.5736792088
80.16153784,-9.392427444,-0.9984052777,-0.5587241054
80.16361248,-9.382855415,-1.007976532,-0.5443671346
80.16567166,-9.358329773,-1.02711916,-0.5395814776
80.16772898,-9.353543282,-1.05523479,-0.5252245665
80.16979634,-9.329017639,-1.079162955,-0.5060819983
80.1718503,-9.314660072,-1.088136077,-0.4965106845
80.17392354,-9.290133476,-1.102493048,-0.5108676553
80.17598225,-9.275776863,-1.092921734,-0.5060819983
80.17804643,-9.276374817,-1.088136077,-0.5060819983
80.1801059,-9.270991325,-1.107278705,-0.5204389095
80.18216758,-9.26142025,-1.092323542,-0.4869394004
80.18422963,-9.285347939,-1.092921734,-0.5060819983
80.18629186,-9.295517921,-1.08335042,-0.5108676553
80.18835256,-9.294919968,-1.097707391,-0.5060819983
80.19041164,-9.295517921,-1.102493048,-0.5341976285
80.19246507,-9.300303459,-1.092921734,-0.5395814776
80.1945367,-9.290732384,-1.102493048,-0.5252245665
80.19659958,-9.304491043,-1.102493048,-0.4965106845
80.1986646,-9.308678627,-1.126421213,-0.4677968323
80.20072328,-9.332606316,-1.127019525,-0.4247260094
80.20278268,-9.355937004,-1.131805062,-0.3577269912
80.20483522,-9.379864693,-1.127019525,-0.3146561682
80.20690778,-9.41336441,-1.084546804,-0.2907279432
80.20896896,-9.433105469,-1.037288666,-0.2673979402
80.21103366,-9.424730301,-0.9649057388,-0.2823530734
80.21309262,-9.425926208,-0.8841479421,-0.3020938635
80.21515164,-9.407382011,-0.7974081635,-0.2745763958
80.21720576,-9.393623352,-0.7208378315,-0.2368894368
80.21927854,-9.36550808,-0.6819544435,-0.2279163599
80.22133927,-9.341579437,-0.6388836503,-0.199800685
80.22340363,-9.317651749,-0.6334998012,-0.1423729509
80.22546553,-9.317651749,-0.6239284873,-0.109471634
80.2275366,-9.298508644,-0.6095715761,-0.104685992
80.22958594,-9.29432106,-0.561715126,-0.1292124242
80.23164767,-9.251849174,-0.498903513,-0.1585244983
80.23370392,-9.219545364,-0.4265206456,-0.1926222295
80.23576151,-9.192028046,-0.3547359705,-0.1884347796
80.23783258,-9.159127235,-0.3014956415,-0.1938186288
80.2398918,-9.12084198,-0.2632105052,-0.1561316848
80.24194793,-9.139984131,-0.2584248483,-0.1184447184
80.2440177,-9.125029564,-0.2673979402,-0.06101697683
80.24607934,-9.124430656,-0.3248256743,-0.06041877344
80.24814008,-9.132805824,-0.4157529473,-0.02632104978
80.25018867,-9.159725189,-0.5072783828,0.003589233849
80.25226541,-9.192028046,-0.6029912829,0.02811566554
80.25432593,-9.22492981,-0.670588553,0.01495514158
80.25639127,-9.267401695,-0.7477570772,-0.01316052489
80.25844907,-9.325428009,-0.7483552694,-0.0747757107
80.26051103,-9.40199852,-0.7543373108,-0.1220339537
80.262573,-9.48873806,-0.7555337548,-0.1884347796
80.26463269,-9.570692062,-0.7375875711,-0.2554338276
80.26668565,-9.647860527,-0.7477570772,-0.2979064286
80.26875609,-9.729216576,-0.7537391186,-0.3828516304
80.27080869,-9.820742607,-0.7692924738,-0.4636093974
80.27288374,-9.87398243,-0.7651050687,-0.5491527915
80.27494252,-9.927223206,-0.7800601721,-0.6346961856
80.27700706,-9.956535339,-0.7854440212,-0.7112665176
80.27906605,-9.975079536,-0.8195417523,-0.7345965505
80.28112531,-9.98943615,-0.8578268886,-0.7914260626
80.28317998,-9.999606133,-0.8721838593,-0.8536394835
80.28525209,-9.97567749,-0.8817551732,-0.9104689956
80.28731276,-9.932606697,-0.9050851464,-0.9726824164
80.28937686,-9.894321442,-0.9284151793,-1.006181955
80.29143322,-9.851848602,-0.8991031051,-1.049252748
80.29348647,-9.803992271,-0.932602644,-1.082752228
80.29555605,-9.727422714,-0.950548768,-1.135394335
80.29762113,-9.693324089,-0.9834501147,-1.168893814
80.29968556,-9.626923561,-0.9876375198,-1.20717907
80.30174625,-9.57906723,-0.9918249846,-1.269392371
80.3038057,-9.536594391,-0.9768698215,-1.308275819
80.30586631,-9.494122505,-0.9433703423,-1.356132269
80.30792918,-9.456435204,-0.8997012973,-1.409372568
80.30999117,-9.433703423,-0.8422735929,-1.448255897
80.31205324,-9.400801659,-0.8033902049,-1.49132669
80.31411099,-9.387042999,-0.7507480979,-1.520638824
80.31615987,-9.388239861,-0.693320334,-1.569093466
80.31822862,-9.403793335,-0.6215356588,-1.574477315
80.32029946,-9.404989243,-0.5312066078,-1.632503271
80.32236468,-9.430113792,-0.4450650215,-1.6713866
80.32442706,-9.46002388,-0.3643072546,-1.715055585
80.32649211,-9.475577354,-0.2925225794,-1.748555183
80.32854635,-9.524630547,-0.2069791555,-1.801795483
80.33060881,-9.57906723,-0.1220339537,-1.840678811
80.33266788,-9.632308006,-0.06999006122,-1.855035782
80.33473225,-9.686145782,-0.008374879137,-1.902892232
80.33678997,-9.739386559,0.0484546572,-1.932204247
80.33884392,-9.797411919,0.06640082598,-1.984248161
80.34091343,-9.875179291,0.1136590764,-2.017747641
80.34296696,-9.957133293,0.1363908947,-2.084746838
80.34503855,-10.0390873,0.1639083475,-2.117648125
80.34710144,-10.13958549,0.1579262912,-2.145763636
80.34916655,-10.21196842,0.1668993831,-2.198405743
80.35122397,-10.30349445,0.1561316848,-2.250449657
80.35327349,-10.38006496,0.1405783296,-2.316252232
80.35533747,-10.46201897,0.1393819153,-2.359323025
80.35740959,-10.54337502,0.1381855011,-2.41136694
80.35947369,-10.63908768,0.1178465188,-2.425125837
80.36153555,-10.73958588,0.09750752151,-2.457428932
80.36359436,-10.84008503,0.05324030295,-2.475973129
80.36565578,-10.94417286,-0.03409772366,-2.460419893
80.36771616,-11.06740284,-0.1501496136,-2.449054003
80.36977918,-11.17986584,-0.3092723191,-2.385046005
80.37183965,-11.29232788,-0.4779663086,-2.311466694
80.37390327,-11.40419292,-0.6753742099,-2.185245275
80.37596458,-11.52503014,-0.8967102766,-2.015354872
80.37802666,-11.61176968,-1.118046403,-1.79820621
80.38008579,-11.70269775,-1.396211982,-1.532602906
80.3821412,-11.81216908,-1.693520188,-1.214357495
80.38421236,-11.88754272,-1.976471543,-0.8536394835
80.38627286,-11.95813084,-2.288136721,-0.4450650215
80.3883367,-12.01376438,-2.603989124,-0.02632104978
80.39039599,-12.05444241,-2.92941308,0.4540380836
80.392458,-12.06221867,-3.249453068,0.9200403094
80.39452039,-12.06461143,-3.602992773,1.333400369
