t,x,y,z
20.00044086,-9.741779327,-0.4097708762,-0.9421738982
20.00250679,-9.73699379,-0.4097708762,-0.9613165259
20.00457376,-9.741779327,-0.4001995921,-0.9708877802
20.00662311,-9.73699379,-0.4097708762,-0.9708877802
20.0086844,-9.741779327,-0.4145565331,-0.956530869
20.01074326,-9.756135941,-0.4049852192,-0.9661021233
20.01280804,-9.746564865,-0.4193421602,-0.9661021233
20.01486947,-9.741779327,-0.4145565331,-0.9661021233
20.01693143,-9.751350403,-0.4049852192,-0.9613165259
20.0189939,-9.73699379,-0.4193421602,-0.9756734371
20.02105461,-9.746564865,-0.4097708762,-0.9661021233
20.02311618,-9.741779327,-0.4097708762,-0.956530869
20.02517502,-9.751350403,-0.4193421602,-0.9756734371
20.02722921,-9.750752449,-0.4289134443,-0.9661021233
20.02930052,-9.746564865,-0.4241278172,-0.9613165259
20.03136044,-9.741779327,-0.4097708762,-0.985244751
20.03342714,-9.746564865,-0.4145565331,-0.9661021233
20.0354894,-9.732208252,-0.4193421602,-0.9708877802
20.0375578,-9.731609344,-0.4289134443,-0.956530869
20.03960928,-9.746564865,-0.4241278172,-0.9750752449
20.04167067,-9.727422714,-0.4193421602,-0.9613165259
20.04373016,-9.73699379,-0.4097708762,-0.9708877802
20.04579402,-9.713065147,-0.4193421602,-0.9756734371
20.04785529,-9.732208252,-0.4049852192,-0.9756734371
20.04991792,-9.722636223,-0.4049852192,-0.9613165259
20.05198018,-9.732208252,-0.4097708762,-0.9756734371
20.05404094,-9.717850685,-0.4001995921,-0.9756734371
20.05610237,-9.713065147,-0.418743968,-0.956530869
20.05816212,-9.722636223,-0.3906283081,-0.9708877802
20.06021872,-9.717850685,-0.4049852192,-0.9661021233
20.0622873,-9.727422714,-0.4001995921,-0.9421738982
20.06434898,-9.713065147,-0.4001995921,-0.9613165259
20.0664127,-9.713065147,-0.3954139352,-0.956530869
20.0684704,-9.717850685,-0.4001995921,-0.9661021233
20.07051993,-9.717850685,-0.4097708762,-0.9469595551
20.0725854,-9.73699379,-0.4001995921,-0.9517452121
20.07465724,-9.73699379,-0.4001995921,-0.9661021233
20.07672174,-9.727422714,-0.4049852192,-0.932602644
20.07878067,-9.727422714,-0.3954139352,-0.9469595551
20.08083156,-9.732208252,-0.4049852192,-0.9230313301
20.08290412,-9.727422714,-0.3858426511,-0.932602644
20.08496628,-9.731609344,-0.4145565331,-0.9230313301
20.0870296,-9.713065147,-0.394815743,-0.932602644
20.08908871,-9.717850685,-0.3954139352,-0.932602644
20.091151,-9.732208252,-0.3954139352,-0.927816987
20.09321551,-9.713065147,-0.3996013701,-0.932602644
20.09527741,-9.70827961,-0.404387027,-0.9373882413
20.09734961,-9.70827961,-0.394815743,-0.9421738982
20.09939621,-9.698708534,-0.3996013701,-0.9373882413
20.10145941,-9.70827961,-0.394815743,-0.9469595551
