t,p
0.064801727,994.3290405
0.089878507,994.3137817
0.114939743,994.3991699
0.140025557,994.524353
0.165094443,994.4938354
0.190161377,994.3320923
0.215225543,994.2680054
0.240282141,994.3381958
0.265346064,994.3656616
0.290419426,994.3137817
0.31549702,994.3015747
0.340564116,994.3320923
0.365634264,994.3565063
0.390708929,994.3717651
0.415758243,994.3900757
0.440835023,994.3778076
0.465903869,994.3381958
0.490974221,994.322937
0.516028337,994.3442993
0.541103286,994.3595581
0.566165092,994.3595581
0.591232839,994.3626099
0.616311898,994.3534546
0.641379157,994.3381958
0.666428838,994.335144
0.691504316,994.3381958
0.716570273,994.3259888
0.741638549,994.322937
0.766718219,994.3412476
0.791784338,994.3504028
0.816852207,994.3412476
0.84191849,994.3381958
0.866979848,994.3504028
0.892049956,994.3412476
0.917115872,994.3381958
0.94219489,994.3595581
0.9672628,994.3565063
0.992325705,994.335144
1.017398132,994.3320923
1.042460833,994.3381958
1.067535579,994.3168335
1.092598972,994.3076782
1.117679862,994.3320923
1.142745616,994.3565063
1.167817432,994.3412476
1.192875617,994.3259888
1.217936732,994.322937
1.243022545,994.322937
1.268091065,994.3534546
1.293159911,994.3870239
1.318218503,994.3778076
1.343287105,994.3412476
1.368357741,994.3442993
1.393431795,994.3961792
1.418498484,994.4266968
1.443563302,994.4266968
1.468627265,994.4418945
1.493692611,994.4694214
1.518753685,994.4602661
1.543830058,994.4328003
1.568896992,994.423645
1.593953427,994.4511108
1.619019506,994.4816284
1.644086887,994.4846802
1.669154349,994.4541626
1.694213877,994.4144897
1.719280932,994.3900757
1.744365932,994.3748169
1.769428756,994.3656616
1.79450102,994.3442993
1.819559937,994.3442993
1.84462862,994.3381958
1.869706784,994.3290405
1.894774246,994.3046265
1.919843214,994.2741089
1.944908478,994.2557983
1.969988758,994.2710571
1.995037543,994.2832642
2.020115911,994.2710571
2.04518557,994.2924194
2.070261537,994.3809204
2.095313537,994.4633179
2.120384865,994.4755249
2.145450944,994.4694214
2.170530369,994.4846802
2.195600924,994.5090942
2.22067099,994.499939
2.245724862,994.4572144
2.270811408,994.4144897
2.295866867,994.4297485
2.320947106,994.4755249
2.346020712,994.4572144
2.371090575,994.3839722
2.396158648,994.3565063
2.421236201,994.3809204
2.44629048,994.4083862
2.471363232,994.4328003
2.496443349,994.4144897
2.521511829,994.3656616
2.54658161,994.3534546
2.571641586,994.3931274
2.596708845,994.4083862
2.621772604,994.3717651
2.646850483,994.3687134
