t,p
20.01914423,994.3687744
20.04420445,994.3718262
20.06927375,994.3565674
20.09436306,994.3596191
20.11942333,994.3840332
20.14449067,994.399292
20.16956876,994.4023438
20.19463004,994.3748779
20.21968838,994.3413086
20.24475817,994.3382568
20.26983951,994.3504639
20.29490762,994.3474121
20.31997696,994.3748779
20.34505554,994.4145508
20.37009854,994.4023438
20.39517382,994.3535156
20.42025374,994.3443604
20.44532723,994.3718262
20.47039847,994.3748779
20.49545857,994.3718262
20.52052205,994.3718262
20.54560087,994.3657227
20.57067143,994.3504639
20.59575106,994.3657227
20.6208197,994.3931885
20.64589042,994.3840332
20.67096944,994.3504639
20.69601408,994.3443604
20.72110812,994.3748779
20.74616415,994.411499
20.77123405,994.411499
20.79631157,994.3657227
20.821384,994.3260498
20.84642973,994.3382568
20.87149834,994.3901367
20.89656759,994.399292
20.92163742,994.3687744
20.9467057,994.3687744
20.97177524,994.3901367
20.99684522,994.399292
21.02191501,994.3901367
21.04699318,994.3931885
21.07206341,994.4023438
21.09713262,994.423645
21.12219618,994.4145508
21.14726108,994.3901367
21.17233229,994.3748779
21.19740061,994.3657227
21.22247951,994.3596191
21.24753708,994.3626709
21.2726061,994.3840332
21.29767185,994.3962402
21.32274489,994.3931885
21.3478259,994.3748779
21.37289378,994.3809814
21.39797654,994.4053955
21.42302244,994.4328613
21.44808677,994.4206543
21.47316132,994.3901367
21.49822451,994.3748779
21.5233111,994.3748779
21.54838206,994.3748779
21.57345254,994.3718262
21.59851296,994.3809814
21.62358275,994.3779297
21.64865278,994.3748779
21.67373107,994.3687744
21.69880142,994.3779297
21.72386241,994.3809814
21.74892906,994.387085
21.77399246,994.399292
21.79906717,994.3901367
21.8241372,994.3657227
21.84920474,994.3657227
21.87427408,994.3748779
21.89934529,994.3626709
21.92441438,994.3413086
21.94948815,994.3443604
21.97455932,994.387085
21.9996291,994.4084473
22.02470043,994.3840332
22.04976859,994.3382568
22.07483211,994.3321533
22.09990954,994.3443604
22.12498401,994.3474121
22.15005359,994.3504639
22.17513387,994.3657227
