"t","x","y","z","Absolute"
1.446500002E-3,-1.089733887E-1,7.933502197E-2,9.834249573E0,9.835173303E0
1.148750000E-2,-1.005908203E-1,7.649093628E-2,9.838141479E0,9.838953051E0
2.152950000E-2,-1.005908203E-1,7.125183105E-2,9.841434631E0,9.842206609E0
3.157050000E-2,-1.029858398E-1,6.900650024E-2,9.844428406E0,9.845208917E0
4.161250000E-2,-1.164578247E-1,6.930587769E-2,9.833650818E0,9.834584594E0
5.165350000E-2,-1.143621826E-1,7.634124756E-2,9.832004242E0,9.832965682E0
6.169550000E-2,-1.067280579E-1,8.083190918E-2,9.839937744E0,9.840848514E0
7.173650000E-2,-1.061293030E-1,8.202941895E-2,9.837542725E0,9.838457151E0
8.177850000E-2,-1.082249451E-1,8.232879639E-2,9.834399261E0,9.835339318E0
9.181950000E-2,-1.088237000E-1,8.128097534E-2,9.836943970E0,9.837881675E0
1.018605000E-1,-1.010398865E-1,7.080276489E-2,9.833650818E0,9.834424767E0
1.119025000E-1,-1.128652954E-1,7.080276489E-2,9.839189301E0,9.840091346E0
1.219435000E-1,-1.140628052E-1,6.256988525E-2,9.840536499E0,9.841396441E0
1.319855000E-1,-1.053808594E-1,6.256988525E-2,9.843829651E0,9.844592542E0
1.420265000E-1,-1.118174744E-1,7.050338745E-2,9.845027161E0,9.845914567E0
1.520685000E-1,-1.125659180E-1,6.526428223E-2,9.839488678E0,9.840348975E0
1.621095000E-1,-1.092727661E-1,7.768844604E-2,9.830207977E0,9.831122261E0
1.721515000E-1,-1.004411316E-1,8.771759033E-2,9.832902374E0,9.833806582E0
1.821925000E-1,-1.086740112E-1,8.996292114E-2,9.834249573E0,9.835261462E0
1.922345000E-1,-1.107696533E-1,8.113128662E-2,9.845326538E0,9.846283910E0
2.022755000E-1,-1.047821045E-1,8.217910767E-2,9.842183075E0,9.843083885E0
2.123175000E-1,-1.100212097E-1,7.768844604E-2,9.833800507E0,9.834722801E0
2.223585000E-1,-1.125659180E-1,6.750961304E-2,9.846374359E0,9.847249192E0
2.324005000E-1,-1.287322998E-1,5.792953491E-2,9.837243347E0,9.838256172E0
2.424415000E-1,-1.089733887E-1,6.735992432E-2,9.859696655E0,9.860528926E0
2.524835000E-1,-1.085243225E-1,7.155120850E-2,9.815987549E0,9.816848204E0
2.625245000E-1,-1.019380188E-1,7.289840698E-2,9.839039612E0,9.839837703E0
2.725665000E-1,-9.804611206E-2,7.694000244E-2,9.846074982E0,9.846863732E0
2.826075000E-1,-9.729766846E-2,8.262817383E-2,9.830058289E0,9.830887051E0
