"t","x","y","z"
2.348327300E-2,-1.328016520E-1,-5.802594870E-2,9.685547829E0
2.586014800E-2,-1.190429255E-1,-4.366901144E-2,9.753145218E0
2.823702300E-2,-1.058823988E-1,-3.469592705E-2,9.839286804E0
3.061389800E-2,-1.058823988E-1,-4.905286431E-2,9.863214493E0
3.299072100E-2,-1.004985496E-1,-6.281159073E-2,9.810572624E0
3.536759600E-2,-1.052841991E-1,-5.324030295E-2,9.767501831E0
3.774447100E-2,-1.148554832E-1,-5.324030295E-2,9.786046028E0
4.012134600E-2,-1.148554832E-1,-5.862415582E-2,9.809974670E0
4.249822100E-2,-1.052841991E-1,-4.426721856E-2,9.815358162E0
4.487509600E-2,-1.196411327E-1,-5.862415582E-2,9.805189133E0
4.725197100E-2,-1.196411327E-1,-6.281159073E-2,9.795618057E0
4.962879400E-2,-1.100698411E-1,-5.324030295E-2,9.796216011E0
5.200566900E-2,-1.052841991E-1,-6.281159073E-2,9.801001549E0
5.438254400E-2,-1.196411327E-1,-5.383851007E-2,9.814760208E0
5.675941900E-2,-1.004985496E-1,-5.802594870E-2,9.796216011E0
5.913629400E-2,-1.100698411E-1,-5.324030295E-2,9.805787086E0
6.151311700E-2,-1.100698411E-1,-6.759724021E-2,9.819545746E0
6.388999200E-2,-1.052841991E-1,-4.845465720E-2,9.801001549E0
6.626686700E-2,-1.004985496E-1,-4.426721856E-2,9.810572624E0
6.864374200E-2,-1.100698411E-1,-5.324030295E-2,9.801001549E0
7.102061700E-2,-1.100698411E-1,-4.905286431E-2,9.805787086E0
7.339749200E-2,-9.571290761E-2,-6.759724021E-2,9.815358162E0
7.577431500E-2,-9.571290761E-2,-5.324030295E-2,9.810572624E0
7.815119000E-2,-1.010967568E-1,-3.948157281E-2,9.829715729E0
8.052806500E-2,-1.100698411E-1,-5.862415582E-2,9.815358162E0
8.290494000E-2,-9.571290761E-2,-3.948157281E-2,9.815358162E0
8.528181500E-2,-1.196411327E-1,-6.281159073E-2,9.790832520E0
8.765869000E-2,-9.571290761E-2,-4.366901144E-2,9.801001549E0
9.003551300E-2,-9.092725813E-2,-4.366901144E-2,9.786644936E0
9.241238800E-2,-1.100698411E-1,-2.991028316E-2,9.781859398E0
9.478926300E-2,-1.004985496E-1,-4.366901144E-2,9.791430473E0
9.716613800E-2,-1.100698411E-1,-5.802594870E-2,9.805787086E0
9.954301300E-2,-1.100698411E-1,-5.802594870E-2,9.791430473E0
1.019198880E-1,-1.004985496E-1,-6.281159073E-2,9.801001549E0
1.042967110E-1,-1.010967568E-1,-4.426721856E-2,9.820143700E0
1.066735860E-1,-1.004985496E-1,-3.948157281E-2,9.815358162E0
1.090504610E-1,-9.092725813E-2,-5.324030295E-2,9.801001549E0
1.114273360E-1,-9.571290761E-2,-5.802594870E-2,9.791430473E0
1.138042110E-1,-9.571290761E-2,-4.366901144E-2,9.786644936E0
1.161810860E-1,-1.052841991E-1,-4.905286431E-2,9.815358162E0
1.185579610E-1,-1.052841991E-1,-5.802594870E-2,9.810572624E0
1.209347830E-1,-1.148554832E-1,-5.324030295E-2,9.800403595E0
1.233116580E-1,-1.100698411E-1,-4.366901144E-2,9.786644936E0
1.256885330E-1,-1.100698411E-1,-6.759724021E-2,9.795618057E0
1.280654080E-1,-1.148554832E-1,-6.281159073E-2,9.800403595E0
1.304422830E-1,-1.004985496E-1,-5.802594870E-2,9.791430473E0
1.328191580E-1,-1.052841991E-1,-5.802594870E-2,9.791430473E0
1.351959810E-1,-1.052841991E-1,-6.281159073E-2,9.791430473E0
1.375728560E-1,-9.092725813E-2,-5.324030295E-2,9.796216011E0
1.399497310E-1,-1.196411327E-1,-6.281159073E-2,9.790832520E0
1.423266060E-1,-1.148554832E-1,-5.802594870E-2,9.795618057E0
1.447034810E-1,-1.100698411E-1,-6.281159073E-2,9.795618057E0
1.470803560E-1,-1.244267747E-1,-5.802594870E-2,9.795618057E0
1.494571790E-1,-1.100698411E-1,-7.238288224E-2,9.819545746E0
1.518340540E-1,-1.100698411E-1,-6.281159073E-2,9.805189133E0
1.542109290E-1,-1.100698411E-1,-7.716853172E-2,9.805189133E0
1.565878040E-1,-1.148554832E-1,-6.281159073E-2,9.795618057E0
1.589646790E-1,-1.196411327E-1,-6.759724021E-2,9.809974670E0
1.613415540E-1,-1.100698411E-1,-6.759724021E-2,9.795618057E0
1.637183770E-1,-1.052841991E-1,-5.802594870E-2,9.805787086E0
1.660952520E-1,-1.052841991E-1,-7.238288224E-2,9.814760208E0
1.684721270E-1,-1.100698411E-1,-7.238288224E-2,9.776474953E0
1.708490020E-1,-1.052841991E-1,-7.716853172E-2,9.809974670E0
1.732258770E-1,-1.058823988E-1,-5.862415582E-2,9.820143700E0
1.756027520E-1,-1.244267747E-1,-5.862415582E-2,9.805189133E0
1.779795750E-1,-1.196411327E-1,-5.802594870E-2,9.800403595E0
1.803564500E-1,-1.052841991E-1,-5.802594870E-2,9.805787086E0
1.827333250E-1,-1.148554832E-1,-6.340979785E-2,9.814760208E0
1.851102000E-1,-1.004985496E-1,-6.759724021E-2,9.805787086E0
1.874870750E-1,-1.004985496E-1,-5.324030295E-2,9.786644936E0
1.898639500E-1,-1.052841991E-1,-5.383851007E-2,9.810572624E0
1.922407730E-1,-1.100698411E-1,-6.759724021E-2,9.809974670E0
1.946176480E-1,-8.614161611E-2,-7.716853172E-2,9.801001549E0
1.969945230E-1,-1.052841991E-1,-6.281159073E-2,9.801001549E0
1.993713980E-1,-1.052841991E-1,-6.281159073E-2,9.810572624E0
2.017482730E-1,-1.148554832E-1,-6.281159073E-2,9.800403595E0
2.041251480E-1,-1.148554832E-1,-6.759724021E-2,9.790832520E0
2.065020230E-1,-1.100698411E-1,-6.281159073E-2,9.800403595E0
2.088788460E-1,-1.100698411E-1,-6.281159073E-2,9.805189133E0
2.112557210E-1,-9.092725813E-2,-5.324030295E-2,9.786644936E0
2.136325960E-1,-1.004985496E-1,-7.238288224E-2,9.786644936E0
2.160094710E-1,-9.571290761E-2,-6.759724021E-2,9.796216011E0
2.183863460E-1,-1.052841991E-1,-8.195417374E-2,9.805189133E0
2.207632210E-1,-1.052841991E-1,-5.802594870E-2,9.801001549E0
2.231400440E-1,-1.004985496E-1,-6.759724021E-2,9.796216011E0
2.255169190E-1,-1.052841991E-1,-6.281159073E-2,9.801001549E0
2.278937940E-1,-9.571290761E-2,-6.281159073E-2,9.805787086E0
2.302706690E-1,-9.092725813E-2,-5.324030295E-2,9.805787086E0
2.326475440E-1,-9.092725813E-2,-7.238288224E-2,9.805787086E0
2.350243670E-1,-1.100698411E-1,-5.324030295E-2,9.805787086E0
2.374012420E-1,-1.196411327E-1,-6.759724021E-2,9.805189133E0
2.397781170E-1,-1.100698411E-1,-5.802594870E-2,9.805787086E0
2.421549920E-1,-1.052841991E-1,-6.281159073E-2,9.805787086E0
2.445318670E-1,-8.135596663E-2,-5.802594870E-2,9.810572624E0
2.469087420E-1,-1.004985496E-1,-5.802594870E-2,9.815358162E0
2.492856170E-1,-1.100698411E-1,-6.759724021E-2,9.809974670E0
2.516624920E-1,-1.004985496E-1,-5.802594870E-2,9.801001549E0
2.540393150E-1,-1.004985496E-1,-5.324030295E-2,9.791430473E0
2.564161900E-1,-9.571290761E-2,-6.759724021E-2,9.796216011E0
2.587930650E-1,-1.148554832E-1,-6.281159073E-2,9.800403595E0
2.611699400E-1,-1.148554832E-1,-6.281159073E-2,9.805189133E0
2.635468150E-1,-1.100698411E-1,-6.281159073E-2,9.800403595E0
2.659236380E-1,-1.148554832E-1,-6.281159073E-2,9.790832520E0
2.683005130E-1,-1.100698411E-1,-5.802594870E-2,9.791430473E0
2.706773880E-1,-1.010967568E-1,-5.862415582E-2,9.824930191E0
2.730542630E-1,-1.250249892E-1,-4.905286431E-2,9.819545746E0
2.754311380E-1,-1.196411327E-1,-4.905286431E-2,9.805189133E0
2.778080130E-1,-1.244267747E-1,-6.281159073E-2,9.805189133E0
2.801848360E-1,-1.244267747E-1,-6.819544733E-2,9.814760208E0
2.825617110E-1,-1.052841991E-1,-6.281159073E-2,9.815358162E0
2.849385860E-1,-1.148554832E-1,-5.862415582E-2,9.809974670E0
2.873154610E-1,-1.100698411E-1,-6.759724021E-2,9.800403595E0
2.896923360E-1,-1.004985496E-1,-6.281159073E-2,9.801001549E0
2.920692110E-1,-1.148554832E-1,-5.802594870E-2,9.790832520E0
2.944460330E-1,-1.004985496E-1,-4.845465720E-2,9.801001549E0
2.968229080E-1,-1.004985496E-1,-3.888336942E-2,9.786644936E0
2.991997830E-1,-1.148554832E-1,-6.281159073E-2,9.795618057E0
3.015766580E-1,-9.571290761E-2,-5.802594870E-2,9.786644936E0
3.039535330E-1,-1.100698411E-1,-5.802594870E-2,9.805787086E0
3.063304080E-1,-1.100698411E-1,-6.281159073E-2,9.790832520E0
