"t","x","y","z"
3.008389800E-2,4.581354442E-4,-2.596100792E-3,-3.054236295E-4
3.246072100E-2,-2.137965523E-3,1.068982761E-3,-1.527118147E-3
3.483759600E-2,-2.137965523E-3,-1.527118147E-4,9.162708884E-4
3.721447100E-2,-7.635590737E-4,-1.527118147E-4,9.162708884E-4
3.959134600E-2,4.581354442E-4,-1.527118147E-4,2.137965523E-3
4.196822100E-2,1.679830020E-3,1.068982761E-3,9.162708884E-4
4.434509600E-2,-7.635590737E-4,1.068982761E-3,-3.054236295E-4
4.672197100E-2,4.581354442E-4,-1.374406274E-3,9.162708884E-4
4.909879400E-2,1.679830020E-3,-1.527118147E-4,9.162708884E-4
5.147566900E-2,4.581354442E-4,1.068982761E-3,-1.527118147E-3
5.385254400E-2,4.581354442E-4,2.290677279E-3,-3.054236295E-4
5.622941900E-2,-7.635590737E-4,1.068982761E-3,-3.054236295E-4
5.860629400E-2,4.581354442E-4,-1.527118147E-4,-3.054236295E-4
6.098311700E-2,1.679830020E-3,1.068982761E-3,-3.054236295E-4
6.335999200E-2,-7.635590737E-4,-1.527118147E-4,-3.054236295E-4
6.573686700E-2,-7.635590737E-4,-1.527118147E-4,-3.054236295E-4
6.811374200E-2,4.581354442E-4,-1.527118147E-4,9.162708884E-4
7.049061700E-2,4.581354442E-4,1.068982761E-3,9.162708884E-4
7.286749200E-2,4.581354442E-4,1.068982761E-3,-3.054236295E-4
7.524431500E-2,4.581354442E-4,-1.527118147E-4,-3.054236295E-4
7.762119000E-2,-7.635590737E-4,-1.527118147E-4,-1.527118147E-3
7.999806500E-2,4.581354442E-4,-1.527118147E-4,-3.054236295E-4
8.237494000E-2,1.679830020E-3,1.068982761E-3,-3.054236295E-4
8.475181500E-2,4.581354442E-4,1.068982761E-3,-3.054236295E-4
8.712869000E-2,4.581354442E-4,1.068982761E-3,-1.527118147E-3
8.950551300E-2,4.581354442E-4,-1.374406274E-3,-3.054236295E-4
9.188238800E-2,4.581354442E-4,-1.374406274E-3,9.162708884E-4
9.425926300E-2,-7.635590737E-4,-1.374406274E-3,-1.527118147E-3
9.663613800E-2,1.679830020E-3,-1.374406274E-3,-3.054236295E-4
9.901301300E-2,4.581354442E-4,-1.374406274E-3,9.162708884E-4
1.013898880E-1,4.581354442E-4,1.068982761E-3,4.581354558E-3
1.037667110E-1,-7.635590737E-4,1.068982761E-3,9.162708884E-4
1.061435860E-1,4.581354442E-4,-1.527118147E-4,-3.054236295E-4
1.085204610E-1,4.581354442E-4,2.290677279E-3,2.137965523E-3
1.108973360E-1,4.581354442E-4,2.290677279E-3,2.137965523E-3
1.132742110E-1,-2.137965523E-3,2.290677279E-3,2.137965523E-3
1.156510860E-1,4.581354442E-4,1.068982761E-3,9.162708884E-4
1.180279610E-1,1.679830020E-3,1.068982761E-3,-1.527118147E-3
1.204047830E-1,2.901524538E-3,-1.374406274E-3,-3.054236295E-4
1.227816580E-1,-7.635590737E-4,-2.596100792E-3,9.162708884E-4
1.251585330E-1,-7.635590737E-4,-1.527118147E-4,9.162708884E-4
1.275354080E-1,-3.359660041E-3,1.068982761E-3,-1.527118147E-3
1.299122830E-1,4.581354442E-4,-1.527118147E-4,-3.054236295E-4
1.322891580E-1,4.581354442E-4,-1.374406274E-3,9.162708884E-4
1.346659810E-1,-7.635590737E-4,-1.527118147E-4,-1.527118147E-3
1.370428560E-1,-2.137965523E-3,-1.527118147E-4,9.162708884E-4
1.394197310E-1,4.581354442E-4,2.290677279E-3,-3.054236295E-4
1.417966060E-1,-7.635590737E-4,-1.374406274E-3,-1.527118147E-3
1.441734810E-1,4.581354442E-4,-1.374406274E-3,-3.054236295E-4
1.465503560E-1,-7.635590737E-4,-1.527118147E-4,-3.054236295E-4
1.489271790E-1,-7.635590737E-4,1.068982761E-3,-1.527118147E-3
1.513040540E-1,-7.635590737E-4,3.359660041E-3,-3.054236295E-4
1.536809290E-1,4.581354442E-4,-2.596100792E-3,-1.527118147E-3
1.560578040E-1,4.581354442E-4,1.068982761E-3,-1.527118147E-3
1.584346790E-1,4.581354442E-4,-1.527118147E-4,-1.527118147E-3
1.608115540E-1,4.581354442E-4,-1.374406274E-3,-2.748812549E-3
1.631883770E-1,4.581354442E-4,1.068982761E-3,-3.054236295E-4
1.655652520E-1,4.581354442E-4,-2.596100792E-3,-3.054236295E-4
1.679421270E-1,-7.635590737E-4,-2.596100792E-3,-3.054236295E-4
1.703190020E-1,4.581354442E-4,2.290677279E-3,-3.054236295E-4
1.726958770E-1,4.581354442E-4,1.068982761E-3,-1.527118147E-3
1.750727520E-1,1.679830020E-3,-1.374406274E-3,9.162708884E-4
1.774495750E-1,1.679830020E-3,-1.527118147E-4,9.162708884E-4
1.798264500E-1,-7.635590737E-4,-1.374406274E-3,-1.527118147E-3
1.822033250E-1,-2.137965523E-3,1.068982761E-3,9.162708884E-4
1.845802000E-1,-3.359660041E-3,-1.527118147E-4,-3.054236295E-4
1.869570750E-1,-7.635590737E-4,-1.374406274E-3,9.162708884E-4
1.893339500E-1,4.581354442E-4,-1.374406274E-3,2.137965523E-3
1.917107730E-1,4.581354442E-4,-1.527118147E-4,9.162708884E-4
1.940876480E-1,1.679830020E-3,-1.374406274E-3,-3.054236295E-4
1.964645230E-1,-7.635590737E-4,-1.374406274E-3,-1.527118147E-3
1.988413980E-1,4.581354442E-4,-1.527118147E-4,-1.527118147E-3
2.012182730E-1,4.581354442E-4,-1.527118147E-4,9.162708884E-4
2.035951480E-1,-7.635590737E-4,-1.374406274E-3,-3.054236295E-4
2.059720230E-1,-7.635590737E-4,-1.374406274E-3,-1.527118147E-3
2.083488460E-1,-7.635590737E-4,-1.527118147E-4,9.162708884E-4
2.107257210E-1,-7.635590737E-4,-1.527118147E-4,9.162708884E-4
2.131025960E-1,4.581354442E-4,1.068982761E-3,9.162708884E-4
2.154794710E-1,4.581354442E-4,1.068982761E-3,-1.527118147E-3
2.178563460E-1,4.581354442E-4,1.068982761E-3,-1.527118147E-3
2.202332210E-1,-7.635590737E-4,1.068982761E-3,-2.748812549E-3
2.226100440E-1,-7.635590737E-4,-1.374406274E-3,9.162708884E-4
2.249869190E-1,1.679830020E-3,-1.374406274E-3,-3.054236295E-4
2.273637940E-1,1.679830020E-3,-1.527118147E-4,-3.054236295E-4
2.297406690E-1,1.679830020E-3,1.068982761E-3,-1.527118147E-3
2.321175440E-1,-7.635590737E-4,1.068982761E-3,-1.527118147E-3
2.344943670E-1,-7.635590737E-4,-3.817795310E-3,9.162708884E-4
2.368712420E-1,4.581354442E-4,-1.374406274E-3,-3.054236295E-4
2.392481170E-1,4.581354442E-4,1.068982761E-3,-3.054236295E-4
2.416249920E-1,1.679830020E-3,1.068982761E-3,-1.527118147E-3
2.440018670E-1,-7.635590737E-4,1.068982761E-3,9.162708884E-4
2.463787420E-1,-7.635590737E-4,-1.527118147E-4,9.162708884E-4
2.487556170E-1,-7.635590737E-4,1.068982761E-3,-1.527118147E-3
2.511324920E-1,-2.137965523E-3,-1.527118147E-4,-3.054236295E-4
2.535093150E-1,4.581354442E-4,-1.527118147E-4,-3.054236295E-4
2.558861900E-1,4.581354442E-4,1.068982761E-3,9.162708884E-4
2.582630650E-1,-7.635590737E-4,-1.527118147E-4,2.137965523E-3
2.606399400E-1,-7.635590737E-4,1.068982761E-3,2.137965523E-3
2.630168150E-1,-2.137965523E-3,-1.527118147E-4,2.137965523E-3
2.653936380E-1,4.581354442E-4,-2.596100792E-3,9.162708884E-4
2.677705130E-1,-2.137965523E-3,1.068982761E-3,-3.054236295E-4
2.701473880E-1,4.581354442E-4,1.068982761E-3,9.162708884E-4
2.725242630E-1,4.581354442E-4,-1.374406274E-3,2.137965523E-3
2.749011380E-1,-7.635590737E-4,2.290677279E-3,-3.054236295E-4
2.772780130E-1,4.581354442E-4,-1.374406274E-3,-3.054236295E-4
2.796548360E-1,4.581354442E-4,1.068982761E-3,9.162708884E-4
2.820317110E-1,4.581354442E-4,2.290677279E-3,9.162708884E-4
2.844085860E-1,-7.635590737E-4,-1.374406274E-3,-3.054236295E-4
2.867854610E-1,4.581354442E-4,-1.527118147E-4,-3.054236295E-4
2.891623360E-1,4.581354442E-4,1.068982761E-3,2.137965523E-3
2.915392110E-1,-7.635590737E-4,1.068982761E-3,-3.054236295E-4
2.939160330E-1,4.581354442E-4,-1.374406274E-3,-3.054236295E-4
2.962929080E-1,-7.635590737E-4,-1.374406274E-3,-1.527118147E-3
2.986697830E-1,4.581354442E-4,-1.527118147E-4,9.162708884E-4
3.010466580E-1,-7.635590737E-4,1.068982761E-3,9.162708884E-4
3.034235330E-1,4.581354442E-4,-2.596100792E-3,-3.054236295E-4
3.058004080E-1,4.581354442E-4,2.290677279E-3,-3.054236295E-4
3.081772310E-1,4.581354442E-4,1.068982761E-3,-3.054236295E-4
3.105541060E-1,-7.635590737E-4,1.068982761E-3,9.162708884E-4
3.129309810E-1,4.581354442E-4,1.068982761E-3,-3.054236295E-4
3.153078560E-1,-7.635590737E-4,1.068982761E-3,9.162708884E-4
3.176847310E-1,4.581354442E-4,3.359660041E-3,-3.054236295E-4
3.200616060E-1,-7.635590737E-4,1.068982761E-3,-3.054236295E-4
3.224384810E-1,4.581354442E-4,1.068982761E-3,2.137965523E-3
3.248153040E-1,-7.635590737E-4,1.068982761E-3,2.137965523E-3
3.271921790E-1,-7.635590737E-4,-1.527118147E-4,-3.054236295E-4
3.295690540E-1,-7.635590737E-4,1.068982761E-3,-3.054236295E-4
3.319459290E-1,4.581354442E-4,1.068982761E-3,-3.054236295E-4
3.343228040E-1,-7.635590737E-4,-1.527118147E-4,-3.054236295E-4
3.366996270E-1,-7.635590737E-4,-1.527118147E-4,-3.054236295E-4
3.390765020E-1,-2.137965523E-3,-1.527118147E-4,-3.054236295E-4
3.414533770E-1,1.679830020E-3,-1.527118147E-4,-3.054236295E-4
3.438302520E-1,1.679830020E-3,1.068982761E-3,9.162708884E-4
3.462071270E-1,1.679830020E-3,-1.527118147E-4,3.359660041E-3
3.485840020E-1,4.581354442E-4,1.068982761E-3,-3.054236295E-4
3.509608250E-1,4.581354442E-4,1.068982761E-3,-1.527118147E-3
3.533377000E-1,4.581354442E-4,-1.527118147E-4,-3.054236295E-4
3.557145750E-1,-7.635590737E-4,-1.527118147E-4,9.162708884E-4
3.580914500E-1,-7.635590737E-4,-1.527118147E-4,-3.054236295E-4
3.604683250E-1,-7.635590737E-4,-1.374406274E-3,9.162708884E-4
3.628452000E-1,4.581354442E-4,1.068982761E-3,-1.527118147E-3
3.652220750E-1,-7.635590737E-4,-1.527118147E-4,9.162708884E-4
3.675988980E-1,-2.137965523E-3,-1.527118147E-4,9.162708884E-4
3.699757730E-1,-7.635590737E-4,1.068982761E-3,-1.527118147E-3
3.723526480E-1,-7.635590737E-4,1.068982761E-3,-1.527118147E-3
3.747295230E-1,-7.635590737E-4,-1.527118147E-4,2.137965523E-3
3.771063980E-1,-7.635590737E-4,-2.596100792E-3,9.162708884E-4
3.794832730E-1,4.581354442E-4,-1.374406274E-3,-3.054236295E-4
3.818600960E-1,4.581354442E-4,-1.527118147E-4,9.162708884E-4
3.842369710E-1,4.581354442E-4,1.068982761E-3,-3.054236295E-4
3.866138460E-1,4.581354442E-4,1.068982761E-3,-1.527118147E-3
3.889907210E-1,-2.137965523E-3,-1.527118147E-4,-2.748812549E-3
3.913675960E-1,-2.137965523E-3,1.068982761E-3,-1.527118147E-3
3.937444710E-1,4.581354442E-4,-1.527118147E-4,-3.054236295E-4
3.961212940E-1,4.581354442E-4,-1.527118147E-4,9.162708884E-4
3.984981690E-1,-7.635590737E-4,1.068982761E-3,2.137965523E-3
4.008750440E-1,-7.635590737E-4,-1.527118147E-4,9.162708884E-4
4.032519190E-1,-7.635590737E-4,-1.374406274E-3,-3.054236295E-4
