"t","p"
8.799228300E-2,9.881458130E2
1.279911380E-1,9.881171265E2
1.679927520E-1,9.880731812E2
2.079904610E-1,9.880833740E2
2.479918150E-1,9.880756836E2
2.879878560E-1,9.880368042E2
3.279853040E-1,9.880495605E2
3.679834810E-1,9.880498047E2
4.079845230E-1,9.880213013E2
4.479947830E-1,9.880419312E2
4.879823360E-1,9.880366211E2
5.279906170E-1,9.880393677E2
5.679838460E-1,9.880289917E2
6.079883250E-1,9.880056152E2
6.479841060E-1,9.880289917E2
6.879852520E-1,9.880289917E2
7.279911900E-1,9.880238647E2
7.679963460E-1,9.880185547E2
8.079824400E-1,9.880081177E2
8.479845230E-1,9.880338745E2
8.879922830E-1,9.880343018E2
9.279904610E-1,9.880289917E2
9.679887940E-1,9.880211182E2
1.007987127E0,9.880416870E2
1.047987075E0,9.880368042E2
1.087988117E0,9.880081177E2
1.127989367E0,9.880289917E2
1.167980825E0,9.880393677E2
1.207988481E0,9.880211182E2
1.247996815E0,9.880211182E2
1.287983065E0,9.880211182E2
1.327989106E0,9.880261841E2
1.367988533E0,9.880185547E2
1.407989367E0,9.880419312E2
1.447979940E0,9.880211182E2
1.487980669E0,9.880261841E2
1.527978013E0,9.880158081E2
1.567983065E0,9.880159912E2
1.607981606E0,9.880314941E2
1.647984158E0,9.880419312E2
1.687982440E0,9.880393677E2
1.727977596E0,9.880261841E2
1.767978898E0,9.880444946E2
1.807980200E0,9.880313110E2
1.847982179E0,9.880393677E2
1.887980044E0,9.880003052E2
1.927984836E0,9.880106812E2
1.967978638E0,9.880419312E2
2.007981033E0,9.880187378E2
2.047981033E0,9.880030518E2
2.087979158E0,9.880187378E2
2.127978533E0,9.880134277E2
2.167979783E0,9.880213013E2
2.207980929E0,9.879979248E2
2.247983325E0,9.880393677E2
2.287982075E0,9.880236206E2
2.327980461E0,9.880187378E2
2.367977492E0,9.880081177E2
2.407985721E0,9.880521240E2
2.447982231E0,9.879928589E2
2.487979731E0,9.880213013E2
2.527984106E0,9.880289917E2
2.567983065E0,9.880083618E2
2.607978898E0,9.880213013E2
2.647980304E0,9.880236206E2
2.687982127E0,9.880498047E2
2.727987752E0,9.880314941E2
2.767979940E0,9.880106812E2
2.807982023E0,9.880236206E2
2.847982023E0,9.880472412E2
2.887987336E0,9.880469971E2
2.927978690E0,9.880548706E2
2.967982544E0,9.880083618E2
3.007979263E0,9.880109253E2
3.047981971E0,9.880289917E2
3.087980044E0,9.880211182E2
3.127977752E0,9.880030518E2
3.167981398E0,9.880343018E2
3.207979888E0,9.880264282E2
3.247979679E0,9.880314941E2
3.287982336E0,9.880109253E2
3.327986190E0,9.880366211E2
3.367983117E0,9.880081177E2
3.407982023E0,9.879953613E2
3.447983846E0,9.880213013E2
3.487977388E0,9.880238647E2
3.527977700E0,9.880264282E2
3.567980252E0,9.880289917E2
3.607986033E0,9.880314941E2
3.647984106E0,9.880289917E2
3.687978638E0,9.880213013E2
3.727980200E0,9.880081177E2
3.767978117E0,9.880289917E2
3.807980044E0,9.880343018E2
3.847981398E0,9.880159912E2
3.887982804E0,9.879900513E2
3.927984106E0,9.880134277E2
3.967979419E0,9.880211182E2
4.007981867E0,9.880134277E2
4.047987648E0,9.880053711E2
4.087984002E0,9.880187378E2
4.127981502E0,9.880159912E2
4.167984158E0,9.880081177E2
4.207988273E0,9.880109253E2
4.247981919E0,9.880264282E2
4.287980877E0,9.880185547E2
4.327978533E0,9.880264282E2
4.367980981E0,9.879979248E2
4.407983586E0,9.880238647E2
4.448012804E0,9.880134277E2
4.487982596E0,9.880343018E2
4.527986606E0,9.880159912E2
4.567981190E0,9.880264282E2
4.607984627E0,9.880238647E2
4.647980461E0,9.880056152E2
4.687978065E0,9.880109253E2
4.727981086E0,9.880314941E2
4.767979523E0,9.880264282E2
4.807983690E0,9.880057983E2
4.847982283E0,9.880213013E2
4.887979211E0,9.880287476E2
4.927978013E0,9.880236206E2
4.967983377E0,9.880187378E2
5.007978846E0,9.880056152E2
5.047981554E0,9.880213013E2
5.087978273E0,9.880289917E2
5.127978950E0,9.879847412E2
5.167977700E0,9.880030518E2
5.207981346E0,9.879953613E2
5.247980721E0,9.880238647E2
5.287987440E0,9.880030518E2
5.327983586E0,9.880314941E2
5.367979106E0,9.880081177E2
5.407979002E0,9.880159912E2
5.447980721E0,9.880314941E2
5.487979888E0,9.880053711E2
5.527982283E0,9.880030518E2
5.567977544E0,9.880004883E2
5.607983846E0,9.880185547E2
5.647977388E0,9.879847412E2
5.687987127E0,9.880134277E2
5.727980461E0,9.879977417E2
5.767979419E0,9.880187378E2
5.807983325E0,9.879977417E2
5.847981294E0,9.879875488E2
5.887980981E0,9.880419312E2
5.927982127E0,9.880393677E2
5.967980148E0,9.880134277E2
6.007991658E0,9.880213013E2
6.047979731E0,9.880030518E2
6.087979888E0,9.879953613E2
6.127978429E0,9.880238647E2
6.167983950E0,9.880083618E2
6.207978898E0,9.880574341E2
6.247979679E0,9.879928589E2
6.287984367E0,9.880187378E2
6.327977648E0,9.880056152E2
6.367985669E0,9.880187378E2
6.407982388E0,9.879900513E2
6.447981450E0,9.880106812E2
6.487980461E0,9.880187378E2
6.527983638E0,9.880081177E2
6.567981346E0,9.880109253E2
6.607987648E0,9.880081177E2
6.647981086E0,9.880109253E2
6.687980304E0,9.879979248E2
6.727984627E0,9.880213013E2
6.767982231E0,9.880213013E2
6.807977231E0,9.880261841E2
6.847981346E0,9.879979248E2
6.887983481E0,9.880004883E2
6.927982231E0,9.880187378E2
6.967981763E0,9.880187378E2
7.007980721E0,9.879900513E2
7.047978742E0,9.880081177E2
7.087989888E0,9.879979248E2
7.127982336E0,9.880081177E2
7.167983481E0,9.880109253E2
7.207983586E0,9.880132446E2
7.247978586E0,9.879979248E2
7.287979523E0,9.879928589E2
7.327979002E0,9.880109253E2
7.367981554E0,9.880446777E2
7.407986190E0,9.880187378E2
7.447977648E0,9.880187378E2
7.487980200E0,9.880081177E2
7.527981190E0,9.880030518E2
7.567981763E0,9.880109253E2
7.607984836E0,9.880187378E2
7.647993481E0,9.880081177E2
7.687980981E0,9.880159912E2
7.727979367E0,9.880081177E2
7.767981919E0,9.879900513E2
7.807983950E0,9.879873047E2
7.847987179E0,9.879951782E2
7.887982804E0,9.880343018E2
7.927980721E0,9.880159912E2
7.967981867E0,9.880004883E2
8.007987127E0,9.880213013E2
8.047983117E0,9.880134277E2
8.087980981E0,9.880003052E2
8.127983846E0,9.880314941E2
8.167980721E0,9.880134277E2
8.207977961E0,9.879953613E2
8.247988950E0,9.880213013E2
8.287982023E0,9.879928589E2
8.327982440E0,9.880187378E2
8.367981502E0,9.880187378E2
8.407987283E0,9.880187378E2
8.447979158E0,9.880159912E2
8.487982336E0,9.880159912E2
8.527983221E0,9.880109253E2
8.567981502E0,9.880028076E2
8.607979940E0,9.880109253E2
8.647977544E0,9.879953613E2
8.687981606E0,9.880056152E2
8.727980669E0,9.880238647E2
8.767980825E0,9.879900513E2
8.807982283E0,9.880368042E2
8.847979315E0,9.879951782E2
8.887980773E0,9.879951782E2
8.927977961E0,9.880134277E2
8.967979836E0,9.879953613E2
9.007982908E0,9.880289917E2
9.047977075E0,9.880109253E2
9.087983325E0,9.880081177E2
9.127979992E0,9.880109253E2
9.167982648E0,9.880185547E2
9.207979419E0,9.879953613E2
9.247982596E0,9.879875488E2
9.287981502E0,9.879694824E2
9.327977908E0,9.880004883E2
9.367978429E0,9.879745483E2
9.407984888E0,9.879666748E2
9.447981450E0,9.879977417E2
9.487982075E0,9.880109253E2
9.527977231E0,9.880132446E2
9.567980200E0,9.880003052E2
9.607982908E0,9.880030518E2
9.647984575E0,9.880053711E2
9.687982179E0,9.880081177E2
9.727981502E0,9.879900513E2
9.767979940E0,9.880187378E2
9.807984888E0,9.879928589E2
9.847983325E0,9.880236206E2
9.887983898E0,9.880343018E2
9.927979836E0,9.879926147E2
9.967986606E0,9.880056152E2
1.000798359E1,9.880134277E2
1.004797822E1,9.880053711E2
1.008798760E1,9.880028076E2
1.012798249E1,9.880185547E2
1.016797916E1,9.880030518E2
1.020798984E1,9.879979248E2
1.024798228E1,9.879875488E2
1.028798093E1,9.880134277E2
1.032798374E1,9.880004883E2
1.036797947E1,9.880081177E2
1.040798426E1,9.880056152E2
1.044798593E1,9.879951782E2
1.048798046E1,9.880211182E2
1.052798275E1,9.879900513E2
1.056797728E1,9.879900513E2
1.060798135E1,9.879953613E2
1.064798536E1,9.879953613E2
1.068798442E1,9.880238647E2
1.072797822E1,9.880159912E2
1.076798067E1,9.879849854E2
1.080798879E1,9.880056152E2
1.084799905E1,9.880081177E2
1.088798103E1,9.880081177E2
1.092798161E1,9.880056152E2
1.096797994E1,9.880340576E2
1.100797874E1,9.879773560E2
1.104798202E1,9.880185547E2
1.108798322E1,9.880314941E2
1.112798249E1,9.879979248E2
1.116797968E1,9.879849854E2
1.120798385E1,9.880004883E2
1.124797963E1,9.880368042E2
1.128798155E1,9.879875488E2
1.132798010E1,9.880030518E2
1.136797921E1,9.879926147E2
1.140798020E1,9.879900513E2
1.144797994E1,9.879951782E2
1.148797916E1,9.880106812E2
1.152798463E1,9.880159912E2
1.156797890E1,9.879900513E2
1.160798213E1,9.880211182E2
1.164798020E1,9.880185547E2
1.168798051E1,9.879979248E2
1.172798135E1,9.880291748E2
1.176798015E1,9.880185547E2
1.180797905E1,9.879796753E2
1.184798827E1,9.879928589E2
1.188798124E1,9.879926147E2
1.192797812E1,9.880083618E2
1.196798098E1,9.879951782E2
1.200798109E1,9.879928589E2
1.204798239E1,9.880266113E2
1.208798051E1,9.880159912E2
1.212797801E1,9.880081177E2
1.216797968E1,9.880264282E2
1.220797765E1,9.879953613E2
1.224797817E1,9.879900513E2
1.228798062E1,9.879849854E2
1.232797879E1,9.880004883E2
1.236798228E1,9.880081177E2
1.240797853E1,9.880187378E2
1.244798093E1,9.880134277E2
1.248798291E1,9.880134277E2
1.252798124E1,9.879928589E2
1.256798280E1,9.880003052E2
1.260798249E1,9.880081177E2
1.264798213E1,9.879847412E2
1.268799187E1,9.880109253E2
1.272798234E1,9.880158081E2
1.276798176E1,9.880289917E2
1.280798171E1,9.880004883E2
1.284798020E1,9.880056152E2
1.288797843E1,9.880109253E2
1.292798338E1,9.880057983E2
1.296798379E1,9.879877319E2
1.300798114E1,9.880056152E2
1.304798437E1,9.880056152E2
1.308798442E1,9.879694824E2
1.312797754E1,9.880159912E2
1.316798067E1,9.880158081E2
1.320798551E1,9.880004883E2
1.324798593E1,9.880006714E2
1.328797994E1,9.880056152E2
1.332797859E1,9.879953613E2
1.336798036E1,9.879692383E2
1.340798046E1,9.880032349E2
1.344798135E1,9.879875488E2
1.348798228E1,9.879902954E2
1.352798020E1,9.880134277E2
1.356797994E1,9.880030518E2
1.360798770E1,9.879900513E2
1.364797869E1,9.880056152E2
1.368798265E1,9.880106812E2
1.372798228E1,9.879953613E2
1.376798458E1,9.880003052E2
1.380798280E1,9.879928589E2
1.384798421E1,9.879849854E2
1.388798280E1,9.880343018E2
1.392798327E1,9.879796753E2
1.396798306E1,9.880132446E2
1.400798958E1,9.880030518E2
1.404800307E1,9.879875488E2
1.408798812E1,9.879924316E2
1.412798572E1,9.880081177E2
1.416798098E1,9.879796753E2
1.420798025E1,9.879953613E2
1.424798645E1,9.880159912E2
1.428798332E1,9.880056152E2
1.432798275E1,9.880028076E2
1.436798270E1,9.880081177E2
1.440798437E1,9.879898682E2
1.444798036E1,9.880003052E2
1.448798109E1,9.879951782E2
1.452797812E1,9.880134277E2
1.456798447E1,9.879822388E2
1.460798234E1,9.879769287E2
1.464798515E1,9.879979248E2
1.468797879E1,9.880004883E2
1.472798385E1,9.880003052E2
1.476797770E1,9.880132446E2
1.480797874E1,9.880187378E2
1.484797916E1,9.879981689E2
1.488798161E1,9.880134277E2
1.492798046E1,9.879875488E2
1.496797786E1,9.879773560E2
1.500798202E1,9.880213013E2
1.504798046E1,9.880132446E2
1.508797989E1,9.879798584E2
1.512797994E1,9.879694824E2
1.516798025E1,9.879902954E2
1.520797801E1,9.879875488E2
1.524798536E1,9.880238647E2
1.528798270E1,9.880109253E2
1.532798228E1,9.879643555E2
1.536798280E1,9.880083618E2
1.540797885E1,9.879979248E2
1.544797780E1,9.879875488E2
1.548798270E1,9.880083618E2
1.552798228E1,9.879875488E2
1.556798197E1,9.880238647E2
1.560798905E1,9.879898682E2
1.564798046E1,9.879981689E2
1.568797723E1,9.880057983E2
1.572798421E1,9.879898682E2
1.576798213E1,9.879928589E2
1.580798161E1,9.879849854E2
1.584798468E1,9.880317383E2
1.588797942E1,9.880134277E2
1.592797765E1,9.880317383E2
1.596798036E1,9.880109253E2
1.600797942E1,9.880134277E2
1.604798879E1,9.879824219E2
1.608797973E1,9.879796753E2
1.612799322E1,9.879641724E2
1.616798041E1,9.880004883E2
1.620798718E1,9.879719849E2
1.624798093E1,9.879643555E2
1.628798062E1,9.879562988E2
1.632798098E1,9.879564819E2
1.636797885E1,9.879329224E2
1.640798150E1,9.879354858E2
1.644798124E1,9.878940430E2
1.648797963E1,9.879176025E2
1.652798353E1,9.879356689E2
1.656797754E1,9.879201660E2
1.660797942E1,9.879407959E2
1.664798942E1,9.879277954E2
1.668798838E1,9.879250488E2
1.672798567E1,9.879511719E2
1.676798182E1,9.879900513E2
1.680798374E1,9.880523682E2
1.684797765E1,9.880185547E2
1.688798468E1,9.880314941E2
1.692797885E1,9.880314941E2
1.696798484E1,9.880134277E2
1.700798150E1,9.880289917E2
1.704798301E1,9.880393677E2
1.708798114E1,9.880056152E2
1.712798025E1,9.880261841E2
1.716798187E1,9.880185547E2
1.720797989E1,9.880056152E2
1.724803411E1,9.879798584E2
1.728798124E1,9.879382324E2
1.732798635E1,9.879461060E2
1.736798004E1,9.879461060E2
1.740798786E1,9.879562988E2
1.744797843E1,9.879201660E2
1.748798306E1,9.879458618E2
1.752798129E1,9.879511719E2
1.756798687E1,9.879252930E2
1.760798708E1,9.878995361E2
1.764798364E1,9.878916626E2
1.768798567E1,9.878940430E2
1.772797796E1,9.878734131E2
1.776797952E1,9.878785400E2
1.780798056E1,9.878810425E2
1.784798364E1,9.879125366E2
1.788797905E1,9.879046631E2
1.792798306E1,9.879306030E2
1.796797926E1,9.879122925E2
1.800798489E1,9.879461060E2
1.804798525E1,9.879122925E2
1.808798541E1,9.879511719E2
1.812797869E1,9.879354858E2
1.816798051E1,9.879616089E2
1.820798260E1,9.879511719E2
1.824798114E1,9.879771118E2
1.828798051E1,9.879849854E2
1.832798228E1,9.880081177E2
1.836797999E1,9.879773560E2
1.840798020E1,9.880289917E2
1.844797843E1,9.880213013E2
1.848797968E1,9.880083618E2
1.852798166E1,9.879926147E2
1.856797921E1,9.880134277E2
1.860798280E1,9.880291748E2
1.864797801E1,9.879745483E2
1.868797942E1,9.879926147E2
1.872798176E1,9.880109253E2
1.876798010E1,9.879953613E2
1.880798208E1,9.880393677E2
1.884798114E1,9.879953613E2
1.888798385E1,9.880006714E2
1.892798025E1,9.880109253E2
1.896797879E1,9.879953613E2
1.900798046E1,9.880187378E2
1.904798556E1,9.879875488E2
1.908798046E1,9.880057983E2
1.912798171E1,9.879822388E2
1.916797780E1,9.879979248E2
1.920798072E1,9.879875488E2
1.924798036E1,9.879979248E2
1.928798249E1,9.880419312E2
1.932798593E1,9.880498047E2
1.936797822E1,9.879849854E2
1.940798234E1,9.879926147E2
1.944797812E1,9.879979248E2
1.948798056E1,9.879926147E2
1.952797817E1,9.879951782E2
1.956798984E1,9.879796753E2
1.960797942E1,9.879926147E2
1.964798364E1,9.879669189E2
1.968798041E1,9.879745483E2
1.972797968E1,9.880056152E2
1.976797952E1,9.880159912E2
1.980798359E1,9.879796753E2
1.984797708E1,9.879796753E2
1.988798364E1,9.880081177E2
1.992798109E1,9.879847412E2
1.996798082E1,9.879953613E2
2.000798291E1,9.879773560E2
2.004797958E1,9.879590454E2
2.008797968E1,9.879743652E2
2.012798124E1,9.879824219E2
2.016798390E1,9.879822388E2
2.020798103E1,9.879849854E2
2.024798140E1,9.879979248E2
2.028798385E1,9.880446777E2
2.032797968E1,9.880134277E2
2.036797775E1,9.879669189E2
2.040798182E1,9.879824219E2
2.044799187E1,9.879747925E2
2.048798223E1,9.879769287E2
2.052798385E1,9.880057983E2
2.056797791E1,9.879796753E2
2.060797848E1,9.880057983E2
2.064798135E1,9.879824219E2
2.068798254E1,9.879514160E2
2.072798494E1,9.879798584E2
2.076798478E1,9.879539795E2
