time,x,y,z,w
1697768874,0,0,0,1
1697768875,-0.1532284,0.3956494,0.05049275,0.9041201
1697768875,-0.151719,0.3962403,0.04974689,0.9041572
1697768875,-0.1504347,0.3968412,0.04833847,0.9041846
1697768875,-0.1499781,0.3968376,0.04856553,0.9042499
1697768875,-0.1500405,0.3969846,0.0481085,0.9041995
1697768875,-0.1499415,0.3968686,0.04817554,0.9042632
1697768875,-0.1498994,0.3964805,0.04864935,0.9044151
1697768875,-0.1504286,0.3961852,0.04892869,0.9044415
1697768875,-0.1511514,0.3957106,0.04931439,0.9045079
1697768875,-0.151405,0.3954321,0.04960183,0.9045715
1697768875,-0.1512787,0.3947279,0.05010284,0.9048726
1697768875,-0.1513611,0.3947023,0.04984364,0.9048843
1697768876,-0.1512376,0.3944069,0.04962453,0.9050457
1697768876,-0.1511878,0.3940389,0.04992932,0.9051976
1697768876,-0.151111,0.3939968,0.04999946,0.9052249
1697768876,-0.1508778,0.3940496,0.04979255,0.9052522
1697768876,-0.1501109,0.3938213,0.04976834,0.9054803
1697768876,-0.1496608,0.3933039,0.04958783,0.9057896
1697768876,-0.1495376,0.3930806,0.04977287,0.9058967
1697768876,-0.1496241,0.392405,0.05020844,0.9061512
1697768876,-0.1504349,0.3919858,0.05035358,0.9061904
1697768876,-0.1500598,0.3918959,0.05007068,0.9063071
1697768876,-0.1496948,0.3918803,0.05026046,0.9063638
1697768876,-0.14937,0.392032,0.05066229,0.9063293
1697768876,-0.1495156,0.3923314,0.05097423,0.9061583
1697768876,-0.1497908,0.3922051,0.05125248,0.9061518
1697768876,-0.1495668,0.392332,0.05089244,0.9061542
1697768876,-0.1489415,0.3924645,0.05053582,0.9062197
1697768876,-0.1487999,0.3923332,0.05025006,0.9063157
1697768876,-0.1487464,0.392683,0.04989976,0.9061925
1697768876,-0.1486823,0.3929211,0.04999782,0.9060944
1697768876,-0.1483579,0.393138,0.05028872,0.9060373
1697768876,-0.1484475,0.3932755,0.0502601,0.9059645
1697768876,-0.1487785,0.3932499,0.05030107,0.905919
1697768876,-0.1490182,0.3933178,0.05026101,0.9058525
1697768876,-0.148675,0.3934852,0.05032549,0.9058325
1697768876,-0.1482501,0.3936214,0.05029852,0.9058444
1697768876,-0.1480582,0.3936401,0.05042468,0.9058607
1697768876,-0.1480736,0.3936358,0.05032647,0.9058655
1697768876,-0.1478904,0.3937986,0.05021478,0.9058309
1697768876,-0.1476293,0.3938608,0.0501119,0.9058523
1697768876,-0.1475186,0.3939196,0.05006831,0.905847
1697768876,-0.1472673,0.3940562,0.04993482,0.9058359
1697768876,-0.1469804,0.3940966,0.04960401,0.9058831
1697768876,-0.1473359,0.3943082,0.04976868,0.9057242
1697768876,-0.1471169,0.3942797,0.05004265,0.9057571
1697768876,-0.1470762,0.394378,0.04979279,0.9057347
1697768876,-0.1470606,0.3944051,0.04977694,0.9057263
1697768876,-0.1469932,0.3944436,0.04964809,0.9057275
1697768876,-0.1469388,0.3944803,0.05002959,0.9056994
1697768876,-0.1468655,0.39443,0.04999604,0.905735
1697768876,-0.1468478,0.3944394,0.04989794,0.9057392
1697768876,-0.1468723,0.3944826,0.04962442,0.9057314
1697768876,-0.1468652,0.3946666,0.04930438,0.9056699
1697768876,-0.146479,0.394678,0.04902707,0.9057425
1697768876,-0.1464611,0.3946578,0.04926749,0.9057412
1697768876,-0.1463951,0.394789,0.04931985,0.9056919
1697768876,-0.1462827,0.3948996,0.04954027,0.9056497
1697768877,-0.1462863,0.3950279,0.04960351,0.9055899
1697768877,-0.1462691,0.3951364,0.04965585,0.9055423
1697768877,-0.1461013,0.3950864,0.04964396,0.9055918
1697768877,-0.1460697,0.3950447,0.04965337,0.9056146
1697768877,-0.1458425,0.3949053,0.04946389,0.9057224
1697768877,-0.1454404,0.394873,0.04917635,0.9058168
1697768877,-0.1453615,0.3946531,0.04886948,0.9059419
1697768877,-0.145034,0.3945542,0.04856341,0.9060539
1697768877,-0.144707,0.3943071,0.04892235,0.9061944
1697768877,-0.1447951,0.3942552,0.04880218,0.9062095
1697768877,-0.1452821,0.3943368,0.04842049,0.9061166
1697768877,-0.1451462,0.3942801,0.04845203,0.9061612
1697768877,-0.1452133,0.3942955,0.04859569,0.9061361
1697768877,-0.1452751,0.3942931,0.04873827,0.9061196
1697768877,-0.1453268,0.3942667,0.04886501,0.9061159
1697768877,-0.1452483,0.3942146,0.04891179,0.9061487
1697768877,-0.1454619,0.394223,0.04887564,0.9061128
1697768877,-0.1455226,0.3941725,0.04881688,0.9061281
1697768877,-0.1456438,0.3941262,0.04871787,0.9061341
1697768877,-0.1457339,0.3940553,0.04853084,0.9061605
1697768877,-0.1456464,0.3940712,0.04837163,0.9061761
1697768877,-0.1455645,0.3941568,0.04803238,0.9061701
1697768877,-0.145376,0.3941689,0.04798638,0.9061975
1697768877,-0.1451303,0.3942971,0.04789057,0.9061862
1697768877,-0.1446743,0.3943701,0.0476547,0.9062398
1697768877,-0.1444752,0.3941627,0.04784617,0.9063517
1697768877,-0.1442916,0.3944708,0.04762898,0.9062583
1697768877,-0.1439024,0.3942587,0.04771347,0.9064081
1697768877,-0.1438889,0.3939434,0.04760789,0.9065529
1697768877,-0.1437699,0.3939078,0.04769849,0.9065825
1697768877,-0.1436492,0.3938208,0.04786113,0.9066309
1697768877,-0.1436824,0.3935831,0.04750706,0.9067475
1697768877,-0.143368,0.3935833,0.04706392,0.9068202
1697768877,-0.1433768,0.3934778,0.04726059,0.9068543
1697768877,-0.1431359,0.3936193,0.04737789,0.9068249
1697768877,-0.1429497,0.3933976,0.04732651,0.9069531
1697768877,-0.1432839,0.3931836,0.04696736,0.9070118
1697768877,-0.1429308,0.3932478,0.04716642,0.9070295
1697768877,-0.1428389,0.3931697,0.04723417,0.9070742
1697768877,-0.1426523,0.3931762,0.04753508,0.9070851
1697768877,-0.1420778,0.393128,0.04705025,0.9072213
1697768877,-0.1415964,0.3929713,0.047378,0.9073474
1697768877,-0.1410609,0.3927277,0.04765626,0.9075217
1697768877,-0.1406364,0.3927059,0.04734898,0.9076132
1697768877,-0.1405001,0.3923959,0.04720416,0.9077759
1697768877,-0.1405573,0.3921608,0.04696181,0.9078811
1697768877,-0.1399574,0.3918396,0.0466659,0.9081277
1697768877,-0.1395686,0.3913574,0.04664861,0.9083964
1697768877,-0.1395627,0.3909973,0.04650858,0.9085596
1697768877,-0.1399916,0.3904153,0.04674058,0.9087319
1697768877,-0.1403826,0.3904363,0.04691279,0.9086536
1697768877,-0.1407572,0.390038,0.04697925,0.9087633
1697768877,-0.1412907,0.3901141,0.04698594,0.9086475
1697768877,-0.1418111,0.3897519,0.04682332,0.9087303
1697768877,-0.1418604,0.3895357,0.04682693,0.908815
1697768877,-0.1416059,0.3895515,0.04718102,0.9088297
1697768877,-0.141822,0.3893239,0.04698041,0.9089039
1697768877,-0.1420961,0.3893165,0.04671886,0.9088777
1697768877,-0.1416918,0.389231,0.04688935,0.9089687
1697768877,-0.1424184,0.3892503,0.0473274,0.9088241
1697768877,-0.1427948,0.3890972,0.04717593,0.9088385
1697768877,-0.1431107,0.3890148,0.04697448,0.9088345
1697768877,-0.1429989,0.3888028,0.0469362,0.9089448
1697768877,-0.1430556,0.3889444,0.04694395,0.9088749
1697768877,-0.1432683,0.388596,0.04705063,0.9089849
1697768877,-0.1435571,0.388588,0.047034,0.9089437
1697768877,-0.1438221,0.388478,0.04711957,0.9089444
1697768877,-0.1441292,0.3883972,0.047346,0.9089184
1697768877,-0.1447049,0.3882152,0.04746627,0.9088986
1697768877,-0.1450812,0.3886881,0.04757831,0.9086304
1697768877,-0.1454244,0.3885531,0.04750874,0.908637
1697768877,-0.1454844,0.3887569,0.04780759,0.9085245
1697768878,-0.1456197,0.3887956,0.04792137,0.9084803
1697768878,-0.146,0.3889703,0.04824413,0.9083273
1697768878,-0.1460145,0.3890086,0.04828328,0.9083065
1697768878,-0.146287,0.3889779,0.04834104,0.9082728
1697768878,-0.1463159,0.3893854,0.04842379,0.9080891
1697768878,-0.1463832,0.3894302,0.04837539,0.9080617
1697768878,-0.1463481,0.3894008,0.04852997,0.9080716
1697768878,-0.1463454,0.3894133,0.04882289,0.908051
1697768878,-0.1467177,0.3894832,0.0491688,0.9079423
1697768878,-0.1465282,0.3897156,0.04884651,0.9078907
1697768878,-0.1466534,0.3893664,0.04904859,0.9080093
1697768878,-0.1467613,0.3894856,0.04907686,0.9079392
1697768878,-0.1465189,0.3893499,0.0493487,0.9080219
1697768878,-0.1465297,0.3893401,0.04939433,0.9080217
1697768878,-0.1464659,0.3893522,0.04949165,0.9080216
1697768878,-0.1464194,0.3893044,0.04955862,0.9080459
1697768878,-0.1463237,0.3893363,0.04971454,0.9080392
1697768878,-0.1464604,0.3894201,0.04982473,0.9079751
1697768878,-0.1466916,0.3894489,0.05034519,0.9078969
1697768878,-0.1468189,0.3893107,0.05059473,0.9079216
1697768878,-0.1468335,0.3894451,0.0509222,0.9078432
1697768878,-0.1473743,0.3894007,0.05069414,0.9077874
1697768878,-0.1474783,0.3895679,0.05025688,0.9077232
1697768878,-0.1473935,0.389579,0.05017011,0.9077369
1697768878,-0.1472192,0.3896045,0.05023751,0.9077505
1697768878,-0.1471949,0.3896303,0.0503292,0.9077383
1697768878,-0.1472519,0.3898257,0.05040067,0.9076412
1697768878,-0.147373,0.3899039,0.05050474,0.9075822
1697768878,-0.1474269,0.3900991,0.05044604,0.9074929
1697768878,-0.1475593,0.3903569,0.05064909,0.9073491
1697768878,-0.1474679,0.3904997,0.0506866,0.9073005
1697768878,-0.1470809,0.39057,0.05057188,0.9073394
1697768878,-0.1465538,0.3906857,0.0504866,0.9073796
1697768878,-0.1462137,0.3906609,0.05035105,0.9074527
1697768878,-0.1459837,0.3907501,0.05015957,0.9074619
1697768878,-0.1459154,0.3905855,0.05042222,0.9075294
1697768878,-0.1457612,0.3904664,0.04995646,0.907631
1697768878,-0.1459723,0.3904409,0.04944147,0.9076362
1697768878,-0.1460093,0.3902401,0.04951723,0.9077126
1697768878,-0.1455398,0.3901023,0.0495402,0.9078459
1697768878,-0.1452907,0.3898865,0.04955602,0.9079776
1697768878,-0.1451052,0.3899837,0.04968939,0.9079583
1697768878,-0.1452211,0.3898571,0.04963481,0.907997
1697768878,-0.144976,0.3901659,0.04935789,0.9079187
1697768878,-0.1451112,0.3900634,0.04937667,0.9079402
1697768878,-0.1452432,0.3903357,0.04924898,0.907809
1697768878,-0.1452077,0.3903663,0.04915392,0.9078066
1697768878,-0.1453168,0.3906102,0.04911643,0.9076862
1697768878,-0.1453262,0.3907413,0.04891928,0.9076389
1697768878,-0.1452806,0.3908072,0.04882543,0.9076229
1697768878,-0.1450044,0.3909393,0.04887735,0.9076074
1697768878,-0.1446765,0.3909904,0.04889078,0.9076371
1697768878,-0.1443955,0.3911391,0.04885759,0.9076195
1697768878,-0.143887,0.3912633,0.04855394,0.907663
1697768878,-0.1439224,0.3911572,0.04827479,0.907718
1697768878,-0.1438022,0.3912099,0.04863132,0.9076953
1697768878,-0.1438694,0.3910592,0.04851286,0.9077559
1697768878,-0.1434663,0.3910281,0.04863441,0.9078266
1697768878,-0.1432675,0.3911754,0.04857508,0.9077977
1697768878,-0.1433525,0.391114,0.04846309,0.9078167
1697768878,-0.143301,0.391125,0.04834207,0.9078267
1697768878,-0.1431083,0.3909973,0.04848228,0.9079045
1697768878,-0.1430665,0.3910062,0.04855056,0.9079037
