time,x,y,z
1697786336853,0,0,0
1697786338366,0.03196876,0.008522798,0.002833712
1697786338428,0.005647636,-0.01849667,-0.0007166198
1697786338451,0.02229968,-0.01675952,-0.004997207
1697786338469,0.02875014,-0.009329599,-0.007019696
1697786338483,0.03168849,-0.01036916,-0.00865934
1697786338497,0.03262018,-0.007966639,-0.003006845
1697786338511,0.03157133,-0.007912036,-0.002858789
1697786338525,0.02489681,-0.009428265,0.003333218
1697786338540,0.02684443,-0.00937883,0.00196758
1697786338555,0.01859628,-0.009174176,0.004253987
1697786338572,0.0152946,-0.01673151,0.005820352
1697786338625,0.01856964,-0.0261309,-0.005777937
1697786338654,0.01181065,-0.01960693,0.004828216
1697786338680,-0.01010082,-0.01911643,-0.004992325
1697786338706,-0.006877893,-0.01945406,-0.01203425
1697786338720,0.00538565,-0.02297261,-0.01542293
1697786338735,0.01697414,-0.02013393,-0.01780511
1697786338747,0.02201829,-0.01569005,-0.02117453
1697786338762,0.02439885,-0.01379917,-0.02017973
1697786338775,0.02004708,-0.006651191,-0.01525909
1697786338788,0.01188553,-0.007673496,-0.01202254
1697786338803,0.0007309698,-0.003152159,-0.008650513
1697786338816,-0.009954726,-0.0003394414,-0.008860568
1697786338829,-0.01560856,9.168658E-05,-0.01776969
1697786338843,-0.01693775,-0.0005661796,-0.01221695
1697786338857,-0.01115628,-0.005717053,-0.008351675
1697786338871,-0.009888461,-0.006113634,-0.01404346
1697786338884,-0.006459401,-0.005542378,-0.01991249
1697786338898,0.001161938,-0.003846856,-0.01971696
1697786338913,0.007158133,-0.002533561,-0.01605834
1697786338926,0.01009157,-0.003568685,-0.01772776
1697786338940,0.01266049,-0.004077887,-0.01491353
1697786338955,0.01282151,-0.00422592,-0.01387375
1697786338967,0.01074342,-0.0008393453,-0.01417857
1697786338982,0.01393169,-0.003210292,-0.01389568
1697786338995,0.009026938,-0.005567116,-0.01022777
1697786339009,0.008442634,-0.005968341,-0.006928095
1697786339023,0.005231255,-0.006908084,-0.006576566
1697786339038,0.0004240793,-0.01173512,-0.008714465
1697786339053,-0.003447616,-0.009836291,-0.0133197
1697786339067,-0.006638083,-0.007468691,-0.01360181
1697786339092,-0.0001640199,-0.00452741,-0.01416209
1697786339106,0.00290643,-0.0001281555,-0.01618571
1697786339121,0.008718624,0.006921734,-0.01498021
1697786339136,0.01282235,0.007971206,-0.01653832
1697786339149,0.01519093,0.009867875,-0.01553224
1697786339162,0.0139953,0.01335568,-0.01705189
1697786339176,0.01289349,0.0123315,-0.01702793
1697786339190,0.01042828,0.01291141,-0.01221758
1697786339202,0.008687298,0.01375266,-0.009665239
1697786339216,0.009566977,0.01055573,-0.01024098
1697786339230,0.01614531,0.01102959,-0.01660073
1697786339244,0.02335071,0.01092142,-0.01877021
1697786339258,0.02895488,0.008212739,-0.01670921
1697786339273,0.03213225,0.003816579,-0.009069156
1697786339287,0.02884628,-0.0001964591,-0.001511184
1697786339302,0.01408976,0.0025409,-3.301371E-05
1697786339315,0.007255244,-0.001185024,-0.001705155
1697786339329,0.003792801,-0.000795675,-0.003316839
1697786339344,0.006038195,-0.00431294,-0.001954255
1697786339358,0.009867648,-0.008529006,-0.004184511
1697786339372,0.01601744,-0.008594349,-0.006195605
1697786339386,0.02127912,-0.005459041,-0.007644582
1697786339400,0.02438545,-0.00331235,-0.008902566
1697786339413,0.02213728,0.0001960385,-0.01026076
1697786339427,0.01792284,0.001640841,-0.00291183
1697786339441,0.01455129,0.002130129,0.003099428
1697786339455,0.008091013,0.002476797,0.003017802
1697786339469,0.008155316,0.002228655,-0.003557289
1697786339483,0.01454985,0.002130922,0.003101253
1697786339497,0.01749281,0.001111746,0.001439447
1697786339511,0.0161239,-0.001880204,0.000154912
1697786339525,0.02227405,-0.001946111,-0.001852476
1697786339539,0.02208045,0.003747041,-0.004327095
1697786339553,0.03042203,-0.000903229,-0.005094348
1697786339566,0.03183805,-0.0001404177,-0.00302632
