time,x,y,z,w
1697786336852,0,0,0,1
1697786338366,-0.1027733,0.07393157,-0.01122742,0.9918901
1697786338427,-0.1035088,0.07446283,-0.01152799,0.9917703
1697786338450,-0.1042987,0.07497783,-0.01137135,0.9916505
1697786338468,-0.1046727,0.07508322,-0.01120327,0.9916051
1697786338482,-0.1053623,0.07507707,-0.01123334,0.9915323
1697786338496,-0.1054538,0.07518844,-0.01138449,0.9915123
1697786338511,-0.1057526,0.07536595,-0.01116676,0.9914694
1697786338524,-0.1056954,0.07534222,-0.01141868,0.9914745
1697786338539,-0.1054676,0.07539917,-0.01165057,0.9914917
1697786338554,-0.1056991,0.07561846,-0.01146964,0.9914525
1697786338570,-0.1056908,0.07607953,-0.01179822,0.9914142
1697786338624,-0.1059448,0.07601362,-0.01129666,0.991398
1697786338652,-0.1060316,0.07675571,-0.01150209,0.9913292
1697786338679,-0.1054915,0.07699898,-0.01102684,0.9913734
1697786338705,-0.1058116,0.07731055,-0.01067034,0.991319
1697786338719,-0.1061573,0.07753539,-0.01052853,0.9912659
1697786338734,-0.106827,0.07763544,-0.01039652,0.9911875
1697786338746,-0.1070571,0.07735161,-0.01035048,0.9911854
1697786338761,-0.1069885,0.07738905,-0.0101973,0.9911915
1697786338774,-0.1070018,0.07717444,-0.01012887,0.9912074
1697786338787,-0.1069503,0.07736471,-0.01013311,0.9911982
1697786338802,-0.1066321,0.07725066,-0.01017288,0.9912409
1697786338815,-0.1062563,0.07717448,-0.010091,0.991288
1697786338829,-0.106092,0.07715394,-0.009729038,0.9913108
1697786338842,-0.1059759,0.07718997,-0.009710617,0.9913206
1697786338856,-0.1059428,0.07734741,-0.009789795,0.9913111
1697786338870,-0.1059371,0.07736583,-0.009517485,0.9913129
1697786338883,-0.1060811,0.077293,-0.008962722,0.9913085
1697786338897,-0.1060577,0.0774167,-0.009120929,0.9912999
1697786338911,-0.1064462,0.07730562,-0.009145194,0.9912665
1697786338925,-0.1069508,0.07743158,-0.00895611,0.9912041
1697786338939,-0.1067644,0.07739223,-0.00897927,0.9912272
1697786338954,-0.1068707,0.07741635,-0.00891155,0.9912144
1697786338966,-0.1069037,0.07731417,-0.008811913,0.9912197
1697786338981,-0.1071049,0.07740064,-0.008737821,0.9911919
1697786338995,-0.1070197,0.07750671,-0.008760059,0.9911927
1697786339009,-0.1070594,0.07756344,-0.00880907,0.9911835
1697786339022,-0.1070004,0.07764263,-0.008769643,0.9911841
1697786339037,-0.1068761,0.07785082,-0.008614729,0.9911824
1697786339052,-0.1067617,0.07783166,-0.008374191,0.9911983
1697786339066,-0.1066428,0.07780207,-0.00826578,0.9912143
1697786339091,-0.1067874,0.07775401,-0.008169628,0.9912033
1697786339105,-0.1068984,0.07762486,-0.007924835,0.9912035
1697786339119,-0.1071331,0.07737196,-0.007901902,0.9911982
1697786339135,-0.1075488,0.07720354,-0.007714256,0.9911677
1697786339148,-0.1075179,0.07709094,-0.007608951,0.9911806
1697786339161,-0.1075333,0.07710605,-0.007603304,0.9911778
1697786339175,-0.1076755,0.07696707,-0.007622316,0.991173
1697786339189,-0.10777,0.07661923,-0.007717706,0.9911891
1697786339202,-0.1076843,0.0766509,-0.007588705,0.9911969
1697786339215,-0.1077837,0.07665632,-0.007512303,0.9911862
1697786339229,-0.108095,0.07656687,-0.007287193,0.9911609
1697786339243,-0.1086188,0.07632313,-0.007154673,0.9911234
1697786339258,-0.1088497,0.07641469,-0.007052953,0.9910917
1697786339272,-0.1091856,0.07656078,-0.007427076,0.9910408
1697786339286,-0.1091433,0.07680108,-0.00736919,0.9910272
1697786339301,-0.1089038,0.0766155,-0.007448216,0.9910674
1697786339315,-0.1087494,0.07673337,-0.007366747,0.9910758
1697786339328,-0.1086652,0.07671958,-0.007281549,0.9910868
1697786339343,-0.1087635,0.07684982,-0.007287045,0.9910659
1697786339357,-0.1089379,0.07701317,-0.007173822,0.9910349
1697786339371,-0.109226,0.07706163,-0.007079436,0.9910001
1697786339385,-0.1094616,0.07704677,-0.007000111,0.9909759
1697786339399,-0.1099452,0.07697322,-0.006900596,0.9909286
1697786339412,-0.1097765,0.07675961,-0.007064053,0.9909627
1697786339426,-0.1098768,0.07679192,-0.007036366,0.9909493
1697786339440,-0.1098634,0.07678255,-0.007243548,0.99095
1697786339454,-0.1097245,0.07675113,-0.00725662,0.9909678
1697786339468,-0.1097905,0.07671383,-0.007055724,0.9909648
1697786339482,-0.1100532,0.07671218,-0.007281559,0.9909343
1697786339497,-0.1102605,0.07672434,-0.007269068,0.9909103
1697786339511,-0.1103412,0.07681596,-0.007239212,0.9908945
1697786339524,-0.110713,0.0767395,-0.007146412,0.9908596
1697786339538,-0.1110228,0.0763803,-0.007097827,0.990853
1697786339552,-0.1113285,0.07674305,-0.007229931,0.9907897
1697786339565,-0.1114615,0.0766478,-0.007005278,0.9907838
1697786339580,-0.1116272,0.07669151,-0.007182023,0.9907604
1697786339594,-0.111745,0.07671226,-0.007075953,0.9907463
1697786339607,-0.1120628,0.07664198,-0.006964672,0.9907166
1697786339622,-0.1123266,0.07679367,-0.007124773,0.990674
1697786339636,-0.112823,0.07670594,-0.007204423,0.9906238
1697786339650,-0.112922,0.07700414,-0.006987095,0.9905909
1697786339662,-0.1129434,0.07689279,-0.006952966,0.9905974
1697786339677,-0.1130183,0.07691901,-0.006816057,0.9905877
1697786339691,-0.1129831,0.07703246,-0.006561332,0.9905847
1697786339704,-0.1130003,0.07712373,-0.006653651,0.9905749
1697786339720,-0.1129623,0.07716661,-0.006725667,0.9905755
1697786339733,-0.1128148,0.07714314,-0.006694178,0.9905943
1697786339747,-0.1127395,0.07737572,-0.006704072,0.9905846
1697786339761,-0.1127269,0.0773601,-0.006809023,0.9905866
1697786339775,-0.1126725,0.07746204,-0.006865465,0.9905844
1697786339788,-0.1126454,0.07754477,-0.006826585,0.9905813
1697786339803,-0.1128297,0.07762827,-0.006888526,0.9905533
1697786339816,-0.1129901,0.07780381,-0.006864942,0.9905214
1697786339831,-0.1131061,0.07782225,-0.006859052,0.9905068
1697786339844,-0.1130907,0.07807315,-0.006902153,0.9904885
1697786339858,-0.1130354,0.07826003,-0.006941136,0.9904798
1697786339871,-0.1132402,0.07840478,-0.006868931,0.9904454
1697786339885,-0.1135018,0.07835195,-0.006861554,0.9904197
1697786339900,-0.1138885,0.07854624,-0.006683249,0.9903612
1697786339913,-0.114183,0.07874157,-0.0071622,0.9903084
1697786339927,-0.1143325,0.0790624,-0.007386265,0.9902639
1697786339942,-0.1141297,0.07918544,-0.007765068,0.9902746
1697786339956,-0.1140404,0.07952718,-0.007829934,0.990257
1697786339969,-0.1138642,0.07951731,-0.007317918,0.990282
1697786339983,-0.1136609,0.07958435,-0.007205872,0.9903008
1697786339997,-0.11378,0.08008254,-0.006837801,0.9902496
1697786340011,-0.1136192,0.0807486,-0.006930205,0.9902133
1697786340024,-0.1136552,0.08067532,-0.006282244,0.9902195
1697786340038,-0.1138851,0.08105231,-0.006455812,0.9901611
1697786340053,-0.1137698,0.08084059,-0.006267228,0.9901929
1697786340065,-0.1140602,0.08107263,-0.006130475,0.9901415
1697786340079,-0.1140293,0.080972,-0.006439244,0.9901513
1697786340094,-0.1139239,0.08096105,-0.006382645,0.9901646
1697786340107,-0.1140397,0.08115649,-0.006333471,0.9901356
1697786340121,-0.1141966,0.08105741,-0.006101524,0.9901271
1697786340135,-0.1143298,0.08100977,-0.006040393,0.9901161
1697786340150,-0.1143034,0.08100215,-0.006255165,0.9901183
1697786340164,-0.114271,0.08098842,-0.006217396,0.9901234
1697786340177,-0.1143133,0.08099595,-0.006119769,0.9901185
1697786340191,-0.1145784,0.08086354,-0.006067577,0.990099
1697786340204,-0.1146831,0.08089461,-0.006024595,0.9900846
1697786340218,-0.1147309,0.08097624,-0.006193992,0.9900714
1697786340231,-0.1149738,0.08101556,-0.006094851,0.9900406
1697786340246,-0.1150421,0.08112494,-0.006096804,0.9900237
1697786340260,-0.1152586,0.08116655,-0.006024569,0.9899955
1697786340274,-0.1152475,0.08146532,-0.006007987,0.9899724
1697786340287,-0.1152991,0.08158919,-0.006012716,0.9899563
1697786340302,-0.1151552,0.08167403,-0.006009414,0.9899659
1697786340316,-0.1150112,0.08173868,-0.006030736,0.9899773
1697786340330,-0.1148706,0.08182897,-0.00604689,0.9899861
1697786340344,-0.1149294,0.08184201,-0.006172533,0.9899773
1697786340358,-0.114944,0.08195732,-0.006073407,0.9899667
1697786340372,-0.1150938,0.08178568,-0.006135245,0.9899632
1697786340386,-0.1149502,0.08181034,-0.006128329,0.9899778
1697786340400,-0.1151062,0.0817653,-0.00628977,0.9899625
1697786340414,-0.1150122,0.08170044,-0.006313273,0.9899785
1697786340428,-0.1150482,0.08178299,-0.006357955,0.9899672
1697786340442,-0.1149078,0.08165065,-0.006252133,0.9899951
1697786340456,-0.1149661,0.08182,-0.006217461,0.9899746
1697786340469,-0.1149393,0.08178061,-0.00630455,0.9899804
1697786340484,-0.1148716,0.08187741,-0.006370871,0.9899798
1697786340497,-0.1151855,0.08187603,-0.006218688,0.9899445
1697786340511,-0.1154327,0.08178066,-0.005966516,0.9899251
1697786340525,-0.115661,0.08179615,-0.005946176,0.9898973
1697786340539,-0.1156714,0.08173499,-0.005972883,0.9899009
1697786340553,-0.1158332,0.08157753,-0.005792771,0.9898961
1697786340567,-0.11623,0.08136685,-0.005675816,0.9898677
1697786340581,-0.1159912,0.08094524,-0.005815573,0.9899293
1697786340594,-0.1163674,0.08087558,-0.005984118,0.9898899
1697786340608,-0.116405,0.08087821,-0.006422937,0.9898826
1697786340623,-0.1163829,0.08055188,-0.006667587,0.9899101
1697786340636,-0.1163829,0.08042526,-0.006559798,0.9899211
1697786340650,-0.1166439,0.08058,-0.006342346,0.9898792
1697786340663,-0.1165816,0.08046316,-0.006159625,0.9898973
1697786340678,-0.1166985,0.08052021,-0.00614725,0.9898789
1697786340692,-0.1170033,0.08056697,-0.006073376,0.9898396
1697786340706,-0.1172501,0.08045009,-0.006145081,0.9898194
1697786340719,-0.1175118,0.08044412,-0.006057516,0.9897895
1697786340734,-0.1173067,0.08034378,-0.006047178,0.9898219
1697786340747,-0.1172186,0.08016703,-0.006350675,0.9898448
1697786340762,-0.1170097,0.08008517,-0.006601764,0.9898746
1697786340775,-0.1168324,0.0799268,-0.006570208,0.9899085
1697786340789,-0.1167608,0.07988239,-0.006559483,0.9899206
1697786340804,-0.1169524,0.07971679,-0.006581478,0.9899111
1697786340817,-0.1170859,0.07973269,-0.006926728,0.9898918
1697786340831,-0.1169973,0.07973886,-0.007012408,0.9899012
1697786340845,-0.1171114,0.0797905,-0.007154983,0.9898825
1697786340858,-0.1171904,0.07970941,-0.007069586,0.9898803
1697786340873,-0.1171425,0.07975628,-0.007061764,0.9898823
1697786340886,-0.1170874,0.07987309,-0.007099218,0.989879
1697786340901,-0.1170628,0.07996965,-0.007206519,0.9898733
1697786340914,-0.1172737,0.07997808,-0.007163595,0.989848
1697786340928,-0.1174247,0.08005721,-0.00712917,0.9898241
1697786340943,-0.1177538,0.08015788,-0.007142352,0.9897766
1697786340956,-0.1181484,0.08021083,-0.006980762,0.9897265
1697786340970,-0.1182927,0.07991566,-0.007010447,0.9897329
1697786340984,-0.1181149,0.080276,-0.007113326,0.9897242
1697786340997,-0.1180419,0.08028155,-0.007159595,0.9897321
1697786341013,-0.1180557,0.08035394,-0.007184445,0.9897245
1697786341025,-0.1181034,0.08037577,-0.007256793,0.9897165
1697786341040,-0.11842,0.08038963,-0.007274745,0.9896774
1697786341054,-0.1187861,0.0803602,-0.007480345,0.9896343
1697786341067,-0.1187837,0.08059736,-0.007513377,0.9896152
1697786341082,-0.1189283,0.08065973,-0.007736846,0.9895909
1697786341096,-0.1187957,0.0806578,-0.007639839,0.9896079
1697786341109,-0.1185849,0.08088562,-0.007612843,0.9896147
1697786341122,-0.1185352,0.0811018,-0.007592511,0.9896031
1697786341137,-0.1185951,0.0812199,-0.007387353,0.9895878
1697786341151,-0.1186891,0.08129998,-0.007427743,0.9895697
1697786341164,-0.1189377,0.08138768,-0.007343228,0.9895332
1697786341179,-0.1190165,0.0813684,-0.007290469,0.9895258
1697786341193,-0.1192131,0.08142548,-0.007298469,0.9894973
1697786341206,-0.1192931,0.08149203,-0.007433674,0.9894813
1697786341220,-0.1192854,0.08154953,-0.007420148,0.9894775
1697786341234,-0.1194618,0.08151205,-0.007290388,0.9894602
1697786341247,-0.1194773,0.08140747,-0.007110407,0.9894683
1697786341261,-0.11919,0.08140571,-0.007169588,0.9895026
1697786341275,-0.1190962,0.08129307,-0.00725414,0.9895226
1697786341289,-0.1191636,0.08140136,-0.00775682,0.9895018
1697786341304,-0.1190226,0.08145845,-0.007968215,0.9895124
1697786341317,-0.1189229,0.0812697,-0.007713845,0.9895419
1697786341331,-0.1188276,0.08124074,-0.007538226,0.989557
1697786341345,-0.1189814,0.08122926,-0.007402497,0.9895405
1697786341359,-0.1189925,0.08115825,-0.007268829,0.989546
1697786341373,-0.1190219,0.08123896,-0.007304747,0.9895356
1697786341387,-0.1189891,0.08112786,-0.007458442,0.9895475
1697786341401,-0.1188132,0.08108791,-0.007591763,0.989571
1697786341415,-0.1187151,0.08092733,-0.007734164,0.9895948
1697786341428,-0.1183522,0.08073191,-0.007897123,0.9896529
1697786341442,-0.1182461,0.08069427,-0.008302702,0.9896653
1697786341456,-0.1183141,0.08068109,-0.008133999,0.9896596
1697786341471,-0.118148,0.08062189,-0.00813559,0.9896843
1697786341484,-0.1182491,0.08062658,-0.008304864,0.9896705
1697786341499,-0.1182476,0.08099248,-0.008562334,0.9896386
1697786341512,-0.1179105,0.08074517,-0.008480332,0.9896997
1697786341526,-0.11743,0.08085313,-0.008338559,0.9897492
1697786341540,-0.1172526,0.08064201,-0.008205928,0.9897887
1697786341553,-0.1172989,0.08073466,-0.007971854,0.9897774
1697786341568,-0.1173074,0.08077757,-0.008058603,0.9897722
1697786341581,-0.1172447,0.08056769,-0.007941826,0.9897977
1697786341595,-0.1175415,0.08052722,-0.007861524,0.9897664
1697786341609,-0.1177557,0.08031519,-0.007712337,0.9897594
1697786341622,-0.1179049,0.08029538,-0.007725218,0.9897431
1697786341637,-0.1180311,0.07992877,-0.007691038,0.989758
1697786341651,-0.1180641,0.07997595,-0.007603574,0.989751
1697786341665,-0.1179428,0.07991001,-0.00751515,0.9897715
1697786341678,-0.1179571,0.07989595,-0.007315501,0.9897723
1697786341692,-0.1179049,0.07979713,-0.007113029,0.989788
1697786341706,-0.1177046,0.07975286,-0.007153299,0.9898151
1697786341720,-0.1182424,0.07958641,-0.006917592,0.9897662
1697786341734,-0.1180803,0.07956384,-0.006903684,0.9897873
1697786341747,-0.118165,0.07942168,-0.006858784,0.9897891
1697786341762,-0.1182228,0.07936873,-0.006929805,0.9897859
1697786341776,-0.11817,0.0793126,-0.007033061,0.989796
1697786341789,-0.118143,0.07919558,-0.007176414,0.9898075
1697786341817,-0.1181129,0.0792309,-0.007258837,0.9898076
1697786341833,-0.1181882,0.07922953,-0.007286662,0.9897985
1697786341847,-0.1182401,0.0791669,-0.007317989,0.9897971
1697786341860,-0.1182742,0.07921541,-0.007351539,0.989789
1697786341874,-0.1183239,0.07923988,-0.00719629,0.9897822
1697786341887,-0.1181787,0.079353,-0.007084013,0.9897913
1697786341901,-0.1181003,0.07927966,-0.006832859,0.9898083
1697786341915,-0.1182117,0.07933328,-0.006484693,0.989793
1697786341928,-0.1182277,0.07923002,-0.006369777,0.9898002
1697786341942,-0.1182029,0.07926316,-0.006460106,0.9897998
1697786341957,-0.1184293,0.0791989,-0.006412636,0.9897782
1697786341971,-0.118584,0.07934666,-0.006789201,0.9897454
1697786341984,-0.1183353,0.079189,-0.006915738,0.9897869
1697786341999,-0.1179777,0.07923135,-0.006596707,0.9898283
1697786342014,-0.1178776,0.079176,-0.00654016,0.9898451
1697786342025,-0.1178417,0.07925013,-0.006385234,0.9898444
1697786342040,-0.1179922,0.07943077,-0.006254551,0.9898129
1697786342053,-0.1180823,0.07955176,-0.00623259,0.9897925
1697786342067,-0.1183302,0.07972026,-0.006160906,0.9897498
1697786342080,-0.1185203,0.07972774,-0.006140535,0.9897266
1697786342095,-0.1185175,0.07969833,-0.006007098,0.9897301
1697786342108,-0.1186606,0.07984889,-0.006053676,0.9897006
1697786342122,-0.1185905,0.07993545,-0.005979155,0.9897025
1697786342137,-0.1185422,0.08014117,-0.00605798,0.9896911
1697786342150,-0.1184833,0.08024323,-0.005761888,0.9896916
1697786342164,-0.1185846,0.08020353,-0.005448761,0.9896845
1697786342179,-0.1186031,0.0804356,-0.005575012,0.9896628
1697786342193,-0.1186178,0.08063038,-0.005396038,0.9896461
1697786342206,-0.1184277,0.08092528,-0.005499221,0.9896443
1697786342220,-0.1186197,0.08088168,-0.005266329,0.9896261
1697786342234,-0.1190189,0.08084331,-0.005416792,0.9895806
1697786342247,-0.119139,0.0811448,-0.005294124,0.989542
1697786342262,-0.1199318,0.08122293,-0.005268179,0.98944
1697786342276,-0.1199272,0.08141959,-0.005539634,0.989423
1697786342289,-0.1202212,0.08155738,-0.0058382,0.9893742
1697786342304,-0.120345,0.08183983,-0.005797682,0.989336
1697786342317,-0.1204956,0.08195534,-0.006087725,0.9893063
1697786342331,-0.1209112,0.08217669,-0.006408819,0.9892353
1697786342344,-0.120948,0.08258542,-0.00654049,0.9891959
1697786342358,-0.1206339,0.08305557,-0.006595157,0.9891945
1697786342373,-0.121064,0.08306719,-0.006025216,0.9891446
1697786342386,-0.1207926,0.08345338,-0.006408022,0.9891429
1697786342402,-0.1207892,0.08398673,-0.006352316,0.9890985
1697786342415,-0.1208144,0.08385603,-0.006442248,0.9891059
1697786342429,-0.1211054,0.08433112,-0.006282355,0.989031
1697786342442,-0.1215025,0.08438727,-0.006303699,0.9889774
1697786342457,-0.1214305,0.08467398,-0.006352174,0.9889614
1697786342470,-0.1219269,0.08463327,-0.006501496,0.9889028
1697786342485,-0.1218212,0.08511714,-0.006314103,0.9888756
1697786342498,-0.1220845,0.08512887,-0.006382652,0.9888416
1697786342512,-0.1224693,0.08514345,-0.00630248,0.9887934
1697786342526,-0.1226986,0.08537026,-0.006426231,0.9887445
1697786342540,-0.1228758,0.08540264,-0.006334239,0.9887203
1697786342554,-0.1228998,0.08542833,-0.00652831,0.9887139
1697786342567,-0.1231672,0.08583198,-0.006445532,0.9886461
1697786342582,-0.1235073,0.08590338,-0.006214805,0.988599
1697786342595,-0.1235377,0.08567631,-0.006068791,0.9886158
1697786342610,-0.1233881,0.08600684,-0.006077853,0.9886057
1697786342623,-0.1239281,0.08605957,-0.006053559,0.9885337
1697786342637,-0.124181,0.0863293,-0.006793439,0.9884737
1697786342651,-0.1240077,0.08629678,-0.006761636,0.9884985
1697786342664,-0.1240047,0.08624037,-0.006386239,0.9885064
1697786342679,-0.1239369,0.08612604,-0.00603895,0.9885269
1697786342693,-0.1239939,0.08601072,-0.005782839,0.9885314
1697786342706,-0.124179,0.08582636,-0.005290968,0.988527
1697786342720,-0.1239838,0.08565085,-0.005301621,0.9885666
1697786342735,-0.124336,0.08546654,-0.005107141,0.9885394
1697786342748,-0.124325,0.08555504,-0.005153957,0.9885328
1697786342762,-0.1244124,0.08506914,-0.005049062,0.9885644
1697786342776,-0.1247751,0.08484835,-0.005202287,0.9885367
1697786342789,-0.1246877,0.08477423,-0.0052316,0.9885541
1697786342803,-0.1244909,0.08460306,-0.004990337,0.9885947
1697786342817,-0.1245039,0.08432718,-0.005072892,0.9886163
1697786342831,-0.1247849,0.08430702,-0.005056173,0.9885827
1697786342845,-0.124821,0.08435495,-0.005006153,0.9885743
1697786342858,-0.1249682,0.08425932,-0.005115131,0.9885632
1697786342872,-0.1253377,0.08413727,-0.004765326,0.9885285
1697786342887,-0.1252326,0.08415295,-0.004825088,0.9885402
1697786342900,-0.1255789,0.08379743,-0.004908642,0.9885261
1697786342915,-0.1258139,0.08388741,-0.004601818,0.98849
1697786342928,-0.125725,0.08387246,-0.004916749,0.9885011
1697786342942,-0.1256403,0.08382971,-0.004784931,0.9885162
1697786342957,-0.1257892,0.08368719,-0.004727768,0.9885096
1697786342970,-0.1259134,0.08367961,-0.004662599,0.9884947
1697786342984,-0.1263407,0.08384246,-0.00463665,0.9884265
1697786342998,-0.1261762,0.08369453,-0.004580806,0.9884604
1697786343012,-0.1263155,0.08363111,-0.004532138,0.9884481
1697786343025,-0.1263164,0.08366898,-0.004484739,0.988445
1697786343040,-0.1262542,0.08372077,-0.004334855,0.9884493
1697786343054,-0.1260611,0.08363828,-0.004321215,0.988481
1697786343067,-0.1260058,0.08370688,-0.004372609,0.9884819
1697786343082,-0.1259975,0.0836325,-0.004370874,0.9884893
1697786343096,-0.1259104,0.08364568,-0.004314954,0.9884996
