time,x,y,z
1697786336853,0,0,0
1697786338366,-0.004973556,0.002051255,0.002272652
1697786338427,-0.003490278,0.0005120119,0.002525194
1697786338450,-0.003617274,0.001554076,0.002512179
1697786338468,-0.003133974,0.002417509,0.002681743
1697786338483,-0.003154275,0.00275012,0.002783389
1697786338496,-0.002816581,0.002769239,0.003066416
1697786338511,-0.002564637,0.002607083,0.003353487
1697786338524,-0.00219725,0.002444857,0.003729145
1697786338539,-0.001410592,0.001522226,0.004050023
1697786338554,-0.000855248,0.001482209,0.004456773
1697786338572,-0.0007154358,0.001270146,0.005000153
1697786338624,0.0002499383,0.001379024,0.006938811
1697786338653,0.0007212444,0.001437445,0.007411917
1697786338680,0.000502304,0.0003193494,0.006947126
1697786338706,0.0002318403,0.0005520532,0.006316104
1697786338719,-2.524749E-05,0.001231707,0.005985046
1697786338734,-7.757491E-05,0.001856197,0.005736078
1697786338747,-0.0002316523,0.002291211,0.00546894
1697786338761,-0.0005563871,0.002109877,0.005247632
1697786338775,-0.0005886381,0.001693939,0.005080446
1697786338788,-0.001098805,0.001048953,0.004768477
1697786338802,-0.00107746,-0.0003249984,0.004642542
1697786338816,-0.001185458,-0.0009386912,0.004453917
1697786338829,-0.001472868,-0.001188741,0.00442396
1697786338842,-0.001712704,-0.0009504185,0.004434922
1697786338856,-0.001891321,-0.0009706743,0.004242842
1697786338870,-0.001626849,-0.0006549819,0.003921434
1697786338884,-0.001798047,-4.459527E-05,0.003421428
1697786338898,-0.002010279,0.0002564559,0.003023824
1697786338912,-0.002043848,0.0007696691,0.002490941
1697786338926,-0.002098092,0.001396269,0.002058218
1697786338939,-0.002244977,0.001820441,0.001483403
1697786338955,-0.002474617,0.001814602,0.0009075251
1697786338967,-0.002629571,0.001825374,0.0005153587
1697786338981,-0.00293936,0.001420701,0.0001588119
1697786338995,-0.003080618,0.001238809,-2.201674E-05
1697786339009,-0.003043453,0.000707238,-0.0003637517
1697786339022,-0.003079713,0.0006335051,-0.0005729788
1697786339037,-0.003444012,0.0006787498,-0.0008601164
1697786339052,-0.003542033,0.0005767686,-0.00109843
1697786339067,-0.003792879,0.0004254717,-0.00137754
1697786339092,-0.004564694,0.0002671674,-0.001764918
1697786339106,-0.004946711,0.0006502435,-0.001823738
1697786339120,-0.00493717,0.0008336176,-0.001994929
1697786339135,-0.005400111,0.001160354,-0.002321256
1697786339148,-0.005706624,0.001328326,-0.00265259
1697786339161,-0.005778035,0.001470567,-0.002990877
1697786339176,-0.006108879,0.00104786,-0.003303327
1697786339189,-0.006177654,0.0006699782,-0.003751426
1697786339202,-0.006079766,0.0006244831,-0.003873418
1697786339216,-0.006141437,0.0008369794,-0.004071333
1697786339230,-0.006048034,0.001280812,-0.004117888
1697786339243,-0.006115582,0.0019233,-0.00426617
1697786339258,-0.005927921,0.002628482,-0.004375177
1697786339273,-0.005644496,0.002965516,-0.00441273
1697786339286,-0.00550721,0.002710123,-0.004561345
1697786339302,-0.00503027,0.002275078,-0.004993851
1697786339315,-0.005014491,0.00141546,-0.005490051
1697786339328,-0.004885414,0.001180148,-0.006047192
1697786339344,-0.004756523,0.001245235,-0.006521085
1697786339357,-0.004793454,0.001415342,-0.007079716
1697786339371,-0.004769483,0.001464081,-0.007652203
1697786339386,-0.004712664,0.001465541,-0.008049877
1697786339399,-0.004808031,0.001565006,-0.008437492
1697786339413,-0.004799748,0.0015882,-0.008727244
1697786339427,-0.004955946,0.001172523,-0.009391494
1697786339440,-0.004845693,0.0004742038,-0.009882079
1697786339455,-0.004699315,6.185489E-05,-0.01044544
1697786339468,-0.00467563,0.0003736581,-0.01075656
1697786339483,-0.004671999,0.0008275394,-0.0111674
1697786339497,-0.004475354,0.00150642,-0.01140751
1697786339511,-0.00442671,0.002071782,-0.01195539
1697786339524,-0.004418618,0.002352261,-0.01257042
1697786339538,-0.004348101,0.003427234,-0.01289962
1697786339553,-0.004673329,0.00357499,-0.01329578
1697786339565,-0.004438174,0.003822328,-0.01355
1697786339580,-0.004152484,0.003864167,-0.01372463
1697786339594,-0.004118996,0.003767216,-0.01393675
1697786339607,-0.004097719,0.003964936,-0.01384549
1697786339622,-0.004059619,0.003974219,-0.0138072
1697786339636,-0.004174611,0.003747111,-0.01368662
1697786339650,-0.004214551,0.003639877,-0.01350945
1697786339663,-0.004094439,0.002929962,-0.01326175
1697786339678,-0.004432625,0.002224292,-0.01297843
1697786339691,-0.00408853,0.001861387,-0.01251573
1697786339704,-0.003855352,0.001407855,-0.01226042
1697786339720,-0.003706718,0.0006901816,-0.01211743
1697786339733,-0.003630445,0.0001341677,-0.01205746
1697786339747,-0.003954981,-0.000194777,-0.01197795
1697786339761,-0.003819138,-0.000538926,-0.01185694
1697786339775,-0.003871285,-0.0006468196,-0.01166812
1697786339788,-0.003804101,-0.0005676551,-0.01140686
1697786339803,-0.003474578,-0.000489837,-0.01120936
1697786339817,-0.003441046,-5.11496E-05,-0.01122201
1697786339831,-0.002888359,0.0001981986,-0.01119208
1697786339845,-0.003055368,0.0004883272,-0.01136011
1697786339859,-0.002877976,0.000997748,-0.01141435
1697786339872,-0.002705745,0.001220364,-0.01129094
1697786339886,-0.002318499,0.002150617,-0.01080484
1697786339900,-0.002479458,0.002466976,-0.01044716
1697786339914,-0.002608325,0.002460575,-0.01019847
1697786339927,-0.002175671,0.00235022,-0.009721112
1697786339942,-0.002301787,0.002297312,-0.009407762
1697786339956,-0.002347339,0.002186901,-0.00919244
1697786339970,-0.002253836,0.001986585,-0.008938116
1697786339983,-0.002244457,0.001590958,-0.008809743
1697786339997,-0.002175277,0.001105141,-0.008651507
1697786340011,-0.001996455,0.001150373,-0.008336038
1697786340024,-0.002055733,0.001358296,-0.008004771
1697786340038,-0.002110866,0.001536999,-0.00757458
1697786340053,-0.001958974,0.001594832,-0.00715525
1697786340066,-0.002073978,0.001456433,-0.006728438
1697786340080,-0.001821331,0.001045,-0.006344303
1697786340094,-0.001929718,0.0007492332,-0.006046916
1697786340108,-0.001624526,0.0005762156,-0.005360214
1697786340122,-0.001269278,0.0008305727,-0.004731112
1697786340135,-0.00117273,0.0009847392,-0.003930469
1697786340150,-0.001088241,0.0009894692,-0.003404246
1697786340164,-0.0006919122,0.001345591,-0.002879297
1697786340178,-0.0005574491,0.002040911,-0.002417687
1697786340191,-0.0002806851,0.002016725,-0.002344428
1697786340204,-0.0002016518,0.001996293,-0.002319574
1697786340218,0.0003684916,0.00200294,-0.002256752
1697786340232,0.0008220754,0.0020148,-0.00213707
1697786340246,0.001184822,0.002393769,-0.001884165
1697786340261,0.001790041,0.002456158,-0.001572086
1697786340274,0.001893921,0.00240457,-0.001245673
1697786340288,0.002066025,0.002062541,-0.001028214
1697786340302,0.002305899,0.00156082,-0.0008796221
1697786340317,0.002448425,0.0009377023,-0.0006194327
1697786340330,0.002445754,0.0005861854,-0.0004127999
1697786340345,0.002365877,0.0002996241,-0.0001549695
1697786340359,0.001893547,0.0005351492,2.218313E-05
1697786340373,0.002085768,0.000413944,0.0001650745
1697786340387,0.001856613,0.0007633287,0.0002791173
1697786340401,0.001714712,0.0002437699,0.0001479965
1697786340415,0.001587314,0.0004635707,-0.0001893912
1697786340428,0.001302104,0.0004989426,-0.0002913673
1697786340442,0.00144951,0.0007856771,-0.0003933542
