time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1698070970783,0.6540164,1.039027,0.2522135
1698070975308,0.6487821,1.052809,0.2789944
1698070975363,0.05459768,0.1455809,-0.05337633
1698070975373,0.05667439,0.1423348,-0.04743853
1698070975385,0.05222283,0.1427866,-0.05061768
1698070975398,0.044597,0.1385019,-0.05109559
1698070975407,0.03976461,0.1377728,-0.05137746
1698070975423,0.03566834,0.1369384,-0.05389934
1698070975435,0.03573483,0.1392693,-0.05608715
1698070975448,0.03582639,0.1369013,-0.05388868
1698070975462,0.03883804,0.1384154,-0.05743993
1698070975475,0.03424447,0.1354901,-0.06016963
1698070975491,0.0388624,0.1421019,-0.06336653
1698070975503,0.04139548,0.1424915,-0.06392135
1698070975517,0.04364486,0.1417373,-0.06309906
1698070975531,0.04813522,0.1450744,-0.06719991
1698070975545,0.05303608,0.1489519,-0.06283978
1698070975559,0.05584712,0.1494513,-0.06632246
1698070975574,0.05813387,0.1566103,-0.06742607
1698070975586,0.06362516,0.1629623,-0.0713463
1698070975600,0.06716566,0.1676737,-0.07547823
1698070975613,0.06181153,0.1745799,-0.07204768
1698070975628,0.06320524,0.1822727,-0.07776354
1698070975641,0.05806601,0.1859763,-0.07826338
1698070975656,0.05687726,0.1899175,-0.08452189
1698070975668,0.05126187,0.1951044,-0.08966729
1698070975680,0.04789719,0.2003676,-0.08855867
1698070975695,0.04762452,0.2028078,-0.09166011
1698070975708,0.04704774,0.2052912,-0.09318069
1698070975722,0.0491286,0.2071857,-0.09824714
1698070975737,0.05011818,0.2083931,-0.1066671
1698070975751,0.05169475,0.2092348,-0.1086778
1698070975765,0.04926248,0.2122569,-0.112956
1698070975779,0.04740819,0.2117626,-0.1156435
1698070975793,0.04370577,0.2144333,-0.1071799
1698070975807,0.04746739,0.2085021,-0.09661522
1698070975822,0.05655313,0.2045802,-0.08649814
1698070975835,0.05704739,0.2008787,-0.08103833
1698070975849,0.05518482,0.2004126,-0.08366314
1698070975862,0.05095416,0.2024972,-0.08303011
1698070975877,0.0484505,0.2010445,-0.08683663
1698070975891,0.05306277,0.1997888,-0.08350029
1698070975905,0.05079647,0.2014944,-0.08564392
1698070975919,0.05047932,0.1993661,-0.08578732
1698070975933,0.05322494,0.1998436,-0.08591713
1698070975948,0.05226579,0.1991386,-0.08926193
1698070975960,0.05057297,0.1964075,-0.0937205
1698070975974,0.05021804,0.1964497,-0.09217975
1698070975989,0.04122662,0.1934353,-0.102502
1698070976002,0.04392495,0.1895837,-0.1033966
1698070976016,0.04055784,0.1835673,-0.09878051
1698070976030,0.03383156,0.1761906,-0.09755129
1698070976044,0.03069264,0.1747,-0.09851621
1698070976059,0.02008153,0.1746828,-0.09773222
1698070976071,0.01805162,0.1718068,-0.09841704
1698070976085,0.01263669,0.168543,-0.09850814
1698070976098,0.0159805,0.1680011,-0.1015164
1698070976113,0.0205945,0.1658029,-0.09686459
1698070976127,0.03083712,0.1605561,-0.09671728
1698070976141,0.03392358,0.1608423,-0.09342078
1698070976155,0.04156947,0.1571636,-0.09162827
1698070976168,0.04749321,0.1547612,-0.08894937
1698070976181,0.05139057,0.1518475,-0.08752584
1698070976196,0.05621963,0.1486489,-0.08680523
1698070976210,0.06642488,0.1479663,-0.08798867
1698070976224,0.06987378,0.1451461,-0.08752523
1698070976238,0.07187909,0.1394458,-0.08911364
1698070976252,0.06851652,0.1336187,-0.09189481
1698070976266,0.06443518,0.1279922,-0.0965371
1698070976280,0.06026376,0.119941,-0.09559183
1698070976294,0.0529604,0.1158246,-0.0974701
1698070976309,0.04823826,0.1132852,-0.09685159
1698070976323,0.04550541,0.1082752,-0.09620453
1698070976335,0.04076169,0.1047396,-0.0980131
1698070976349,0.03706558,0.0998676,-0.09691998
1698070976364,0.03666813,0.09665168,-0.09705926
1698070976377,0.03869439,0.09092399,-0.09611375
1698070976393,0.04438334,0.08875804,-0.09057997
1698070976405,0.04604238,0.08736567,-0.08908189
1698070976419,0.04961374,0.08592015,-0.09411876
1698070976433,0.04412932,0.08634944,-0.08253184
1698070976447,0.04161789,0.08421972,-0.0712719
1698070976461,0.04643213,0.07994183,-0.05854905
1698070976476,0.04513501,0.07556642,-0.04914461
1698070976489,0.0393698,0.07823013,-0.03852997
1698070976503,0.03015443,0.07612221,-0.03506219
1698070976516,0.02769926,0.07210955,-0.03438934
1698070976531,0.02629285,0.06906895,-0.03406677
1698070976544,0.02092855,0.06439999,-0.03462134
1698070976559,0.01798249,0.05839185,-0.03737116
1698070976573,0.01556721,0.05859191,-0.0318258
1698070976587,0.01219793,0.05368762,-0.03314723
1698070976600,0.005021889,0.05029769,-0.03292906
1698070976614,0.001832418,0.05061484,-0.0294174
1698070976629,0.001435032,0.04742946,-0.02950138
1698070976643,0.002246277,0.04416465,-0.03233227
1698070976657,-0.001344897,0.0392262,-0.0313078
1698070976671,-0.002064918,0.03592519,-0.02325006
1698070976684,-0.008141057,0.03229719,-0.02011235
1698070976698,-0.01683993,0.02592483,-0.0229931
1698070976712,-0.02440623,0.01700854,-0.0162443
1698070976727,-0.02802584,0.008815542,-0.01430735
1698070976740,-0.03361887,-0.00566774,-0.009819929
1698070976753,-0.03896244,-0.01709972,0.0004868907
1698070976767,-0.04010988,-0.03425282,0.005405786
1698070976781,-0.03750981,-0.04333638,0.01177158
1698070976795,-0.03454255,-0.05015659,0.01244539
1698070976809,-0.02786992,-0.05419198,0.01307499
1698070976823,-0.02597244,-0.05132262,0.01714412
1698070976837,-0.02319277,-0.05081,0.02413258
1698070976851,-0.02830805,-0.04500697,0.02998338
1698070976864,-0.02882789,-0.03880645,0.03866012
1698070976878,-0.0317418,-0.03523913,0.03895289
1698070976894,-0.03058542,-0.03548447,0.04194787
1698070976906,-0.0287479,-0.03676322,0.04113046
1698070976920,-0.02968573,-0.03971016,0.03666771
1698070976934,-0.02738088,-0.04394596,0.02622224
1698070976948,-0.02939549,-0.04882003,0.01968487
1698070976962,-0.0285876,-0.04899158,0.02169578
1698070976977,-0.03037232,-0.05196833,0.02094966
1698070976990,-0.02873361,-0.05331983,0.0224864
1698070977003,-0.02577777,-0.05387437,0.02705266
1698070977017,-0.02851427,-0.05346985,0.02589586
1698070977031,-0.0227698,-0.05870865,0.02999801
1698070977045,-0.01907691,-0.05897719,0.0250465
1698070977060,-0.02274443,-0.06271024,0.02271751
1698070977074,-0.0237462,-0.06488853,0.02639533
1698070977089,-0.02419162,-0.07359225,0.03040212
1698070977100,-0.01640273,-0.0802771,0.0369841
1698070977113,-0.004813585,-0.08269686,0.0319834
1698070977128,-0.00201442,-0.08181847,0.02739289
1698070982194,0.06999491,0.1301689,-0.09287139
1698070982251,-0.004681842,-0.1456489,-0.03528986
1698070982261,0.01686198,-0.1338064,-0.05026699
1698070982272,0.04673412,-0.1299733,-0.06648287
1698070982284,0.07425269,-0.1300121,-0.08436181
1698070982299,0.09145363,-0.120802,-0.1073254
1698070982312,0.1125321,-0.1001372,-0.1267081
1698070982325,0.1289505,-0.07592557,-0.1397878
1698070982339,0.1409554,-0.04092478,-0.1442709
1698070982352,0.1411145,-0.01305071,-0.1492433
1698070982366,0.1396528,0.00580251,-0.1483435
1698070982380,0.1423322,0.02309736,-0.1478181
1698070982394,0.1410742,0.03688464,-0.1505053
1698070982407,0.1335128,0.05612569,-0.1633635
1698070982421,0.1207472,0.08366305,-0.1630451
1698070982435,0.09841669,0.1227444,-0.1686943
1698070982448,0.07664547,0.1699483,-0.1714569
1698070982463,0.0541316,0.2118226,-0.180906
1698070982477,0.03380159,0.2473331,-0.1801218
1698070982490,0.0230062,0.2657259,-0.1811848
1698070982503,0.008937992,0.2733495,-0.1865515
1698070982517,-0.001342096,0.2682338,-0.1910784
1698070982531,-0.001673868,0.2721278,-0.1986555
1698070982545,0.01135975,0.2805012,-0.1981847
1698070982560,0.02264884,0.2861777,-0.187073
1698070982572,0.03654128,0.2827732,-0.1885991
1698070982586,0.05761606,0.2698746,-0.1850348
1698070982600,0.07733924,0.2554275,-0.1896166
1698070982614,0.08735292,0.2477008,-0.1916755
1698070982629,0.09771837,0.2506553,-0.187594
1698070982642,0.1092796,0.2538427,-0.1881688
1698070982656,0.1237122,0.2599255,-0.1958466
1698070982670,0.1381145,0.2684207,-0.2015443
1698070982683,0.1499659,0.2736093,-0.2040705
1698070982698,0.1603391,0.2749968,-0.2137803
1698070982711,0.1604165,0.2759849,-0.224316
1698070982725,0.1440153,0.2796997,-0.2318659
1698070982739,0.120197,0.2835651,-0.2362067
1698070982753,0.1044957,0.2935977,-0.242931
1698070982767,0.09982916,0.3077592,-0.2550459
1698070982781,0.1057043,0.3306811,-0.2640918
1698070982795,0.1132363,0.3520683,-0.274118
1698070982809,0.1280507,0.3723629,-0.2853678
1698070982823,0.1461654,0.3831281,-0.2967876
1698070982837,0.1545544,0.3952242,-0.3090628
1698070982850,0.1550294,0.4122284,-0.3136749
1698070982865,0.1532631,0.4274618,-0.3276994
1698070982878,0.1469567,0.4411671,-0.3453463
1698070982892,0.1319788,0.4587218,-0.3556705
1698070982906,0.1125839,0.4729871,-0.3627151
1698070982920,0.09659152,0.4846267,-0.3581114
1698070982934,0.08066556,0.4931068,-0.3263261
1698070982949,0.06100935,0.4973737,-0.2621588
1698070982962,0.04234669,0.4866513,-0.1921023
1698070982976,0.03665605,0.4617973,-0.1450293
1698070982990,0.05057056,0.438648,-0.1174237
1698070983003,0.06585928,0.4230345,-0.07877606
1698070983017,0.08353459,0.4123685,-0.04019491
1698070983031,0.09729367,0.3905905,-0.008921533
1698070983045,0.1131599,0.3746892,0.01112424
1698070983059,0.1215559,0.3615418,0.02488197
1698070983073,0.1248977,0.3528289,0.03096175
1698070983087,0.122616,0.344765,0.02444322
1698070983101,0.1173419,0.3337699,0.006949457
1698070983115,0.1128169,0.3297109,-0.006090374
1698070983129,0.1056914,0.3307014,-0.01815162
1698070983142,0.08616847,0.3379185,-0.02684746
1698070983156,0.0703989,0.3383441,-0.02300802
1698070983170,0.05095598,0.3362049,-0.01965964
1698070983184,0.03143176,0.3372223,-0.01801146
1698070983198,0.00622418,0.3354105,-0.01382532
1698070983212,-0.02058971,0.333499,-0.01371164
1698070983226,-0.04704476,0.3302852,-0.01564601
1698070983240,-0.06806935,0.327218,-0.01668614
1698070983254,-0.064517,0.3163808,-0.01972358
1698070983268,-0.05077539,0.3084636,-0.01613023
1698070983282,-0.02126527,0.2906325,-0.009150997
1698070983295,0.01501568,0.2665427,-0.005634682
1698070983309,0.06683769,0.239176,0.000593758
1698070983323,0.1003355,0.2188747,0.004547289
1698070983337,0.1179026,0.2011894,0.01042921
1698070983351,0.1416329,0.1790931,0.01893333
1698070983365,0.1666037,0.1608485,0.03626885
1698070983378,0.1913755,0.1458476,0.05229491
1698070983394,0.2049914,0.1338842,0.07237191
1698070983406,0.200606,0.1251225,0.09312506
1698070983420,0.1965565,0.1162945,0.1026483
1698070983434,0.1773116,0.1113899,0.1054052
1698070983448,0.1482127,0.1118361,0.09707608
1698070983462,0.1222241,0.1105482,0.08873836
1698070983476,0.1050322,0.1078549,0.07780463
1698070983490,0.09309707,0.1034859,0.0643836
1698070983503,0.07945553,0.09981479,0.05257395
1698070983517,0.07548703,0.09665042,0.04609649
1698070983532,0.08171505,0.08991779,0.04170036
1698070983545,0.08583461,0.08607427,0.03825719
1698070983559,0.08928385,0.08330104,0.02507255
1698070983573,0.09133502,0.07959758,0.003546884
1698070983587,0.09334565,0.07304545,-0.02201269
1698070983601,0.1036089,0.06261814,-0.0436596
1698070983615,0.1053475,0.05598641,-0.06227968
1698070983629,0.1118866,0.05367545,-0.073261
1698070983642,0.1140026,0.05425337,-0.08069775
1698070983656,0.1147883,0.0571324,-0.08925926
1698070983670,0.1119536,0.06132089,-0.08897264
1698070983684,0.09975789,0.06686009,-0.08787217
1698070983698,0.08367904,0.07046618,-0.08427487
1698070983711,0.05654575,0.07812767,-0.08608465
1698070983726,0.0355385,0.07439524,-0.09327
1698070983739,0.0271137,0.06582627,-0.09074184
1698070983753,0.01856672,0.05160395,-0.08211505
1698070983767,0.007084083,0.03335728,-0.08186261
1698070983782,-0.001333881,0.00909448,-0.08003244
1698070983795,-0.007159961,-0.0145156,-0.07031528
1698070983808,-0.0105452,-0.037363,-0.06574769
1698070983823,-0.01725349,-0.05656665,-0.05758009
1698070983837,-0.02117908,-0.07171472,-0.05406332
1698070983850,-0.01501391,-0.08888569,-0.05549668
1698070983865,-0.01236387,-0.09691436,-0.05361938
1698070983878,-0.006284927,-0.1085327,-0.05540834
1698070983893,-0.003060785,-0.1128658,-0.05078474
1698070983906,-0.004843416,-0.1175392,-0.04794602
1698070983920,-0.007662017,-0.1141105,-0.05108731
1698070983933,-0.01047901,-0.1130113,-0.05480406
1698070983948,-0.0127672,-0.1029467,-0.05699509
1698070983961,-0.0133157,-0.09419286,-0.05822843
1698070983975,-0.01246717,-0.08352768,-0.05936938
1698070983989,-0.001949421,-0.07067925,-0.05509078
1698070984003,0.0063021,-0.0593373,-0.06298619
1698070984017,0.01587393,-0.04087749,-0.06626701
1698070984030,0.02657597,-0.02381822,-0.06993318
1698070984045,0.042094,-0.004505816,-0.0676913
1698070984059,0.05761767,0.01410564,-0.06295464
1698070984072,0.07279941,0.03020456,-0.06118511
1698070984086,0.08733078,0.04385282,-0.06140137
1698070984101,0.09093365,0.05418242,-0.06135648
1698070984115,0.1025682,0.06827565,-0.06861191
1698070984128,0.1031414,0.0802476,-0.07486147
1698070984142,0.09924521,0.08921231,-0.06569573
1698070984156,0.09257358,0.102555,-0.05979536
1698070984169,0.09359977,0.1070473,-0.05816897
1698070984184,0.0930911,0.1085381,-0.05639362
1698070984198,0.1003716,0.108158,-0.05688578
1698070984212,0.1069428,0.1098361,-0.04750047
1698070984226,0.1104543,0.1107435,-0.03915164
1698070984239,0.1063721,0.1134928,-0.0343782
1698070984253,0.1045712,0.1174972,-0.02665966
1698070984267,0.1117997,0.1221252,-0.01291824
1698070984281,0.1134539,0.1285008,-0.0126979
1698070984295,0.1151809,0.1459367,-0.02290943
1698070984309,0.1156565,0.1698137,-0.01865501
1698070984323,0.1247996,0.1985512,-0.004824203
1698070984336,0.129926,0.2260844,0.00517817
1698070984351,0.1306688,0.2497197,0.01300864
1698070984364,0.1249427,0.2588038,0.01967346
1698070984378,0.1311725,0.2509433,0.02486959
1698070984392,0.1265953,0.2268326,0.02788234
1698070984406,0.1219656,0.1967587,0.01292165
1698070984421,0.105696,0.1711838,0.003214627
1698070984435,0.08285473,0.1453743,0.00136229
1698070984447,0.06427063,0.1221457,0.009493131
1698070984462,0.04775953,0.1015676,0.01661849
1698070984475,0.03669721,0.08259916,0.01598294
1698070984489,0.02253981,0.06984169,0.01547802
1698070984503,0.009857121,0.06403316,0.0220846
1698070984517,-0.006825523,0.05989605,0.02731298
1698070984531,-0.02152596,0.059499,0.0360827
1698070984545,-0.02954319,0.05407371,0.03872793
1698070984559,-0.03214995,0.04974478,0.05142774
1698070984573,-0.03270319,0.04442775,0.06683283
1698070984587,-0.03310538,0.04062641,0.08433265
1698070984601,-0.03523181,0.03186309,0.09756543
1698070984614,-0.03668696,0.01856536,0.1064264
1698070984628,-0.04042533,0.008102617,0.1156323
1698070984642,-0.03881804,-0.006562841,0.1165268
1698070984656,-0.04393746,-0.01871434,0.11679
1698070984670,-0.05231411,-0.0288132,0.1122058
1698070984684,-0.05790422,-0.03927327,0.1091934
1698070984697,-0.05908662,-0.04766347,0.1052478
