time,position_x,position_y,position_z
1698070970782,0.08627217,1.419086,0.4990981
1698070975307,0.0841981,1.418776,0.505588
1698070975362,-0.4015808,-0.4399276,1.338049
1698070975373,-0.4014937,-0.4398634,1.337917
1698070975384,-0.4014042,-0.4398085,1.337763
1698070975398,-0.401336,-0.4397598,1.337618
1698070975407,-0.401255,-0.4396964,1.33747
1698070975423,-0.4011621,-0.4396256,1.337314
1698070975434,-0.4010635,-0.4395176,1.337162
1698070975448,-0.4009604,-0.4393885,1.337012
1698070975461,-0.400849,-0.4393071,1.336847
1698070975475,-0.4007525,-0.4391959,1.336682
1698070975490,-0.4005947,-0.4391094,1.336499
1698070975503,-0.4004137,-0.4390357,1.336302
1698070975517,-0.4002486,-0.4389254,1.33612
1698070975531,-0.4001425,-0.4387984,1.335943
1698070975544,-0.4000427,-0.4386561,1.335766
1698070975558,-0.3999595,-0.4385104,1.335637
1698070975572,-0.3998793,-0.4383344,1.335526
1698070975586,-0.3998084,-0.4381554,1.335405
1698070975599,-0.3997522,-0.438006,1.335245
1698070975613,-0.3997098,-0.4378743,1.335079
1698070975628,-0.3996091,-0.4377791,1.3349
1698070975640,-0.3994992,-0.4376688,1.334734
1698070975654,-0.3994218,-0.4375524,1.334563
1698070975668,-0.3994087,-0.437433,1.334396
1698070975680,-0.399399,-0.4373195,1.334237
1698070975694,-0.3994394,-0.4371787,1.33411
1698070975708,-0.3994887,-0.4370281,1.333989
1698070975722,-0.3995244,-0.4368825,1.333853
1698070975736,-0.3995484,-0.4367356,1.333697
1698070975750,-0.3995813,-0.4365869,1.333531
1698070975764,-0.3995992,-0.4364502,1.333384
1698070975778,-0.3996255,-0.4363427,1.333222
1698070975792,-0.3996409,-0.4362281,1.333058
1698070975807,-0.3996636,-0.4361009,1.332913
1698070975820,-0.3996826,-0.435937,1.33279
1698070975834,-0.3997146,-0.4357611,1.332684
1698070975848,-0.3997657,-0.4356245,1.332571
1698070975862,-0.3998208,-0.4355073,1.332437
1698070975877,-0.3998883,-0.4353682,1.332309
1698070975890,-0.3999386,-0.4352565,1.332203
1698070975904,-0.3999791,-0.4351816,1.332107
1698070975918,-0.4000356,-0.4351146,1.331998
1698070975932,-0.4001264,-0.4350253,1.331894
1698070975947,-0.4002224,-0.4349524,1.331804
1698070975960,-0.4003299,-0.4348578,1.331743
1698070975973,-0.4004409,-0.4347975,1.33169
1698070975988,-0.4005598,-0.4347256,1.331636
1698070976001,-0.4006706,-0.4346636,1.331556
1698070976015,-0.4007828,-0.4346011,1.331484
1698070976029,-0.4008581,-0.434565,1.331442
1698070976043,-0.4009343,-0.4345519,1.331394
1698070976057,-0.4010537,-0.4345319,1.331326
1698070976071,-0.401193,-0.4345205,1.33125
1698070976085,-0.4013345,-0.4344926,1.331193
1698070976098,-0.4014788,-0.4344431,1.331171
1698070976112,-0.4016279,-0.4343533,1.331177
1698070976126,-0.401786,-0.4342764,1.331138
1698070976140,-0.401948,-0.4341784,1.3311
1698070976154,-0.4021123,-0.4341053,1.331075
1698070976168,-0.4022571,-0.4340419,1.331069
1698070976181,-0.4024083,-0.4339823,1.331076
1698070976195,-0.4026065,-0.4338679,1.331079
1698070976209,-0.4028057,-0.4337544,1.331096
1698070976223,-0.4030117,-0.4336176,1.331147
1698070976237,-0.403221,-0.4334724,1.331228
1698070976251,-0.4034332,-0.4333413,1.33131
