time,rotate_x,rotate_y,rotate_z
1698070970782,0.2313203,0.5747093,-0.2144218
1698070975308,0.2338719,0.5682996,-0.2112731
1698070975363,-0.04037295,0.1944164,-0.03228677
1698070975373,-0.04076356,0.193532,-0.03231603
1698070975385,-0.04113862,0.1924392,-0.03227875
1698070975398,-0.04139295,0.1913938,-0.03208891
1698070975407,-0.04164464,0.1904234,-0.03211226
1698070975423,-0.04196043,0.1894222,-0.03191381
1698070975435,-0.04227182,0.1884308,-0.03182646
1698070975448,-0.04244935,0.1874736,-0.03182867
1698070975462,-0.04283725,0.1864804,-0.03165804
1698070975475,-0.04317458,0.185404,-0.03154533
1698070975490,-0.04349593,0.184337,-0.03139421
1698070975503,-0.0438892,0.1832562,-0.03118075
1698070975517,-0.04429359,0.1823021,-0.03127146
1698070975531,-0.04480705,0.1811748,-0.03112398
1698070975544,-0.0452015,0.1799305,-0.03111391
1698070975558,-0.04563779,0.178828,-0.03091637
1698070975573,-0.04611327,0.1776336,-0.03084465
1698070975586,-0.04676641,0.1763654,-0.03084449
1698070975600,-0.04736014,0.1750727,-0.03088382
1698070975613,-0.04774047,0.1736286,-0.0307169
1698070975628,-0.04820975,0.1721511,-0.03058612
1698070975640,-0.04856268,0.1708154,-0.03035405
1698070975655,-0.04914491,0.1693673,-0.03017819
1698070975668,-0.04945542,0.1677794,-0.02990999
1698070975680,-0.0498502,0.1664153,-0.02965341
1698070975695,-0.05026768,0.1648435,-0.02949528
1698070975708,-0.0506272,0.1631889,-0.02915245
1698070975722,-0.05118104,0.1616622,-0.02878264
1698070975737,-0.05180127,0.1602125,-0.0285387
1698070975751,-0.05222983,0.1584936,-0.02823649
1698070975765,-0.05274541,0.156999,-0.02776008
1698070975779,-0.05322781,0.1552951,-0.02736134
1698070975793,-0.05353042,0.1537375,-0.02725374
1698070975807,-0.05396986,0.1523585,-0.02714271
1698070975822,-0.05450299,0.1509444,-0.02716187
1698070975835,-0.05491322,0.1494721,-0.02705367
1698070975848,-0.05523691,0.1479801,-0.02677953
1698070975862,-0.05555151,0.1465088,-0.02661482
1698070975877,-0.05603529,0.1450298,-0.0265236
1698070975891,-0.05645454,0.1436475,-0.02639136
1698070975905,-0.05693296,0.1421863,-0.02609228
1698070975918,-0.05739494,0.1405839,-0.02592861
1698070975933,-0.05777055,0.1391217,-0.02583772
1698070975947,-0.05821647,0.1377035,-0.0254447
1698070975960,-0.05869736,0.1363011,-0.0253164
1698070975974,-0.05904203,0.1347792,-0.02493443
1698070975989,-0.05941398,0.1334669,-0.02460113
1698070976002,-0.05989413,0.1320829,-0.02432709
1698070976015,-0.06018591,0.1306738,-0.0239457
1698070976029,-0.06048093,0.1294053,-0.02359207
1698070976044,-0.06076467,0.1281575,-0.02329089
1698070976057,-0.06086831,0.1268594,-0.02285256
1698070976071,-0.06120722,0.1256516,-0.02241921
1698070976085,-0.06135444,0.1243799,-0.02200098
1698070976098,-0.06170266,0.1229971,-0.02160043
1698070976112,-0.06189779,0.121861,-0.02131625
1698070976127,-0.06230129,0.1207495,-0.0210202
1698070976140,-0.06273743,0.1195223,-0.02074477
1698070976154,-0.06314013,0.1183053,-0.02044139
1698070976168,-0.06378999,0.1171876,-0.02022311
1698070976181,-0.06411679,0.1160955,-0.0199601
1698070976195,-0.06490997,0.1149984,-0.01978452
1698070976209,-0.06540249,0.1139245,-0.01966724
1698070976224,-0.06601661,0.1127646,-0.0194274
1698070976237,-0.06663247,0.1116804,-0.01911353
1698070976252,-0.06725872,0.1107593,-0.01868589
1698070976265,-0.06770413,0.1099015,-0.01842822
1698070976280,-0.06827078,0.108932,-0.01808442
1698070976294,-0.06858392,0.1081246,-0.0176947
1698070976308,-0.06905662,0.107203,-0.01729288
1698070976323,-0.06947706,0.1064317,-0.016878
1698070976335,-0.06987772,0.1055597,-0.01643341
1698070976349,-0.07020222,0.1048419,-0.01596626
1698070976364,-0.07063781,0.1040425,-0.01559878
1698070976377,-0.07102416,0.1033429,-0.01517946
1698070976392,-0.07156876,0.1026994,-0.01499206
1698070976405,-0.07206085,0.1019901,-0.01461033
1698070976419,-0.07259399,0.1011828,-0.0141631
1698070976433,-0.07282519,0.1005034,-0.01398573
1698070976447,-0.07310002,0.09990726,-0.01382273
1698070976461,-0.0735113,0.09940581,-0.01392312
1698070976475,-0.07384425,0.09884545,-0.01382384
1698070976489,-0.07396099,0.09822504,-0.01377145
1698070976502,-0.07413745,0.09777331,-0.01375031
1698070976516,-0.07437674,0.09721226,-0.01380928
1698070976530,-0.07452132,0.09682207,-0.01365953
1698070976544,-0.07471102,0.09627572,-0.01354415
1698070976558,-0.07486933,0.09600267,-0.01338232
1698070976573,-0.07492907,0.09546897,-0.01319622
1698070976586,-0.07490842,0.0951594,-0.01314561
1698070976600,-0.07489254,0.09477443,-0.01306426
1698070976614,-0.07495129,0.09435543,-0.01292697
1698070976628,-0.0750439,0.09416454,-0.01285919
1698070976643,-0.07516131,0.09381124,-0.01255336
1698070976657,-0.07508799,0.09356438,-0.01247668
1698070976670,-0.07497149,0.0933114,-0.01250025
1698070976683,-0.07501912,0.09309958,-0.01237863
1698070976698,-0.07464793,0.09303807,-0.01206579
1698070976712,-0.07453625,0.09288733,-0.01196401
1698070976727,-0.07430571,0.09312527,-0.01185679
1698070976739,-0.07404634,0.09323075,-0.01161116
1698070976753,-0.07364395,0.0934875,-0.01166131
1698070976767,-0.07344227,0.09395951,-0.01170959
1698070976781,-0.07322662,0.09432267,-0.01168472
1698070976795,-0.07299857,0.09477291,-0.01161815
1698070976809,-0.07293693,0.09518617,-0.0116395
1698070976823,-0.07275439,0.09547234,-0.01167205
