time,velocity_x,velocity_y,velocity_z
1698070970783,-0.09474198,0.005583809,0.4272155
1698070975308,-0.1054377,0.003951999,0.4449514
1698070975363,0.00584859,0.00477105,-0.004195378
1698070975373,0.006058738,0.00473438,-0.004537515
1698070975385,0.006572798,0.004512009,-0.005059643
1698070975398,0.006697783,0.004410625,-0.005407609
1698070975407,0.007017234,0.004401987,-0.00580583
1698070975423,0.007469839,0.004461741,-0.006278982
1698070975435,0.008124837,0.004828029,-0.006499207
1698070975448,0.008504442,0.005407389,-0.006680135
1698070975462,0.009020267,0.005742664,-0.006988947
1698070975475,0.00893973,0.006743923,-0.007009683
1698070975490,0.009361383,0.007315764,-0.007173218
1698070975503,0.009412017,0.007747127,-0.007410275
1698070975517,0.009431181,0.008246871,-0.007508065
1698070975531,0.009452613,0.008720995,-0.007546186
1698070975544,0.009373037,0.009213719,-0.007410778
1698070975558,0.008899027,0.009474128,-0.00704486
1698070975573,0.008595612,0.009951334,-0.006549587
1698070975586,0.008192991,0.01036776,-0.006110576
1698070975600,0.007438113,0.01034232,-0.005889223
1698070975613,0.006718095,0.01033449,-0.00574678
1698070975628,0.005997274,0.009688063,-0.005771179
1698070975640,0.005420536,0.009884251,-0.005686191
1698070975656,0.00496749,0.009884886,-0.005614102
1698070975668,0.004446917,0.009896577,-0.005376176
1698070975680,0.003915246,0.009728819,-0.00535808
1698070975695,0.003082925,0.00938491,-0.00531097
1698070975708,0.002408522,0.00963166,-0.005071827
1698070975722,0.001887814,0.0100878,-0.004901318
1698070975737,0.00140025,0.01061828,-0.00480976
1698070975751,0.000928128,0.01115236,-0.004630493
1698070975765,0.0008476896,0.01141546,-0.004460987
1698070975779,0.0006565297,0.01078965,-0.004406998
1698070975793,0.0008261199,0.01011206,-0.004548929
1698070975807,0.0006925519,0.009992215,-0.004405559
1698070975822,0.0008469102,0.01034716,-0.003904498
1698070975835,0.0006090378,0.01068033,-0.003545063
1698070975849,2.856e-05,0.01026691,-0.003354352
1698070975862,-0.0006464933,0.009928199,-0.003237999
1698070975877,-0.001417508,0.01012069,-0.00295364
1698070975891,-0.002085846,0.01006609,-0.00261734
1698070975905,-0.002622142,0.009721418,-0.002236717
1698070975919,-0.003228451,0.00899467,-0.00198533
1698070975933,-0.003718069,0.008306006,-0.001551879
1698070975947,-0.004152633,0.007882204,-0.000987589
1698070975960,-0.004671016,0.007367651,-0.0006609551
1698070975974,-0.004962445,0.006500733,-0.0002407368
1698070975989,-0.005487954,0.006344406,-7.734634e-06
1698070976002,-0.00571334,0.00614917,0.0002064381
1698070976016,-0.006073415,0.006307603,0.0004294136
1698070976029,-0.006558491,0.006082926,0.0004072874
1698070976044,-0.006884551,0.005215988,0.0002403494
1698070976058,-0.007242918,0.004810006,0.0002361267
1698070976071,-0.007669619,0.00416694,0.0001376215
1698070976085,-0.008034823,0.004053913,0.0002546484
1698070976098,-0.008333195,0.00422626,0.0005185908
