time,velocity_x,velocity_y,velocity_z
1698145276338,0.01159068,-0.002091943,-0.04566967
1698145276350,0.00124024,-0.004306082,-0.02844858
1698145276364,-0.0001048947,-0.003178466,-0.02687016
1698145276385,-0.00178565,0.001971578,-0.02388788
1698145276404,-0.002782597,0.006889057,-0.02173625
1698145276423,-0.003811388,0.009921471,-0.01988615
1698145276440,-0.004447892,0.01148263,-0.01922898
1698145276457,-0.005528884,0.01176583,-0.01919794
1698145276474,-0.006376955,0.01156108,-0.01894654
1698145276490,-0.006445811,0.01216177,-0.01870665
1698145276507,-0.005903642,0.01186884,-0.0179729
1698145276521,-0.005427771,0.009261358,-0.01741656
1698145276537,-0.004358928,0.006508652,-0.01639498
1698145276553,-0.002879794,0.005886568,-0.0158692
1698145276567,-0.001706045,0.007640214,-0.01606797
1698145276581,-0.0004235861,0.01045905,-0.01645254
1698145276596,0.0009431217,0.01235871,-0.01733597
1698145276610,0.002931981,0.01233729,-0.01872807
1698145276625,0.004871685,0.01029071,-0.01981761
1698145276638,0.007415659,0.007957245,-0.02046328
1698145276653,0.01026668,0.006801763,-0.02071907
1698145276668,0.0127837,0.005961081,-0.02115562
1698145276681,0.01556949,0.004606742,-0.02157858
1698145276694,0.01774641,0.003430965,-0.02236595
1698145276709,0.01992899,0.002992479,-0.02296102
1698145276723,0.02172841,0.003588141,-0.02384849
1698145276737,0.02348984,0.004108569,-0.02508567
1698145276752,0.02479269,0.004232596,-0.02675414
1698145276765,0.02583594,0.004604727,-0.02796
1698145276779,0.0262744,0.004736341,-0.02934318
1698145276794,0.02679294,0.004086528,-0.03062113
1698145276808,0.02611888,0.001602824,-0.03217189
1698145276823,0.02469472,-0.002144615,-0.03368848
1698145276838,0.02285529,-0.00423483,-0.03415725
1698145276853,0.02067318,-0.003248547,-0.03410969
1698145276868,0.01821557,-0.001076029,-0.03430102
1698145276881,0.01591978,0.0003934451,-0.03441439
1698145276895,0.01357906,0.0002347154,-0.0343072
1698145276908,0.0112401,-0.0007651076,-0.03402664
1698145276919,0.009696748,-0.001661618,-0.033412
1698145276933,0.007692244,-0.002351025,-0.03247886
1698145276947,0.005944408,-0.002405467,-0.03147498
1698145276960,0.004317084,-0.00140011,-0.03068555
1698145276974,0.002971207,0.0004322289,-0.02973855
1698145276988,0.001940867,0.00165752,-0.02901535
1698145277001,0.0008769743,0.001979284,-0.02849359
1698145277015,-0.0001138245,0.001121953,-0.02783685
1698145277029,-0.0007233191,6.520399e-05,-0.02721388
1698145277043,-0.0007025271,-0.001597723,-0.02636956
1698145277058,-0.001013504,-0.002814645,-0.02577227
1698145277071,-0.0009298269,-0.001691479,-0.02476921
1698145277085,-0.00116828,0.0004120597,-0.02425444
1698145277098,-0.0007207242,0.002409291,-0.02297031
1698145277112,0.000288328,0.003931495,-0.02176686
