t,x,y,z
1.607971890E-1,-2.994728088E-2,-2.452957630E-2,-1.006364822E-3
1.798111480E-1,-2.322578430E-2,-3.670808673E-2,1.124358177E-2
1.988251580E-1,-1.088428497E-2,-2.312067151E-2,-1.594257355E-2
2.178391160E-1,-2.077674866E-2,-1.886138320E-2,-2.064156532E-2
2.368530750E-1,1.372528076E-2,-3.868621588E-2,3.785514832E-2
2.558670330E-1,-1.894950867E-3,-4.442292452E-2,2.109313011E-2
2.748810430E-1,1.244354248E-2,-5.147767067E-2,1.542162895E-2
2.938950020E-1,-2.127265930E-2,-3.554692864E-2,-3.931117058E-2
3.129089600E-1,-3.742694855E-2,-3.153741360E-2,-2.830839157E-2
3.319229180E-1,-3.714084625E-2,-7.154467702E-2,-4.736423492E-3
3.509368770E-1,-8.383750916E-3,-8.577291667E-2,4.389739037E-2
3.699508870E-1,-1.092433929E-2,-8.182606101E-2,4.471278191E-2
3.889648460E-1,2.247428894E-2,-7.628723979E-2,6.187891960E-2
4.079788040E-1,-3.242683411E-2,-3.576019406E-2,9.372305870E-2
4.269927620E-1,-3.459262848E-2,2.261158824E-2,8.901071548E-2
4.460067210E-1,-1.128320694E-1,-1.396178305E-1,1.348128319E-1
4.650207310E-1,3.045558929E-2,-5.691280961E-2,6.258535385E-2
4.840346890E-1,1.355447769E-1,5.853116512E-2,-1.010248661E-1
5.030486480E-1,-5.871105194E-2,1.374643445E-1,-1.548814774E-1
5.220626580E-1,-2.543954849E-1,2.540313900E-1,5.094146729E-2
5.410766160E-1,-1.510038376E-1,3.157165051E-1,-6.520676613E-2
5.600905750E-1,-5.670547485E-2,4.141225517E-1,-3.117942810E-2
5.791045330E-1,-4.724025726E-2,5.763109922E-1,-1.672408581E-1
5.981185430E-1,-1.573400497E-1,8.564625978E-1,-4.493408203E-1
6.171325020E-1,-5.058526993E-1,9.874128699E-1,-4.483952522E-1
6.361464600E-1,-8.344984055E-1,9.169677496E-1,-4.131379128E-1
6.551604180E-1,-7.212619781E-1,6.204147339E-1,-4.013299942E-2
6.741744290E-1,1.446838379E-1,-2.531788945E-1,4.299032688E-1
6.931883870E-1,-2.485008240E-1,-3.701561391E-1,5.269670486E-1
7.122023460E-1,-4.172611237E-2,-1.975237131E-1,7.008011341E-1
7.312163040E-1,4.228820801E-1,3.402109146E-1,7.428290844E-1
7.502303140E-1,8.808460236E-1,8.058589697E-1,7.139189243E-1
7.692442730E-1,2.870826721E-1,8.136865497E-1,6.338952780E-1
7.882582310E-1,-2.063989639E-1,8.244795203E-1,3.899791241E-1
8.072721890E-1,-1.913204193E-1,5.703291297E-1,-1.678264141E-2
8.262862000E-1,-3.345975876E-1,4.415204525E-1,3.632558584E-1
8.453001580E-1,-6.184577942E-3,-1.171720028E-2,5.794966221E-1
8.643141160E-1,1.098079681E-1,3.332322836E-2,4.762583971E-1
8.833281270E-1,4.408264160E-2,1.544486284E-1,3.958913088E-1
9.023420850E-1,-2.248668671E-2,3.468784094E-1,3.661383390E-1
9.213560430E-1,-3.009700775E-1,5.860554576E-1,4.185318947E-1
9.403700020E-1,-3.652791977E-1,7.794687748E-1,3.432954550E-1
9.593840120E-1,-8.730220795E-2,9.467895031E-1,2.176256180E-1
9.783979710E-1,-1.232814789E-1,1.061885834E0,2.457720041E-1
9.974119290E-1,-1.372842789E-1,1.401361227E0,2.985686064E-1
1.016425887E0,-4.711151123E-2,1.405932784E0,2.390362024E-1
1.035439846E0,3.693675995E-2,1.611765623E0,1.157199144E-1
1.054453856E0,-1.232471466E-1,1.755526304E0,1.583554745E-1
1.073467814E0,-4.302396774E-1,1.866006017E0,5.255436897E-2
1.092481773E0,-7.360429764E-1,1.982192516E0,-6.000220776E-2
1.111495783E0,-8.264207840E-1,1.841970921E0,-1.418888569E-1
1.130509741E0,-7.316999435E-1,1.915576458E0,-4.569767714E-1
1.149510418E0,2.959928513E-1,1.622138143E0,-1.053855419E0
1.168870366E0,2.729578018E0,5.313137174E-1,-1.050253391E0
1.188264325E0,3.211541176E0,-1.356778741E-1,-5.697098374E-1
1.207658283E0,1.546170235E0,1.334807277E-1,-3.096456528E-1
1.227052293E0,4.246473312E-1,-6.285604835E-1,-5.083224773E-1
1.246446252E0,-1.078338623E-1,-4.020510912E-1,-1.038746357E0
1.265826721E0,-3.927659988E-1,-1.735671282E0,-7.619946003E-1
1.284998231E0,-1.072922707E0,-3.358933687E0,-3.698056936E-1
1.304012241E0,-8.173742294E-1,-8.815330267E-1,-3.199027777E-1
1.323026200E0,-5.306186676E-1,7.261440158E-3,-4.099365473E-1
1.342040158E0,1.219997406E-1,-4.220525622E-1,-3.678183556E-1
1.361054116E0,-1.535472870E-1,-1.251591802E0,-2.117038965E-1
1.380068127E0,-2.133359909E-1,-1.238414884E0,1.157295704E-2
1.399082085E0,-2.925968170E-2,-1.079784393E0,1.101589203E-1
1.418096043E0,5.447664261E-1,-1.054857969E0,1.780325174E-1
1.437110002E0,1.947984695E-1,-1.469870925E0,5.410718918E-2
1.456124012E0,2.257251740E-2,-1.708718419E0,-1.942803860E-1
1.475137971E0,1.855869293E-1,-2.131690264E0,-5.535161495E-2
1.494151929E0,-8.341693878E-2,-2.304413795E0,-8.523130417E-2
1.513165939E0,-6.186285019E-1,-1.742162585E0,-1.651855707E-1
1.532179898E0,-9.069852829E-1,-1.046650767E0,-7.696390152E-2
1.551193856E0,-9.058532715E-1,-7.033433318E-1,4.177594185E-2
1.570207814E0,-6.960124969E-1,-6.482673883E-1,1.398658752E-1
1.589221825E0,-8.496789932E-1,-5.551640391E-1,1.722309589E-1
1.608235783E0,-7.541847229E-1,4.156648517E-1,1.799972057E-1
1.627249741E0,-2.989444733E-1,3.973470926E-1,8.851528168E-3
1.646263700E0,2.331542969E-1,-2.984759808E-1,-1.317156553E-1
1.665277710E0,1.771440506E-1,-6.356105208E-1,1.601555347E-1
1.684291668E0,2.429046631E-1,-1.593356371E0,-2.339495420E-1
1.703305627E0,2.858409882E-1,-1.139049292E0,-1.537277699E-1
1.722319585E0,7.291946411E-1,-5.906072855E-1,4.735124111E-2
1.741333596E0,2.211627960E-1,-1.290290803E-1,1.519310474E-1
1.760347554E0,1.336927414E-1,-1.766789556E-1,4.179108143E-2
1.779361512E0,-2.806539536E-1,-1.127945632E-1,5.379068851E-2
1.798375523E0,-1.825876236E-1,-4.879852533E-1,1.407790184E-2
1.817389481E0,-5.060863495E-2,-6.884962320E-1,1.269996166E-1
1.836403439E0,-2.055740356E-1,-9.829633236E-1,9.300780296E-2
1.855417398E0,-3.361282349E-1,-1.023523688E0,-2.584263086E-1
1.874431408E0,-4.204702377E-1,-7.322024107E-1,-3.844150305E-1
1.893445314E0,-5.397748947E-1,-2.208806574E-1,-4.122393131E-1
1.912459325E0,4.011917114E-2,-3.932217062E-1,-3.816964626E-1
1.931473335E0,7.732353210E-1,-3.302491307E-1,7.736790180E-2
1.950487293E0,8.898477554E-1,1.915557683E-2,-7.855784893E-2
1.969501252E0,4.444313049E-1,-8.795583248E-2,-2.409708500E-2
1.988515210E0,1.108121872E-1,-4.278767109E-1,-3.087651730E-2
2.007529221E0,-3.380489349E-1,-5.451270938E-1,3.806352615E-4
2.026543179E0,-2.261590958E-1,-1.229205057E-1,2.225122452E-1
2.045557137E0,-1.788034439E-1,-1.808275282E-1,2.268328667E-1
2.064571096E0,-5.769824982E-2,-2.594066858E-1,1.246929169E-4
2.083585106E0,3.781318665E-2,-3.557196856E-1,-2.212681770E-1
2.102599064E0,4.005403519E-1,-1.697455794E-1,-1.128416061E-1
2.121613023E0,1.486635208E-1,1.573252231E-1,-1.664609909E-1
2.140627033E0,4.675388336E-2,6.837627292E-2,-3.592634201E-2
2.159640991E0,-2.233142853E-1,-1.685717255E-1,-2.175074816E-1
2.178654950E0,-6.139745712E-1,-4.225097001E-1,-5.295636654E-1
2.197668960E0,8.804702759E-2,1.021131873E-1,-2.901842594E-1
2.216682918E0,4.013767242E-1,4.790294766E-1,-7.426309586E-2
2.235696877E0,2.224035263E-1,2.990799546E-1,-1.207530499E-1
2.254710887E0,-1.823425293E-2,5.352532864E-2,-3.594496250E-1
2.273724793E0,-3.055343628E-1,2.359539270E-2,-3.271372318E-1
2.292738804E0,-2.767038345E-1,-1.253315955E-1,-1.539542675E-1
2.311752762E0,-4.212331772E-1,3.729362786E-2,-9.365963936E-2
2.330766773E0,-2.590599060E-1,1.364396065E-1,-1.159963608E-1
2.349780731E0,-5.422229767E-1,4.722143412E-1,9.149074554E-3
2.368794689E0,-3.815479279E-1,3.281256557E-2,-3.693771362E-2
2.387808700E0,-5.234718323E-3,-4.889638424E-1,1.180281639E-1
2.406822658E0,4.628324509E-1,-5.265820622E-1,2.223746777E-1
2.425836616E0,7.796688080E-1,-2.081838250E-1,3.192369938E-1
2.444850575E0,6.143846512E-1,1.322845072E-1,4.049050808E-1
2.463864533E0,1.672220230E-1,1.220517159E-1,2.059838772E-1
2.482878543E0,1.016836166E-1,-2.775683105E-1,1.666193008E-1
2.501892502E0,-7.851696014E-2,-4.866844416E-2,1.796913147E-2
2.520906512E0,-1.541862488E-1,2.873084247E-1,-1.011917591E-1
2.539920471E0,-5.873203278E-2,3.573099971E-1,-1.784207821E-1
2.558934429E0,9.825611115E-2,2.521486282E-1,-1.757578850E-1
2.577948387E0,2.532711029E-1,3.324989676E-1,-4.789853096E-2
2.596962398E0,-7.072353363E-2,1.373144388E-1,-3.076729774E-1
2.615976356E0,-1.372098923E-1,-6.017893553E-2,-3.614795208E-1
2.634990314E0,3.306388855E-2,9.960225224E-2,-2.145547867E-1
2.654004325E0,1.225719452E-1,1.731731892E-1,-2.366273403E-1
2.673018283E0,5.193996429E-2,1.534288526E-1,-2.571177483E-1
2.692032241E0,-7.234001160E-2,1.316410601E-1,-2.335500717E-1
2.711046200E0,-1.341819763E-2,1.438871324E-1,-1.154720783E-1
2.730060210E0,6.211948395E-2,1.064116657E-1,-8.790040016E-2
2.749074168E0,8.758544922E-2,2.866473794E-2,-1.648857594E-1
2.768088127E0,1.126413345E-1,-3.173464537E-2,-2.365343571E-1
2.787102137E0,7.736110687E-2,-8.234392107E-2,-2.662582397E-1
2.806116043E0,7.161998749E-2,-1.366960555E-1,-2.539174557E-1
2.825130054E0,8.499813080E-2,-1.554415971E-1,-1.308627129E-1
2.844144012E0,3.658294678E-2,-1.234429404E-1,-4.618167877E-2
2.863158023E0,-2.716827393E-2,-1.183587015E-1,-3.621768951E-2
2.882171929E0,-1.153564453E-2,-9.217543900E-2,-2.302908897E-2
2.901185939E0,-3.486633301E-3,-1.802809536E-2,-2.708911896E-2
2.920199950E0,-1.809787750E-2,5.442380905E-2,7.617712021E-3
2.939213908E0,8.014678955E-3,9.305232763E-2,8.157682419E-2
2.958227866E0,-1.069641113E-2,8.965712786E-2,1.397225857E-1
2.977241825E0,-1.143541336E-1,7.201522589E-2,1.739442348E-1
2.996255835E0,-1.242504120E-1,7.810859382E-2,1.755018234E-1
3.015269793E0,-6.324958801E-2,1.151228696E-1,1.238706112E-1
3.034283752E0,-6.060409546E-2,1.156316549E-1,8.588337898E-2
3.053297762E0,-1.099214554E-1,4.664131999E-2,3.946185112E-2
3.072311721E0,-8.726024628E-2,-4.026094079E-2,8.325338364E-3
3.091325679E0,-1.078701019E-2,-8.064442873E-2,5.950284004E-2
3.110339637E0,2.196311951E-2,-1.227749139E-1,8.953666687E-2
3.129353648E0,-4.504203796E-3,-1.776869893E-1,5.703830719E-2
3.148367606E0,-4.937839508E-2,-2.288276851E-1,-6.303024292E-2
3.167381564E0,-4.893207550E-2,-2.655209005E-1,-1.336257458E-1
3.186395575E0,9.695053101E-3,-2.617641687E-1,-1.121778488E-1
3.205409533E0,3.888416290E-2,-2.188858390E-1,-6.182694435E-2
3.224423491E0,4.606723785E-2,-1.370305866E-1,-5.000305176E-2
3.243437502E0,1.462841034E-2,-7.527549565E-2,-1.230559349E-1
3.262451460E0,-6.248474121E-3,-7.425457239E-2,-1.165599823E-1
3.281465418E0,-3.159713745E-2,-4.283219576E-2,-7.118344307E-2
3.300479377E0,-3.064346313E-2,-4.048243165E-3,-3.479671478E-2
3.319493387E0,3.350639343E-2,2.490390837E-2,7.010221481E-3
3.338507346E0,1.453399658E-3,3.305365145E-2,6.683135033E-2
3.357521304E0,-3.842926025E-2,-2.771079540E-3,2.816915512E-2
3.376535314E0,1.319694519E-2,8.089855313E-3,-9.922742844E-3
3.395549273E0,2.519512177E-2,4.007597268E-2,-9.086108208E-2
3.414563231E0,-8.920669556E-3,3.485263884E-2,-1.166813374E-1
3.433577241E0,-1.892089844E-3,8.608137071E-2,-1.396961212E-1
3.452591200E0,-6.112670898E-2,1.306511164E-1,-1.406784058E-1
3.471605158E0,-5.597114563E-2,9.823322296E-2,-1.059503555E-1
3.490619116E0,2.872180939E-2,7.357752323E-2,-3.632616997E-2
3.509633127E0,1.330146790E-1,8.675473928E-2,-2.637171745E-2
3.528647085E0,2.556705475E-2,4.678526521E-2,-1.000046730E-2
3.547661043E0,-6.624698639E-2,-3.034898639E-2,2.252960205E-2
3.566675054E0,-1.145629883E-1,-3.141151369E-2,-3.245592117E-3
3.585689012E0,-3.761291504E-2,-1.318405569E-2,2.671003342E-2
3.604702971E0,-1.544952393E-2,-1.772283018E-2,3.628540039E-2
3.623716929E0,2.856254578E-3,-5.900056660E-2,3.802156448E-2
3.642730939E0,-2.429008484E-3,-8.734603226E-2,4.573893547E-2
3.661744898E0,-5.765342712E-2,-9.701535106E-2,8.762383461E-2
3.680758856E0,-3.785800934E-2,-9.372191876E-2,1.032125950E-1
3.699772866E0,-2.087688446E-2,-9.948991239E-2,9.664988518E-2
3.718786825E0,-3.395271301E-2,-5.127605796E-2,7.586574554E-2
3.737800783E0,-7.179641724E-2,2.295508981E-3,3.021097183E-2
3.756814793E0,-2.975940704E-2,-2.392798662E-3,4.043984413E-2
3.775828752E0,-2.866077423E-2,-5.780516565E-2,4.585099220E-2
3.794842710E0,-3.267765045E-2,-1.449683160E-1,6.888628006E-3
3.813856721E0,1.613330841E-2,-1.845354438E-1,1.398515701E-2
3.832870679E0,-5.636215210E-4,-7.870352268E-2,5.767345428E-4
3.851884637E0,-2.532672882E-2,-5.761027336E-3,-2.992630005E-3
3.870898596E0,-4.117298126E-2,8.633628488E-3,-5.221939087E-2
3.889912606E0,-3.999042511E-2,-2.178101242E-2,-8.436441422E-2
3.908926564E0,-8.461952209E-3,-5.125725269E-2,-6.567788124E-2
3.927940523E0,-1.971149445E-2,-2.667182684E-2,-6.444430351E-2
3.946954533E0,-4.776000977E-3,-1.159231365E-2,-4.664349556E-2
3.965968491E0,-2.413368225E-2,-3.055045009E-2,-3.456616402E-2
3.984982450E0,-3.504848480E-2,-2.865678072E-2,-9.412288666E-3
4.003996460E0,-3.051280975E-2,-6.232510507E-2,-8.662223816E-3
4.023010418E0,7.486343384E-3,-1.193788424E-1,1.503634453E-2
4.042024429E0,2.372932434E-2,-9.587036818E-2,1.779532433E-2
4.061038335E0,-9.456634521E-3,-5.897460878E-2,-8.279561996E-3
4.080052346E0,-4.699611664E-2,-2.252957225E-2,-4.369306564E-2
4.099066304E0,-1.440048218E-3,-8.362695575E-3,-6.119728088E-2
4.118080262E0,4.554080963E-2,-4.842787981E-2,-2.063012123E-2
4.137094273E0,-3.010463715E-2,-7.382124662E-2,2.612829208E-2
4.156108231E0,-7.543182373E-2,-1.088227183E-1,6.082677841E-2
4.175122241E0,-3.196525574E-2,-9.435046464E-2,4.476904869E-2
4.194136200E0,-1.725864410E-2,-3.133362532E-2,2.807855606E-2
4.213150158E0,-2.529144287E-2,-2.029897273E-2,2.213430405E-2
4.232164168E0,-6.038951874E-2,-4.303820431E-2,-1.572299004E-2
4.251178127E0,-2.071285248E-2,-4.940617085E-2,1.112866402E-2
4.270192085E0,-2.840518951E-2,-5.619274080E-2,5.790686607E-2
4.289206096E0,-6.027603149E-2,-6.726928800E-2,9.154772758E-2
4.308220054E0,-6.480216980E-2,-4.352509975E-2,7.100272179E-2
4.327234064E0,-1.802158356E-2,-1.691477001E-2,3.310012817E-2
4.346248023E0,-3.742218018E-3,1.668354869E-2,2.354121208E-2
4.365261981E0,-6.373977661E-2,4.225717485E-2,2.402925491E-2
4.384275939E0,-7.362365723E-2,1.734094322E-2,1.416015625E-2
4.403289950E0,-3.090953827E-2,-1.052589715E-2,5.192518234E-3
4.422303908E0,-1.950931549E-2,-3.245523572E-2,2.073526382E-3
4.441317866E0,-1.905345917E-2,-4.125168920E-2,-8.676290512E-3
4.460331877E0,-1.886940002E-2,-2.170392871E-2,3.604888916E-3
4.479345835E0,-2.077198029E-2,1.727406681E-2,2.089309692E-2
4.498359793E0,-3.118133545E-2,2.029524744E-2,3.977012634E-2
4.517373752E0,-4.179000854E-2,-1.857355237E-2,1.723694801E-2
4.536387762E0,-1.251792908E-2,-5.139096081E-2,-1.146245003E-2
4.555401721E0,-6.455421448E-3,-4.524354637E-2,-2.935218811E-2
4.574415731E0,-2.345943451E-2,-1.082608104E-2,5.347490311E-3
4.593429689E0,-3.036212921E-2,1.234968007E-2,2.407360077E-2
4.612443700E0,-3.095912933E-2,-2.548930049E-2,6.099081039E-2
4.631457658E0,-1.408386230E-2,-7.761918008E-2,5.008220673E-2
4.650471616E0,4.277229309E-3,-9.221328050E-2,-1.520276070E-2
4.669485627E0,-5.815505981E-3,-6.216973066E-2,-2.964663506E-2
4.688499585E0,-3.109931946E-2,-2.640111744E-2,-6.292581558E-3
4.707513543E0,-4.537105560E-2,-5.580769479E-2,2.573442459E-2
4.726527554E0,-5.974674225E-2,-9.859807044E-2,3.665232658E-2
4.745541512E0,-2.363395691E-2,-1.060613841E-1,4.663491249E-2
4.764555471E0,1.609325409E-2,-7.782735676E-2,9.903430939E-3
4.783569481E0,3.813743591E-3,-6.393022090E-2,-3.848838806E-2
4.802583439E0,-9.735107422E-3,-6.079366803E-2,-7.619690895E-2
4.821597398E0,-1.882553101E-2,-4.442755878E-2,-4.746413231E-2
4.840611408E0,-4.334068298E-2,-2.503216267E-3,-1.944446564E-2
4.859625418E0,-4.349708557E-2,4.400037229E-2,-2.302432060E-2
4.878639377E0,-1.467895508E-2,7.847547531E-4,6.592512131E-3
4.897653335E0,2.624797821E-2,-7.716716826E-2,3.401184082E-2
4.916667293E0,6.291580200E-2,-5.867666006E-2,-8.538079262E-2
4.935681304E0,3.228855133E-2,-5.042876303E-2,-3.228330612E-2
4.954695314E0,-5.249786377E-2,-3.631286323E-2,-4.480981827E-2
4.973709273E0,-2.232265472E-2,-7.352098823E-2,-1.472306252E-2
4.992723231E0,3.448581696E-2,-9.483113140E-2,-1.382398605E-2
5.011737241E0,6.995582581E-2,-3.814397752E-2,-7.092404366E-2
5.030751200E0,2.828502655E-2,1.418516040E-3,-1.282010078E-1
5.049765158E0,-3.205013275E-2,8.456319571E-3,-8.312773705E-2
5.068779168E0,-1.726818085E-2,-6.494835019E-3,-5.794525146E-2
5.087793127E0,2.537822723E-2,1.686489582E-2,-7.869482040E-3
5.106807137E0,1.948356628E-3,5.539152026E-2,-2.610969543E-2
5.125821096E0,-2.916431427E-2,3.487069905E-2,-8.201217651E-2
5.144835054E0,7.556915283E-3,-5.387365818E-4,-5.034589767E-2
5.163849064E0,-8.826255798E-3,-4.126578569E-4,-4.025936127E-3
5.182863023E0,-2.676200867E-2,1.620328426E-2,-1.180887222E-3
5.201877033E0,-2.185535431E-2,1.448173821E-2,-2.696561813E-2
5.220890991E0,-2.067089081E-2,2.028506994E-2,-4.022884369E-2
5.239905002E0,1.223850250E-2,1.154029369E-2,-4.432940483E-2
5.258918960E0,-8.053779602E-3,-1.046419144E-3,-3.325533867E-2
5.277932918E0,-5.879592896E-2,1.205593348E-3,3.437995911E-2
5.296946929E0,-6.319999695E-2,-9.447887540E-3,6.669878960E-2
