t,p
-0.5719372083,997.5708008
0.4286397917,997.5727844
1.429217792,997.5748444
2.429791792,997.5798035
3.430372792,997.585907
4.430947792,997.5861359
4.981895792,997.586441
5.982472792,997.5875854
6.983049792,997.5875854
7.983625792,997.5856781
8.984202792,997.5856781
9.984780792,997.5871277
10.98568379,997.590332
11.98593379,997.5964355
12.98650879,997.6036835
13.98708479,997.6113129
14.98766579,997.6158905
15.98824179,997.6171875
16.98881479,997.6171875
17.98939279,997.6160431
18.98996879,997.612915
19.99054179,997.610321
20.99111879,997.6094818
21.99169479,997.6067352
22.99227179,997.6049042
23.99285179,997.6008606
24.99342479,997.6004791
25.99400079,997.5942993
26.99458079,997.5930023
27.99515379,997.591095
28.99573079,997.5884247
29.99630679,997.585907
30.99688279,997.585907
31.99745979,997.5871277
32.99820279,997.5912476
33.99861979,997.596817
34.99918779,997.6010132
35.99976379,997.6060486
37.00034279,997.6060486
38.00092179,997.6048279
39.00149779,997.6045227
40.00206979,997.6023102
41.00264979,997.6010132
42.00322579,997.6007843
43.00379979,997.6002502
44.00437779,997.6007843
45.00495079,997.6013184
46.00552879,997.6013184
47.00611079,997.6005554
48.00668679,997.5984955
49.00725579,997.5975037
50.00783779,997.5935364
51.00840779,997.591629
52.00898679,997.5897217
53.00956679,997.5895691
54.01014879,997.5893402
55.01071479,997.5882721
56.01128879,997.5862122
57.01186979,997.5791168
58.01244779,997.5743866
59.01301879,997.5718689
60.01359579,997.5682068
61.01416979,997.5682068
62.01474679,997.5708771
63.01532979,997.5735474
64.01589779,997.5737762
65.01647879,997.5739288
66.01705279,997.5740051
67.01763179,997.5740051
