time,position_x,position_y,position_z
1698907573506,0.008360768,2.138895,-0.4787738
1698907573517,0.01082175,0.7436685,-0.4791283
1698907573532,0.01107685,0.7437044,-0.4791452
1698907573552,0.01130437,0.7438362,-0.4790595
1698907573570,0.01153964,0.7439467,-0.4789571
1698907573591,0.01177625,0.7439775,-0.4789871
1698907573608,0.0119897,0.7439811,-0.4790517
1698907573625,0.01223586,0.7439682,-0.4791355
1698907573642,0.01246334,0.7439255,-0.4792593
1698907573658,0.01263125,0.7438331,-0.4794535
1698907573673,0.01275456,0.7437966,-0.4796918
1698907573689,0.01278106,0.7437998,-0.4799128
1698907573703,0.01277067,0.743777,-0.4801239
1698907573718,0.01280365,0.7436724,-0.4803669
1698907573733,0.01281287,0.7435176,-0.480566
1698907573749,0.01281134,0.7432832,-0.4807104
1698907573764,0.01279626,0.7430266,-0.480818
1698907573779,0.01278392,0.7427591,-0.4808576
1698907573794,0.01277019,0.7425579,-0.4808807
1698907573808,0.01274212,0.7424524,-0.4808581
1698907573823,0.01269143,0.7424639,-0.4807884
1698907573838,0.01265438,0.7424732,-0.4806795
1698907573851,0.01266374,0.742411,-0.4805594
1698907573865,0.01268608,0.7423358,-0.4804138
1698907573880,0.01271835,0.7422806,-0.4802749
1698907573894,0.01275566,0.7422535,-0.4801501
1698907573908,0.01274959,0.7422319,-0.480066
1698907573922,0.01271909,0.7422222,-0.4800116
1698907573936,0.01269004,0.742127,-0.4799503
1698907573950,0.01267461,0.7419991,-0.4798242
1698907573964,0.01268896,0.7417999,-0.4796639
1698907573979,0.01273071,0.7415936,-0.4795388
1698907573993,0.01279963,0.7413856,-0.4794225
1698907574007,0.01292559,0.7411857,-0.4792494
1698907574021,0.01313496,0.7409004,-0.4790643
1698907574034,0.0133643,0.7406452,-0.4788738
1698907574049,0.01357297,0.7403756,-0.4786484
1698907574062,0.01376995,0.7401651,-0.4784121
1698907574077,0.01398483,0.7399521,-0.4781393
1698907574090,0.01421375,0.7398468,-0.4778368
1698907574103,0.01443058,0.7397588,-0.4775266
1698907574116,0.01462691,0.7397131,-0.4772329
1698907574130,0.01484469,0.7396253,-0.4769923
1698907574144,0.01499085,0.739546,-0.4767619
1698907574158,0.01516736,0.7394559,-0.4765709
1698907574173,0.01533115,0.7393157,-0.4763719
1698907574187,0.01549615,0.7391842,-0.476123
1698907574200,0.01563711,0.7390844,-0.4758817
1698907574214,0.01571976,0.738951,-0.4756786
1698907574227,0.01583203,0.7388722,-0.4754379
1698907574241,0.01583392,0.738828,-0.4752836
1698907574255,0.01581521,0.7387302,-0.4751311
1698907574269,0.01579892,0.7385215,-0.4749259
1698907574283,0.01582921,0.7381425,-0.4745027
1698907574296,0.01586083,0.7379648,-0.4741501
1698907574309,0.0158772,0.7379121,-0.4737887
1698907574323,0.01582089,0.7379613,-0.4734055
1698907574337,0.0157588,0.7379763,-0.473016
1698907574351,0.01564319,0.7380217,-0.4725261
1698907574366,0.01550704,0.7380347,-0.4720131
1698907574380,0.01538513,0.738047,-0.4715353
1698907574394,0.01524664,0.7380223,-0.4710599
1698907574407,0.0151076,0.7379351,-0.4706331
1698907574422,0.0149666,0.7377966,-0.4702083
1698907574436,0.01485075,0.7374903,-0.4697432
1698907574451,0.01479084,0.7371939,-0.4692954
1698907574463,0.0146575,0.7369428,-0.4688626
1698907574476,0.01448699,0.7368021,-0.468495
1698907574492,0.01433115,0.7366646,-0.4681713
1698907574506,0.01421144,0.7364228,-0.4678206
1698907574520,0.01412909,0.7362157,-0.4674893
1698907574531,0.01400283,0.7360525,-0.4672146
1698907574544,0.01383677,0.7360321,-0.4670008
1698907574557,0.01361754,0.7359669,-0.46673
1698907574572,0.01344513,0.735863,-0.4664728
1698907574586,0.01336263,0.7357096,-0.4661828
1698907574599,0.01322272,0.7356757,-0.4659141
1698907574614,0.01306844,0.7356875,-0.4656716
1698907574628,0.01287934,0.7357111,-0.4654351
1698907574640,0.01272723,0.7356861,-0.4651541
1698907574655,0.01253076,0.7357914,-0.4649859
1698907574670,0.01232022,0.7358804,-0.4648243
1698907574682,0.01210949,0.7359126,-0.4646788
1698907574696,0.01188608,0.7359148,-0.4645527
1698907574710,0.01167852,0.7359037,-0.4644256
1698907574724,0.01147988,0.7359182,-0.4642862
1698907574737,0.01127589,0.7359424,-0.4641674
1698907574752,0.01107259,0.7358931,-0.4640335
1698907574766,0.0108763,0.7357669,-0.4638934
1698907574780,0.01067815,0.7356254,-0.4637534
1698907574794,0.01047889,0.7354737,-0.4636176
1698907574807,0.01026346,0.735334,-0.4634695
1698907574820,0.0100621,0.7351448,-0.46332
1698907574834,0.009816533,0.7349902,-0.463154
1698907574849,0.009609396,0.7348248,-0.4629998
1698907574864,0.009382099,0.734699,-0.4628288
1698907574876,0.009158267,0.7345923,-0.4626707
1698907574890,0.009079149,0.7346818,-0.4625435
1698907574904,0.008856259,0.7345126,-0.4623145
1698907574917,0.008785158,0.7344954,-0.4621667
1698907574932,0.008732174,0.7344431,-0.4619899
1698907574945,0.008698102,0.7343643,-0.4618222
1698907574959,0.008668222,0.7343183,-0.4616969
1698907574973,0.008634297,0.7342594,-0.4615747
1698907574987,0.008600179,0.7341647,-0.4613934
1698907575002,0.008568762,0.7340477,-0.4612243
1698907575014,0.008531881,0.7339222,-0.4610386
1698907575028,0.00846367,0.7338374,-0.4608426
1698907575042,0.008363793,0.7337444,-0.4606515
1698907575058,0.008195987,0.7336006,-0.4603862
1698907575071,0.00804046,0.7334884,-0.4601764
1698907575085,0.007925317,0.7334185,-0.4599857
1698907575098,0.007748242,0.7332708,-0.4597665
1698907575113,0.007542916,0.7331892,-0.4595944
1698907575126,0.007384352,0.7331086,-0.4593578
1698907575140,0.007331692,0.733079,-0.4591724
1698907575155,0.007150399,0.7330262,-0.4589662
1698907575169,0.007042486,0.7328843,-0.4586853
1698907575182,0.007004566,0.7328823,-0.4585203
1698907575196,0.007063713,0.7328818,-0.4583915
1698907575210,0.007171365,0.7328275,-0.4582657
1698907575224,0.007289043,0.7327364,-0.4581605
1698907575237,0.007415373,0.7326202,-0.4580576
1698907575251,0.007523376,0.7325339,-0.4579438
1698907575266,0.007619917,0.7324339,-0.4578239
1698907575279,0.007706141,0.7323082,-0.4577076
1698907575294,0.007765118,0.7321649,-0.4575599
1698907575307,0.007822225,0.7320598,-0.4574254
1698907575321,0.00787979,0.7320229,-0.4573103
1698907575334,0.007952301,0.7319886,-0.4571859
1698907575348,0.008072736,0.7319549,-0.4570232
1698907575362,0.008209718,0.7318917,-0.4568402
1698907575377,0.008332334,0.7318299,-0.4566545
1698907575392,0.008446334,0.731775,-0.456467
1698907575404,0.008542232,0.7317294,-0.4562875
1698907575420,0.008608336,0.7317074,-0.4560956
