time,position_x,position_y,position_z
1698908436365,1.03046,1.928168,2.791228
1698908436376,1.029696,1.153263,2.791102
1698908436390,1.029662,1.153308,2.791046
1698908436411,1.02959,1.153355,2.790987
1698908436430,1.029607,1.153386,2.790909
1698908436449,1.029637,1.153413,2.790822
1698908436466,1.029597,1.153357,2.790755
1698908436483,1.029597,1.153353,2.790684
1698908436499,1.029676,1.153398,2.790623
1698908436516,1.029742,1.153401,2.790564
1698908436532,1.029788,1.153388,2.790521
1698908436547,1.029834,1.153359,2.790482
1698908436563,1.029926,1.153326,2.790428
1698908436578,1.030008,1.153323,2.790399
1698908436592,1.030047,1.153303,2.790348
1698908436608,1.030068,1.153312,2.790295
1698908436623,1.030141,1.153304,2.790236
1698908436637,1.03026,1.153296,2.790179
1698908436651,1.030363,1.153251,2.790146
1698908436666,1.030445,1.153197,2.790122
1698908436680,1.030522,1.153155,2.790099
1698908436694,1.030658,1.153182,2.790087
1698908436708,1.030791,1.153204,2.790072
1698908436721,1.030898,1.153216,2.790064
1698908436734,1.03098,1.153204,2.790064
1698908436748,1.031068,1.153178,2.790066
1698908436763,1.031221,1.153168,2.79007
1698908436777,1.031375,1.153179,2.790062
1698908436792,1.031483,1.15318,2.790093
1698908436805,1.031601,1.153185,2.79013
1698908436819,1.03174,1.153203,2.790168
1698908436835,1.0319,1.153226,2.790205
1698908436849,1.032039,1.153255,2.790261
1698908436863,1.032148,1.153278,2.790319
1698908436878,1.032261,1.153302,2.790368
1698908436893,1.032376,1.153374,2.790395
1698908436907,1.032476,1.153409,2.790426
1698908436922,1.032571,1.153402,2.79046
1698908436935,1.032645,1.153384,2.790496
1698908436945,1.032737,1.153374,2.790526
1698908436957,1.032857,1.153373,2.790551
1698908436971,1.032974,1.153397,2.790579
1698908436986,1.03306,1.153399,2.790617
1698908436999,1.033107,1.153388,2.790637
1698908437013,1.03315,1.153396,2.790657
1698908437027,1.033208,1.153459,2.790674
1698908437041,1.033265,1.153506,2.790709
1698908437055,1.0333,1.153486,2.790738
1698908437068,1.033309,1.153455,2.790781
1698908437081,1.033342,1.153425,2.790837
1698908437097,1.033394,1.153441,2.790892
1698908437110,1.033435,1.153463,2.790942
1698908437124,1.033461,1.15348,2.791004
1698908437138,1.033476,1.153505,2.791071
1698908437152,1.033499,1.153546,2.79113
1698908437166,1.03354,1.153588,2.791184
1698908437178,1.033595,1.153627,2.791206
1698908437193,1.033603,1.1536,2.791249
1698908437207,1.033621,1.15355,2.791281
1698908437220,1.033664,1.153494,2.791289
1698908437234,1.033738,1.153445,2.791283
1698908437248,1.033824,1.153386,2.791275
1698908437261,1.033867,1.153348,2.791296
1698908437275,1.033911,1.153317,2.79131
1698908437290,1.033968,1.153282,2.791305
1698908437304,1.034045,1.153237,2.791269
1698908437318,1.034109,1.153149,2.791248
1698908437332,1.034165,1.153068,2.791233
1698908437345,1.034212,1.152997,2.791227
1698908437359,1.034284,1.152979,2.7912
1698908437372,1.034358,1.152965,2.791176
1698908437385,1.03441,1.152937,2.791148
1698908437400,1.034426,1.152903,2.791137
1698908437414,1.034439,1.152839,2.791128
1698908437428,1.034525,1.15284,2.791122
1698908437441,1.03462,1.152877,2.791133
1698908437454,1.034692,1.152892,2.791147
1698908437469,1.034766,1.152864,2.791168
1698908437483,1.034852,1.152842,2.791167
1698908437497,1.034965,1.152847,2.791162
1698908437511,1.035082,1.152845,2.791151
1698908437525,1.035164,1.152799,2.791114
1698908437539,1.035242,1.152746,2.79106
1698908437552,1.035334,1.152692,2.791026
1698908437566,1.035462,1.152646,2.790988
1698908437580,1.035586,1.152572,2.790949
1698908437595,1.035661,1.152468,2.79091
1698908437609,1.035734,1.152379,2.790869
1698908437623,1.035827,1.152287,2.790822
1698908437637,1.035925,1.152225,2.790771
1698908437650,1.036009,1.152167,2.790718
1698908437665,1.036054,1.152098,2.790669
1698908437679,1.036095,1.152051,2.790616
