time,rotate_x,rotate_y,rotate_z
1698750504624,0.02757045,-0.01293311,-0.009440934
1698750504633,0.04042356,-0.02704731,-0.005666669
1698750504642,0.04113069,-0.02765021,-0.005501086
1698750504661,0.04223615,-0.0280647,-0.00502456
1698750504678,0.04378597,-0.02846044,-0.005586557
1698750504697,0.04307754,-0.0293752,-0.004933445
1698750504714,0.04220247,-0.03027371,-0.004819922
1698750504731,0.04178321,-0.03088197,-0.004624415
1698750504748,0.04205917,-0.03134874,-0.004305657
1698750504765,0.04259544,-0.03139091,-0.003889501
1698750504782,0.04213106,-0.0312295,-0.003757188
1698750504798,0.04126302,-0.03147143,-0.003100049
1698750504814,0.04077908,-0.03169215,-0.002433764
1698750504830,0.04036005,-0.0315755,-0.001805339
1698750504845,0.04013716,-0.03117755,-0.001733785
1698750504860,0.0392931,-0.03051406,-0.001886191
1698750504875,0.03799699,-0.02974883,-0.002242699
1698750504889,0.03657066,-0.02908415,-0.002348587
1698750504904,0.03538107,-0.02826843,-0.002186399
1698750504919,0.03410703,-0.0272896,-0.002095209
1698750504933,0.03253369,-0.02585101,-0.002062689
1698750504947,0.03044795,-0.02408838,-0.00210289
1698750504961,0.02908382,-0.02202091,-0.002349424
1698750504975,0.02798168,-0.02025768,-0.002429239
1698750504990,0.02772602,-0.01850441,-0.002649797
1698750505004,0.0279002,-0.01640153,-0.002932941
1698750505017,0.027813,-0.01467553,-0.003079013
1698750505032,0.02770949,-0.0131354,-0.003085231
1698750505046,0.02764064,-0.01165548,-0.003374078
1698750505059,0.02761161,-0.01000679,-0.003762806
1698750505074,0.02805355,-0.008738816,-0.004184785
1698750505088,0.02897223,-0.007411748,-0.004469921
1698750505101,0.03001259,-0.006101072,-0.004853763
1698750505115,0.0306142,-0.005068749,-0.005004176
1698750505129,0.03082401,-0.004138291,-0.005216094
1698750505144,0.0303171,-0.003057003,-0.005857851
1698750505158,0.02955915,-0.002017289,-0.007227583
1698750505172,0.02893652,-0.000729531,-0.008487895
1698750505182,0.02909508,0.0006667972,-0.00944098
1698750505196,0.02960382,0.001504093,-0.009253177
1698750505210,0.02995457,0.002179444,-0.008804233
1698750505225,0.02942095,0.003045022,-0.008985962
1698750505238,0.02840912,0.004154682,-0.009854875
1698750505252,0.02711318,0.005717903,-0.01084601
1698750505266,0.0255269,0.007274777,-0.01219798
1698750505279,0.02451294,0.008841455,-0.01293778
1698750505293,0.02385668,0.01048541,-0.01324928
1698750505307,0.02371895,0.01182953,-0.01329156
1698750505321,0.0235894,0.01340893,-0.01360004
1698750505335,0.02301392,0.01521367,-0.01443889
1698750505349,0.02210479,0.01721045,-0.01538657
1698750505363,0.02088082,0.01931149,-0.01652235
1698750505377,0.01999347,0.02159876,-0.0174536
1698750505391,0.01950701,0.02373347,-0.01771925
1698750505405,0.01928966,0.02564266,-0.01760553
1698750505418,0.0190003,0.02733696,-0.01743155
1698750505432,0.01848544,0.02919179,-0.0177017
1698750505446,0.01763027,0.03131527,-0.01856541
1698750505461,0.01677396,0.03360191,-0.01947556
1698750505474,0.01584876,0.03588483,-0.02022236
1698750505488,0.01514301,0.0379245,-0.02050836
1698750505502,0.01430045,0.03975338,-0.02060238
1698750505516,0.01383731,0.04158607,-0.02045204
1698750505529,0.01339125,0.04333586,-0.02063962
1698750505543,0.01280034,0.04517174,-0.02081692
1698750505557,0.01205041,0.04710874,-0.02122066
1698750505571,0.01123889,0.04894578,-0.02152896
