t,x,y,z
0.019475627,9.153144836,0.3684946895,3.413959742
0.021852346,9.06700325,0.4157529473,3.399004459
0.024229116,9.004789352,0.4301098585,3.36012125
0.026605835,8.976076126,0.4301098585,3.402593851
0.028982606,8.98026371,0.3912265003,3.464807272
0.031359325,8.998807907,0.3768695593,3.536591768
0.033736096,9.041280746,0.3433700502,3.579662561
0.036112814,9.08435154,0.3104687333,3.618546009
0.038489585,9.08853817,0.3146561682,3.628117323
0.040866304,9.113064766,0.3056831062,3.608974695
0.043243075,9.08435154,0.3104687333,3.589832067
0.045619846,9.094520569,0.3296113312,3.561118364
0.047996564,9.094520569,0.2961117923,3.565903902
0.050373335,9.094520569,0.2626122832,3.56530571
0.052750054,9.084949493,0.2530409992,3.560520172
0.055126825,9.056235313,0.2338984162,3.555136204
0.057503543,9.046664238,0.2386840582,3.540779352
0.059880314,9.01316452,0.2105683982,3.530609846
0.062257033,8.984451294,0.2057827413,3.52582407
0.064633804,8.984451294,0.2147558331,3.530609846
0.067010523,9.008378983,0.1770688742,3.549752474
0.069387293,9.008378983,0.1866401732,3.544966698
0.071764012,9.032307625,0.2009970993,3.569493294
0.074140783,9.061020851,0.1962114573,3.55992198
0.076517554,9.061020851,0.2153540403,3.564707518
0.078894273,9.065806389,0.2105683982,3.574278831
0.081271043,9.075378418,0.2344966233,3.555734396
0.083647762,9.07059288,0.2386840582,3.550948858
0.086024533,9.084949493,0.2530409992,3.550948858
0.088401252,9.104091644,0.2578266263,3.560520172
0.090778023,9.108877182,0.2626122832,3.561118364
0.093154741,9.118449211,0.2632105052,3.546761274
0.095531512,9.132805824,0.2673979402,3.570689678
0.097908231,9.128020287,0.2817548811,3.570689678
0.100285002,9.141778946,0.2961117923,3.58504653
0.102661721,9.151350021,0.3104687333,3.633501291
0.105038491,9.14596653,0.3296113312,3.633501291
0.10741521,9.169894218,0.3248256743,3.643072367
0.109791981,9.136993408,0.3343969584,3.609572887
0.1121687,9.127422333,0.3391826153,3.600001574
0.114545471,9.117850304,0.3439682424,3.576073408
0.116922241,9.108279228,0.3343969584,3.575475216
0.11929896,9.104091644,0.3248256743,3.565903902
0.121675731,9.10349369,0.3439682424,3.570689678
0.12405245,9.122636795,0.3487538993,3.576073408
0.126429221,9.123234749,0.3439682424,3.566502094
0.128805939,9.122636795,0.3487538993,3.57128787
0.13118271,9.104091644,0.3439682424,3.561118364
0.133559429,9.117850304,0.3391826153,3.57128787
0.1359362,9.104091644,0.3391826153,3.546761274
0.138312918,9.128020287,0.3391826153,3.547359467
0.140689689,9.118449211,0.3343969584,3.552145243
0.143066408,9.132805824,0.3104687333,3.541975737
0.145443127,9.108877182,0.2961117923,3.556332588
0.147819898,9.128020287,0.3056831062,3.55154705
0.150196668,9.113663673,0.3008974493,3.546761274
0.152573387,9.099306107,0.3008974493,3.556332588
0.154950158,9.104091644,0.2817548811,3.55154705
0.157326877,9.108877182,0.2769692242,3.575475216
0.159703648,9.098708153,0.2865405083,3.589832067
0.162080366,9.098708153,0.2769692242,3.58504653
0.164457137,9.108877182,0.2817548811,3.580260992
0.166833908,9.099306107,0.2626122832,3.56530571
0.169210627,9.089735031,0.2626122832,3.574877024
0.171587398,9.084949493,0.2673979402,3.570091486
0.173964116,9.104091644,0.2673979402,3.580260992
0.176340887,9.099306107,0.2626122832,3.579662561
0.178717606,9.08435154,0.2530409992,3.589233875
0.181094377,9.098708153,0.2626122832,3.603590965
0.183471096,9.122636795,0.2626122832,3.594617844
0.185847866,9.13220787,0.2721835673,3.589832067
0.188224585,9.132805824,0.2817548811,3.575475216
0.190601356,9.128020287,0.2530409992,3.580260992
0.192978127,9.113663673,0.2578266263,3.580260992
0.195354846,9.118449211,0.2769692242,3.561118364
0.197731564,9.128020287,0.2913261652,3.55154705
0.200108335,9.128020287,0.2913261652,3.565903902
0.202485106,9.118449211,0.2961117923,3.53718996
0.204861825,9.104091644,0.2913261652,3.546761274
0.207238596,9.113663673,0.2769692242,3.556332588
0.209615314,9.104091644,0.2817548811,3.55154705
0.211992085,9.108877182,0.2817548811,3.556332588
0.214368804,9.104091644,0.2769692242,3.546761274
0.216745575,9.108877182,0.2817548811,3.556332588
0.219122293,9.113663673,0.2865405083,3.561118364
0.221499012,9.104091644,0.2817548811,3.561118364
0.223875783,9.104091644,0.2817548811,3.556332588
0.226252554,9.118449211,0.2913261652,3.570689678
0.228629273,9.113064766,0.2721835673,3.594617844
0.231006043,9.127422333,0.2721835673,3.608974695
0.233382762,9.146564484,0.2769692242,3.618546009
0.235759533,9.151350021,0.2578266263,3.623331785
0.238136252,9.156135559,0.2626122832,3.632902861
0.240513023,9.151350021,0.2482553422,3.632902861
0.242889793,9.146564484,0.2530409992,3.623331785
0.245266512,9.141778946,0.2578266263,3.613760471
0.247643283,9.122636795,0.2338984162,3.603590965
0.250020002,9.113064766,0.2673979402,3.608974695
0.252396773,9.127422333,0.2721835673,3.608974695
0.254773491,9.117850304,0.2626122832,3.599403381
0.257150262,9.117850304,0.2626122832,3.604189157
0.259526981,9.122636795,0.2530409992,3.599403381
0.261903752,9.141778946,0.2482553422,3.618546009
0.264280471,9.136993408,0.2530409992,3.594617844
0.266657241,9.141778946,0.2482553422,3.608974695
0.26903396,9.141778946,0.2482553422,3.608974695
0.271410731,9.141778946,0.2482553422,3.599403381
0.27378745,9.141778946,0.2386840582,3.608974695
0.276164221,9.146564484,0.2530409992,3.613760471
0.278540991,9.122636795,0.2386840582,3.608974695
0.28091771,9.141778946,0.2673979402,3.58504653
0.283294481,9.128020287,0.2578266263,3.580260992
0.2856712,9.108279228,0.2482553422,3.589233875
0.288047971,9.118449211,0.2673979402,3.570689678
0.290424689,9.099306107,0.2578266263,3.560520172
0.29280146,9.108877182,0.2817548811,3.53718996
0.295178179,9.113663673,0.2721835673,3.546761274
0.297554898,9.094520569,0.2727817893,3.527020693
0.299931668,9.094520569,0.2632105052,3.531806231
0.302308439,9.089735031,0.2673979402,3.536591768
0.304685158,9.094520569,0.2769692242,3.560520172
0.307061929,9.089735031,0.2721835673,3.560520172
0.309438648,9.094520569,0.2721835673,3.56530571
0.311815366,9.089735031,0.2721835673,3.555734396
0.314192137,9.075378418,0.2721835673,3.560520172
0.316568908,9.089735031,0.2673979402,3.56530571
0.318945679,9.084949493,0.2673979402,3.56530571
0.321322398,9.075378418,0.2626122832,3.56530571
0.323699168,9.075378418,0.2530409992,3.56530571
0.326075887,9.07059288,0.2338984162,3.574877024
0.328452658,9.07059288,0.2243271172,3.579064369
0.330829377,9.089735031,0.2201396823,3.584448338
0.333206148,9.079565048,0.2243271172,3.598805189
0.335582866,9.089137077,0.2291127741,3.594019651
0.337959637,9.108279228,0.2338984162,3.598805189
0.340336356,9.108279228,0.2243271172,3.603590965
0.342713127,9.113064766,0.2099701911,3.617947817
0.345089846,9.113064766,0.2147558331,3.632304668
0.347466616,9.108279228,0.2243271172,3.641875982
0.349843335,9.117850304,0.2243271172,3.637090445
0.352220106,9.113064766,0.2003988922,3.632304668
0.354596825,9.127422333,0.2051845491,3.651447296
