time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1699305825415,-0.009009517,-0.01079205,0.003251055
1699305825425,-0.004819409,0.004506404,-0.01084417
1699305825439,0.001620272,0.004805025,-0.01409634
1699305825460,0.008508964,0.0005477555,-0.01442018
1699305825479,0.00349822,-0.003953174,-0.01678521
1699305825498,-0.001741959,-0.003300917,-0.01455701
1699305825515,-0.003325695,-0.007933172,-0.005196135
1699305825532,-0.0006354048,-0.01155389,-0.005443381
1699305825548,0.007522844,-0.01521976,-0.0004048284
1699305825565,0.01049841,-0.01849697,0.01112633
1699305825580,0.0127708,-0.02539548,0.01280939
1699305825596,0.01230184,-0.02860641,0.01372425
1699305825611,0.01397409,-0.03228507,0.01666315
1699305825628,0.01767417,-0.03754716,0.02379324
1699305825642,0.01856815,-0.04042752,0.03431379
1699305825656,0.008880444,-0.04135996,0.03868868
1699305825671,0.006485167,-0.04165925,0.03123134
1699305825686,0.009454541,-0.04305269,0.0289674
1699305825700,0.01087387,-0.03968193,0.0227292
1699305825715,0.01204759,-0.03886488,0.02382804
1699305825728,0.0128192,-0.03483359,0.02723182
1699305825743,0.01557273,-0.03096735,0.02737042
1699305825756,0.01816207,-0.02812921,0.02747729
1699305825769,0.01841046,-0.01951188,0.02686618
1699305825783,0.0197822,-0.01617366,0.02061191
1699305825797,0.0163753,-0.01015109,0.01887104
1699305825812,0.01517232,-0.004667832,0.02133581
1699305825826,0.01111692,-0.001498544,0.01412361
1699305825839,0.01545167,-0.001051676,0.01296779
1699305825853,0.01990668,0.00193264,0.003373466
1699305825868,0.02035835,0.006572821,-0.004940883
1699305825882,0.02321987,0.01026509,-0.001619117
1699305825897,0.01967418,0.01518574,-0.002350189
1699305825912,0.01655873,0.01701088,-0.007521577
1699305825926,0.01402252,0.02182347,-0.009369158
1699305825943,0.007278088,0.02735481,-0.0121305
1699305825957,-0.00573895,0.02741794,-0.01502588
1699305825970,-0.01325945,0.02753508,-0.01484006
1699305825984,-0.01734716,0.02941332,-0.0178717
1699305825996,-0.01901379,0.0330532,-0.02086891
1699305826010,-0.01350355,0.03455091,-0.02517911
1699305826024,-0.01219228,0.03517142,-0.0198085
1699305826034,-0.01094781,0.03600188,-0.01872697
1699305826048,-0.01361572,0.03964693,-0.01848292
1699305826062,-0.02023383,0.03853722,-0.01841794
1699305826076,-0.02787509,0.03746901,-0.01621601
1699305826091,-0.03076796,0.03241954,-0.0143112
1699305826104,-0.0369786,0.02686865,-0.01346607
1699305826118,-0.02847898,0.01905499,-0.01293253
