time,rotate_x,rotate_y,rotate_z
1699305825415,-0.0724598,0.01002875,-0.03627882
1699305825424,-0.07194814,0.009653717,-0.03559195
1699305825439,-0.07217961,0.009542137,-0.0354188
1699305825459,-0.07248703,0.009630501,-0.03529287
1699305825478,-0.07237402,0.00975886,-0.03504582
1699305825498,-0.07220764,0.009780586,-0.03498213
1699305825514,-0.07214437,0.01000977,-0.0351284
1699305825532,-0.07221432,0.01016298,-0.03504232
1699305825548,-0.07246944,0.01034918,-0.03511822
1699305825565,-0.07277707,0.01092571,-0.03547265
1699305825579,-0.07269405,0.01105329,-0.03526725
1699305825596,-0.07298379,0.01114202,-0.03543388
1699305825611,-0.07292573,0.01159701,-0.03567365
1699305825626,-0.07322244,0.01200059,-0.03584239
1699305825641,-0.07340617,0.01233271,-0.03624016
1699305825656,-0.07325368,0.01271671,-0.03642796
1699305825671,-0.07330213,0.01303589,-0.03648164
1699305825685,-0.07351608,0.01332685,-0.03648392
1699305825700,-0.07369825,0.01341701,-0.03638032
1699305825715,-0.07388623,0.01381573,-0.0369488
1699305825728,-0.07391668,0.01400274,-0.03685996
1699305825742,-0.0740023,0.01424828,-0.03708942
1699305825756,-0.07420564,0.01427141,-0.03720636
1699305825769,-0.07428028,0.01438305,-0.03744258
1699305825783,-0.0745431,0.01433918,-0.03759649
1699305825797,-0.07452342,0.01449493,-0.03772186
1699305825812,-0.07457607,0.01439551,-0.03776923
1699305825826,-0.07466801,0.01441005,-0.03779182
1699305825839,-0.07494803,0.01429823,-0.03781077
1699305825853,-0.07508752,0.01429492,-0.03759069
1699305825868,-0.07520957,0.0139918,-0.03749257
1699305825882,-0.07524744,0.01397604,-0.03768723
1699305825897,-0.07540362,0.01378903,-0.03776761
1699305825912,-0.07539092,0.01363319,-0.03764497
1699305825926,-0.07554418,0.0134404,-0.03750096
1699305825942,-0.07539131,0.01324296,-0.03751914
1699305825957,-0.07517662,0.01291698,-0.03729363
1699305825970,-0.07495413,0.01283857,-0.03722864
1699305825983,-0.07482779,0.01258579,-0.03722781
1699305825996,-0.07470473,0.01227021,-0.03708425
1699305826009,-0.07464346,0.01201966,-0.03700294
1699305826024,-0.07440607,0.01171911,-0.03688849
1699305826034,-0.07439141,0.01148227,-0.0368879
1699305826048,-0.07420646,0.01118565,-0.03675541
1699305826062,-0.07387505,0.01093897,-0.03674167
1699305826076,-0.07358684,0.01074544,-0.03674944
1699305826091,-0.07340273,0.01062924,-0.03664889
1699305826104,-0.07304712,0.01046535,-0.03659991
1699305826117,-0.07286673,0.01046565,-0.03654474
1699305826131,-0.07300355,0.01052532,-0.03646289
1699305826145,-0.07303358,0.01044372,-0.03624609
1699305826159,-0.07287201,0.01043135,-0.03620872
1699305826172,-0.07290214,0.01049545,-0.03617388
1699305826188,-0.07281635,0.0104968,-0.03610734
1699305826200,-0.07266251,0.0105027,-0.03605674
1699305826214,-0.07252212,0.01055181,-0.03609395
1699305826228,-0.07251425,0.01052225,-0.0360776
1699305826242,-0.07230949,0.01061857,-0.0361078
1699305826256,-0.07219226,0.01054496,-0.03605179
1699305826269,-0.07205012,0.01053044,-0.03605229
1699305826282,-0.07200076,0.01054531,-0.03590267
1699305826297,-0.07200309,0.01057467,-0.03592207
1699305826311,-0.07201317,0.01060981,-0.03585604
1699305826325,-0.07199313,0.01071519,-0.03579041
1699305826339,-0.07197491,0.01073426,-0.03584908
1699305826351,-0.07178084,0.01081413,-0.03588614
1699305826365,-0.07152825,0.01092768,-0.03590424
1699305826380,-0.0715236,0.01104951,-0.03587328
1699305826395,-0.07137608,0.01108021,-0.03578637
1699305826408,-0.07137574,0.01106092,-0.0356786
1699305826422,-0.07134,0.01113874,-0.03573842
1699305826437,-0.07121489,0.01121283,-0.0358109
1699305826448,-0.07094018,0.0114179,-0.03614082
1699305826463,-0.07035334,0.01130342,-0.03614753
1699305826477,-0.07028201,0.01119098,-0.03603375
1699305826490,-0.07013051,0.01115674,-0.03600947
1699305826505,-0.06994581,0.01122427,-0.03623614
1699305826519,-0.07003747,0.01111481,-0.03648988
1699305826533,-0.06985243,0.01119044,-0.03639343
1699305826547,-0.0697594,0.01121241,-0.0365519
1699305826562,-0.06976198,0.01121622,-0.0366667
1699305826576,-0.06965282,0.01121375,-0.03676809
1699305826590,-0.06953008,0.01121196,-0.03678842
1699305826603,-0.0694555,0.01119283,-0.036922
1699305826618,-0.06939644,0.01127964,-0.0369359
1699305826632,-0.06923739,0.01131555,-0.03708874
1699305826647,-0.06921668,0.01130098,-0.03716594
1699305826660,-0.06920816,0.01131958,-0.03713454
1699305826674,-0.06929454,0.01135367,-0.03707943
1699305826688,-0.06940935,0.01136869,-0.03727501
1699305826702,-0.06938423,0.0115234,-0.03741609
1699305826715,-0.06926461,0.01164481,-0.0374754
1699305826729,-0.06923959,0.01177242,-0.03739579
1699305826743,-0.06910262,0.01188469,-0.03728677
1699305826757,-0.06906331,0.01200199,-0.03724237
1699305826771,-0.06874295,0.01221722,-0.03720628
1699305826784,-0.06856198,0.0122377,-0.03710012
1699305826799,-0.06851587,0.01229453,-0.03709153
1699305826813,-0.06847187,0.0122517,-0.03704024
1699305826826,-0.06836859,0.01238394,-0.03702965
1699305826840,-0.06825263,0.01240647,-0.0370381
1699305826854,-0.06810347,0.01238948,-0.03709509
1699305826868,-0.06776589,0.0124712,-0.03696906
1699305826882,-0.06765424,0.01261085,-0.03697828
1699305826896,-0.06754111,0.01263702,-0.03681971
1699305826909,-0.06745101,0.01261821,-0.03673548
1699305826924,-0.06735858,0.01272807,-0.03661937
1699305826938,-0.06735748,0.01289508,-0.0363353
1699305826952,-0.06720185,0.01278353,-0.0362724
1699305826966,-0.06713563,0.01285103,-0.03610748
1699305826979,-0.06674492,0.01270604,-0.03599993
1699305826993,-0.06667874,0.01266986,-0.03593953
1699305827007,-0.06642142,0.01260811,-0.03582219
1699305827021,-0.06617056,0.01248762,-0.03575769
1699305827035,-0.06602196,0.01237664,-0.03558762
1699305827049,-0.06588852,0.01226893,-0.03550007
1699305827063,-0.06565747,0.01218343,-0.0354921
1699305827077,-0.06551895,0.01214388,-0.035423
1699305827090,-0.06527704,0.01203716,-0.03526959
1699305827104,-0.06526964,0.01190305,-0.03535498
1699305827119,-0.06504832,0.01171219,-0.03528986
1699305827132,-0.0649866,0.01178455,-0.03515845
1699305827146,-0.06484959,0.01176178,-0.03520272
1699305827160,-0.06475986,0.01177856,-0.03528843
1699305827173,-0.06490634,0.01182747,-0.03509056
1699305827187,-0.06499045,0.01185435,-0.0349534
1699305827201,-0.06504122,0.01189643,-0.03498849
1699305827215,-0.06503876,0.01197243,-0.03503072
1699305827229,-0.06491841,0.01207578,-0.03514767
1699305827243,-0.06478163,0.01211086,-0.03523397
1699305827257,-0.06475088,0.01213786,-0.03511256
1699305827271,-0.06489155,0.01211607,-0.03499576
1699305827285,-0.06509469,0.01214635,-0.03503155
1699305827299,-0.06518061,0.01215479,-0.0349737
1699305827313,-0.06516807,0.01217815,-0.03506983
1699305827327,-0.06519591,0.01215947,-0.03509396
1699305827341,-0.06515381,0.01212832,-0.03520069
1699305827355,-0.06510515,0.01215833,-0.0352826
1699305827369,-0.06497286,0.0121662,-0.03532029
1699305827383,-0.06479025,0.0121724,-0.03544148
1699305827396,-0.06453072,0.01220006,-0.03562604
1699305827410,-0.06441186,0.01233593,-0.03574398
1699305827424,-0.06424779,0.01238728,-0.03565675
1699305827438,-0.06417494,0.01241237,-0.03570177
1699305827452,-0.06422252,0.01248595,-0.03562745
1699305827466,-0.06429938,0.01257631,-0.03571037
1699305827480,-0.06426103,0.01269504,-0.0358138
1699305827494,-0.06432906,0.01283234,-0.035871
1699305827508,-0.06439177,0.01284793,-0.03582874
1699305827522,-0.06438923,0.01284781,-0.0357834
1699305827536,-0.06438147,0.01289016,-0.03572683
1699305827550,-0.06431594,0.01292947,-0.0356314
1699305827563,-0.06434783,0.0129317,-0.03560396
1699305827577,-0.06448109,0.01285163,-0.03549561
1699305827591,-0.06459225,0.01276749,-0.03552881
1699305827605,-0.0647321,0.01271069,-0.03548721
1699305827619,-0.06479129,0.01267302,-0.03551274
1699305827633,-0.06488465,0.01260006,-0.03557834
1699305827647,-0.06481098,0.01260373,-0.03566845
1699305827661,-0.06477509,0.01255655,-0.03566864
1699305827675,-0.06477798,0.01258126,-0.03572229
1699305827688,-0.06486312,0.01267219,-0.03570082
1699305827703,-0.06497244,0.0127835,-0.0356197
1699305827717,-0.06506721,0.01291227,-0.0355644
1699305827730,-0.0650768,0.01303589,-0.03545715
1699305827744,-0.06506961,0.01317981,-0.03541465
1699305827758,-0.06503851,0.01337481,-0.03527506
1699305827772,-0.0649765,0.01348597,-0.03526379
1699305827786,-0.06496073,0.01356101,-0.03515005
1699305827800,-0.06480864,0.01362598,-0.03513176
1699305827814,-0.06479041,0.01369587,-0.03518889
1699305827828,-0.06469232,0.01373139,-0.03508763
1699305827842,-0.06461661,0.01378796,-0.0350376
1699305827856,-0.0645538,0.01382402,-0.03497772
1699305827870,-0.06441866,0.01386693,-0.03499783
1699305827884,-0.06444285,0.01390585,-0.03492771
1699305827898,-0.06445447,0.01394033,-0.03483262
1699305827912,-0.06441797,0.01403373,-0.03471569
1699305827926,-0.06439719,0.0141474,-0.03459014
1699305827940,-0.06418873,0.01426992,-0.03436009
1699305827954,-0.06436362,0.01436669,-0.03406024
1699305827968,-0.06437393,0.01443645,-0.03409042
1699305827982,-0.06453884,0.01451018,-0.0340145
1699305827996,-0.06452969,0.01460996,-0.03396422
1699305828009,-0.06444713,0.01471424,-0.03393311
1699305828024,-0.0643756,0.01470831,-0.03389387
1699305828037,-0.06423037,0.01469517,-0.03375656
1699305828052,-0.06406067,0.01465043,-0.03334809
1699305828065,-0.0639245,0.01478443,-0.03346739
1699305828079,-0.06376558,0.0147388,-0.03332669
1699305828093,-0.06374142,0.01471823,-0.03314582
1699305828106,-0.06366701,0.01469904,-0.03311385
1699305828121,-0.06375018,0.01466346,-0.0329987
1699305828135,-0.06369273,0.01457813,-0.03293445
1699305828149,-0.06366774,0.01449409,-0.03289413
1699305828162,-0.06351552,0.01437971,-0.03297132
1699305828176,-0.06336997,0.0143232,-0.03300175
1699305828190,-0.06303944,0.01433599,-0.03316534
1699305828204,-0.06307471,0.01431546,-0.03319981
1699305828218,-0.06295495,0.01435572,-0.03318908
1699305828232,-0.06303155,0.0144302,-0.03313851
1699305828248,-0.06305591,0.01451886,-0.03328307
1699305828261,-0.06322002,0.01472634,-0.03343544
1699305828274,-0.06335714,0.01481664,-0.03348275
1699305828287,-0.06334193,0.01507321,-0.03356421
1699305828301,-0.06331272,0.01519313,-0.03369321
1699305828315,-0.06334054,0.01539436,-0.03366857
1699305828329,-0.06341162,0.01560819,-0.03378455
1699305828343,-0.06345751,0.01576263,-0.03394296
1699305828357,-0.06352489,0.01579237,-0.03389422
1699305828372,-0.06354466,0.01596275,-0.03403848
1699305828385,-0.06370437,0.01596153,-0.03409452
1699305828399,-0.06379072,0.01598445,-0.03406909
1699305828414,-0.06380947,0.01599404,-0.03403886
1699305828427,-0.06369408,0.01605898,-0.03406427
1699305828441,-0.06361997,0.01601592,-0.03407118
1699305828456,-0.06348719,0.01605371,-0.03399851
1699305828469,-0.06346109,0.01606432,-0.03393859
1699305828484,-0.0634262,0.01615578,-0.03395501
1699305828497,-0.0634821,0.01615238,-0.03392315
1699305828511,-0.0635576,0.01616114,-0.03385991
1699305828525,-0.06356642,0.01621786,-0.03385048
1699305828539,-0.06363345,0.01627237,-0.03386628
1699305828553,-0.06355995,0.01632959,-0.03377761
1699305828567,-0.06338462,0.01636934,-0.03376105
1699305828580,-0.0633548,0.01642826,-0.03378391
1699305828594,-0.06325821,0.01643348,-0.03376199
1699305828608,-0.06325115,0.0164735,-0.03382016
1699305828622,-0.06336237,0.01652414,-0.0338515
1699305828636,-0.06350562,0.01664189,-0.03390824
1699305828650,-0.06358404,0.0166817,-0.03388513
1699305828664,-0.06350474,0.01679817,-0.0339394
1699305828678,-0.06345648,0.01688254,-0.03397882
1699305828692,-0.06341606,0.0170258,-0.03390693
1699305828706,-0.06344961,0.01713139,-0.03386371
1699305828720,-0.06334999,0.01731133,-0.03378363
1699305828734,-0.06332299,0.0175752,-0.03369622
1699305828747,-0.06341725,0.01772135,-0.03357223
1699305828761,-0.06336371,0.01801401,-0.03340312
1699305828775,-0.06309599,0.01816076,-0.03322807
1699305828789,-0.06295684,0.01833564,-0.03317939
1699305828803,-0.06267559,0.01859245,-0.03324908
1699305828817,-0.06227578,0.01882565,-0.03340833
1699305828831,-0.06178803,0.01900527,-0.03346246
1699305828844,-0.06151261,0.01927117,-0.03351933
1699305828858,-0.0610045,0.01948816,-0.03366803
1699305828872,-0.06084093,0.01996833,-0.0337541
1699305828887,-0.06042636,0.02032137,-0.03386559
1699305828900,-0.06000402,0.0207639,-0.03405878
1699305828914,-0.05968598,0.02122068,-0.03406021
1699305828928,-0.05942368,0.02186278,-0.03425135
1699305828942,-0.05896857,0.02234548,-0.03435487
1699305828956,-0.05849509,0.0230433,-0.03442439
1699305828970,-0.05824662,0.02351668,-0.03451493
1699305828984,-0.05795933,0.02405667,-0.03451134
1699305828998,-0.05763537,0.02469265,-0.03457847
1699305829011,-0.05758108,0.02535677,-0.03450283
1699305829026,-0.05709987,0.02575111,-0.03452718
1699305829040,-0.05682004,0.02638873,-0.03436434
1699305829053,-0.05632374,0.0268119,-0.03423693
1699305829068,-0.05581969,0.02739933,-0.03426383
1699305829081,-0.05545301,0.02784324,-0.03383206
1699305829095,-0.05508458,0.02833173,-0.03348013
1699305829109,-0.05489706,0.02859911,-0.03318588
1699305829123,-0.05458184,0.0288327,-0.0327782
1699305829136,-0.05432085,0.02906966,-0.03225018
1699305829152,-0.05411275,0.02927402,-0.03207498
