time,position_x,position_y,position_z
1699310147787,-0.04555934,1.759937,-0.01097435
1699310147799,-0.04532584,0.0109126,-0.01224243
1699310147813,-0.04533632,0.01096107,-0.01224966
1699310147833,-0.04536841,0.01100078,-0.01230486
1699310147853,-0.04536894,0.01102995,-0.01238178
1699310147872,-0.04538487,0.01099153,-0.01250026
1699310147889,-0.04542399,0.01095811,-0.01261056
1699310147905,-0.04545693,0.01092932,-0.01272986
1699310147922,-0.04550491,0.01092865,-0.01284741
1699310147939,-0.04553658,0.01093138,-0.01297419
1699310147955,-0.04557418,0.01094189,-0.01310606
1699310147971,-0.04562699,0.01096169,-0.01323114
1699310147986,-0.04568578,0.01099976,-0.01335934
1699310148000,-0.04573882,0.01101588,-0.01348906
1699310148014,-0.04579706,0.01100798,-0.01362606
1699310148029,-0.04584084,0.01101824,-0.01376265
1699310148047,-0.0458882,0.01102987,-0.01390252
1699310148059,-0.04593096,0.0110516,-0.01403949
1699310148073,-0.04597642,0.01104453,-0.01417563
1699310148088,-0.04603038,0.01104163,-0.01431372
1699310148102,-0.04607192,0.01105724,-0.01445123
1699310148116,-0.04611041,0.01109775,-0.0145792
1699310148129,-0.04615752,0.01110323,-0.01470075
1699310148143,-0.04619167,0.01111758,-0.01483444
1699310148158,-0.04623785,0.01111746,-0.01497022
1699310148172,-0.04627364,0.01113802,-0.01510637
1699310148185,-0.0463272,0.01113664,-0.01525173
1699310148199,-0.04639491,0.01114374,-0.01538294
1699310148214,-0.04645715,0.0111445,-0.01551069
1699310148228,-0.04651101,0.01113073,-0.01565067
1699310148242,-0.04655813,0.01112621,-0.01579897
1699310148258,-0.0466304,0.01111534,-0.01595829
1699310148272,-0.04673096,0.01110469,-0.01613247
1699310148287,-0.04682687,0.01110029,-0.01630755
1699310148303,-0.04688417,0.01110164,-0.01648631
1699310148316,-0.04693964,0.01109665,-0.01665572
1699310148330,-0.04696818,0.01109566,-0.01683304
1699310148340,-0.046997,0.01110069,-0.01700442
1699310148353,-0.0470112,0.01109692,-0.01716669
1699310148367,-0.04703503,0.01113542,-0.01732967
1699310148382,-0.04705735,0.01114823,-0.01748974
1699310148394,-0.04708442,0.01118453,-0.01762769
1699310148408,-0.04710957,0.01121718,-0.01774218
1699310148422,-0.04712449,0.01123009,-0.01785661
1699310148436,-0.04715693,0.01125587,-0.0179747
1699310148450,-0.04718868,0.01127147,-0.01810131
1699310148464,-0.0472495,0.01128962,-0.01821122
1699310148477,-0.04730811,0.01130069,-0.01831698
1699310148490,-0.04737601,0.01132226,-0.01840921
1699310148504,-0.04743173,0.01132964,-0.018492
1699310148518,-0.04749293,0.01133338,-0.01856726
1699310148532,-0.04760779,0.01133234,-0.01860121
1699310148547,-0.04772578,0.01133402,-0.01862591
1699310148561,-0.04783294,0.01132141,-0.01866096
1699310148575,-0.04791927,0.01130072,-0.01869513
1699310148588,-0.04802531,0.01128643,-0.01871577
1699310148602,-0.04813548,0.01127103,-0.01872096
1699310148615,-0.04826169,0.01123097,-0.01872126
1699310148631,-0.0483881,0.0111893,-0.01873096
1699310148644,-0.04850885,0.01113684,-0.01874532
1699310148656,-0.04864673,0.01109913,-0.01875571
1699310148671,-0.04881416,0.01106559,-0.01873963
1699310148685,-0.04898274,0.01100258,-0.01872689
1699310148698,-0.04914608,0.01096605,-0.01873046
1699310148711,-0.0493016,0.0109123,-0.01873021
1699310148725,-0.04944648,0.01085799,-0.01873834
1699310148740,-0.04958057,0.01083885,-0.01874566
1699310148754,-0.0497135,0.01083797,-0.01875767
1699310148768,-0.04986279,0.01081551,-0.01875145
1699310148782,-0.0500066,0.01080176,-0.01874121
1699310148795,-0.05015673,0.01078099,-0.01871699
1699310148809,-0.05031602,0.0107618,-0.01869135
1699310148822,-0.05046212,0.01073976,-0.01865619
1699310148837,-0.05058292,0.01071983,-0.01860396
1699310148851,-0.05070639,0.01067955,-0.01855964
1699310148865,-0.05082556,0.01064651,-0.01851306
1699310148879,-0.05095025,0.01064004,-0.01845803
1699310148894,-0.05105411,0.01060991,-0.01838071
1699310148907,-0.05115598,0.01056348,-0.01828223
1699310148920,-0.05125926,0.01052116,-0.01816451
1699310148933,-0.05137986,0.01044654,-0.01804193
1699310148947,-0.05150191,0.01039023,-0.01790415
1699310148963,-0.05159598,0.01031009,-0.01775727
1699310148978,-0.0516738,0.0102224,-0.01760227
1699310148990,-0.05175094,0.01013501,-0.01744368
1699310149005,-0.05186282,0.01005167,-0.01731029
1699310149019,-0.05196319,0.009965159,-0.01717603
1699310149032,-0.05203996,0.009871153,-0.01701839
1699310149046,-0.05211406,0.009772261,-0.0168667
1699310149060,-0.05218451,0.009670878,-0.01671041
1699310149074,-0.05226236,0.009574448,-0.01656872
1699310149087,-0.05234423,0.009439667,-0.01643224
1699310149102,-0.05239227,0.009320756,-0.01628943
1699310149116,-0.05242718,0.009207519,-0.01615402
1699310149129,-0.05246335,0.009132363,-0.01600915
1699310149143,-0.05249642,0.009071356,-0.01585443
1699310149157,-0.05251947,0.009048048,-0.01569619
1699310149170,-0.05251722,0.009028988,-0.01556723
1699310149184,-0.05248532,0.008998079,-0.01544468
1699310149199,-0.05245636,0.008942325,-0.0153357
1699310149213,-0.05240593,0.008897786,-0.01522845
1699310149226,-0.05234944,0.008875448,-0.01509955
1699310149240,-0.05228144,0.008855615,-0.01497967
1699310149253,-0.05221292,0.008836545,-0.01486431
1699310149268,-0.05216223,0.008833801,-0.01480033
1699310149281,-0.0520946,0.00883187,-0.01474792
1699310149297,-0.05200649,0.008831748,-0.01467857
1699310149309,-0.05189151,0.008824677,-0.01457355
1699310149323,-0.05177327,0.008794312,-0.0144688
1699310149337,-0.05166203,0.00876805,-0.01437749
1699310149349,-0.05154349,0.008746818,-0.0142995
1699310149365,-0.05140224,0.008758041,-0.01419164
1699310149379,-0.05123489,0.008733667,-0.01409616
1699310149393,-0.05108295,0.008705135,-0.01399056
1699310149407,-0.05095795,0.008652871,-0.01389837
1699310149421,-0.05081295,0.00861331,-0.01381493
1699310149434,-0.05064223,0.008634226,-0.01369748
1699310149448,-0.0504522,0.008659323,-0.01358962
1699310149462,-0.05029009,0.008691696,-0.01348348
1699310149475,-0.05016632,0.008709012,-0.01336977
1699310149489,-0.05002158,0.008746125,-0.01325723
1699310149505,-0.04982043,0.008762067,-0.01315414
1699310149519,-0.04961815,0.008790849,-0.01304992
1699310149532,-0.04942647,0.008825587,-0.0129665
1699310149546,-0.04924245,0.008905164,-0.0128602
1699310149559,-0.04904659,0.008975194,-0.01275231
1699310149574,-0.04881828,0.009020083,-0.01263485
1699310149587,-0.04858921,0.009058396,-0.01250915
1699310149602,-0.04838762,0.009089271,-0.01239208
1699310149616,-0.04817802,0.009087333,-0.0122786
1699310149630,-0.04794358,0.009100275,-0.01216605
1699310149644,-0.04767793,0.009138183,-0.01204837
1699310149656,-0.04742135,0.009160632,-0.01193335
1699310149670,-0.04720116,0.009189634,-0.01187947
1699310149685,-0.04697424,0.009249926,-0.01184715
1699310149700,-0.04671548,0.009213827,-0.01177055
1699310149714,-0.04644211,0.009268305,-0.0116568
1699310149728,-0.04619179,0.009274257,-0.01152971
1699310149742,-0.04599122,0.009280164,-0.01141179
1699310149755,-0.04577805,0.00926904,-0.01129785
1699310149769,-0.04553553,0.009285017,-0.01118995
1699310149783,-0.04530431,0.009303254,-0.01109556
1699310149796,-0.04507321,0.009307954,-0.01105112
1699310149810,-0.04487723,0.009347548,-0.01103541
1699310149824,-0.04468994,0.009399923,-0.01102392
1699310149839,-0.04449516,0.009427617,-0.01098057
1699310149852,-0.04431047,0.009474853,-0.0109436
1699310149865,-0.04415669,0.009456898,-0.01092614
1699310149879,-0.04401211,0.009417545,-0.01091545
1699310149893,-0.04386336,0.009420331,-0.01091407
1699310149908,-0.04371125,0.00942064,-0.01089344
1699310149921,-0.04358446,0.009421043,-0.01088533
1699310149936,-0.04346064,0.009458236,-0.01085573
1699310149950,-0.04334624,0.009507457,-0.01082982
1699310149964,-0.04323141,0.009553343,-0.01081287
1699310149976,-0.04309972,0.009600595,-0.01080086
1699310149990,-0.04296837,0.00963098,-0.01078813
1699310150005,-0.04283575,0.009643086,-0.01076587
1699310150018,-0.04269254,0.009660495,-0.01075044
1699310150033,-0.04254115,0.00968549,-0.01073928
1699310150046,-0.04238079,0.009717395,-0.01071828
1699310150061,-0.04223942,0.009784223,-0.01070527
1699310150074,-0.04213678,0.009857995,-0.01069188
1699310150087,-0.04202107,0.009923776,-0.01067457
1699310150101,-0.04187261,0.009953491,-0.01066921
1699310150116,-0.04170721,0.009982216,-0.01066641
1699310150129,-0.04152409,0.0100058,-0.01065065
1699310150144,-0.04134317,0.009994256,-0.01065671
1699310150158,-0.04116585,0.01001825,-0.01065147
1699310150172,-0.04100353,0.01003675,-0.01065984
1699310150185,-0.04084408,0.01005586,-0.01066565
1699310150198,-0.0406578,0.01008913,-0.01069015
1699310150213,-0.04045872,0.01013919,-0.01074249
1699310150227,-0.04029191,0.01018607,-0.01077479
1699310150241,-0.04015626,0.01022618,-0.01080003
1699310150255,-0.04001848,0.01026593,-0.01081836
1699310150268,-0.03986095,0.01026355,-0.01083796
1699310150281,-0.03970888,0.01026363,-0.01085796
1699310150296,-0.03956765,0.01027307,-0.01089674
1699310150311,-0.03945015,0.01028807,-0.01095185
1699310150324,-0.03932748,0.01031945,-0.01101059
1699310150339,-0.03920544,0.01037469,-0.01105139
1699310150353,-0.03909267,0.01043831,-0.01111194
1699310150366,-0.03898296,0.01047585,-0.01119274
1699310150380,-0.03888441,0.01050259,-0.01128923
1699310150393,-0.03878088,0.01051514,-0.01139294
1699310150408,-0.03868021,0.01050567,-0.01151484
1699310150421,-0.03857507,0.01050746,-0.01162966
1699310150439,-0.03849577,0.01057039,-0.01177456
1699310150449,-0.03842585,0.01064739,-0.01191851
1699310150463,-0.03837462,0.01075999,-0.01208118
1699310150476,-0.03832845,0.01089248,-0.0122582
1699310150490,-0.03831212,0.01101767,-0.01241735
1699310150505,-0.03828294,0.01107501,-0.01257446
1699310150518,-0.03828361,0.01112965,-0.01270723
1699310150532,-0.03829476,0.01115448,-0.01283927
1699310150546,-0.03829979,0.01114612,-0.01295566
1699310150561,-0.03832968,0.01114061,-0.01306871
1699310150576,-0.03837813,0.01113927,-0.01317755
1699310150589,-0.0384379,0.01112651,-0.01329754
1699310150603,-0.03851727,0.01113349,-0.01342658
1699310150616,-0.03862125,0.01115154,-0.01358039
1699310150630,-0.03871285,0.01115125,-0.01371199
1699310150644,-0.03881118,0.01114391,-0.01383914
1699310150659,-0.03890885,0.01114387,-0.01396913
1699310150672,-0.03900183,0.01109772,-0.01408407
1699310150684,-0.03908755,0.01104042,-0.01419675
1699310150700,-0.03917868,0.01101388,-0.01432487
1699310150713,-0.03926985,0.01099641,-0.01445502
1699310150728,-0.0393509,0.01101776,-0.01458397
1699310150742,-0.03942564,0.01107304,-0.01471566
1699310150755,-0.03948905,0.01114237,-0.01485978
1699310150769,-0.03953929,0.01117435,-0.01498807
1699310150782,-0.03958645,0.01120846,-0.01511697
1699310150796,-0.03959678,0.01122729,-0.01521801
1699310150810,-0.03962103,0.01124237,-0.01531103
1699310150823,-0.03962624,0.01123847,-0.01540859
1699310150837,-0.03963712,0.01122322,-0.01552086
1699310150852,-0.03963048,0.01120454,-0.01562526
1699310150866,-0.0396425,0.01121883,-0.01572595
1699310150881,-0.03966215,0.01126831,-0.01580678
1699310150895,-0.03965129,0.01131475,-0.01590225
1699310150908,-0.03962971,0.01135795,-0.01600055
1699310150921,-0.03961717,0.0114012,-0.01609036
1699310150935,-0.03960194,0.01140947,-0.01620488
1699310150949,-0.03958618,0.01140944,-0.01632571
1699310150965,-0.03957877,0.01140499,-0.01642236
1699310150978,-0.03958277,0.01142114,-0.01650327
1699310150992,-0.03960629,0.01140711,-0.01658474
1699310151006,-0.03962906,0.01142112,-0.01663743
1699310151019,-0.03966521,0.01143547,-0.01668789
1699310151034,-0.03971625,0.01146057,-0.01676206
1699310151047,-0.03979342,0.01148907,-0.01683153
1699310151061,-0.03985855,0.01151061,-0.01690809
1699310151075,-0.03993236,0.01153477,-0.01697358
1699310151089,-0.04001044,0.0115493,-0.01705498
1699310151103,-0.04010921,0.01156229,-0.01711661
1699310151116,-0.04020957,0.0115628,-0.01717946
1699310151130,-0.0402988,0.01158071,-0.01722969
1699310151144,-0.04038548,0.01158881,-0.01725348
1699310151157,-0.04047192,0.01159556,-0.01727494
1699310151172,-0.04057269,0.01159127,-0.01730716
1699310151186,-0.04067763,0.01157673,-0.01733387
1699310151199,-0.04076611,0.0115565,-0.01732345
1699310151214,-0.04085955,0.0115083,-0.01729716
1699310151227,-0.04096632,0.0114742,-0.01727752
1699310151241,-0.0410686,0.01145165,-0.0172682
1699310151255,-0.04118409,0.01143633,-0.01724439
1699310151268,-0.04130551,0.01145075,-0.01716397
1699310151282,-0.0414424,0.01146752,-0.01706385
1699310151297,-0.04157584,0.01146353,-0.01698973
1699310151311,-0.04170653,0.01143906,-0.01692694
1699310151325,-0.04183718,0.01140405,-0.01686218
1699310151339,-0.0419705,0.0113578,-0.0167863
1699310151353,-0.0421195,0.01129148,-0.0167117
1699310151367,-0.04227425,0.01123938,-0.01663301
1699310151379,-0.04240897,0.01120302,-0.01656679
1699310151394,-0.04255415,0.01117277,-0.01646588
1699310151408,-0.04270843,0.01119315,-0.01631736
1699310151422,-0.04286617,0.01122509,-0.01616688
1699310151437,-0.04299539,0.011192,-0.01608242
1699310151449,-0.04311827,0.01114391,-0.01600022
1699310151462,-0.04322452,0.01108777,-0.01593385
1699310151477,-0.04331953,0.0110206,-0.01587866
1699310151491,-0.04342458,0.01094623,-0.01582854
1699310151505,-0.04352294,0.01092122,-0.01576601
1699310151519,-0.04361164,0.01089079,-0.01570175
1699310151533,-0.04374055,0.01089959,-0.01559791
1699310151546,-0.04386083,0.01092954,-0.0154875
1699310151560,-0.04394927,0.01094913,-0.01540506
1699310151575,-0.04402339,0.01093437,-0.01534717
1699310151587,-0.04409188,0.01092389,-0.01528238
1699310151602,-0.04414849,0.01089733,-0.01526362
1699310151615,-0.04421705,0.01084527,-0.01524815
1699310151630,-0.04428316,0.01081598,-0.01522176
1699310151644,-0.04435411,0.01077417,-0.01517627
1699310151657,-0.04439906,0.01071643,-0.01512985
1699310151671,-0.04448786,0.01074674,-0.01505461
1699310151685,-0.04457453,0.01079598,-0.01497346
1699310151699,-0.04464739,0.01082445,-0.0149215
1699310151713,-0.04471213,0.01083847,-0.01489116
1699310151728,-0.04476134,0.01083716,-0.01486229
1699310151742,-0.04478536,0.01081433,-0.01484635
1699310151755,-0.04481424,0.01079405,-0.01482543
1699310151770,-0.04486677,0.01078557,-0.01479221
1699310151783,-0.04492332,0.01077559,-0.0147498
1699310151796,-0.04494498,0.0107915,-0.01467037
1699310151811,-0.04496706,0.01082777,-0.01457767
1699310151826,-0.04498757,0.0108408,-0.01450014
1699310151838,-0.04501615,0.01081982,-0.01444702
1699310151852,-0.04504032,0.01080897,-0.0143832
1699310151867,-0.04505455,0.0107954,-0.01430392
1699310151879,-0.04505258,0.01076679,-0.01422503
1699310151894,-0.04505734,0.01074428,-0.01414805
1699310151908,-0.04507353,0.01073487,-0.01407571
1699310151921,-0.04510163,0.01073704,-0.01401554
1699310151935,-0.045123,0.01074895,-0.01396317
1699310151949,-0.04513977,0.01075615,-0.01391499
1699310151963,-0.04513406,0.01075323,-0.01384221
1699310151976,-0.04513063,0.01073864,-0.01377994
1699310151990,-0.04502688,0.01073935,-0.01376693
