time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1703231538492,-0.004118362,0.00106864,-0.005257828
1703231538501,0.01727473,0.006964494,-0.001342267
1703231538513,0.02256649,-0.00148913,0.002343073
1703231538531,0.02187443,-0.009150404,0.02086162
1703231538549,0.01078788,-0.01533057,0.03031501
1703231538568,-0.0008901516,-0.02270469,0.03412223
1703231538585,0.003693006,-0.02579207,0.03253875
1703231538602,0.01073927,-0.02436103,0.02231063
1703231538619,0.01951997,-0.02466399,0.006042283
1703231538636,0.02647493,-0.01864344,0.001945027
1703231538653,0.02739455,-0.01416324,0.008450399
1703231538669,0.028295,-0.006337921,0.01683222
1703231538685,0.02438571,-0.003415382,0.0164225
1703231538701,0.01290069,0.003013512,0.01324674
1703231538715,0.01270117,0.004407859,-0.002649729
1703231538730,0.02499787,0.0006630178,-0.007376758
1703231538745,0.02905142,-0.001373039,-0.01035821
1703231538760,0.02623432,-0.005205993,-0.01080407
1703231538774,0.0195726,-0.005955692,-0.008314336
1703231538789,0.01230715,-0.009816077,-0.005639483
1703231538803,0.009194636,-0.0120123,0.002605955
1703231538817,0.005756909,-0.01559878,0.004194589
1703231538832,0.004726748,-0.01745138,0.006328441
1703231538846,0.004513994,-0.01512917,0.008232015
1703231538861,0.003718431,-0.01390883,0.00784414
1703231538874,0.001576066,-0.01105768,0.01245073
1703231538888,-0.00136107,-0.006986558,0.01667177
1703231538902,-0.001987335,-0.003388103,0.02054006
1703231538916,-0.002723928,0.005255624,0.01707967
1703231538930,-0.004753968,0.00357946,0.01888922
1703231538944,-0.005136374,0.003522313,0.01654084
1703231538957,-0.009958258,0.006791146,0.019164
1703231538971,-0.01145718,0.01143527,0.01929123
1703231538986,-0.01724752,0.0102014,0.01541211
1703231539000,-0.01690243,0.01212143,0.01193804
1703231539014,-0.01210162,0.01743834,0.007211675
1703231539028,-0.006411808,0.01646173,0.01020312
1703231539043,-0.01033025,0.02126653,0.003961597
1703231539056,-0.005983517,0.02433828,-0.004008429
1703231539070,-0.002738995,0.02686949,-0.005525929
1703231539084,0.006299032,0.02390776,-0.006854099
1703231539098,0.009576511,0.02119705,-0.004421225
1703231539111,0.01357891,0.01671542,0.008562202
1703231539125,0.008113426,0.01351319,0.009460286
1703231539139,-0.00417185,0.007229108,0.008568972
1703231539152,-0.007312659,0.002053011,0.001446274
1703231539166,-0.01266068,-0.0004423862,-0.004431941
1703231539180,-0.01065842,-0.002284063,-0.01143582
1703231539194,-0.008461075,0.001752801,-0.008962308
1703231539208,-0.0072164,0.008010675,-0.009279782
1703231539222,-0.006067726,0.01206806,-0.01049923
1703231539236,-0.002613715,0.01900757,-0.01019385
1703231539250,-0.002534126,0.02268928,-0.001608583
1703231539263,0.001242408,0.02427695,0.001645097
1703231539277,-0.00182667,0.02612951,0.00496508
1703231539291,-0.003470407,0.02490006,-0.004408927
1703231539305,0.007486545,0.01936009,-0.005921513
1703231539319,0.01263428,0.0140963,-0.003674523
1703231539333,0.01211039,0.004571825,-0.0005185467
1703231539340,0.009153089,0.005278617,0.001823146
1703231539353,0.004159483,0.0009547561,0.004089271
1703231539367,4.94674e-05,-0.002393645,0.007649187
1703231539381,0.004930459,-0.005495847,0.008439831
1703231539395,0.0037087,-0.00987837,0.002933909
1703231539410,0.008018437,-0.01237495,-0.007759322
1703231539423,0.01013356,-0.008669484,-0.0119987
1703231539437,0.01580919,-0.007784173,-0.01478777
1703231539451,0.01605514,-0.006572695,-0.01148306
1703231539465,0.01282092,-0.005569876,-0.004768203
1703231539479,0.01459196,-0.00194153,0.008841193
1703231539492,0.01083233,-0.001870018,0.01661855
1703231539506,0.006400188,-0.001736598,0.0230468
1703231539520,0.006519934,-0.002907041,0.0220889
1703231539534,-0.0006275138,-0.005873163,0.02129159
1703231539548,-0.002683585,-0.007536479,0.02308045
1703231539563,-0.003823884,-0.006368147,0.02033615
1703231539576,-0.006637627,-0.004929358,0.01592129
1703231539590,-0.00998776,-0.00106392,0.0144172
1703231539604,-0.008712148,0.001830566,0.01223703
1703231539618,-0.003623378,0.006459616,0.01667784
1703231539632,-0.006849417,0.0141784,0.02711639
1703231539646,-0.008769517,0.01993737,0.02585967
1703231539660,-0.0006593478,0.02251205,0.02364765
1703231539674,0.001149769,0.02634072,0.02040329
1703231539688,0.004895479,0.0261004,0.009268643
1703231539702,0.01173169,0.02576581,0.009236689
1703231539716,0.01485901,0.02755401,0.01452027
1703231539729,0.007212721,0.02722559,0.01999335
1703231539744,-0.003818881,0.02392957,0.01683764
1703231539757,-0.004577674,0.02196199,0.01794722
1703231539771,-0.005792171,0.02111898,0.01765111
1703231539785,-0.001408456,0.01891625,0.01369612
1703231539800,0.00543339,0.02191608,0.01556147
1703231539813,0.01016562,0.01974786,0.01396041
1703231539827,0.01358375,0.01803876,0.01640472
1703231539841,0.01545728,0.01545357,0.01618472
1703231539855,0.0168077,0.01224909,0.02374719
1703231539869,0.009616529,0.006022845,0.02102634
1703231539883,0.002137011,0.0002478138,0.02602176
1703231539897,0.01013063,-0.009209575,0.02410397
1703231539911,0.02001191,-0.02079389,0.03203947
1703231539925,0.0264469,-0.03099981,0.03080468
1703231539939,0.01916415,-0.03908478,0.03388811
1703231539954,0.01624997,-0.04910643,0.03973779
1703231539967,0.01371129,-0.05907086,0.04794882
1703231539981,0.008845685,-0.06865555,0.05313864
1703231539995,0.009655172,-0.08051,0.06040889
1703231540009,0.01496825,-0.0880807,0.06401762
1703231540023,0.01072659,-0.09354789,0.06665279
1703231540037,0.01452499,-0.09793232,0.0626978
1703231540051,0.01662698,-0.1008363,0.05805218
1703231540064,0.01790763,-0.1031031,0.06309795
1703231540079,0.02375904,-0.1065899,0.06407386
1703231540092,0.02478929,-0.1112232,0.06482898
1703231540107,0.016689,-0.1136193,0.06715135
1703231540120,0.009740215,-0.1121082,0.0649382
1703231540134,0.0009362679,-0.1108173,0.05013042
1703231540148,0.002644987,-0.1076783,0.03569097
1703231540162,0.00412571,-0.09667194,0.02367189
1703231540176,0.00563827,-0.09090152,0.01557222
1703231540191,0.003719353,-0.07999494,0.007022754
1703231540204,-0.006224571,-0.06381585,-0.0009464933
1703231540218,-0.01203645,-0.04953168,-0.005330369
1703231540232,-0.01688113,-0.03084315,-0.0055966
1703231540246,-0.02297452,-0.01846487,-0.006505953
1703231540260,-0.02723485,-0.001475103,-0.01412502
1703231540274,-0.02764168,0.008796453,-0.008836873
1703231540288,-0.02744012,0.0217556,-0.01144541
1703231540302,-0.02301401,0.02640481,-0.007533198
1703231540316,-0.02252538,0.03031241,0.005453744
1703231540330,-0.03407206,0.03684887,0.01492187
1703231540344,-0.04352405,0.03508996,0.02259083
1703231540357,-0.04835244,0.03632192,0.0244934
1703231540371,-0.04380527,0.03080123,0.02413286
1703231540385,-0.03890197,0.02608889,0.01933747
1703231540399,-0.03146792,0.01866256,0.01552545
1703231540413,-0.0253748,0.01762565,0.001773307
1703231540427,-0.02369017,0.01259098,-0.003877299
1703231540441,-0.01825796,0.01262021,0.0009231909
1703231540454,-0.02040232,0.01443385,0.005686374
1703231540468,-0.01952054,0.01558498,0.01133842
1703231540482,-0.0272253,0.01754883,0.01568115
1703231540496,-0.03009432,0.02124943,0.008932303
1703231540510,-0.0222937,0.02223356,-0.001216614
1703231540524,-0.01065547,0.02484186,-0.003876567
1703231540538,-0.0113417,0.02380485,-0.006163224
1703231540552,-0.0143827,0.02561847,-0.006091745
1703231540566,-0.01039952,0.0290923,-0.005340206
1703231540580,-0.01568529,0.03030663,-0.005840154
1703231540593,-0.01761571,0.02846423,-0.008390093
1703231540608,-0.01524602,0.02562219,-0.01077387
1703231540621,-0.01132694,0.02670379,-0.01536236
1703231540635,-0.008721112,0.02490548,-0.01775913
1703231540649,-0.007072949,0.01895028,-0.02001919
1703231540663,-0.003731261,0.02024663,-0.02255353
1703231540677,-0.002210935,0.01772135,-0.02186822
1703231540691,-0.005213833,0.01515956,-0.02134529
1703231540705,-0.006035102,0.01433798,-0.01926877
1703231540719,-0.006862252,0.01028976,-0.01575357
1703231540733,-0.009325113,0.007810943,-0.009529671
1703231540747,-0.01282938,0.006694023,-0.002635147
1703231540761,-0.01420865,0.002553402,-0.004823244
1703231540775,-0.01599121,0.001641117,-0.01079079
1703231540788,-0.01882615,0.002079955,-0.01609394
1703231540802,-0.01330195,0.001918857,-0.01561121
1703231540817,-0.01282012,0.004000735,-0.01569033
1703231540830,-0.00757051,0.003098901,-0.007431001
1703231540844,-0.01341555,0.003644341,0.0008495884
1703231540858,-0.02174878,0.006635666,0.0003931683
1703231540872,-0.01257685,0.006842031,0.004103402
1703231540886,-0.01434179,0.005084299,0.004884724
1703231540900,-0.007126319,0.005461058,0.0002445028
1703231540914,0.002455487,0.00564946,0.006305286
1703231540928,0.004102354,0.00322203,0.01035186
1703231540942,-0.002710664,0.003696815,0.01057192
1703231540956,-0.01052863,0.001160337,0.01191478
1703231540970,-0.00925691,-0.001522343,0.005877207
1703231540984,-0.009810925,-0.008050362,0.003026567
1703231540997,-0.008943557,-0.01158393,0.001399238
1703231541012,-0.003391405,-0.01524307,-0.004435262
1703231541025,0.002924473,-0.01692552,-0.01135115
1703231541040,-0.002939603,-0.01553414,-0.009828472
1703231541054,-0.004384499,-0.01180115,-0.00616228
1703231541067,-0.007144185,-0.010717,0.007382598
1703231541081,-0.01232292,-0.002725251,0.01512616
1703231541095,-0.02457607,0.002349641,0.01781657
1703231541109,-0.02844646,0.006517355,0.01854265
1703231541123,-0.0239195,0.006587355,0.01871319
1703231541137,-0.0263581,0.01697126,0.01926606
1703231541151,-0.04165154,0.02358826,0.01427116
1703231541164,-0.04679541,0.04103437,0.01004959
1703231541178,-0.05246713,0.05429716,0.008337872
1703231541192,-0.05424341,0.06778281,0.008815534
1703231541207,-0.05169323,0.07801275,0.004233037
1703231541220,-0.04695704,0.08141563,0.009718761
1703231541234,-0.04391596,0.08840504,0.01225429
1703231541248,-0.03726454,0.08809073,0.01982414
1703231541262,-0.03541344,0.08433989,0.01849463
1703231541276,-0.03442812,0.07645098,0.02063766
1703231541290,-0.03351083,0.06532469,0.0207032
1703231541304,-0.02777137,0.04977613,0.02036488
1703231541317,-0.02250696,0.03538676,0.01534958
1703231541331,-0.02423334,0.0193197,0.009411024
1703231541345,-0.02774866,0.002621526,0.008534046
1703231541359,-0.02837683,-0.01038565,0.004897413
1703231541374,-0.02811454,-0.01813698,0.002237724
1703231541387,-0.02438684,-0.02559233,-0.003852441
1703231541401,-0.02421977,-0.02344073,-0.002841962
1703231541415,-0.02371465,-0.02461332,0.001859132
1703231541429,-0.01575101,-0.02204622,0.007451875
1703231541444,-0.007196865,-0.02290264,0.01234563
1703231541457,-0.01221745,-0.02065312,0.01176286
1703231541471,-0.01174074,-0.02621968,0.01342837
1703231541485,-0.01426908,-0.02562053,0.01817935
1703231541499,-0.01470636,-0.02554316,0.01247114
1703231541513,-0.0121704,-0.02502596,0.0120987
1703231541528,-0.01338483,-0.02474179,0.01614629
1703231541540,-0.01994922,-0.02322878,0.01627103
1703231541554,-0.02949509,-0.01990532,0.0198503
1703231541569,-0.03426374,-0.01663911,0.01930436
1703231541582,-0.03695274,-0.01055568,0.02140323
1703231541597,-0.04016847,-0.01092428,0.02046654
1703231541610,-0.0379134,-0.007084957,0.01974796
1703231541624,-0.03401259,-0.0003484742,0.01602475
1703231541638,-0.03773622,0.003827428,0.009077551
1703231541652,-0.03103822,0.007745838,0.0052663
1703231541665,-0.02675886,0.01440605,0.003882423
1703231541680,-0.02730152,0.01343525,0.004885157
1703231541693,-0.02868473,0.01376448,0.00222269
1703231541707,-0.02744148,0.01677667,-0.003150748
1703231541721,-0.02721271,0.01675995,-0.007532133
1703231541735,-0.02277431,0.01671886,0.003828901
1703231541749,-0.02626099,0.01310894,0.00854927
1703231541763,-0.02950098,0.01155466,0.01769313
1703231541777,-0.03100374,0.008490992,0.02742677
1703231541792,-0.02678343,0.008592902,0.02870054
1703231541805,-0.02238406,0.004342164,0.02247673
1703231541819,-0.01954451,0.003773665,0.01669266
1703231541834,-0.0166481,0.003130515,0.01425682
1703231541848,-0.01520295,0.002692995,0.02028636
1703231541861,-0.01558183,0.002810458,0.01793997
1703231541875,-0.01514527,0.0005689969,0.01485638
1703231541888,-0.01647988,0.003212467,0.006518299
1703231541902,-0.01657903,0.005633874,-0.005883547
1703231541916,-0.0145344,0.007651813,-0.02540376
1703231541930,-0.006902506,0.01376133,-0.04124442
1703231541945,0.000135961,0.01461058,-0.05918695
1703231541958,0.002679625,0.01742016,-0.06860403
1703231541972,0.004955675,0.01377273,-0.08555284
1703231541987,0.01224289,0.01113119,-0.1032375
1703231542000,0.01512548,0.003979287,-0.120911
1703231542013,0.01549498,-0.00804134,-0.141285
1703231542027,0.01416786,-0.02625531,-0.1640313
1703231542041,0.002324654,-0.04461236,-0.1676867
1703231542055,-0.01982587,-0.06630556,-0.1553411
1703231542070,-0.04454607,-0.08864083,-0.120389
1703231542083,-0.07982044,-0.1036161,-0.07131569
1703231542097,-0.11508,-0.1166246,-0.03462686
1703231542111,-0.1387543,-0.1265352,-0.01452425
1703231542124,-0.1506752,-0.1277379,-0.01242107
1703231542139,-0.1496939,-0.12691,-0.02549477
1703231542153,-0.1410535,-0.1218864,-0.03970876
1703231542167,-0.1339281,-0.1113571,-0.0413489
1703231542180,-0.1212283,-0.1011351,-0.02705486
1703231542194,-0.1103995,-0.09075785,-0.002300128
1703231542208,-0.102346,-0.07869922,0.01394102
1703231542222,-0.09361381,-0.06222713,0.02261456
1703231542235,-0.0783233,-0.04690299,0.03080728
1703231542249,-0.06778336,-0.03063459,0.0367322
1703231542263,-0.05393414,-0.01499241,0.04243662
1703231542277,-0.03721487,0.003866432,0.03569138
1703231542291,-0.01454089,0.01747051,0.02401351
1703231542305,0.002492614,0.02772272,0.01415335
1703231542319,0.01551291,0.03996263,-0.0001044636
1703231542332,0.01728875,0.05180479,-0.006343596
1703231542346,0.01131432,0.06100416,-0.01909172
1703231542360,0.007489054,0.06721086,-0.02132295
1703231542375,0.01132314,0.06764163,-0.02248432
1703231542388,0.004767906,0.06657596,-0.01990351
1703231542402,0.004526537,0.06431462,-0.01666602
1703231542416,-0.00250362,0.06373103,-0.02413866
1703231542429,-0.001257554,0.0660708,-0.03490369
1703231542444,-0.007126058,0.06708103,-0.03330648
1703231542458,-0.01461578,0.06982119,-0.01334997
1703231542471,-0.01470908,0.07040533,-0.00119522
1703231542485,-0.0008699144,0.06937756,-0.0104749
1703231542499,0.01727073,0.06361065,-0.02956837
1703231542513,0.03349986,0.05492275,-0.04798323
1703231542527,0.04370953,0.04740161,-0.0715535
1703231542541,0.04750827,0.04303919,-0.09034058
1703231542555,0.04328265,0.04529831,-0.1050066
1703231542568,0.03591542,0.04663063,-0.1095105
1703231542583,0.04601831,0.04707479,-0.1199283
1703231542596,0.05688409,0.05230557,-0.1445861
1703231542611,0.07106958,0.05334647,-0.1637541
1703231542624,0.08459649,0.05970094,-0.1743437
1703231542637,0.1005177,0.06668788,-0.1808359
1703231542652,0.1193503,0.07850082,-0.1911503
1703231542666,0.1360901,0.09280033,-0.1999374
1703231542680,0.1586964,0.107228,-0.1957434
1703231542694,0.1821456,0.1094557,-0.1752315
1703231542708,0.1746397,0.1180133,-0.06821358
1703231542721,0.125027,0.1407605,0.06274005
1703231542735,0.1443204,0.1560757,-0.03806797
1703231542749,0.2537235,0.1600942,-0.3365915
1703231542763,0.3158994,0.1461051,-0.3972937
1703231542777,0.3348608,0.1089444,-0.3779889
1703231542791,0.3279317,0.08544061,-0.3422838
