time,position_x,position_y,position_z
1703231538492,-1.07648,1.299796,0.4628151
1703231538500,-1.07601,0.07412057,0.4617923
1703231538512,-1.075894,0.07414292,0.4617535
1703231538531,-1.075726,0.07415184,0.4616867
1703231538549,-1.075582,0.07404719,0.4615384
1703231538568,-1.075444,0.07395784,0.4613991
1703231538585,-1.075314,0.07392776,0.461303
1703231538602,-1.075201,0.07395976,0.4612075
1703231538619,-1.075078,0.07399025,0.461103
1703231538635,-1.074936,0.07402824,0.4609692
1703231538652,-1.074855,0.07405526,0.46082
1703231538669,-1.074802,0.07404545,0.4606497
1703231538685,-1.074785,0.07403244,0.4605142
1703231538700,-1.074732,0.07406594,0.4603801
1703231538715,-1.074672,0.0740951,0.4602785
1703231538730,-1.074581,0.07415584,0.4601828
1703231538745,-1.074485,0.07421045,0.4600692
1703231538759,-1.074396,0.07426104,0.4599588
1703231538774,-1.074316,0.0743143,0.4598599
1703231538788,-1.074232,0.07433293,0.4597463
1703231538803,-1.074149,0.07434923,0.4596437
1703231538817,-1.074098,0.0743513,0.4595705
1703231538831,-1.074031,0.07435555,0.4595107
1703231538846,-1.073973,0.07434662,0.4594647
1703231538860,-1.073925,0.07431285,0.4594092
1703231538873,-1.073904,0.07427106,0.459383
1703231538887,-1.073888,0.07423156,0.4593593
1703231538901,-1.073871,0.07420573,0.4593378
1703231538916,-1.073821,0.07418525,0.4593151
1703231538929,-1.073769,0.0741685,0.4592862
1703231538943,-1.073739,0.07413804,0.4592509
1703231538957,-1.073724,0.07411727,0.4592187
1703231538971,-1.073687,0.07407799,0.4591575
1703231538985,-1.073642,0.07402619,0.4591433
1703231538999,-1.073623,0.07397801,0.4591262
1703231539013,-1.073633,0.07394359,0.4590818
1703231539028,-1.07364,0.07393268,0.4590324
1703231539042,-1.073669,0.07392773,0.4589829
1703231539056,-1.073681,0.07392768,0.4589432
1703231539070,-1.073714,0.07392472,0.4589178
1703231539084,-1.0737,0.07393523,0.4588405
1703231539097,-1.073698,0.07396941,0.4587864
1703231539110,-1.073696,0.07398731,0.4587459
1703231539124,-1.073685,0.07397985,0.4587092
1703231539138,-1.073707,0.07398025,0.4586738
1703231539152,-1.073727,0.07397925,0.4586157
1703231539166,-1.073725,0.07398845,0.4585494
1703231539180,-1.073725,0.07398154,0.4585097
1703231539194,-1.073778,0.07397512,0.458499
1703231539208,-1.073835,0.07395819,0.458465
1703231539221,-1.073892,0.07394531,0.4584085
1703231539235,-1.073929,0.07392419,0.4583322
1703231539249,-1.073951,0.07390056,0.4582814
1703231539263,-1.073938,0.07386194,0.4582216
1703231539277,-1.073937,0.0738364,0.4581731
1703231539291,-1.073949,0.07383271,0.4581376
1703231539304,-1.073946,0.07384551,0.4581139
1703231539318,-1.073931,0.07384533,0.4580877
1703231539332,-1.073889,0.07384085,0.4580626
1703231539339,-1.073847,0.07383142,0.4580107
1703231539353,-1.073825,0.07381856,0.4579405
1703231539367,-1.073779,0.07380369,0.4578646
1703231539381,-1.073683,0.07378959,0.4578024
1703231539395,-1.073595,0.07379875,0.4577572
1703231539410,-1.073521,0.07381938,0.4577072
1703231539422,-1.07346,0.07387879,0.4576299
1703231539436,-1.073399,0.07391545,0.4575737
1703231539450,-1.073353,0.07392897,0.4575493
1703231539464,-1.073313,0.07391856,0.4575282
1703231539478,-1.07324,0.07388267,0.4574973
1703231539492,-1.073173,0.07382341,0.4574665
1703231539506,-1.073089,0.07377051,0.4574566
1703231539520,-1.073,0.07370941,0.4574711
1703231539534,-1.072897,0.07364768,0.4574646
1703231539548,-1.07281,0.07363456,0.4574979
1703231539562,-1.072731,0.07359282,0.457549
1703231539576,-1.072631,0.07354861,0.457596
1703231539590,-1.072526,0.07350165,0.4576475
1703231539604,-1.072396,0.07344596,0.457704
1703231539617,-1.072286,0.07337618,0.4577745
1703231539631,-1.072202,0.07330872,0.4578374
1703231539646,-1.072102,0.07322138,0.4579197
1703231539659,-1.072,0.07317288,0.4580348
1703231539673,-1.071886,0.07316608,0.4581412
1703231539687,-1.071785,0.07316642,0.4582674
1703231539701,-1.071689,0.07319674,0.4583863
1703231539715,-1.071558,0.07320773,0.458528
1703231539729,-1.071425,0.07320209,0.4586737
