time,rotate_x,rotate_y,rotate_z
1703231538492,0.05419177,-0.3117594,-0.008094399
1703231538501,0.05547155,-0.3110484,-0.007550984
1703231538512,0.05520799,-0.3114451,-0.007149968
1703231538531,0.05511408,-0.3119398,-0.00670099
1703231538549,0.05431816,-0.3122475,-0.006722168
1703231538568,0.05398003,-0.3124635,-0.006953899
1703231538585,0.05414424,-0.3129438,-0.006672889
1703231538602,0.05452117,-0.3128164,-0.006434248
1703231538619,0.05498524,-0.3129078,-0.006583203
1703231538636,0.05490082,-0.3130099,-0.00629265
1703231538653,0.05486644,-0.3131072,-0.006061452
1703231538669,0.05464205,-0.312995,-0.005844996
1703231538685,0.05474304,-0.3128982,-0.005737227
1703231538700,0.05471142,-0.3129268,-0.005663119
1703231538715,0.05497069,-0.3128516,-0.005756025
1703231538730,0.0553073,-0.3129851,-0.005567193
1703231538745,0.05554095,-0.3129071,-0.005537041
1703231538759,0.05564903,-0.3130337,-0.00542907
1703231538774,0.05569735,-0.3131796,-0.005256956
1703231538789,0.05575898,-0.3132307,-0.005320981
1703231538803,0.05567683,-0.3133647,-0.005246928
1703231538817,0.05564063,-0.3135276,-0.005248764
1703231538832,0.05560244,-0.3136776,-0.005220175
1703231538846,0.05555585,-0.3137637,-0.005179022
1703231538860,0.05552957,-0.3138506,-0.005156228
1703231538873,0.05539698,-0.3139114,-0.005097877
1703231538887,0.05523124,-0.3139279,-0.005047012
1703231538902,0.05507499,-0.3139175,-0.00492737
1703231538916,0.05496692,-0.3138095,-0.004902839
1703231538930,0.05481114,-0.3138343,-0.004862675
1703231538944,0.05472054,-0.3138124,-0.004850022
1703231538957,0.05446149,-0.313803,-0.004853059
1703231538971,0.05433584,-0.3135386,-0.004905553
1703231538985,0.05419198,-0.3135094,-0.004974692
1703231539000,0.05406829,-0.3133609,-0.004987624
1703231539014,0.05411963,-0.3132085,-0.004991845
1703231539028,0.05399859,-0.313214,-0.004886453
1703231539042,0.053996,-0.3129202,-0.004989353
1703231539056,0.05403573,-0.3127578,-0.004904067
1703231539070,0.05409617,-0.3125987,-0.004990951
1703231539084,0.05416596,-0.3124601,-0.004949047
1703231539097,0.05424191,-0.3123671,-0.00463589
1703231539111,0.05403396,-0.3123437,-0.004448824
1703231539124,0.0540641,-0.3122994,-0.004489186
1703231539139,0.05391688,-0.3123158,-0.004614698
1703231539152,0.05392932,-0.3123422,-0.004753071
1703231539166,0.05393363,-0.3123547,-0.004957333
1703231539180,0.05404552,-0.3123568,-0.00510054
1703231539194,0.05404571,-0.3122788,-0.005135236
1703231539208,0.05406965,-0.3121384,-0.005186777
1703231539222,0.05411782,-0.3120076,-0.005236318
1703231539236,0.05421355,-0.3117798,-0.0052331
1703231539249,0.054091,-0.3115967,-0.005137279
1703231539263,0.05405314,-0.3114516,-0.004954972
1703231539277,0.05395272,-0.3113187,-0.005024749
1703231539291,0.05413254,-0.3111588,-0.00508478
1703231539305,0.05427644,-0.3111518,-0.0048297
1703231539318,0.05425198,-0.3110383,-0.004796498
1703231539333,0.05427235,-0.3111276,-0.00471669
1703231539339,0.05424873,-0.3110872,-0.004670398
1703231539353,0.05417462,-0.3111429,-0.004688575
1703231539367,0.05406018,-0.3112155,-0.004681227
1703231539381,0.05406718,-0.3113093,-0.004580221
1703231539395,0.05413138,-0.3114269,-0.00464913
1703231539410,0.05438744,-0.3115183,-0.00468907
1703231539423,0.0545642,-0.3115092,-0.004686293
1703231539437,0.05479845,-0.3116188,-0.004597363
1703231539451,0.05484503,-0.3115799,-0.004521868
1703231539464,0.05485046,-0.3116166,-0.004487557
1703231539479,0.05470022,-0.3116224,-0.004224529
1703231539492,0.05450337,-0.3116688,-0.004090373
1703231539506,0.054252,-0.3117267,-0.004004706
1703231539520,0.05409405,-0.3118902,-0.003913899
1703231539534,0.05384902,-0.3118371,-0.004028582
1703231539548,0.05375239,-0.3119501,-0.003858546
1703231539563,0.05366179,-0.3119833,-0.003962497
1703231539576,0.05361516,-0.3120092,-0.003902591
1703231539590,0.05347552,-0.3119634,-0.003940236
1703231539604,0.05341111,-0.3119123,-0.003921647
1703231539618,0.0532918,-0.3118259,-0.00375044
1703231539632,0.05295486,-0.3115768,-0.003486595
1703231539646,0.0527649,-0.3114043,-0.003574221
1703231539660,0.05272871,-0.3112676,-0.003373535
1703231539674,0.05279963,-0.3110957,-0.003248334
1703231539687,0.05287484,-0.3110176,-0.00322393
1703231539701,0.05289166,-0.3108018,-0.002912245
1703231539716,0.05285806,-0.3106959,-0.002763113
1703231539729,0.05246423,-0.310571,-0.002673442
1703231539744,0.05233436,-0.3104297,-0.002767757
1703231539757,0.05220023,-0.3103423,-0.002693361
1703231539771,0.05217389,-0.3101585,-0.002544627
1703231539785,0.05219571,-0.3100871,-0.002426496
1703231539800,0.05207696,-0.3098908,-0.002130788
1703231539813,0.05210722,-0.3099394,-0.002061092
1703231539827,0.05200196,-0.3098357,-0.001970646
1703231539841,0.05204659,-0.3097822,-0.001668246
1703231539855,0.0518632,-0.3098082,-0.001280661
1703231539869,0.05173197,-0.3097964,-0.001467463
1703231539883,0.05156983,-0.3099582,-0.001255049
1703231539897,0.0515935,-0.310176,-0.001119062
1703231539911,0.05146176,-0.3105882,-0.0006482331
1703231539925,0.05146039,-0.3110629,-0.0003767158
1703231539939,0.05123882,-0.3114312,-0.0003209887
1703231539953,0.05091107,-0.3117433,-0.000203596
1703231539967,0.0506121,-0.3123919,9.957748e-05
1703231539981,0.05026406,-0.3131368,0.000375892
1703231539995,0.04996187,-0.313731,0.0007168017
1703231540009,0.04976686,-0.3146005,0.000977884
1703231540023,0.04949137,-0.3153855,0.001110219
