time,velocity_x,velocity_y,velocity_z
1703231538492,-4.204776e-05,0.0007316664,-0.004622977
1703231538501,0.005084567,0.0004117771,-0.005417512
1703231538513,0.005800107,0.0001674466,-0.005430232
1703231538531,0.006892191,-0.000386832,-0.005809567
1703231538549,0.007662823,-0.001509435,-0.006796012
1703231538568,0.00790728,-0.002156801,-0.007267612
1703231538585,0.008128145,-0.002441802,-0.00743583
1703231538602,0.00870005,-0.001666642,-0.007243188
1703231538619,0.008828876,-0.0006384103,-0.007114285
1703231538636,0.008783963,2.428173e-05,-0.007337417
1703231538653,0.008097213,6.505154e-05,-0.00775515
1703231538669,0.007181732,-0.0004736501,-0.008300891
1703231538685,0.006323359,-0.0008706964,-0.008248936
1703231538701,0.006009691,-6.017159e-05,-0.008071454
1703231538715,0.005874745,0.0006459225,-0.00732951
1703231538730,0.005816123,0.001420832,-0.006744377
1703231538745,0.005947714,0.002083331,-0.00644297
1703231538759,0.00573954,0.002394718,-0.006233092
1703231538774,0.005571351,0.00247737,-0.006012647
1703231538789,0.00534074,0.001873303,-0.005956322
1703231538803,0.005336673,0.001289059,-0.005894597
1703231538817,0.005127599,0.0007216464,-0.005390403
1703231538832,0.005118765,0.0003661587,-0.004722585
1703231538846,0.005344373,-4.040376e-05,-0.00401915
1703231538860,0.005093695,-0.0008497097,-0.00329777
1703231538873,0.004750011,-0.001730589,-0.00269482
1703231538888,0.004281866,-0.002418669,-0.002380493
1703231538902,0.00379222,-0.002581763,-0.001868526
1703231538916,0.003753023,-0.002450726,-0.001685991
1703231538930,0.003232413,-0.002245891,-0.001425507
1703231538944,0.002685362,-0.00256861,-0.001413326
1703231538957,0.002364108,-0.002574065,-0.001324479
1703231538971,0.002271185,-0.002876523,-0.001201008
1703231538986,0.001846509,-0.003038409,-0.0009074012
1703231539000,0.00160742,-0.003100315,-0.000751407
1703231539014,0.001547205,-0.002845051,-0.001049349
1703231539028,0.00103101,-0.002125508,-0.001233427
1703231539043,0.0008031023,-0.001263551,-0.001492592
1703231539056,0.0005865227,-0.000931251,-0.001564852
1703231539070,0.000391801,-0.0005744185,-0.001653142
1703231539084,0.0004565554,-0.0004387709,-0.001742345
1703231539097,0.0005989032,-0.0001246252,-0.001763726
1703231539111,0.000465475,6.67554e-05,-0.001913936
1703231539125,0.0005466939,-0.000196784,-0.002206377
1703231539139,0.0004503899,0.0001107477,-0.002437177
1703231539152,0.0006465224,0.0003924767,-0.002535752
1703231539166,0.0006814487,0.0009610288,-0.002387248
1703231539180,0.0003864124,0.0007946417,-0.002345926
1703231539194,0.0002830429,0.00061171,-0.002256585
1703231539208,0.0001612107,0.0002013386,-0.002177659
1703231539222,-0.0001609144,-4.862682e-05,-0.001954711
1703231539236,-0.0001556934,-0.0005309657,-0.002061742
1703231539249,-0.0003359737,-0.0009066722,-0.002048914
1703231539263,-0.0001729137,-0.001697143,-0.002087477
1703231539277,0.0003537698,-0.00155401,-0.0022057
1703231539291,0.0009801552,-0.001143409,-0.002167558
1703231539305,0.001397489,-0.0008840142,-0.002158251
1703231539319,0.002141312,-0.0006515639,-0.002231374
1703231539333,0.0026057,-0.0007406857,-0.002520751
1703231539339,0.003064024,-0.0008073565,-0.002770473
1703231539353,0.003238822,-0.001053523,-0.003068918
1703231539367,0.003700546,-0.001244683,-0.003254339
1703231539381,0.004213303,-0.001229979,-0.003340021
1703231539395,0.004406713,-0.0004427286,-0.003266479
1703231539410,0.004565411,0.0001190442,-0.003162469
1703231539423,0.004924509,0.001247381,-0.003079618
1703231539437,0.005095106,0.001403387,-0.002888402
1703231539451,0.005139784,0.001078428,-0.002566335
1703231539464,0.005059516,0.0004019908,-0.002303415
1703231539479,0.005287399,-0.0007943895,-0.002009827
1703231539492,0.005307772,-0.001950796,-0.001713376
1703231539506,0.005641187,-0.002467623,-0.001120554
1703231539520,0.006047667,-0.003015752,-0.0004652461
1703231539534,0.006402788,-0.003084719,0.0002058902
1703231539548,0.006647528,-0.003170195,0.000831664
1703231539563,0.006824309,-0.003545327,0.001505516
1703231539576,0.006905479,-0.003831892,0.002270431
1703231539590,0.007172544,-0.003832315,0.003050497
1703231539604,0.007428093,-0.004105637,0.004025316
1703231539618,0.007502871,-0.004673765,0.004613779
1703231539632,0.007588175,-0.004995116,0.00501897
1703231539646,0.007688778,-0.005351096,0.005518329
1703231539660,0.007729668,-0.005220439,0.006362985
1703231539674,0.008103659,-0.004102444,0.007284
1703231539688,0.008562953,-0.003031707,0.00812402
1703231539702,0.00874945,-0.001988644,0.008778985
1703231539716,0.008999189,-0.001782526,0.009050224
1703231539729,0.009255121,-0.001775035,0.009319482
1703231539744,0.009177143,-0.002150965,0.009575776
1703231539757,0.009217967,-0.002048836,0.009845701
1703231539771,0.00952647,-0.001411623,0.01011264
1703231539785,0.009577552,-0.0009688463,0.0103356
1703231539800,0.00988147,-0.0006579364,0.01042632
1703231539813,0.009776414,-0.000825265,0.01046188
1703231539827,0.01004739,-0.0006782705,0.01067605
1703231539841,0.01032512,-0.0006347389,0.01084061
1703231539855,0.01064193,-0.0002659152,0.01093228
1703231539869,0.01105565,-0.000627655,0.01105517
