time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1701072040653,-0.04283104,-0.006251429,0.02055368
1701072040668,-0.03699162,-0.0253251,0.03517725
1701072040683,-0.03654329,-0.02084797,0.03089101
1701072040704,-0.03117008,-0.01052342,0.01999711
1701072040720,-0.0270817,-0.005179285,0.005810254
1701072040740,-0.02359033,0.002457849,0.01186157
1701072040756,-0.02156207,0.005368966,0.02111803
1701072040773,-0.01828212,0.004007803,0.01600694
1701072040790,-0.02440887,0.003910523,0.008238891
1701072040807,-0.02530826,0.002401125,0.0009005844
1701072040823,-0.01555499,0.003146041,-0.002321927
1701072040839,-0.006785973,0.008864659,0.002104272
1701072040855,-0.001507989,0.008715685,0.003345008
1701072040870,-0.002480423,0.008109099,0.0001682084
1701072040886,-0.008988776,0.004545645,-0.003584182
1701072040900,-0.01403909,0.009744014,-0.001534909
1701072040915,-0.01430517,0.006849953,0.0001696
1701072040930,-0.0103305,0.003657392,0.002034101
1701072040945,-0.005303328,-0.001316195,0.001025657
1701072040959,-3.175751e-05,-0.005084707,-0.00459598
1701072040974,0.003037118,-0.007829892,-0.006124557
1701072040988,0.006298795,-0.007013011,-0.006222702
1701072041002,0.01164913,-0.007826807,-0.008109444
1701072041017,0.01073901,-0.007184248,-0.01045274
1701072041030,0.01111877,-5.953338e-05,-0.007598851
1701072041045,0.003806497,0.002976418,-0.00623117
1701072041058,-0.001511815,0.005274133,-0.00247584
1701072041072,-0.002310339,0.00824106,-0.004220206
1701072041086,-0.005371895,0.009066214,-0.006641848
1701072041100,-0.002066109,0.007732806,-0.01173977
1701072041114,0.003471317,0.008778714,-0.01510725
1701072041128,0.001583586,0.01033635,-0.01875852
1701072041142,-0.0002711822,0.01337975,-0.02054123
1701072041157,1.619044e-05,0.01795004,-0.01933065
1701072041170,-0.002061831,0.01936079,-0.01858423
1701072041184,-0.00347793,0.01742245,-0.0127587
1701072041198,0.007467931,0.01894689,-0.01715694
1701072041211,0.01200556,0.01963343,-0.0226369
1701072041224,0.01626051,0.01935885,-0.02243559
1701072041239,0.0225265,0.02132594,-0.01610959
1701072041255,0.01551988,0.02154195,-0.002168394
1701072041266,0.007137374,0.02290656,-0.003808274
1701072041281,0.002927844,0.02144246,-0.006907397
1701072041295,0.009649113,0.02175633,-0.01332543
1701072041308,0.02090883,0.02446758,-0.02228574
1701072041322,0.03495204,0.02350571,-0.02706005
1701072041338,0.05189464,0.02266038,-0.02518493
1701072041351,0.0618175,0.02723341,-0.02583418
1701072041365,0.06505678,0.02810843,-0.02590651
1701072041378,0.06299072,0.0294833,-0.0251778
1701072041393,0.05757917,0.03048336,-0.02232999
1701072041407,0.05729705,0.03061971,-0.01691268
1701072041421,0.05091359,0.03123035,-0.01619118
1701072041435,0.04635653,0.0260427,-0.01630268
1701072041449,0.04734011,0.02644618,-0.014156
1701072041462,0.0496631,0.01952625,-0.02451044
1701072041476,0.05733318,0.01918523,-0.02847674
1701072041490,0.05910419,0.01949012,-0.02183959
1701072041504,0.0590402,0.02404372,-0.01634547
1701072041519,0.05679969,0.02057028,-0.01781769
1701072041532,0.05385667,0.02102065,-0.02132667
1701072041546,0.04662188,0.02606627,-0.02070802
1701072041560,0.04371266,0.02908394,-0.02266897
1701072041574,0.04025666,0.02921129,-0.01850373
1701072041587,0.03685777,0.02911035,-0.01532748
1701072041601,0.03681081,0.0293565,-0.01429252
1701072041615,0.03888999,0.02796784,-0.0149486
1701072041629,0.03234358,0.02648665,-0.01381912
1701072041643,0.03071032,0.02241545,-0.008480458
1701072041657,0.02616564,0.02133922,-0.005157233
1701072041671,0.0145938,0.01415654,0.002610508
1701072041685,0.006809252,0.01351348,0.006743405
1701072041699,0.0007759684,0.006315885,0.01152465
1701072041713,-0.006388332,-0.001858184,0.01648813
1701072041727,-0.01011282,-0.007357272,0.01986854
1701072041740,-0.007732878,-0.01603439,0.02549265
1701072041755,0.000412424,-0.02447436,0.02476083
1701072041768,0.004638373,-0.02598993,0.02427105
1701072041782,0.006470017,-0.03152508,0.02464914
