time,position_x,position_y,position_z
1701072040653,-0.03010268,1.691017,-0.03809101
1701072040668,-0.02791012,0.0234825,-0.03689273
1701072040682,-0.02780979,0.02350425,-0.03678698
1701072040703,-0.02772205,0.02354075,-0.03669088
1701072040720,-0.02761897,0.02353848,-0.03658804
1701072040739,-0.02753688,0.02358122,-0.03647013
1701072040756,-0.02743823,0.0235839,-0.03633769
1701072040773,-0.02732555,0.0235293,-0.03623264
1701072040790,-0.02722069,0.02349592,-0.03613293
1701072040807,-0.02712441,0.02346383,-0.03602683
1701072040823,-0.02701147,0.02351043,-0.03591826
1701072040839,-0.02689434,0.02360377,-0.03581106
1701072040854,-0.02679583,0.02364336,-0.03570674
1701072040870,-0.02672014,0.02361776,-0.03562139
1701072040885,-0.02671244,0.02355271,-0.03557903
1701072040900,-0.02668336,0.02349257,-0.03553591
1701072040915,-0.02659459,0.0234828,-0.03544462
1701072040930,-0.02650866,0.0234856,-0.03534831
1701072040945,-0.02642833,0.0234893,-0.03525342
1701072040959,-0.02630163,0.02346775,-0.03515147
1701072040974,-0.0261771,0.02345582,-0.03504576
1701072040988,-0.0260787,0.0234655,-0.03495404
1701072041002,-0.02601343,0.02347518,-0.03486208
1701072041016,-0.02600726,0.02345237,-0.03477548
1701072041030,-0.02615111,0.02332707,-0.03471178
1701072041044,-0.02631894,0.02319449,-0.03464629
1701072041058,-0.02629812,0.02315246,-0.03454965
1701072041072,-0.02626037,0.0231226,-0.03443968
1701072041086,-0.02620658,0.02311357,-0.03431715
1701072041099,-0.02609347,0.0231239,-0.03419196
1701072041113,-0.02597782,0.02312609,-0.03406606
1701072041128,-0.02594799,0.02310364,-0.03394653
1701072041142,-0.025924,0.02308309,-0.03383109
1701072041156,-0.02596472,0.02293992,-0.03379038
1701072041169,-0.02602326,0.02277282,-0.03376858
1701072041183,-0.02606298,0.02266822,-0.03373405
1701072041197,-0.02603718,0.02263175,-0.0336395
1701072041210,-0.02601023,0.02260093,-0.03354063
1701072041224,-0.02589126,0.02266882,-0.0334607
1701072041239,-0.02576545,0.02273344,-0.03338737
1701072041254,-0.0257056,0.02276559,-0.03332084
1701072041266,-0.02567207,0.02275575,-0.03326046
1701072041280,-0.02566304,0.02274579,-0.03323127
1701072041294,-0.02575452,0.02276529,-0.03321019
1701072041308,-0.02584596,0.02280454,-0.03319183
1701072041322,-0.02586055,0.02283708,-0.03318834
1701072041337,-0.0258541,0.02288336,-0.03319562
1701072041351,-0.02579076,0.02296578,-0.03321217
1701072041364,-0.0256837,0.02304671,-0.03324366
1701072041378,-0.02557241,0.02313932,-0.03327911
1701072041392,-0.02554284,0.02316961,-0.03331457
1701072041406,-0.02550629,0.0231869,-0.03334184
1701072041421,-0.02543676,0.02322901,-0.0333636
1701072041435,-0.02536805,0.02327552,-0.0333683
1701072041448,-0.02529671,0.02331147,-0.0333905
1701072041462,-0.0252667,0.02333071,-0.03341663
1701072041476,-0.02522852,0.02334398,-0.03344009
1701072041490,-0.02514179,0.0235076,-0.03344724
1701072041504,-0.02503982,0.02368159,-0.03344036
1701072041518,-0.02496579,0.02377218,-0.03344522
1701072041531,-0.0249233,0.0238023,-0.03347343
1701072041545,-0.02488328,0.02382652,-0.03349318
1701072041559,-0.02480891,0.02384591,-0.03351645
1701072041573,-0.02473314,0.02388432,-0.03352311
1701072041587,-0.02467936,0.02391811,-0.03354941
1701072041601,-0.02463632,0.02394183,-0.03357337
1701072041615,-0.02458934,0.02398627,-0.03356751
1701072041629,-0.02449389,0.02415267,-0.03353217
1701072041643,-0.02439807,0.02429767,-0.03348573
1701072041657,-0.02433013,0.02432,-0.0334738
1701072041671,-0.02427272,0.0243258,-0.03345141
1701072041685,-0.02418907,0.02429971,-0.03343236
1701072041698,-0.02409301,0.02425259,-0.03339868
1701072041712,-0.02399088,0.02421123,-0.03336078
