time,rotate_x,rotate_y,rotate_z
1701072040653,-0.1433773,-0.007827073,-0.01769728
1701072040668,-0.1403154,-0.003750503,-0.01919908
1701072040682,-0.1399737,-0.003686756,-0.01925089
1701072040704,-0.1399176,-0.003875911,-0.01911314
1701072040720,-0.1400962,-0.004000068,-0.01879548
1701072040740,-0.1398637,-0.004089981,-0.01941035
1701072040756,-0.1397635,-0.003900349,-0.01943834
1701072040773,-0.1396669,-0.004056007,-0.01943803
1701072040790,-0.1393958,-0.004187763,-0.01940126
1701072040807,-0.1393713,-0.00417909,-0.01919211
1701072040823,-0.1392466,-0.00421226,-0.01916685
1701072040839,-0.1393238,-0.004332125,-0.01931
1701072040855,-0.1393923,-0.004372984,-0.01936234
1701072040870,-0.1393644,-0.004433304,-0.01932324
1701072040885,-0.1392106,-0.004443973,-0.01923256
1701072040900,-0.1390366,-0.00456357,-0.01930712
1701072040915,-0.1389351,-0.004544705,-0.01932717
1701072040930,-0.1389231,-0.004505605,-0.01935783
1701072040945,-0.1389648,-0.004434288,-0.01931847
1701072040959,-0.1390372,-0.004414439,-0.01919065
1701072040974,-0.1390886,-0.004367679,-0.0191159
1701072040988,-0.1391733,-0.004359722,-0.01904936
1701072041002,-0.1393287,-0.004336357,-0.01894055
1701072041017,-0.1393994,-0.004340738,-0.01882918
1701072041030,-0.1394906,-0.00441879,-0.01884663
1701072041045,-0.1394327,-0.004459143,-0.01884033
1701072041058,-0.1393464,-0.004499942,-0.01890016
1701072041072,-0.1392943,-0.004594684,-0.01889733
1701072041086,-0.1392028,-0.004675865,-0.01885878
1701072041099,-0.1392292,-0.004770696,-0.01875614
1701072041114,-0.1393178,-0.004913151,-0.01867362
1701072041128,-0.1392469,-0.005084276,-0.01848396
1701072041142,-0.1391475,-0.005209208,-0.01848564
1701072041156,-0.1393144,-0.005491912,-0.01837472
1701072041169,-0.1391741,-0.005579174,-0.01827171
1701072041184,-0.1392322,-0.005802393,-0.01839184
1701072041197,-0.13942,-0.005919337,-0.01826705
1701072041211,-0.1395373,-0.006155729,-0.01804836
1701072041224,-0.1397039,-0.00639382,-0.01814142
1701072041239,-0.13982,-0.006561339,-0.01828874
1701072041254,-0.1398706,-0.006658137,-0.01841855
1701072041266,-0.1397481,-0.006743968,-0.01832372
1701072041281,-0.1397596,-0.006984413,-0.01824556
1701072041294,-0.1400048,-0.007254958,-0.01817909
1701072041308,-0.1402485,-0.007500857,-0.01802128
1701072041322,-0.1405796,-0.00774917,-0.01787693
1701072041337,-0.1411451,-0.008029252,-0.01783935
1701072041351,-0.1416649,-0.008283764,-0.01784266
1701072041364,-0.1422237,-0.008621991,-0.01756595
1701072041378,-0.142394,-0.008826822,-0.01763964
1701072041392,-0.1428453,-0.009152114,-0.01762868
1701072041407,-0.1432831,-0.009347558,-0.01762515
1701072041421,-0.1434379,-0.009610116,-0.01761385
1701072041435,-0.1436833,-0.00966379,-0.01760117
1701072041449,-0.1441081,-0.009972394,-0.01765097
1701072041462,-0.1444922,-0.01015642,-0.0173571
1701072041476,-0.1450695,-0.0104588,-0.01701922
1701072041490,-0.1454137,-0.01071823,-0.01711246
1701072041504,-0.1457451,-0.01087254,-0.01724855
1701072041518,-0.146049,-0.01099789,-0.01711134
1701072041532,-0.1463067,-0.01133746,-0.01708216
1701072041546,-0.1465001,-0.01154256,-0.01698226
1701072041560,-0.1468237,-0.01197958,-0.01688343
1701072041573,-0.1471599,-0.01211262,-0.01691639
1701072041587,-0.1472919,-0.01242146,-0.01696606
1701072041601,-0.147532,-0.01263195,-0.01699978
1701072041615,-0.1478291,-0.01277015,-0.01687853
1701072041629,-0.1479003,-0.01298004,-0.01690289
1701072041643,-0.1480893,-0.01311687,-0.01693768
1701072041657,-0.1481961,-0.01322818,-0.01704329
1701072041671,-0.1481631,-0.0131461,-0.01712766
1701072041685,-0.1481514,-0.0132373,-0.01723882
1701072041699,-0.1480905,-0.01314259,-0.01733601
1701072041712,-0.1479646,-0.01297209,-0.01744219
1701072041726,-0.1478814,-0.01284355,-0.01763821
1701072041740,-0.1478205,-0.01251227,-0.01765987
1701072041754,-0.1479694,-0.01215702,-0.01765028
1701072041768,-0.1480785,-0.01188338,-0.01774736
1701072041782,-0.148072,-0.01163039,-0.01769319
1701072041795,-0.1480546,-0.01129493,-0.01787291
1701072041810,-0.1480291,-0.01099905,-0.01801188
1701072041824,-0.1479312,-0.0106889,-0.01797744
1701072041838,-0.1480548,-0.010483,-0.01801423
1701072041851,-0.1481252,-0.01033568,-0.01818894
1701072041865,-0.1480461,-0.01028889,-0.01829258
1701072041878,-0.1481034,-0.01008034,-0.01852305
1701072041893,-0.1481594,-0.01006144,-0.01840525
1701072041907,-0.148267,-0.01010019,-0.01846531
1701072041921,-0.1485769,-0.01035297,-0.01848973
1701072041935,-0.1489802,-0.01051769,-0.0184448
1701072041942,-0.1491762,-0.01062578,-0.01835315
1701072041955,-0.1495728,-0.01074716,-0.01851029
1701072041969,-0.149779,-0.01087049,-0.01842146
1701072041984,-0.1499139,-0.01113805,-0.0184815
1701072041997,-0.1502435,-0.01120138,-0.01863642
1701072042011,-0.1503709,-0.01116014,-0.01879299
1701072042026,-0.1502571,-0.01113144,-0.01909306
1701072042039,-0.1503404,-0.01094681,-0.01918295
1701072042053,-0.1504058,-0.01084965,-0.01915019
1701072042068,-0.1504216,-0.01062265,-0.01915777
1701072042081,-0.1503448,-0.01026952,-0.01912327
1701072042095,-0.1501669,-0.009899974,-0.01917419
1701072042108,-0.1500888,-0.009449571,-0.01938894
1701072042122,-0.1500805,-0.009323925,-0.01931526
1701072042136,-0.1499637,-0.008891493,-0.0192925
1701072042151,-0.1498151,-0.00865075,-0.01904719
1701072042164,-0.1493686,-0.008316368,-0.01908362
1701072042178,-0.1488381,-0.008222222,-0.01891786
1701072042192,-0.1485262,-0.008002371,-0.01913706
1701072042206,-0.1478671,-0.00767231,-0.01922468
1701072042220,-0.1472535,-0.007370472,-0.01918186
1701072042234,-0.1465886,-0.007100105,-0.01920852
1701072042248,-0.1459887,-0.006713927,-0.01921243
1701072042262,-0.1451892,-0.006320715,-0.01952354
1701072042276,-0.1443651,-0.005494922,-0.02001721
1701072042290,-0.1433612,-0.004717857,-0.0202772
1701072042304,-0.1425172,-0.003919661,-0.02061521
1701072042318,-0.1416535,-0.00311783,-0.02106132
1701072042332,-0.1405815,-0.00205484,-0.02170279
1701072042345,-0.1395573,-0.0008603036,-0.02201014
1701072042359,-0.1385137,0.00023669,-0.02218289
1701072042374,-0.1374601,0.001546204,-0.02257222
1701072042388,-0.1362028,0.002831519,-0.02273272
1701072042401,-0.1351118,0.003880918,-0.02291751
1701072042415,-0.13379,0.005119562,-0.02297502
1701072042429,-0.1322277,0.006591827,-0.02314504
1701072042443,-0.1304283,0.007948786,-0.02342467
1701072042458,-0.1280426,0.009571284,-0.02403122
1701072042471,-0.125147,0.01117995,-0.02446707
1701072042485,-0.1220208,0.0130589,-0.02500932
1701072042499,-0.1181917,0.01500753,-0.02572374
1701072042513,-0.1141849,0.01725885,-0.02598783
1701072042527,-0.1101779,0.01957756,-0.02645597
1701072042540,-0.1068014,0.02198413,-0.02687576
1701072042555,-0.1038342,0.0242804,-0.0271073
1701072042568,-0.1011027,0.02689856,-0.02771055
1701072042583,-0.0982691,0.02901503,-0.02769071
1701072042596,-0.09515726,0.03119001,-0.02788675
1701072042610,-0.09227305,0.03326955,-0.02836536
1701072042626,-0.08948199,0.03518137,-0.02890092
1701072042638,-0.08678103,0.03708628,-0.02950558
1701072042653,-0.08402732,0.03881189,-0.02991295
1701072042666,-0.08124895,0.04037997,-0.03040851
1701072042680,-0.07844089,0.04192051,-0.03103657
1701072042695,-0.07603253,0.04338369,-0.03178026
1701072042708,-0.07419457,0.04469484,-0.03257851
1701072042723,-0.07212164,0.04604757,-0.03303836
1701072042736,-0.07047416,0.04716289,-0.03373461
1701072042750,-0.06929615,0.04809226,-0.03456247
1701072042764,-0.06842735,0.04893668,-0.03527883
1701072042778,-0.06758624,0.04949516,-0.03576349
1701072042793,-0.06703334,0.04993591,-0.03639487
1701072042806,-0.06629814,0.05037576,-0.0369049
1701072042820,-0.06579705,0.05036023,-0.03728414
1701072042834,-0.06545861,0.05049056,-0.03780998
1701072042847,-0.06519379,0.05058357,-0.03853545
1701072042862,-0.06495148,0.05056687,-0.03890854
1701072042876,-0.06462575,0.0504548,-0.03910889
1701072042890,-0.06431661,0.05021183,-0.03934595
1701072042904,-0.06399643,0.04956481,-0.03930789
1701072042918,-0.06381921,0.0489102,-0.03897939
1701072042931,-0.06381962,0.04816359,-0.03899491
