time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1703230277758,0.1564587,0.1049544,-0.02509779
1703230277769,0.07763117,0.213824,-0.03932278
1703230277783,0.03561266,0.2133638,-0.02298317
1703230277803,-0.002113196,0.236169,-0.004312742
1703230277821,-0.009701646,0.2716391,0.01436753
1703230277841,-0.01383965,0.3056467,0.04145497
1703230277857,-0.02301008,0.3198633,0.06277167
1703230277874,-0.03335176,0.327058,0.08245866
1703230277891,-0.0143832,0.3419237,0.08475094
1703230277908,0.01288007,0.3411825,0.09499206
1703230277925,0.02894213,0.3194932,0.1039659
1703230277941,0.02648916,0.2889355,0.1041903
1703230277956,0.03471041,0.2526853,0.0964627
1703230277972,0.06390715,0.2255062,0.0772303
1703230277986,0.1234849,0.2066146,0.04146901
1703230278001,0.1923491,0.1844059,0.0005367675
1703230278016,0.2250548,0.1628302,-0.03697406
1703230278031,0.2225492,0.1306405,-0.06300039
1703230278044,0.1917337,0.09731933,-0.07833492
1703230278059,0.1521701,0.07261448,-0.09173758
1703230278074,0.1046054,0.05229396,-0.09987426
1703230278087,0.05822193,0.03895528,-0.09831233
1703230278102,0.008897667,0.02565182,-0.0809591
1703230278116,-0.04686939,0.0142268,-0.04838824
1703230278131,-0.1104672,0.005036512,-0.009652876
1703230278144,-0.1760104,-0.00601855,0.02260411
1703230278157,-0.2283977,-0.00708875,0.04635875
1703230278172,-0.2618514,-0.008530625,0.0671322
1703230278186,-0.2712138,-0.01026793,0.0831544
1703230278200,-0.2626678,-0.01838319,0.07192642
1703230278215,-0.2367463,-0.02275659,0.04869498
1703230278228,-0.1744909,-0.02461663,0.01018318
1703230278242,-0.116095,-0.03315629,-0.01366625
1703230278256,-0.07422052,-0.0512857,-0.01541147
1703230278271,-0.05099334,-0.06664912,-0.01084771
1703230278285,-0.04127005,-0.08216432,-0.003616758
1703230278291,-0.03578357,-0.09056439,0.0007799226
1703230278306,-0.02393345,-0.09584743,0.01226354
1703230278318,-0.02449275,-0.1065937,0.02447472
1703230278333,-0.02025338,-0.1295293,0.04218231
1703230278347,-0.001355973,-0.1616543,0.05283761
1703230278361,0.02609946,-0.1822675,0.04129774
1703230278375,0.04478565,-0.1828712,0.005759953
1703230278388,0.04800444,-0.1726111,-0.03230249
1703230278402,0.03675012,-0.161995,-0.05960898
1703230278416,0.01607639,-0.1791766,-0.06998631
1703230278430,0.0142986,-0.2229247,-0.09107737
1703230278444,0.02057615,-0.2682239,-0.1098174
1703230278457,0.02793068,-0.305069,-0.115715
1703230278471,0.01229626,-0.3320577,-0.1036285
1703230278485,-0.02342587,-0.371167,-0.06287518
1703230278499,-0.04038062,-0.4337687,-0.03129661
1703230278513,0.02138519,-0.5088696,-0.04093183
1703230278526,0.1164363,-0.5698751,-0.09293219
1703230278540,0.2458763,-0.5987379,-0.1661805
1703230278553,0.3308219,-0.6113749,-0.2143426
1703230278567,0.3656772,-0.6065991,-0.2393436
1703230278581,0.3664001,-0.5906096,-0.2427288
1703230278596,0.3524828,-0.5479038,-0.22126
1703230278610,0.3100783,-0.4720796,-0.1817353
1703230278623,0.264243,-0.3805656,-0.1253706
1703230278637,0.1884588,-0.2968309,-0.04595607
1703230278651,0.08157153,-0.2301729,0.04364054
1703230278665,-0.00789621,-0.1655876,0.1021344
1703230278679,-0.0452049,-0.1061153,0.1193654
1703230278693,-0.05934948,-0.05676141,0.1050611
1703230278707,-0.08768331,-0.008781826,0.08482459
1703230278721,-0.128926,0.02009089,0.0773687
1703230278735,-0.1515453,0.03612684,0.0813795
1703230278749,-0.1568532,0.04262307,0.08354349
1703230278763,-0.1598972,0.0474317,0.09073702
1703230278777,-0.1633448,0.04332195,0.1009837
1703230278791,-0.1632583,0.03396376,0.1186733
1703230278804,-0.1378185,0.02144689,0.119301
1703230278818,-0.1032341,0.002424374,0.1160264
1703230278833,-0.05870342,-0.03132028,0.1068372
1703230278846,-0.0234822,-0.074471,0.09657482
1703230278860,0.008561518,-0.116262,0.07674676
1703230278874,0.02877413,-0.1438589,0.03703143
1703230278888,0.03507114,-0.1579817,-0.01132376
1703230278902,0.02649543,-0.1679884,-0.04707044
1703230278916,0.01998374,-0.1720101,-0.06448486
