time,position_x,position_y,position_z
1703230277757,1.952971,2.55652,-3.787472
1703230277769,1.949789,-0.07562916,-3.784767
1703230277783,1.949266,-0.07570243,-3.784826
1703230277802,1.948477,-0.07551513,-3.784691
1703230277821,1.947787,-0.07562233,-3.784619
1703230277840,1.947392,-0.07583422,-3.784435
1703230277856,1.946787,-0.07587997,-3.78432
1703230277874,1.946216,-0.07570939,-3.784271
1703230277890,1.945722,-0.07542475,-3.784282
1703230277907,1.945321,-0.07524823,-3.784261
1703230277924,1.945066,-0.07507296,-3.784261
1703230277940,1.944778,-0.07494974,-3.784257
1703230277956,1.944492,-0.07465832,-3.784137
1703230277971,1.944284,-0.07416943,-3.78389
1703230277986,1.944162,-0.07367296,-3.783562
1703230278001,1.944059,-0.07322261,-3.783284
1703230278016,1.944057,-0.07282737,-3.783065
1703230278030,1.944087,-0.07250134,-3.782797
1703230278044,1.944136,-0.07227352,-3.782621
1703230278059,1.944172,-0.07211874,-3.782357
1703230278073,1.944174,-0.07210247,-3.782086
1703230278087,1.94426,-0.07215408,-3.781801
1703230278102,1.944362,-0.07230619,-3.781534
1703230278115,1.944478,-0.07261133,-3.781297
1703230278130,1.9446,-0.07297377,-3.781016
1703230278144,1.944684,-0.07344673,-3.780763
1703230278157,1.944792,-0.07393944,-3.780433
1703230278172,1.944969,-0.07438248,-3.780014
1703230278186,1.945145,-0.07483777,-3.779606
1703230278200,1.945351,-0.07519408,-3.779265
1703230278214,1.945601,-0.07542313,-3.778873
1703230278228,1.945817,-0.07564313,-3.778459
1703230278242,1.946071,-0.07579692,-3.778048
1703230278256,1.946365,-0.07596209,-3.777634
1703230278270,1.946682,-0.07613019,-3.777314
1703230278284,1.947027,-0.0761973,-3.776935
1703230278291,1.947385,-0.07633927,-3.776572
1703230278305,1.947769,-0.07640792,-3.776279
1703230278318,1.948157,-0.0763754,-3.775922
1703230278333,1.948589,-0.0763073,-3.775461
1703230278346,1.948977,-0.07624131,-3.774963
1703230278360,1.949457,-0.07608346,-3.774514
1703230278374,1.949909,-0.07593959,-3.774096
1703230278388,1.950375,-0.07601649,-3.773717
1703230278402,1.950853,-0.07606092,-3.773356
1703230278416,1.951504,-0.07603537,-3.77293
1703230278429,1.952237,-0.07607448,-3.772447
1703230278443,1.952881,-0.07607321,-3.771954
1703230278457,1.953571,-0.07630543,-3.771394
1703230278471,1.954373,-0.07654818,-3.77098
1703230278484,1.955401,-0.07643025,-3.770551
1703230278498,1.956563,-0.07611109,-3.770033
1703230278512,1.957739,-0.07536591,-3.769414
1703230278525,1.958942,-0.07442935,-3.768665
1703230278539,1.960093,-0.07356291,-3.767987
1703230278553,1.961072,-0.07272705,-3.76751
1703230278567,1.962137,-0.07207654,-3.767096
1703230278581,1.963091,-0.07139483,-3.766551
1703230278595,1.964008,-0.07093997,-3.765959
1703230278609,1.96455,-0.07036891,-3.765288
1703230278623,1.964962,-0.07021649,-3.764877
1703230278637,1.965291,-0.07020503,-3.764391
1703230278651,1.965544,-0.07012457,-3.763747
1703230278665,1.965715,-0.07002147,-3.762907
1703230278679,1.965881,-0.0700784,-3.762053
1703230278693,1.965943,-0.07015818,-3.761101
1703230278707,1.965901,-0.07036642,-3.760243
1703230278720,1.96579,-0.0705594,-3.759362
1703230278735,1.965587,-0.07087237,-3.758374
1703230278748,1.965428,-0.0712911,-3.757414
1703230278762,1.965268,-0.07175217,-3.756362
1703230278776,1.965054,-0.07220642,-3.755432
1703230278790,1.964786,-0.07244246,-3.754385
1703230278804,1.964617,-0.07275051,-3.753407
1703230278818,1.964383,-0.0728342,-3.752395
1703230278832,1.964126,-0.07296124,-3.751354
1703230278846,1.963919,-0.07289026,-3.7503
1703230278860,1.963717,-0.0729041,-3.749242
1703230278874,1.96353,-0.07276952,-3.74822
1703230278888,1.963238,-0.07261062,-3.74729
1703230278902,1.962931,-0.07239596,-3.746368
1703230278915,1.962546,-0.07208455,-3.745405
1703230278929,1.962212,-0.07176562,-3.74442
1703230278943,1.961842,-0.07147012,-3.743463
1703230278957,1.961371,-0.07120486,-3.742575
1703230278971,1.960963,-0.07092079,-3.741755
1703230278985,1.960543,-0.07048993,-3.741003
1703230278999,1.96024,-0.06993999,-3.740185
1703230279013,1.960006,-0.06957333,-3.739447
1703230279027,1.959776,-0.06918909,-3.738794
1703230279041,1.959535,-0.06901275,-3.738324
1703230279055,1.959382,-0.0688431,-3.737841
1703230279069,1.959207,-0.06873557,-3.737293
1703230279083,1.959113,-0.06860717,-3.736757
1703230279097,1.958937,-0.06851591,-3.736309
1703230279111,1.95873,-0.06844877,-3.735994
1703230279125,1.958618,-0.06860109,-3.735796
1703230279139,1.958459,-0.06876565,-3.735481
1703230279153,1.958342,-0.06913634,-3.735144
1703230279166,1.958195,-0.06957538,-3.73487
1703230279181,1.958056,-0.06998208,-3.734575
1703230279195,1.95789,-0.07069867,-3.734365
1703230279208,1.957815,-0.07152953,-3.734228
1703230279223,1.957804,-0.07250172,-3.734146
1703230279237,1.957725,-0.07364227,-3.734261
1703230279251,1.957655,-0.07482573,-3.73437
1703230279265,1.957632,-0.07605606,-3.734541
1703230279278,1.957635,-0.07718132,-3.73469
1703230279293,1.957618,-0.0782814,-3.734786
1703230279307,1.957611,-0.07940171,-3.734878
1703230279320,1.957641,-0.08039411,-3.734887
1703230279334,1.957626,-0.0813152,-3.73483
1703230279348,1.957653,-0.08236709,-3.734881
1703230279363,1.957568,-0.08345961,-3.735066
1703230279377,1.957494,-0.08468636,-3.735322
1703230279391,1.957501,-0.086081,-3.735755
1703230279405,1.957561,-0.08752556,-3.736255
1703230279419,1.957549,-0.08923874,-3.73686
1703230279433,1.957563,-0.09101767,-3.737504
1703230279447,1.957571,-0.09248788,-3.73836
1703230279461,1.957633,-0.09357237,-3.73927
1703230279475,1.957856,-0.09432093,-3.739918
1703230279489,1.958033,-0.09477813,-3.740481
1703230279503,1.958341,-0.09501562,-3.740984
1703230279517,1.958581,-0.09524597,-3.741609
1703230279531,1.95886,-0.0954797,-3.742461
1703230279545,1.959099,-0.09568136,-3.74349
1703230279559,1.959322,-0.09594575,-3.74457
1703230279573,1.959607,-0.09627501,-3.745703
1703230279587,1.959872,-0.09658815,-3.74673
1703230279601,1.960234,-0.0968969,-3.747694
1703230279615,1.960539,-0.09727611,-3.748619
1703230279629,1.960838,-0.09783367,-3.749498
1703230279643,1.961174,-0.0985167,-3.750253
1703230279657,1.961503,-0.0992692,-3.750995
1703230279671,1.961869,-0.1001418,-3.752149
1703230279685,1.96224,-0.1007771,-3.753278
1703230279699,1.962576,-0.1013641,-3.75408
1703230279713,1.963079,-0.1018324,-3.754707
