time,rotate_x,rotate_y,rotate_z
1703230277757,-0.09494624,-0.08280444,-0.001279134
1703230277769,-0.08664222,-0.06848019,-0.006328411
1703230277783,-0.08770542,-0.06686279,-0.006682301
1703230277803,-0.08864562,-0.06404194,-0.007282909
1703230277821,-0.0885048,-0.06103027,-0.007461552
1703230277840,-0.08894287,-0.05798557,-0.007063095
1703230277857,-0.08942188,-0.05541727,-0.006940966
1703230277874,-0.08994446,-0.05280092,-0.00672573
1703230277891,-0.0892643,-0.04994151,-0.006725349
1703230277908,-0.08858366,-0.04768342,-0.006385734
1703230277925,-0.08842223,-0.0457491,-0.006023381
1703230277940,-0.08846915,-0.04428172,-0.005646423
1703230277956,-0.08802493,-0.04311097,-0.005395906
1703230277971,-0.0868609,-0.0419535,-0.005573951
1703230277986,-0.08469303,-0.04091248,-0.005967177
1703230278001,-0.08232583,-0.04026946,-0.006395746
1703230278016,-0.08049152,-0.03965247,-0.007112892
1703230278031,-0.07917608,-0.03941089,-0.007819755
1703230278044,-0.07827953,-0.03936431,-0.008448733
1703230278059,-0.07782411,-0.03941196,-0.009216471
1703230278073,-0.07769452,-0.03953198,-0.01004807
1703230278087,-0.0778651,-0.03956914,-0.0104446
1703230278102,-0.0784101,-0.03953218,-0.01084077
1703230278116,-0.07949949,-0.03952372,-0.01084314
1703230278130,-0.08129688,-0.03950608,-0.01051793
1703230278144,-0.08328161,-0.03957304,-0.01019312
1703230278157,-0.08546573,-0.03948706,-0.009792551
1703230278172,-0.0877614,-0.03914317,-0.009333452
1703230278186,-0.08970243,-0.03907526,-0.008894773
1703230278200,-0.09136681,-0.03920355,-0.008895284
1703230278215,-0.09244298,-0.03936359,-0.008974059
1703230278228,-0.09261157,-0.03981212,-0.009370621
1703230278242,-0.09273015,-0.04022405,-0.009626167
1703230278256,-0.09293448,-0.04082698,-0.009538388
1703230278270,-0.09304196,-0.04149508,-0.009247964
1703230278284,-0.09334416,-0.04206052,-0.009136707
1703230278291,-0.09339333,-0.04275101,-0.008761249
1703230278306,-0.09356872,-0.04337552,-0.008321205
1703230278318,-0.09399147,-0.04418376,-0.007850403
1703230278333,-0.09413172,-0.04535216,-0.006757047
1703230278347,-0.09375887,-0.04696256,-0.005812885
1703230278360,-0.0930407,-0.04839268,-0.005522599
1703230278374,-0.09260876,-0.04972875,-0.005775794
1703230278388,-0.09210645,-0.05074367,-0.006254084
1703230278402,-0.09219214,-0.0519681,-0.006725237
1703230278416,-0.0924245,-0.05379599,-0.006850842
1703230278430,-0.09214675,-0.05635169,-0.007059965
1703230278444,-0.09173849,-0.05927852,-0.007304139
1703230278457,-0.09147753,-0.06201345,-0.007354273
1703230278471,-0.09182705,-0.06466275,-0.006989112
