time,velocity_x,velocity_y,velocity_z
1703230277757,-0.01285957,0.03206445,0.01742808
1703230277769,-0.01926997,0.02015812,0.02365155
1703230277783,-0.02060402,0.01639379,0.02181539
1703230277803,-0.02433515,0.01211207,0.01962376
1703230277821,-0.02867294,0.009652706,0.01978599
1703230277841,-0.03180934,0.005399653,0.02061182
1703230277857,-0.03319038,0.001649775,0.0210864
1703230277874,-0.03462704,-0.0001204654,0.02065182
1703230277891,-0.03557881,0.001404562,0.02014862
1703230277908,-0.03465631,0.004965301,0.02019308
1703230277925,-0.03147252,0.007067658,0.01931434
1703230277941,-0.02721412,0.008136065,0.0182508
1703230277956,-0.02317258,0.009334913,0.01819684
1703230277972,-0.01876721,0.01465621,0.01949453
1703230277986,-0.01461289,0.02208818,0.022483
1703230278001,-0.0110114,0.02871487,0.02559031
1703230278016,-0.007323764,0.03243975,0.026896
1703230278031,-0.004166826,0.03302305,0.02639537
1703230278044,-0.001669016,0.03089559,0.02464625
1703230278059,0.0006020875,0.02668507,0.02280218
1703230278074,0.002512679,0.02094093,0.02168153
1703230278087,0.004001618,0.0141116,0.02139719
1703230278102,0.004765974,0.006941761,0.02123599
1703230278116,0.005518668,-0.001167251,0.02070933
1703230278130,0.006681213,-0.01057886,0.01972706
1703230278144,0.007483161,-0.01896887,0.01877348
1703230278157,0.008004052,-0.02552499,0.01865944
1703230278172,0.008140438,-0.03003775,0.02016626
1703230278186,0.009347525,-0.03303422,0.0227808
1703230278200,0.01094649,-0.03313457,0.02468481
1703230278215,0.01345241,-0.02932253,0.02664714
1703230278228,0.01582581,-0.02366081,0.02864544
1703230278242,0.01754767,-0.01804192,0.02988979
1703230278256,0.01916401,-0.01438303,0.02983543
1703230278271,0.02098221,-0.01231761,0.0283647
1703230278284,0.02206106,-0.01028461,0.02644016
1703230278291,0.02240313,-0.009473798,0.02590712
1703230278306,0.02341464,-0.00873588,0.02475807
1703230278318,0.02429476,-0.007472445,0.02324671
1703230278333,0.02537769,-0.005388646,0.02252993
1703230278347,0.02671093,-0.002231089,0.02312749
1703230278361,0.02842313,0.001541103,0.02424985
1703230278374,0.02997047,0.00447921,0.02469119
1703230278388,0.03037841,0.005680993,0.02469699
1703230278402,0.03113446,0.004584284,0.0240184
1703230278416,0.03340805,0.003938409,0.02288
1703230278430,0.0370738,0.002819302,0.0223727
1703230278444,0.04185602,0.001758761,0.02299454
1703230278457,0.04624288,-0.0006174939,0.02352732
1703230278471,0.04873196,-0.003955187,0.02295149
1703230278485,0.0520563,-0.005312911,0.02083472
1703230278499,0.05808415,-0.003052549,0.01945661
1703230278512,0.06659231,0.004660304,0.0201856
1703230278526,0.0734694,0.01848104,0.0227065
1703230278540,0.07907337,0.03470167,0.02698366
1703230278553,0.08192183,0.04674891,0.02969658
1703230278567,0.0835606,0.05306987,0.03031224
1703230278581,0.08312856,0.05439558,0.03033856
1703230278596,0.08009525,0.05202867,0.03140865
1703230278610,0.07269284,0.04801936,0.03258881
1703230278623,0.06242785,0.04099773,0.03359193
1703230278637,0.05106299,0.0311297,0.03479983
1703230278651,0.04008109,0.02119055,0.03655575
1703230278665,0.02991371,0.0126772,0.04058858
1703230278679,0.0222772,0.007101865,0.04669162
1703230278693,0.01572965,0.00251271,0.05348146
1703230278707,0.009966521,-0.001832148,0.05973294
1703230278720,0.004213689,-0.005760068,0.06315748
