time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1698145276338,0.006782803,-0.04949781,0.1168933
1698145276350,-0.03867589,0.03084193,0.04196033
1698145276364,-0.03053985,0.04170513,0.01880163
1698145276385,0.02329019,0.06682439,-0.002763612
1698145276404,0.07693939,0.09417921,-0.003931052
1698145276424,0.09694497,0.1184965,0.01090252
1698145276440,0.09836945,0.1356404,0.02786347
1698145276457,0.09750336,0.1403787,0.02305854
1698145276474,0.1056689,0.141382,0.008657511
1698145276490,0.1290041,0.1266876,-0.01895405
1698145276507,0.1306004,0.1159356,-0.03248013
1698145276521,0.1044901,0.1051534,-0.03478892
1698145276537,0.0788532,0.1042987,-0.03553728
1698145276553,0.0722854,0.09928297,-0.04233566
1698145276567,0.09118416,0.09311301,-0.04791238
1698145276582,0.1168131,0.09160319,-0.05528894
1698145276596,0.1313086,0.0814525,-0.06006309
1698145276610,0.1223738,0.07096549,-0.06052447
1698145276625,0.1014288,0.06000672,-0.04807039
1698145276638,0.07931943,0.0499867,-0.0304442
1698145276653,0.06319351,0.03125112,-0.01131814
1698145276668,0.05140992,0.01610447,0.01063919
1698145276681,0.03253895,0.003725521,0.02116419
1698145276694,0.0229725,-0.01435492,0.0328377
1698145276709,0.02938673,-0.02710161,0.05466529
1698145276723,0.04441527,-0.04273816,0.06840598
1698145276737,0.05620053,-0.05844646,0.08105883
1698145276752,0.0688467,-0.07708187,0.1017812
1698145276765,0.07359355,-0.08964086,0.1051516
1698145276779,0.08002866,-0.1088637,0.1086365
1698145276794,0.07442969,-0.1147892,0.1097406
1698145276808,0.0481995,-0.1294816,0.1038224
1698145276823,0.001966889,-0.1363415,0.09804484
1698145276838,-0.02021704,-0.1344832,0.08843649
1698145276853,-0.006110697,-0.1302199,0.07550293
1698145276869,0.02208055,-0.1207172,0.06109908
1698145276881,0.03999169,-0.106836,0.04917227
1698145276896,0.03757923,-0.09466229,0.04370427
1698145276908,0.02551877,-0.08176353,0.03295939
1698145276919,0.01484564,-0.06502542,0.02576503
1698145276934,0.01123173,-0.05339397,0.01716201
1698145276947,0.02160508,-0.04113476,0.01114585
1698145276960,0.04050961,-0.02846163,0.004691518
1698145276974,0.05995282,-0.02111539,-0.00621218
1698145276988,0.08078153,-0.01092692,-0.0134379
1698145277001,0.07199315,0.0004403261,-0.01421637
1698145277015,0.0599016,0.008656906,-0.009931847
1698145277029,0.04300173,0.01153978,-0.0119841
1698145277043,0.02321646,0.01761398,-0.01023606
1698145277058,0.01051093,0.01791516,-0.00762402
1698145277071,0.01939568,0.02209155,-0.005579183
1698145277085,0.03972856,0.02025001,0.002748151
1698145277099,0.06386128,0.01515452,0.001774819
1698145277112,0.0773495,0.01119771,-0.002291609
1698145277124,0.08474013,0.007173469,0.007005165
1698145277139,0.08374865,0.005066014,0.01732084
1698145277154,0.06953719,0.007716665,0.04018377
1698145277167,0.04474396,0.002176763,0.04668965
1698145277181,0.02801549,-0.005637398,0.04029567
1698145277194,0.02850588,-0.01006147,0.03032308
1698145277207,0.0258083,-0.01368174,0.01810679
1698145277222,0.02681036,-0.01165735,0.007782731
1698145277236,0.02593905,-0.006178801,-0.00214934
1698145277250,0.02608064,-0.003539699,-0.004934914
1698145277263,0.01787256,0.0004729111,-0.004400562
1698145277277,0.004386543,0.00627541,-0.007337707
1698145277292,-0.0132674,0.01345513,-0.01040081
1698145277305,-0.02700805,0.01648822,-0.01603412
1698145277318,-0.02209091,0.02375553,-0.01126396
1698145277334,-0.01008051,0.02722707,-0.01140056
1698145277347,0.0007946306,0.03089918,-0.01589111
1698145277361,0.004341988,0.03468427,-0.01247921
1698145277376,0.0004973853,0.03731394,-0.001960857
1698145277389,0.0008367202,0.03995338,0.005103758
1698145277403,-0.005162407,0.03219032,0.00261389
1698145277415,0.0006386919,0.02421135,0.003077934
1698145277430,0.01748541,0.02254228,-0.00364282
1698145277445,0.03506782,0.01607944,-0.007139343
1698145277460,0.04417991,0.01025638,-0.01048954
1698145277473,0.03984592,0.01049047,-0.01588641
1698145277487,0.03122182,0.009049021,-0.01529752
1698145277500,0.01224099,0.01268241,-0.01993136
1698145277514,0.007119614,0.01481788,-0.01698106
1698145277526,0.0106597,0.01918829,-0.01588447
1698145277541,0.01922123,0.01925167,-0.01286508
1698145277556,0.03431894,0.0205796,-0.007014118
1698145277571,0.04704764,0.01931734,-0.003763422
1698145277582,0.05538005,0.01724536,-0.01004123
1698145277597,0.05636145,0.01673372,-0.01653386
1698145277612,0.05526128,0.01722857,-0.02428841
1698145277625,0.05362989,0.02407627,-0.02806438
1698145277638,0.05815413,0.02707556,-0.02774506
1698145277653,0.06031069,0.02743341,-0.02568123
1698145277666,0.06170632,0.03198346,-0.02460671
1698145277680,0.06092798,0.03590335,-0.02223936
1698145277695,0.05129153,0.03530698,-0.02299295
1698145277708,0.03729186,0.03292685,-0.02766498
1698145277722,0.02877117,0.03328169,-0.03311541
1698145277736,0.01891353,0.02906866,-0.03961253
1698145277750,0.01361758,0.02890366,-0.04170055
1698145277764,0.006045572,0.02737626,-0.04120065
1698145277778,-0.004712344,0.02625921,-0.03971573
1698145277793,-0.01263096,0.01900417,-0.04004512
1698145277807,-0.01700587,0.01668952,-0.04164897
1698145277820,-0.01590719,0.01665657,-0.04603538
1698145277833,-0.01442715,0.02278073,-0.04756069
1698145277846,-0.006839885,0.02515838,-0.04489246
1698145277862,-0.0003683417,0.02683218,-0.04533747
1698145277877,0.004299629,0.03279851,-0.04679801
1698145277892,0.0120816,0.04054633,-0.03556983
1698145277903,0.01574582,0.0526906,-0.01656915
1698145277918,0.01674349,0.05568508,0.0003226649
1698145277932,0.004926119,0.05556484,0.005825561
1698145277945,-0.006666666,0.05777964,0.007438983
1698145277959,-0.01512258,0.05750757,0.004217787
1698145277972,-0.0195064,0.05594489,0.005664149
1698145277986,-0.02100027,0.0482732,0.00534402
1698145278001,-0.02454874,0.04457665,0.01170736
1698145278014,-0.01856945,0.03774562,0.0123358
1698145278029,-0.01357013,0.03150677,0.01060195
1698145278044,-0.006320524,0.02466121,0.002434282
1698145278055,-0.008445677,0.02300782,-0.0004583343
1698145278069,-0.009467241,0.02231871,-0.003606066
1698145278083,-0.003450073,0.01676505,-0.002184587
1698145278098,0.002083047,0.01471719,-0.0136994
1698145278113,0.0120104,0.01855377,-0.01779459
1698145278127,0.02501599,0.02444853,-0.012435
1698145278139,0.03379433,0.03396037,-0.002532324
1698145278154,0.03060252,0.03439642,-0.001569733
1698145278168,0.02522046,0.03573122,0.002403531
1698145278180,0.0243078,0.03785282,0.001861471
1698145278196,0.02660067,0.04133014,0.00324528
1698145278209,0.02772045,0.04254753,0.004071113
1698145278224,0.03263754,0.03553314,0.003689002
1698145278238,0.04405009,0.0304422,0.004121726
1698145278252,0.04894974,0.02750616,0.01153896
1698145278265,0.04894913,0.02366557,0.004815869
1698145278280,0.04317053,0.0164928,0.005409045
1698145278294,0.03321877,0.008810295,0.002693907
1698145278307,0.02140595,0.005652359,-9.343156e-05
1698145278319,0.02205082,-0.0008554624,0.0004950808
1698145278335,0.02818386,-0.007709219,-0.00311125
1698145278348,0.03158288,-0.0118591,-0.01407319
1698145278363,0.03176356,-0.01554796,-0.02415762
1698145278375,0.03104739,-0.01189971,-0.02731445
1698145278390,0.02274469,-0.01142815,-0.03203236
1698145278404,0.01109284,-0.00762447,-0.0289066
1698145278416,0.00994505,-0.003102754,-0.02017863
1698145278432,0.007582539,-0.003953027,-0.01560077
1698145278445,0.01174676,-0.006790743,-0.01696064
1698145278459,0.01276166,-0.008134985,-0.017696
