time,position_x,position_y,position_z
1698145276338,0.2241423,1.802018,0.07190177
1698145276349,0.2247755,0.04630397,0.06616987
1698145276364,0.2246757,0.04672626,0.06585623
1698145276385,0.2245391,0.04714649,0.06562514
1698145276403,0.2245718,0.04723107,0.06520166
1698145276423,0.2245606,0.04756864,0.06494361
1698145276439,0.2244538,0.04762572,0.06448145
1698145276456,0.2242954,0.04776307,0.06410633
1698145276473,0.2241997,0.04785751,0.06361201
1698145276489,0.2240677,0.04793482,0.06320181
1698145276506,0.2239819,0.04794668,0.06292325
1698145276521,0.2239784,0.04795112,0.06264818
1698145276536,0.2239467,0.04819568,0.06230397
1698145276551,0.2239927,0.04830995,0.0619875
1698145276566,0.2240076,0.04844971,0.06170693
1698145276581,0.2240416,0.04867582,0.0614235
1698145276595,0.224099,0.04892194,0.0609441
1698145276610,0.2241505,0.04899542,0.06040623
1698145276624,0.2242324,0.04901143,0.0600093
1698145276638,0.2244212,0.04910724,0.05967734
1698145276652,0.2245917,0.04919288,0.05939728
1698145276668,0.2248698,0.0493149,0.05909043
1698145276681,0.2251299,0.04934599,0.05879245
1698145276694,0.2254377,0.04945997,0.05845958
1698145276709,0.2258161,0.04955385,0.05817658
1698145276723,0.2261062,0.04960442,0.05774269
1698145276737,0.2264349,0.049624,0.05729088
1698145276752,0.2267581,0.04972582,0.05682598
1698145276765,0.2271012,0.04980217,0.05646783
1698145276779,0.2274679,0.04989704,0.05609768
1698145276793,0.2278421,0.04994354,0.05566715
1698145276807,0.2281677,0.04997149,0.05524813
1698145276823,0.2284535,0.04987473,0.05482201
1698145276837,0.2287091,0.04985755,0.05442359
1698145276852,0.2289477,0.04990568,0.05397401
1698145276867,0.2291075,0.04992556,0.05334799
1698145276880,0.2292018,0.0499299,0.05272621
1698145276895,0.2293569,0.0498499,0.0522613
1698145276908,0.2294688,0.04978853,0.05182796
1698145276919,0.229536,0.04978942,0.051418
1698145276933,0.2296495,0.04979012,0.0510244
1698145276946,0.2296554,0.04983918,0.05060586
