time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1698750504624,-0.3298276,0.1895299,0.009772776
1698750504633,-0.06491031,0.1509982,-0.01200169
1698750504643,-0.06107622,0.1441232,-0.01020997
1698750504661,-0.0744328,0.1283466,-0.021601
1698750504679,-0.09542488,0.1113078,-0.01758879
1698750504697,-0.0748014,0.1178379,-0.02029551
1698750504714,-0.03415787,0.1162694,-0.0200358
1698750504732,-0.00452457,0.1092451,-0.01897137
1698750504748,-0.003212877,0.1008805,-0.01479902
1698750504765,-0.01286856,0.08706309,-0.02761014
1698750504782,-0.002714074,0.06016073,-0.02935721
1698750504799,0.02871632,0.04883286,-0.03533422
1698750504814,0.05097416,0.04219987,-0.05216391
1698750504831,0.06253629,0.03203692,-0.06136639
1698750504845,0.05743935,0.01188917,-0.05868867
1698750504860,0.06972913,-0.02111849,-0.03372368
1698750504875,0.09750506,-0.05497457,-0.003393229
1698750504889,0.1326293,-0.07349302,0.004470311
1698750504904,0.1501204,-0.08922697,-0.0007905512
1698750504919,0.1664369,-0.1064562,-0.005764139
1698750504933,0.1829054,-0.1343814,-0.004289081
1698750504947,0.2152966,-0.1744796,-0.003553923
1698750504961,0.223297,-0.2139043,0.005366777
1698750504975,0.2026667,-0.2393198,0.00460471
1698750504993,0.1560253,-0.2563027,0.009203154
1698750505004,0.09400893,-0.2663402,0.006637601
1698750505017,0.05044345,-0.2637206,0.004529666
1698750505032,0.03271488,-0.2543582,0.001937929
1698750505046,0.02512519,-0.2437667,0.004281895
1698750505060,0.01499687,-0.2330926,0.01611881
1698750505074,-0.01172635,-0.2206978,0.01947288
1698750505088,-0.05216728,-0.2108849,0.02333008
1698750505101,-0.08843824,-0.2020784,0.02958583
1698750505115,-0.1028994,-0.1865271,0.02739516
1698750505129,-0.08644389,-0.1700949,0.01844757
1698750505144,-0.0388048,-0.1607076,0.03450013
1698750505158,0.01331648,-0.1651023,0.07932952
1698750505172,0.04558718,-0.1752766,0.1144819
1698750505183,0.03794844,-0.1833655,0.1255741
1698750505197,0.00240133,-0.1724744,0.08486503
1698750505210,-0.01800844,-0.1471903,0.03391248
1698750505225,-0.005048219,-0.1336522,0.01121789
1698750505238,0.03929699,-0.1429943,0.03094462
1698750505252,0.08771407,-0.1678005,0.06179475
1698750505266,0.1339543,-0.1973232,0.09975404
1698750505280,0.1536171,-0.2181664,0.1082937
1698750505294,0.1346971,-0.2255424,0.08686371
1698750505307,0.09755434,-0.219919,0.05318277
1698750505321,0.06784102,-0.2254036,0.03918012
1698750505335,0.05903875,-0.2376645,0.05146034
1698750505349,0.07523058,-0.2533742,0.07202575
1698750505363,0.09973717,-0.2728789,0.09167786
1698750505377,0.1089642,-0.294561,0.1034851
1698750505391,0.1046551,-0.3087215,0.08386899
1698750505405,0.08080714,-0.29985,0.04673091
1698750505419,0.05587301,-0.2856974,0.01141216
1698750505432,0.05500712,-0.2762243,0.008853518
1698750505446,0.06685437,-0.282103,0.02663222
1698750505461,0.08563995,-0.3022813,0.05350018
1698750505474,0.09928287,-0.3159276,0.06726176
1698750505488,0.1033782,-0.3152809,0.05645074
1698750505502,0.09742475,-0.3051338,0.03249427
1698750505516,0.08596695,-0.2887355,0.01162565
1698750505530,0.07234376,-0.277359,0.003117858
1698750505543,0.06796881,-0.2752188,0.002398952
1698750505557,0.0742684,-0.273919,0.008058068
1698750505571,0.08419634,-0.2778462,0.01673903
1698750505585,0.1040894,-0.2716965,0.02230586
1698750505599,0.1115494,-0.2643548,0.01855055
1698750505613,0.1210134,-0.2446408,0.003090342
1698750505626,0.1191977,-0.2248704,-0.008132068
1698750505640,0.1180783,-0.2040358,-0.01089998
1698750505654,0.1216796,-0.1974158,0.008941237
1698750505668,0.1359709,-0.1915238,0.02623373
1698750505682,0.1442483,-0.1914137,0.03421373
1698750505696,0.1191002,-0.1874166,0.04166126
1698750505709,0.04764516,-0.1743091,0.03538138
1698750505723,-0.04174993,-0.1429937,0.007849571
1698750505737,-0.1039928,-0.106678,-0.02159233
1698750505751,-0.1154882,-0.08020242,-0.03754852
1698750505766,-0.06866942,-0.06684299,-0.04444027
1698750505779,0.005744888,-0.06296078,-0.05209619
1698750505793,0.08016155,-0.05942892,-0.06825583
1698750505807,0.1248976,-0.04788832,-0.07835803
1698750505820,0.1427376,-0.03214737,-0.08305305
1698750505834,0.1469165,-0.02098276,-0.08769293
1698750505849,0.1314489,-0.003051526,-0.08528389
1698750505863,0.1185961,0.01588246,-0.07731489
1698750505876,0.1012218,0.02253419,-0.06145734
1698750505890,0.09196273,0.03216265,-0.04511262
1698750505904,0.09591449,0.04766827,-0.03898673
1698750505918,0.1078587,0.06767567,-0.05049336
1698750505932,0.1143609,0.0853352,-0.05239246
1698750505946,0.1201749,0.09495216,-0.05006584
1698750505960,0.1231416,0.1018624,-0.04463724
1698750505973,0.125878,0.1103788,-0.04097741
1698750505987,0.1277227,0.1136163,-0.03450286
1698750506002,0.1291343,0.1144782,-0.03805748
1698750506015,0.1315828,0.108137,-0.04413923
1698750506029,0.1323186,0.103884,-0.04919695
1698750506043,0.1265415,0.09525128,-0.04747057
1698750506057,0.1093363,0.08593312,-0.05279582
1698750506071,0.09466737,0.08020635,-0.05300176
1698750506086,0.07584551,0.07326961,-0.04696111
1698750506099,0.06004884,0.07112367,-0.04351407
1698750506112,0.04864358,0.06699357,-0.03925839
1698750506126,0.04795599,0.06272481,-0.0359457
1698750506140,0.04982437,0.058724,-0.03074308
1698750506154,0.04856715,0.05499153,-0.02484189
1698750506168,0.03640202,0.05292842,-0.01985137
1698750506182,0.03125497,0.05151514,-0.0125565
1698750506196,0.02148008,0.05048244,-0.01221463
1698750506210,0.01456279,0.04586419,-0.01243894
1698750506224,0.01457781,0.04585579,-0.0124523
1698750506238,0.02137867,0.04314841,-0.009949031
1698750506252,0.03357051,0.04698836,-0.02109462
1698750506265,0.04319835,0.04785446,-0.01684749
1698750506279,0.05532321,0.05031571,-0.01137841
1698750506293,0.05714507,0.04958261,-0.001737641
1698750506307,0.04365415,0.05118703,0.006706467
1698750506321,0.02400742,0.05541077,0.004529248
1698750506335,0.008949409,0.05913923,-0.002008742
1698750506349,0.001943243,0.06345648,-0.006345291
1698750506363,-0.001301246,0.06571682,-0.01309428
