time,velocity_x,velocity_y,velocity_z
1698750504624,-0.03208081,-0.03676127,-0.004488076
1698750504633,-0.02884958,-0.008793496,0.02903253
1698750504643,-0.0278117,-0.009312849,0.03058424
1698750504661,-0.02525645,-0.01200151,0.03129682
1698750504679,-0.02389061,-0.01321205,0.03033249
1698750504697,-0.02359897,-0.01084415,0.03162678
1698750504714,-0.02321228,-0.006959734,0.03415161
1698750504731,-0.02298437,-0.004923163,0.03642605
1698750504748,-0.02246017,-0.005291947,0.03775688
1698750504765,-0.02151874,-0.005834667,0.03810247
1698750504782,-0.02142553,-0.004506206,0.0385386
1698750504799,-0.02199316,-0.001398423,0.03833014
1698750504814,-0.02252809,0.0007263437,0.03671056
1698750504831,-0.02276762,0.002337943,0.03301243
1698750504845,-0.02258138,0.004096891,0.02798812
1698750504860,-0.02253083,0.007641762,0.02303445
1698750504875,-0.02260087,0.01344738,0.01876529
1698750504889,-0.02203801,0.01842048,0.01471612
1698750504904,-0.02043463,0.02211542,0.009959389
1698750504919,-0.01862532,0.02455601,0.005669764
1698750504933,-0.01670978,0.02691863,0.002623745
1698750504947,-0.01452868,0.02874326,0.00124177
1698750504961,-0.01239439,0.02858014,-0.00121843
1698750504975,-0.01122888,0.02502676,-0.005258989
1698750504990,-0.01012487,0.01820873,-0.01119946
1698750505004,-0.009383786,0.01129764,-0.0175445
1698750505017,-0.009302137,0.006222731,-0.02283703
1698750505032,-0.01013613,0.003008728,-0.02727858
1698750505046,-0.01169887,0.001425075,-0.03154718
1698750505060,-0.01292765,-0.0003351001,-0.03647608
1698750505074,-0.01366378,-0.002466186,-0.04251854
1698750505088,-0.01384603,-0.006152631,-0.04980588
1698750505101,-0.013637,-0.00967385,-0.05746567
1698750505115,-0.01294195,-0.01011549,-0.06490882
1698750505129,-0.01230382,-0.007385416,-0.07018688
1698750505144,-0.01247675,-0.001428067,-0.07392152
1698750505158,-0.01330978,0.005023044,-0.07680485
1698750505172,-0.01439255,0.009233147,-0.08107213
1698750505182,-0.01453565,0.009833643,-0.08584024
1698750505196,-0.013542,0.009628749,-0.09342654
1698750505210,-0.01173127,0.01019586,-0.09944291
1698750505225,-0.01052058,0.0139476,-0.102757
1698750505238,-0.009064544,0.01928928,-0.1036578
1698750505252,-0.007706802,0.02468105,-0.1029618
1698750505266,-0.006012719,0.02789322,-0.1017793
1698750505280,-0.003934991,0.02768549,-0.1021457
1698750505293,-0.001287777,0.02436029,-0.1034022
1698750505307,0.001904584,0.01997057,-0.1050956
1698750505321,0.004456338,0.01649501,-0.1063295
1698750505335,0.006592859,0.01499435,-0.1058529
1698750505349,0.008049581,0.01508315,-0.1036511
1698750505363,0.009283122,0.01548379,-0.1000354
1698750505377,0.01054193,0.01506253,-0.09637784
1698750505391,0.01166471,0.01288833,-0.09275715
1698750505405,0.01314382,0.01034568,-0.08972535
1698750505419,0.0138306,0.008558629,-0.08625326
1698750505432,0.0142415,0.008750383,-0.0818345
1698750505446,0.01453668,0.01132778,-0.07657528
1698750505461,0.01455004,0.01422568,-0.07142749
1698750505474,0.01470381,0.01663023,-0.0661878
1698750505488,0.01501697,0.01781718,-0.06092207
1698750505502,0.0155134,0.01798397,-0.0557465
1698750505516,0.01656519,0.01724582,-0.05077296
1698750505530,0.01732502,0.01666895,-0.04585944
1698750505543,0.0175974,0.01651041,-0.04095935
1698750505557,0.01801364,0.01628452,-0.03614601
1698750505571,0.01804032,0.01648368,-0.03132372
1698750505585,0.01800653,0.0166357,-0.02659867
1698750505599,0.01742541,0.01724909,-0.02209547
1698750505613,0.01722574,0.01709643,-0.01779645
1698750505626,0.01657344,0.0169289,-0.0134802
1698750505640,0.01593401,0.01623008,-0.00941164
1698750505654,0.01482387,0.01568457,-0.005424909
1698750505668,0.01420889,0.01545583,-0.001032296
1698750505682,0.01300399,0.01441752,0.002384545
1698750505696,0.01168406,0.01131754,0.002852248
1698750505709,0.009772342,0.006785811,0.0009303563
1698750505723,0.007779228,0.001382706,-0.003148531
1698750505737,0.005813909,-0.001563579,-0.007096872
1698750505751,0.004009583,-0.0005544065,-0.009299339
1698750505765,0.002914093,0.00342745,-0.009523315
1698750505779,0.002679203,0.009250939,-0.008210892
1698750505793,0.002691989,0.01507615,-0.006592433
1698750505807,0.002539855,0.01873908,-0.005641214
1698750505820,0.001899991,0.01944807,-0.005902825
1698750505834,0.001342746,0.01872173,-0.006697075
1698750505849,0.001160105,0.01826281,-0.007664855
1698750505863,0.0009284713,0.01658203,-0.008639485
1698750505876,7.475493e-05,0.01472913,-0.009769144
1698750505890,-0.0005134568,0.01338108,-0.01029048
1698750505904,-0.001082713,0.01279076,-0.01047533
1698750505918,-0.001687468,0.01298252,-0.01029331
1698750505932,-0.002231613,0.01353718,-0.01022975
1698750505946,-0.002947388,0.0135834,-0.01015556
1698750505959,-0.003526959,0.0132754,-0.01001605
1698750505973,-0.003729246,0.01293878,-0.00971033
1698750505987,-0.003815023,0.01284793,-0.008864275
1698750506001,-0.003767939,0.01280641,-0.0075007
1698750506015,-0.003677493,0.01306117,-0.005561181
1698750506029,-0.003302682,0.01311811,-0.003684239
1698750506043,-0.002846749,0.01220773,-0.001999395
1698750506057,-0.002662833,0.01131131,-0.0004365552
1698750506071,-0.002260511,0.009453683,0.0009950279
1698750506085,-0.001928592,0.007682055,0.002162758
1698750506099,-0.001495294,0.005990967,0.003268615
1698750506112,-0.001247557,0.005049803,0.004450967
1698750506126,-0.001119685,0.004746398,0.005592152
1698750506140,-0.0009847509,0.004716425,0.006478674
1698750506154,-0.0008754293,0.004548562,0.007034509
1698750506168,-0.0004711014,0.004359557,0.007230029
1698750506182,-0.0004543921,0.003826525,0.007027945
