time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1703143341094,0.05650692,-0.02935394,-0.02950962
1703143341103,0.1740822,-0.1671472,-0.0372394
1703143341118,0.2067768,-0.1245655,-0.01638815
1703143341137,0.2099805,-0.05797453,-0.002845948
1703143341155,0.2423209,0.01450064,-0.0106339
1703143341175,0.311628,0.06217713,0.0712206
1703143341192,0.3887336,0.1180326,0.1506688
1703143341209,0.4669732,0.1889215,0.1383427
1703143341226,0.5229324,0.2324886,0.1142726
1703143341243,0.5262399,0.2577258,0.1314792
1703143341259,0.4853614,0.2608657,0.1615706
1703143341275,0.4163286,0.2300044,0.1498733
1703143341291,0.3759685,0.2242787,0.04924123
1703143341306,0.3333585,0.179648,0.02811431
1703143341321,0.2686571,0.170357,-0.06502569
1703143341336,0.2355122,0.1601362,-0.1302038
1703143341351,0.2164436,0.1179352,-0.1231948
1703143341365,0.1868156,0.09347368,-0.101481
1703143341380,0.1079541,0.09738981,-0.1130877
1703143341394,0.05509726,0.08274258,-0.1356709
1703143341409,-0.01915804,0.06231621,-0.1323572
1703143341423,-0.0797376,0.05094003,-0.1172166
1703143341436,-0.1309033,0.04299084,-0.09518009
1703143341451,-0.1842531,0.02523199,-0.06572053
1703143341465,-0.2270121,0.008690887,-0.02969311
1703143341479,-0.2471491,-0.02044502,0.004729053
1703143341493,-0.2404475,-0.04958762,0.02641841
1703143341507,-0.2359081,-0.07620046,0.04480264
1703143341522,-0.2355586,-0.09744241,0.05008496
1703143341536,-0.2364209,-0.1210938,0.07410546
1703143341551,-0.2308055,-0.130458,0.07152244
1703143341564,-0.2062151,-0.1382996,0.05693542
1703143341578,-0.1657507,-0.1378127,0.03962279
1703143341592,-0.1331407,-0.1213171,-0.0107776
1703143341606,-0.1133499,-0.1093284,-0.03703393
1703143341621,-0.1242509,-0.104807,-0.05456179
1703143341634,-0.1435644,-0.08929234,-0.05770852
1703143341648,-0.1764577,-0.08184115,-0.03145811
1703143341661,-0.217542,-0.08483311,-0.009188743
1703143341675,-0.2330351,-0.1011438,-0.006844989
1703143341689,-0.222233,-0.1271697,-0.02174843
1703143341704,-0.1882082,-0.1584292,-0.04531027
1703143341717,-0.1460881,-0.1940862,-0.08635055
1703143341731,-0.1553874,-0.1719904,-0.0282975
1703143341745,-0.1736492,-0.1518128,-0.02784663
1703143341758,-0.1717175,-0.1414295,-0.05159162
1703143341773,-0.1298747,-0.1252147,-0.05626523
1703143341786,-0.07327596,-0.1136619,-0.04662378
1703143341800,-0.0228808,-0.09792143,-0.03240807
1703143341813,0.003624491,-0.08302549,-0.008153236
1703143341828,-0.002981434,-0.07296377,0.01150779
1703143341842,-0.01043024,-0.05652538,0.01976565
1703143341858,0.004307012,-0.03705983,0.02612437
1703143341870,0.0236191,-0.01679993,0.03785678
1703143341883,0.0393574,0.002944772,0.0430567
1703143341897,0.05674151,0.0236269,0.04060155
1703143341911,0.06906378,0.03840222,0.03918624
1703143341925,0.08904479,0.04561084,0.03742414
1703143341940,0.1025947,0.05087033,0.03451138
1703143341954,0.1018104,0.04179107,0.03554843
1703143341967,0.09429193,0.02793794,0.02920959
1703143341981,0.0780744,0.01058405,0.01934197
1703143341995,0.05937398,-0.004532075,0.02233983
1703143342009,0.04150195,-0.01261654,0.02370243
1703143342023,0.02479914,-0.01911343,0.02760128
1703143342037,0.01264535,-0.01443303,0.02183139
1703143342051,0.007649634,-0.009668373,0.01121175
1703143342065,0.00473004,-0.007626811,0.01630436
1703143342079,0.002845791,0.005817831,0.02410137
1703143342093,0.01544121,0.03514974,0.01174005
1703143342107,0.04256251,0.06983997,0.008477255
1703143342121,0.0750284,0.08189295,-0.01378427
1703143342134,0.1050375,0.0908847,-0.02882207
1703143342148,0.1046217,0.1060727,-0.03278646
1703143342162,0.09847637,0.1151365,-0.02488726
1703143342176,0.07769897,0.1157628,-0.01374862
1703143342190,0.06618545,0.1109173,-0.01213651
1703143342204,0.06114202,0.100323,-0.008894638
1703143342218,0.06417032,0.0913667,-0.01758505
1703143342232,0.06944863,0.08072302,-0.02345655
1703143342246,0.0715934,0.06690763,-0.029843
1703143342260,0.07283545,0.05336384,-0.03285503
1703143342274,0.06787319,0.04064709,-0.02995416
1703143342288,0.06387336,0.02846895,-0.02912527
1703143342301,0.06682554,0.02636114,-0.03946624
1703143342315,0.07052179,0.03473785,-0.05311736
1703143342329,0.06933983,0.03663288,-0.05700476
1703143342342,0.05635698,0.043193,-0.05855257
1703143342356,0.03013844,0.04018307,-0.04637129
1703143342370,0.008318914,0.03348114,-0.03183797
1703143342384,-0.002174265,0.03482757,-0.02364142
1703143342398,0.004426369,0.05052418,-0.04136548
1703143342412,0.009940756,0.06934104,-0.05839755
1703143342426,0.01244689,0.09240291,-0.05925117
1703143342440,0.007818622,0.1066769,-0.05515724
1703143342454,-0.006848064,0.1078188,-0.03612728
1703143342461,-0.01314812,0.1101115,-0.02679525
1703143342476,-0.01498217,0.1062084,-0.002573594
1703143342489,0.01169278,0.1052071,0.01204847
1703143342504,0.06356729,0.1126265,0.01624194
1703143342517,0.1069261,0.119355,0.01186956
1703143342530,0.1396329,0.1328201,-0.01264843
1703143342544,0.143823,0.1386849,-0.0256238
1703143342560,0.1311887,0.1365382,-0.02814259
1703143342572,0.1007646,0.1221796,-0.01585042
1703143342586,0.07129639,0.09905987,0.009909925
1703143342599,0.05028801,0.07668524,0.03373999
1703143342613,0.0528183,0.0561693,0.04635358
1703143342627,0.0698252,0.04964864,0.05632001
1703143342641,0.09307933,0.05207567,0.05939687
1703143342655,0.09722281,0.04863989,0.06758527
1703143342669,0.08254573,0.04307124,0.06529407
1703143342684,0.05173649,0.03741112,0.06791265
1703143342697,0.02412022,0.03187917,0.07059892
1703143342711,0.002884638,0.02266889,0.07716621
1703143342725,-0.007608471,0.0121667,0.08055369
1703143342739,-0.004400032,0.004426734,0.08259553
1703143342753,0.01372122,0.005075096,0.08105133
1703143342767,0.02570858,0.00900041,0.07122435
1703143342781,0.02061159,0.01343487,0.06314822
1703143342795,-0.004685612,0.01190634,0.05674945
1703143342809,-0.0367038,0.006485171,0.06137923
1703143342823,-0.04195791,-0.004355808,0.06160985
1703143342837,-0.03873633,-0.01065053,0.06065709
1703143342851,-0.02700621,-0.01501921,0.06139473
1703143342865,-0.02688373,-0.01537209,0.05700304
1703143342878,-0.03453203,-0.01957464,0.06255394
1703143342893,-0.04198132,-0.0261797,0.06341413
1703143342906,-0.04217676,-0.03041508,0.06918136
1703143342921,-0.03794247,-0.03499434,0.07072011
1703143342934,-0.01565598,-0.04022561,0.06936718
