time,rotate_x,rotate_y,rotate_z
1703143341094,-0.008796033,0.006437656,0.00500724
1703143341103,-0.01765929,0.02004739,0.009767214
1703143341118,-0.01958627,0.01956,0.008671369
1703143341137,-0.0211003,0.01756017,0.008704267
1703143341155,-0.02460931,0.01555511,0.008649675
1703143341175,-0.02837251,0.0144508,0.00446341
1703143341191,-0.0333418,0.01224086,0.00169939
1703143341209,-0.03838441,0.009187035,0.001516027
1703143341225,-0.04303281,0.007111888,0.0007688476
1703143341242,-0.04604661,0.005067308,-0.001275652
1703143341259,-0.048285,0.003864918,-0.00325094
1703143341275,-0.04999037,0.002944425,-0.003637177
1703143341291,-0.05212803,0.0009669214,-0.002077734
1703143341306,-0.05341932,0.001035977,-0.002649783
1703143341321,-0.05427934,-0.0008111447,1.178565e-05
1703143341336,-0.0556899,-0.00177199,0.00116214
1703143341351,-0.05687448,-0.001921456,0.001417344
1703143341365,-0.0579086,-0.002640184,0.001661551
1703143341380,-0.05709545,-0.00331809,0.002880832
1703143341394,-0.05675789,-0.003908157,0.00394035
1703143341409,-0.05555539,-0.00423754,0.004763408
1703143341423,-0.05436899,-0.004588414,0.005170085
1703143341436,-0.05276106,-0.004961777,0.005442298
1703143341450,-0.05088464,-0.004676618,0.005443455
1703143341464,-0.04889982,-0.004488263,0.005123012
1703143341479,-0.04695022,-0.003956363,0.004796193
1703143341493,-0.04542958,-0.00318969,0.004603503
1703143341507,-0.04366377,-0.002436757,0.004163369
1703143341521,-0.04229978,-0.001420867,0.003777682
1703143341536,-0.04049182,-0.0002828464,0.003091202
1703143341551,-0.0390967,0.0007902943,0.00297509
1703143341564,-0.03800799,0.001696955,0.002868603
1703143341577,-0.03751385,0.002689712,0.003005832
1703143341592,-0.03684667,0.003239345,0.003944982
1703143341606,-0.03623282,0.003670812,0.004427264
1703143341620,-0.03506507,0.004305542,0.005085981
1703143341634,-0.03376848,0.00444781,0.005732983
1703143341647,-0.03199847,0.005214311,0.005201451
1703143341661,-0.02991649,0.006034553,0.004957934
1703143341675,-0.02825328,0.006857406,0.005408952
1703143341689,-0.02702577,0.008025888,0.005919549
1703143341703,-0.02630658,0.009590585,0.006682532
1703143341717,-0.02570969,0.0111364,0.007939633
1703143341731,-0.02425172,0.01167225,0.006972327
1703143341744,-0.02277751,0.0124368,0.007719726
1703143341758,-0.02173551,0.01334785,0.008619976
1703143341772,-0.02168812,0.0138827,0.008890041
1703143341786,-0.02189519,0.01456102,0.009071559
1703143341800,-0.02225471,0.01506877,0.009164426
1703143341813,-0.02240225,0.01545757,0.008941486
1703143341828,-0.0220493,0.01581543,0.008649727
1703143341842,-0.0219942,0.01606307,0.008528991
1703143341857,-0.02228449,0.01609002,0.008403502
1703143341870,-0.02270656,0.01608335,0.00775098
1703143341883,-0.02309239,0.01576712,0.007478231
1703143341897,-0.02379294,0.01541051,0.007194167
1703143341911,-0.02429894,0.01504048,0.006860095
1703143341925,-0.02518456,0.01473002,0.006507329
1703143341940,-0.0260886,0.01436307,0.006266942
1703143341953,-0.02667743,0.01427624,0.005989928
1703143341967,-0.02721021,0.01436386,0.005800896
1703143341981,-0.02743201,0.01444421,0.005863355
1703143341995,-0.02763566,0.01459418,0.005607604
1703143342008,-0.02768542,0.01479601,0.005490933
1703143342023,-0.02771318,0.015001,0.005214653
1703143342037,-0.02776883,0.01507257,0.005158897
1703143342051,-0.02770587,0.01506939,0.00518785
1703143342064,-0.02768279,0.01512298,0.005014158
1703143342078,-0.02769578,0.0148728,0.004682023
1703143342093,-0.02777874,0.01408891,0.004901038
1703143342106,-0.02870031,0.01341271,0.004225096
1703143342120,-0.02972971,0.01263507,0.005039616
1703143342134,-0.03086698,0.01193751,0.005071291
1703143342148,-0.03128924,0.01101854,0.005183297
1703143342162,-0.03196096,0.01015316,0.005211051
1703143342176,-0.03213374,0.009369306,0.005110417
1703143342190,-0.03255061,0.008675743,0.005031589
1703143342204,-0.03299429,0.008249085,0.005090178
1703143342218,-0.03351586,0.007606879,0.005205743
1703143342231,-0.0340835,0.007182043,0.005441956
1703143342245,-0.03452258,0.006884161,0.005750551
1703143342260,-0.03513556,0.006681044,0.005899939
1703143342273,-0.03561064,0.006544702,0.005926988
1703143342288,-0.03599622,0.006400406,0.006195784
1703143342301,-0.03650291,0.006104343,0.006596853
1703143342315,-0.03701248,0.00576948,0.007108558
1703143342328,-0.03736527,0.005370699,0.007451693
1703143342342,-0.03770592,0.005053356,0.00779416
1703143342356,-0.03750141,0.00480425,0.007875767
1703143342370,-0.03729622,0.004773911,0.00777486
1703143342384,-0.03725883,0.004397798,0.007933628
1703143342398,-0.03751128,0.003651805,0.008582028
1703143342412,-0.0376323,0.002875861,0.009022777
1703143342426,-0.03776579,0.001914013,0.009227552
1703143342440,-0.03770591,0.00106686,0.00937989
1703143342454,-0.03751746,0.0003079548,0.009275561
1703143342461,-0.03725062,-0.0003657006,0.009100689
1703143342475,-0.037299,-0.001029946,0.008790362
1703143342489,-0.03800732,-0.001787625,0.008512434
1703143342503,-0.03944137,-0.002669368,0.008322821
1703143342517,-0.04095219,-0.003680509,0.008331577
1703143342529,-0.04215884,-0.004753307,0.008559063
1703143342544,-0.04321527,-0.005824395,0.008825697
1703143342558,-0.04365395,-0.006670032,0.008908854
1703143342572,-0.04381987,-0.007144507,0.008515023
1703143342586,-0.04393037,-0.007285915,0.008073454
1703143342599,-0.04410243,-0.007388487,0.007529023
1703143342613,-0.04466797,-0.007450197,0.007041442
1703143342627,-0.04557448,-0.007664073,0.006466951
1703143342641,-0.04652711,-0.008062046,0.005973347
1703143342655,-0.04716656,-0.008269232,0.005393329
1703143342669,-0.04721768,-0.008440055,0.004916838
1703143342683,-0.04709073,-0.008535586,0.004542439
1703143342697,-0.04696599,-0.008629646,0.003967664
1703143342711,-0.04668111,-0.008482933,0.003188906
1703143342725,-0.04655246,-0.008209098,0.002592346
1703143342739,-0.04682971,-0.00824276,0.002050649
1703143342753,-0.0472946,-0.008246683,0.001546277
1703143342767,-0.04747151,-0.008251376,0.001312623
1703143342781,-0.04746274,-0.008346777,0.0008844759
1703143342795,-0.0468178,-0.00828762,0.0004440877
1703143342809,-0.04623549,-0.008153986,-5.572988e-05
1703143342823,-0.04613389,-0.007900748,-0.0003092787
1703143342836,-0.04585475,-0.007793516,-0.0008058818
1703143342850,-0.04583495,-0.007469188,-0.001147651
1703143342865,-0.04559994,-0.00734666,-0.00157419
1703143342878,-0.04522487,-0.007190689,-0.002108546
