time,velocity_x,velocity_y,velocity_z
1703143341094,-0.005659694,0.01405128,0.002770024
1703143341103,0.005130969,0.02288913,0.004006381
1703143341118,0.0004357274,0.02528482,0.003776223
1703143341137,-0.005252897,0.02500437,0.002964763
1703143341155,-0.009386983,0.02677349,0.003972476
1703143341175,-0.01463043,0.03175969,0.005003468
1703143341191,-0.01877541,0.03785092,0.005399571
1703143341209,-0.0209091,0.04482001,0.005506845
1703143341225,-0.02291216,0.04904218,0.004035477
1703143341242,-0.02490907,0.04969277,0.001390069
1703143341259,-0.02622294,0.0461673,-0.001993589
1703143341275,-0.0249276,0.04090385,-0.005044119
1703143341291,-0.02352003,0.03630466,-0.005463336
1703143341306,-0.02135663,0.03152858,-0.005328586
1703143341321,-0.02213513,0.02638121,-0.005138734
1703143341336,-0.02159655,0.02551092,-0.003663078
1703143341351,-0.02108384,0.02275214,-0.001313421
1703143341365,-0.02189994,0.01754754,0.00131536
1703143341380,-0.02119586,0.01228999,0.001424413
1703143341394,-0.0183021,0.004879795,0.003479944
1703143341409,-0.01474101,-0.00148122,0.004649852
1703143341423,-0.01094265,-0.00835018,0.007126912
1703143341436,-0.007236188,-0.01471011,0.009661612
1703143341450,-0.003507389,-0.02052124,0.01195183
1703143341464,9.439536e-07,-0.02570816,0.01393416
1703143341479,0.004377883,-0.0276544,0.01574601
1703143341493,0.008873347,-0.02714198,0.01771748
1703143341507,0.01234116,-0.02613009,0.01850315
1703143341521,0.01512528,-0.02561671,0.01831159
1703143341536,0.01606591,-0.02484906,0.01768017
1703143341551,0.01688543,-0.02337631,0.01676922
1703143341564,0.01652253,-0.02019918,0.01626862
1703143341578,0.01563552,-0.01610071,0.01583763
1703143341592,0.0145407,-0.01199174,0.01504981
1703143341606,0.01265262,-0.01016609,0.01450364
1703143341620,0.01084052,-0.01006272,0.01273237
1703143341634,0.009018331,-0.01195285,0.01146363
1703143341647,0.006337228,-0.0151435,0.01040881
1703143341661,0.004885725,-0.01859943,0.00927299
1703143341675,0.006374782,-0.02176303,0.009380273
1703143341689,0.009094855,-0.02171862,0.009988603
1703143341704,0.01294709,-0.01834562,0.01127411
1703143341717,0.01589257,-0.0159151,0.01188161
1703143341731,0.01287212,-0.01556165,0.009798429
1703143341745,0.01095677,-0.01682296,0.007343853
1703143341758,0.01008761,-0.01623255,0.005607617
1703143341773,0.008821036,-0.0129013,0.004997792
1703143341786,0.007645854,-0.008022886,0.004869617
1703143341800,0.006458117,-0.003911567,0.004570962
1703143341813,0.005630051,-0.001488402,0.003172662
1703143341828,0.005009688,-0.001011107,0.0008557659
1703143341842,0.004562679,-0.0007166759,-0.001473246
1703143341857,0.003482994,0.0004525423,-0.003024626
1703143341870,0.001745133,0.002587054,-0.004339238
1703143341883,2.681311e-05,0.004569525,-0.005310744
1703143341897,-0.001872982,0.006437113,-0.006004216
1703143341911,-0.002899942,0.008265188,-0.006254832
1703143341925,-0.003626233,0.009467907,-0.005865362
1703143341940,-0.003477011,0.01001681,-0.005165935
1703143341953,-0.002942958,0.01000491,-0.004510832
1703143341967,-0.001748354,0.009315286,-0.003928484
1703143341981,-0.0003401263,0.008201677,-0.003743013
1703143341995,0.0007601676,0.006194057,-0.003286518
1703143342009,0.001526268,0.00417417,-0.002839385
1703143342023,0.002389675,0.002285319,-0.002228326
1703143342037,0.002685852,0.001269849,-0.001324141
1703143342051,0.002444206,0.0005567231,-0.0007186728
1703143342064,0.00166117,-0.0002780186,-6.834228e-05
1703143342078,0.0002488802,-0.0002829364,0.001163011
1703143342093,-0.001738041,0.0007855397,0.003174457
1703143342107,-0.004087463,0.003512862,0.004804888
1703143342120,-0.004756695,0.00650814,0.006756367
1703143342134,-0.005617805,0.008441372,0.007956805
1703143342148,-0.007106222,0.00982828,0.007777086
1703143342162,-0.008909763,0.009147191,0.007514222
1703143342176,-0.01039881,0.008207398,0.006393559
1703143342190,-0.01102599,0.007655646,0.006045949
1703143342204,-0.01117736,0.007426106,0.006302984
1703143342218,-0.01121848,0.007341618,0.006672451
1703143342231,-0.01130978,0.008005587,0.007125032
1703143342246,-0.01134584,0.008698158,0.007502918
1703143342260,-0.01137657,0.008420655,0.007264399
1703143342273,-0.01168558,0.00802141,0.006942758
1703143342288,-0.01217009,0.007722728,0.007089403
1703143342301,-0.01247103,0.007589261,0.008070355
1703143342315,-0.01262623,0.007624519,0.009361578
1703143342329,-0.01337163,0.00694369,0.01012538
1703143342342,-0.01380788,0.005370276,0.01058
1703143342356,-0.01464796,0.003518979,0.01054787
1703143342370,-0.01577514,0.00181822,0.01038864
1703143342384,-0.01634392,0.0006627139,0.01089737
1703143342398,-0.01658068,9.72082e-05,0.0117706
1703143342412,-0.01710085,0.0001977154,0.01308216
1703143342426,-0.01704995,0.000129541,0.0143418
1703143342440,-0.01634521,-0.0002423614,0.01475125
1703143342454,-0.01521535,-0.001117183,0.01427871
1703143342461,-0.0144151,-0.00168281,0.01386995
1703143342475,-0.01297591,-0.001319233,0.01325461
1703143342489,-0.01172927,0.002008545,0.01308724
1703143342504,-0.01033815,0.007249484,0.01350863
1703143342517,-0.009033499,0.01200126,0.01366429
1703143342530,-0.006758047,0.0153754,0.01360228
1703143342544,-0.004512716,0.01671756,0.01263765
1703143342560,-0.001579615,0.01614649,0.01070208
1703143342572,0.001548887,0.01483668,0.008331992
1703143342586,0.004583414,0.01314124,0.005475425
1703143342599,0.007605665,0.01168437,0.003129743
1703143342613,0.01002881,0.01123244,0.002265493
1703143342627,0.01200103,0.01189954,0.002586636
1703143342641,0.01390083,0.0125912,0.003774117
1703143342655,0.01552721,0.01237596,0.004727051
1703143342669,0.01731782,0.01062611,0.004943674
1703143342683,0.0190799,0.007581387,0.004989504
1703143342697,0.02046082,0.003971446,0.004733331
1703143342711,0.02142158,0.0007217199,0.004731674
1703143342725,0.02232291,-0.001488375,0.005076414
1703143342739,0.02279087,-0.001896926,0.005800017
1703143342753,0.02341363,-0.001550797,0.007317105
1703143342767,0.02389704,-0.001776151,0.008837846
1703143342781,0.02447847,-0.003846099,0.009552939
1703143342795,0.02502129,-0.007027996,0.009531339
1703143342809,0.02572999,-0.009445373,0.008912119
1703143342823,0.02607997,-0.01004427,0.008602614
1703143342836,0.02616894,-0.008438429,0.008674926
1703143342851,0.0259084,-0.006323044,0.008808035
1703143342865,0.0255837,-0.004700447,0.008459751
1703143342878,0.02503301,-0.003930551,0.007364159
1703143342893,0.02435005,-0.00342317,0.006007864
1703143342906,0.02364964,-0.002880299,0.00454123
1703143342920,0.02253035,-0.001260048,0.002894289
