time,position_x,position_y,position_z
1702105727656,-0.02456245,1.804594,-0.003504181
1702105727668,-0.02472284,0.01542687,-0.002695513
1702105727682,-0.02478437,0.015389,-0.002642554
1702105727702,-0.02478831,0.01532997,-0.002616835
1702105727720,-0.02482755,0.01532677,-0.002537727
1702105727741,-0.02487872,0.01532166,-0.002428537
1702105727757,-0.0248944,0.01531602,-0.002374528
1702105727774,-0.02492115,0.01531888,-0.002311512
1702105727791,-0.02494738,0.01536657,-0.002233012
1702105727807,-0.02498751,0.01540621,-0.002162262
1702105727824,-0.02503295,0.01537962,-0.002125599
1702105727840,-0.02506881,0.01534604,-0.002109611
1702105727856,-0.02510738,0.01535989,-0.002075293
1702105727871,-0.02514547,0.01539042,-0.002045506
1702105727886,-0.02517567,0.01541038,-0.002027877
1702105727901,-0.02520211,0.01537186,-0.002034449
1702105727915,-0.02522241,0.01536064,-0.002021273
1702105727930,-0.02526784,0.01535302,-0.002024853
1702105727945,-0.02530596,0.01533346,-0.002043041
1702105727959,-0.02530037,0.0152891,-0.00206418
1702105727973,-0.02529787,0.01525323,-0.002094087
1702105727987,-0.02532215,0.01529638,-0.002118033
1702105728002,-0.02534515,0.01534265,-0.002162966
1702105728016,-0.02534033,0.01537611,-0.002196059
1702105728030,-0.02530116,0.0153636,-0.002242273
1702105728044,-0.02527228,0.01537864,-0.002292861
1702105728057,-0.02524888,0.01537421,-0.002334476
1702105728071,-0.02521329,0.01536884,-0.002378933
1702105728086,-0.02517809,0.01534222,-0.002415933
1702105728100,-0.02513072,0.01530109,-0.002455042
1702105728114,-0.02508834,0.01526717,-0.002487306
1702105728128,-0.02505427,0.01525768,-0.002509709
1702105728142,-0.02503423,0.01525709,-0.002525321
1702105728156,-0.02497517,0.01522086,-0.002536845
1702105728170,-0.02491524,0.01517939,-0.002551761
1702105728184,-0.02485817,0.01515269,-0.002572439
1702105728198,-0.02485212,0.0151445,-0.00257538
1702105728212,-0.02482902,0.0151367,-0.002571066
1702105728226,-0.02478495,0.01511984,-0.002553673
1702105728241,-0.02473742,0.01509385,-0.002530972
1702105728254,-0.02470575,0.01508146,-0.002522242
1702105728268,-0.02469048,0.01508735,-0.002510672
1702105728282,-0.02466984,0.01507017,-0.002488246
1702105728296,-0.02461501,0.0150374,-0.002448115
1702105728309,-0.02456135,0.0150104,-0.002392758
1702105728323,-0.02454656,0.01498521,-0.002340256
1702105728337,-0.02453995,0.01496718,-0.002283596
1702105728351,-0.0245302,0.0149089,-0.002212595
1702105728365,-0.02451527,0.01482758,-0.00215258
1702105728379,-0.02451319,0.01476681,-0.002085336
1702105728393,-0.02453785,0.01472601,-0.002007456
1702105728407,-0.02456959,0.01469091,-0.001907207
1702105728420,-0.02460416,0.01464368,-0.001807569
1702105728434,-0.02462105,0.01458342,-0.001689135
1702105728448,-0.02464692,0.01453381,-0.001563849
1702105728461,-0.02467922,0.01450388,-0.001456742
1702105728475,-0.0247303,0.01445681,-0.001355967
1702105728489,-0.02477402,0.01440093,-0.001240946
1702105728503,-0.02481499,0.01433666,-0.001140458
1702105728517,-0.02486223,0.01429757,-0.00103528
1702105728531,-0.02493156,0.01424209,-0.0009384354
1702105728545,-0.02500781,0.0142163,-0.0008498618
1702105728559,-0.02509118,0.01416298,-0.0007878173
1702105728573,-0.02517809,0.01413588,-0.0007261921
1702105728588,-0.0252619,0.01411314,-0.0006528904
