time,velocity_x,velocity_y,velocity_z
1702105727657,0.001812018,0.00114542,0.003376857
1702105727668,-0.00164912,-0.0002750581,0.004730979
1702105727682,-0.00211273,-0.0005277125,0.004536001
1702105727703,-0.002106902,-0.0008961741,0.004502806
1702105727721,-0.002424701,-0.0007287517,0.004760377
1702105727741,-0.0027359,-0.0003709405,0.005075348
1702105727757,-0.002641207,-0.000124714,0.005222704
1702105727774,-0.002851243,5.568479e-05,0.005362658
1702105727791,-0.002635273,0.0006287933,0.005441934
1702105727808,-0.002502569,0.001074291,0.005222999
1702105727824,-0.002726269,0.0008812863,0.004785544
1702105727840,-0.002706886,0.0008905986,0.004134396
1702105727857,-0.002561306,0.0009888208,0.003526902
1702105727871,-0.002411261,0.001243907,0.003237757
1702105727886,-0.002239755,0.001440065,0.002989806
1702105727901,-0.002117376,0.0008896103,0.002619815
1702105727916,-0.001750786,0.0003738286,0.002358827
1702105727930,-0.001641281,-0.000556479,0.001732566
1702105727945,-0.001496939,-0.001359481,0.0009183189
1702105727959,-0.001099986,-0.001705413,0.0004934599
1702105727974,-0.0008350759,-0.001235122,-4.730309e-05
1702105727988,-0.0008904703,-0.000388645,-0.0004439929
1702105728002,-0.0007448018,0.0002954018,-0.0007874425
1702105728016,-0.0003592952,0.0008563733,-0.001049538
1702105728030,0.00023575,0.0008151646,-0.001339255
1702105728045,0.0003206654,0.0007313127,-0.001718211
1702105728058,0.0009470058,7.678386e-05,-0.002062845
1702105728072,0.00170316,-0.0005370427,-0.002367966
1702105728086,0.002051306,-0.001117047,-0.002544499
1702105728100,0.002534538,-0.001886451,-0.002630946
1702105728114,0.002841114,-0.002292263,-0.00249666
1702105728128,0.003136964,-0.002416586,-0.00219068
1702105728142,0.002910912,-0.002296271,-0.001897835
1702105728156,0.003164097,-0.002349257,-0.00154169
1702105728171,0.003305874,-0.002362664,-0.0014898
1702105728184,0.003584893,-0.002268141,-0.001397845
1702105728199,0.003092553,-0.001911096,-0.001327759
1702105728213,0.003270475,-0.001367648,-0.0009412558
1702105728227,0.003102761,-0.0008971829,-0.0004303739
1702105728241,0.003085739,-0.0007968732,7.764584e-05
1702105728255,0.003088838,-0.0009428798,0.0004805128
1702105728268,0.002930518,-0.0007674159,0.0009588216
1702105728283,0.002598407,-0.001147503,0.001392072
1702105728296,0.002568662,-0.00146275,0.002127646
1702105728310,0.002570645,-0.001719108,0.002834828
1702105728323,0.002377487,-0.002074143,0.003498599
1702105728338,0.002167733,-0.002276311,0.004025856
1702105728352,0.001871264,-0.002620339,0.004563176
1702105728365,0.001601796,-0.002921715,0.004771287
1702105728379,0.001065755,-0.003187787,0.005053723
1702105728393,0.0004712306,-0.00293085,0.005517218
1702105728407,0.0001574843,-0.002593758,0.006423257
1702105728421,-0.0006935544,-0.002663896,0.006982219
1702105728435,-0.001154591,-0.002496215,0.007738875
1702105728448,-0.001583231,-0.002381135,0.008239527
1702105728462,-0.001766258,-0.002289056,0.00835676
1702105728476,-0.002383104,-0.002433355,0.008117789
1702105728490,-0.002874329,-0.002586024,0.00779215
1702105728504,-0.003119014,-0.002877335,0.007465952
1702105728518,-0.003259793,-0.002723938,0.007247741
1702105728532,-0.003796367,-0.002938956,0.006953545
1702105728545,-0.004365534,-0.002900144,0.00661577
1702105728559,-0.004798011,-0.002898225,0.006345819
1702105728573,-0.005257506,-0.002680818,0.006014175
1702105728588,-0.005476638,-0.002331213,0.005600931
1702105728602,-0.00624699,-0.002651199,0.004805017
1702105728616,-0.006503647,-0.00308133,0.004469513
1702105728629,-0.006824043,-0.003523383,0.004032398
1702105728642,-0.007134689,-0.003260574,0.003845365
1702105728656,-0.007651638,-0.002493813,0.003830031
1702105728670,-0.007639991,-0.001862971,0.003842289
1702105728685,-0.00781177,-0.001778578,0.003589089
1702105728699,-0.007889703,-0.001738104,0.003456459
1702105728712,-0.008057229,-0.002033019,0.003250046
1702105728727,-0.008087384,-0.001767354,0.003071961
1702105728740,-0.008319038,-0.001554215,0.002904992
1702105728755,-0.008423539,-0.001571731,0.002755313
1702105728769,-0.008356191,-0.001905053,0.002384047
1702105728782,-0.008249825,-0.001848749,0.001823002
1702105728796,-0.007793614,-0.001901288,0.001158996
1702105728810,-0.007562747,-0.002080423,0.0003591955
1702105728824,-0.006934183,-0.002006383,-0.000247551
1702105728839,-0.005986784,-0.002364613,-0.0007635568
1702105728852,-0.005308691,-0.002178523,-0.001385615
1702105728866,-0.004086575,-0.001754626,-0.002099614
1702105728880,-0.003344673,-0.001646525,-0.002814083
1702105728894,-0.002389739,-0.001354471,-0.003356699
1702105728907,-0.001220453,-0.001586921,-0.00387615
1702105728922,-0.0004610055,-0.001357291,-0.004293269
1702105728935,0.0002339297,-0.00121975,-0.004673003
1702105728949,0.0005409552,-0.0006758123,-0.005217951
1702105728963,0.0005678919,-0.0002464127,-0.005798604
1702105728977,0.000638991,-0.0002640185,-0.006370609
1702105728991,0.0007100307,-0.0007912591,-0.006812661
1702105729010,0.0001270798,-0.001775891,-0.007448736
1702105729023,-0.0002205992,-0.001659765,-0.007531255
1702105729037,-0.0003272074,-0.0009803035,-0.007252022
1702105729052,-0.0007153798,-0.0001579576,-0.006712822
1702105729066,-0.0009347464,0.0009257868,-0.006561689
1702105729080,-0.001095232,0.001296115,-0.0066064
1702105729094,-0.001304404,0.001214183,-0.006978319
1702105729107,-0.001330746,0.00115168,-0.00743593
1702105729122,-0.001683609,0.001699482,-0.007735449
1702105729136,-0.001864169,0.002335986,-0.007768829
1702105729150,-0.002029498,0.002808173,-0.007569027
1702105729165,-0.00209641,0.003514872,-0.007239784
1702105729177,-0.002354536,0.003654476,-0.00705932
1702105729191,-0.0024079,0.003137529,-0.006978141
1702105729205,-0.002159467,0.002170942,-0.006878415
1702105729219,-0.002283052,0.0008032671,-0.006559226
1702105729233,-0.002460675,-0.0007642245,-0.006522724
1702105729247,-0.0026647,-0.002493606,-0.006341543
1702105729261,-0.002636509,-0.00405093,-0.005717418
1702105729275,-0.002773823,-0.004812574,-0.005107989
1702105729289,-0.002696229,-0.005420643,-0.004158862
